statement_id	page	record	clean_instruction_de	refined_component_sequence
H4-S003	f55v	H4	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	Y+AIIN+K+E+O+AR+CH+EE+CHK+OL+DY
H4-S004	f55v	H4	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	AIIN+AL+OK+Y+OL+T+OR+AIN
H5-S001	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	HO+OR+CH+AL+AIIN+OL+K+OT+OR+CH+Y+AL+OK
H5-S002	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	RESUME_CARD+HO+Y+OK+EE+O+CKH+CH+DY
H5-S003	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	HO+SH+Y+E+K+OK
H5-S004	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.	Y+OK+E+O+OK+CH+AL+K
H5-S005	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	HO+Y+OK+HO+AR+K+OT+AIN+O
H5-S006	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.	OT+Y+E+OL+K+AIIN
B1-S001	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	E+OK+DY
B1-S002	f81v	B1	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	AIIN+OK+AIR+K+AL+AR+AIN+OL+AIN+K+OL+R+L+OR+OL+E+CKH+AL+SH+AIIN+EE+OK+Y+CKH+CHD+DY
B1-S003	f81v	B1	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	OL+SH+K+CHD+DY
B1-S004	f81v	B1	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	Y+CHD+OL+SHED+DY
B1-S005	f81v	B1	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	OL+CHD+DY
B1-S006	f81v	B1	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	AIN+OK+Y+CKH+L+AL+R
B1-S007	f81v	B1	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	OK+CHD+DY
B1-S008	f81v	B1	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	Y+OL+E+CHK+OL+SHED+DY
B1-S009	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	E+OK+DY
B1-S010	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	E+OK+DY
B1-S011	f81v	B1	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	Y+CKH+OK
B1-S012	f81v	B1	Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.	O+LSH+Y+E+OK+E+LSH+DY
B1-S013	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.	E+LSH+DY
B1-S014	f81v	B1	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	Y+CHD+SOLK+AL+L+CHD+OL+OT+AR
B1-S015	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen.	E+Y+T+OK+CHD+DY
B1-S016	f81v	B1	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	AL+OK+EE+Y+OK+OL+SHED+DY
B1-S017	f81v	B1	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	AL+E+OL+CHD+DY
B1-S018	f81v	B1	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.	Y+L+E+OL+SH+O+IIN+EE+SOLK+DY
B1-S019	f81v	B1	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.	SHED+DY
B1-S020	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	E+Y+CHK+E+CKH+SH+DY
B1-S021	f81v	B1	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	AL
B2-S001	f82r	B2	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	CHD+DY
B2-S002	f82r	B2	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	OL+CHD+DY
B2-S003	f82r	B2	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	AIN+OK+Y+EE+OK+DY
B2-S004	f82r	B2	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	AL+OK+Y+CKH+L+CHD+EE+OK+E+CKH+L+DY
B2-S005	f82r	B2	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	Y+AL+OK+AIIN+SOLK+CKH+AIIN+OK+O+E+CTH+OL+EE+CHK+L+DY
B2-S006	f82r	B2	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	OT+EE+Y+AL+OK+E+CKH+SH+OK
B2-S007	f82r	B2	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	E+SH+DY
B2-S008	f82r	B2	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	OT+AIIN+AR+OK+SHED+DY
B2-S009	f82r	B2	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	E+OL+SH+DY
B2-S010	f82r	B2	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	EE+Y+OK+OK+OL+EE+SH
B2-S011	f82r	B2	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	AIN+OK+AR+AIN+OK+EE+OK+DY
B2-S012	f82r	B2	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	Y+L+CH+EE+SH+E+CTH+EE+OK+EE+L+AIIN+EEE+OK+DY
B2-S013	f82r	B2	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	L+CHD+DY
B2-S014	f82r	B2	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	AR+L
B2-S015	f82r	B2	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	E+Y+SH+EE+OK+DY
B2-S016	f82r	B2	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz entnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, fuellen, umsetzen und schliessen.	AL+AR+L+CHD+E+CH+S+AIIN+OT+Y+EE+AIIN+E+OK+P+CHD+DY
B2-S017	f82r	B2	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	AL+E+R+SH+AL+DY
B2-S018	f82r	B2	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	EE+OK+DY
B2-S019	f82r	B2	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.	R+SHED+DY
B2-S020	f82r	B2	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	OT+EE+DY
B2-S021	f82r	B2	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	EE+OK+DY
B2-S022	f82r	B2	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	O+L+CHD+DY
B3-S001	f83r	B3	An der oberen offenen Faecherstation: Laenger an der Sammelstelle halten und den Schritt schliessen.	EE+SOLK+DY
B3-S002	f83r	B3	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	OT+AL+EE+CHK+DY
B3-S003	f83r	B3	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	Y+AIIN+L+CHD+DY
B3-S004	f83r	B3	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	AIIN+OK+OT+AL+AR
B3-S005	f83r	B3	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.	CHD+DY
B3-S006	f83r	B3	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	Y+CHD+AL+OK+OL+CHD+DY
B3-S007	f83r	B3	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	AIIN+OK+Y+CHD+EE+OK+DY
B3-S008	f83r	B3	Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen.	L+CHD+DY
B3-S009	f83r	B3	Am runden Mittelgefaess: Den laufenden Posten ansetzen.	Y+OK
B3-S010	f83r	B3	Am unteren Korbgefaess: An der Zielstelle fuellen und umsetzen; danach den kurzen Folgeschritt schliessen.	AL+P+CHD+OT+E+DY
B3-S011	f83r	B3	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	E+CTH+Y+SH+CHD+OK+CHD+AR
B3-S012	f83r	B3	Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen.	OR+SHED+DY
B3-S013	f83r	B3	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	AIIN+OK+AIN+K+E+Y+CTH+E+OK+DY
B3-S014	f83r	B3	Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen.	AIR+OK+EE+SH+DY
B3-S015	f83r	B3	Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen.	L+CHD+DY
B3-S016	f83r	B3	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.	O+L+OK+CHD+DY
B3-S017	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.	EE+OK+DY
B3-S018	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen.	SHED+DY
B3-S019	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.	E+OK+SH+DY
B3-S020	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.	AL+L+CHD+DY
B3-S021	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	AIIN+OK+Y+CTH+AL+AIIN+SHED+E+CTH+SH+Y+AL+CTH+CHD+DY
B3-S022	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.	OT+CHD+DY
B3-S023	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.	L+CHD+DY
B3-S024	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.	CHD+DY
B3-S025	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.	OK+CHD+DY
B3-S026	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.	EE+AR+AIIN+L+Y+CHD+AIN+OK+CTH+OR+AL+R+EE+SOLK+DY
B3-S027	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.	OT+EE+DY
B3-S028	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	EE+Y+OK+E+OK+DY
B3-S029	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann vollstaendig den laufenden Posten anwenden; dann kurz ansetzen; den Schritt schliessen.	OL+EEE+Y+T+E+OK+DY
B3-S030	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.	Y+AIIN+OK+AIR+CHD+OT+CHD+DY
B3-S031	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.	EE+OK+DY
B3-S032	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	AIN+Y+CHD+OT+E+AIIN+OT+AIIN+E+DY
B3-S033	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.	L+DY
B3-S034	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereitet halten und anwenden; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.	O+IIN+Y+CTH+T+OT+AIIN+AL+OL+SHED+DY
B4-S001	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.	EE+OK+DY
B4-S002	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	Y+OL+EE+OK+E+OK+DY
B4-S003	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, absetzen und schliessen.	Y+CHD+OT+AL+OT+Y+EE+OK+OL+OK+OL+SHED+DY
B4-S004	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.	Y+OK+LD+DY
B4-S005	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	AIN+Y+CHD+EE+OK+DY
B4-S006	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	E+CKH+SH+DY
B4-S007	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	E+CKH+SH+DY
B4-S008	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	AIIN+Y+EE+CHK+EE+SH+E+OK+DY
B4-S009	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen.	SHED+DY
B4-S010	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.	OL+DY
B4-S011	f83r	B4	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	AIIN+Y+E+CHK+EE+OL+OK+AIN+OK+Y+CHD+OL+E+L+K+DY
B4-S012	f83r	B4	An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen.	L+CHD+DY
B4-S013	f83r	B4	An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.	OL+OK+SHED+DY
B4-S014	f83r	B4	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	OR+Y+E+O+CKH+AIR+Y+DY
B4-S015	f83r	B4	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.	AIN+OK+Y+EE+SH+AIN+K+CKH+AL+CH+E+SOLK+L+CHD+DY
B4-S016	f83r	B4	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, absetzen lassen und schliessen.	AIN+OL+K+AL+AR+SHED+DY
B5-S001	f83r	B5	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.	OT+CHD+DY
B5-S002	f83r	B5	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.	OK+CHD+DY
B5-S003	f83r	B5	An der linken offenen Nebenstation: An der Zielstelle absetzen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.	AL+SHED+OL+L+OL+AL+CHD+AIIN+OL+DA+IIN+Y+CHD
B6-S001	f83r	B6	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	Y+EE+SOLK+E+K+AL+R+AIIN+OL+AIN+OR+AL+L
