statement_id	y_packer_output	after_small_phrases	after_bound_exemplar	copied_y	small_rule_count	small_rule_ids	bound_exemplar
H5-S004	OK+Y | OK+CH+E+O | K+AL	OK+Y | OK+CH+E+O | K+AL	OK+Y | OK+CH+E+O | K+AL	0	0	NONE	NONE
H5-S005	HO | OK+Y | K+HO+AR | OT+O+AIN	HO | OK+Y | K+HO+AR | OT+O+AIN	HO | OK+Y | K+HO+AR | OT+O+AIN	0	0	NONE	NONE
H5-S006	OT+Y | K+E+OL | AIIN	OT+Y | K+E+OL | AIIN	OT+Y | K+E+OL | AIIN	0	0	NONE	NONE
B1-S001	OK+E+DY	OK+E+DY	OK+E+DY	0	0	NONE	NONE
B1-S002	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | CKH+Y | CHD+DY	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | CKH+Y | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	1	0	NONE	EXEMPLAR_B1-S002
B1-S003	OL | SH+K+CHD+DY	OL | SH+K+CHD+DY	OL | SH+K+CHD+DY	0	0	NONE	NONE
B1-S004	CHD+Y | OL | SHED+DY	CHD+Y | OL | SHED+DY	CHD+Y | OL | SHED+DY	0	0	NONE	NONE
B1-S005	OL+CHD+DY	OL+CHD+DY	OL+CHD+DY	0	0	NONE	NONE
B1-S006	OK+AIN | L+CKH+Y | R+AL	OK+AIN | CKH+Y | L | R+AL	OK+AIN | CKH+Y | L | R+AL	0	1	P755:R1_SPLIT_PASSAGE_AND_TRANSFER	NONE
B1-S007	OK+CHD+DY	OK+CHD+DY	OK+CHD+DY	0	0	NONE	NONE
B1-S008	OL+Y | CHK+E+Y | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	1	1	P752:R2_CURRENT_ITEM_CONTINUATION_CADENCE	NONE
B1-S009	OK+E+DY	OK+E+DY	OK+E+DY	0	0	NONE	NONE
B1-S010	OK+E+DY	OK+E+DY	OK+E+DY	0	0	NONE	NONE
B1-S011	CKH+Y | OK+Y	CKH+Y | OK+Y	CKH+Y | OK+Y	1	0	NONE	NONE
B1-S012	LSH+O | OK+E+Y | LSH+E+DY	LSH+O | OK+E+Y | LSH+E+DY	LSH+O | OK+E+Y | LSH+E+DY	0	0	NONE	NONE
B1-S013	LSH+E+DY	LSH+E+DY	LSH+E+DY	0	0	NONE	NONE
B1-S014	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	1	0	NONE	NONE
B1-S015	E+T+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	0	1	P754:R3_USE_ATTESTED_T_E_Y_ORDER	NONE
B1-S016	OK+AL | OK+EE+Y | OL | SHED+DY	OK+AL | OK+EE+Y | OL | SHED+DY	OK+AL | OK+EE+Y | OL | SHED+DY	0	0	NONE	NONE
B1-S017	AL | E+OL | CHD+DY	AL | E+OL | CHD+DY	AL | E+OL | CHD+DY	0	0	NONE	NONE
B1-S018	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	0	0	NONE	NONE
B1-S019	SHED+DY	SHED+DY	SHED+DY	0	0	NONE	NONE
B1-S020	CHK+E+Y | SH+CKH+E+DY	CHK+E+Y | SH+CKH+E+DY	CHK+E+Y | SH+CKH+E+DY	0	0	NONE	NONE
B1-S021	AL	AL	AL	0	0	NONE	NONE
B2-S001	CHD+DY	CHD+DY	CHD+DY	0	0	NONE	NONE
B2-S002	OL+CHD+DY	OL+CHD+DY	OL+CHD+DY	0	0	NONE	NONE
B2-S003	OK+AIN | Y | OK+EE+DY	OK+AIN | Y | OK+EE+DY	OK+AIN | Y | OK+EE+DY	0	0	NONE	NONE
B2-S004	OK+AL | CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	1	1	P754:R4_PACK_L_WITH_PASSAGE_ITEM	NONE
B2-S005	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	2	1	P754:R5_REPEAT_MEASURED_ACTIVATION	NONE
B2-S006	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	2	0	NONE	NONE
B2-S007	SH+E+DY	SH+E+DY	SH+E+DY	0	0	NONE	NONE
B2-S008	OT+AIIN | OK+AR | SHED+DY	OT+AIIN | OK+AR | SHED+DY	OT+AIIN | OK+AR | SHED+DY	0	0	NONE	NONE
B2-S009	OL+SH+E+DY	OL+SH+E+DY	OL+SH+E+DY	0	0	NONE	NONE
B2-S010	OK+EE+Y | OK+EE+OL | SH	OK+EE+Y | OK+Y | OL | SH+EE+Y	OK+EE+Y | OK+Y | OL | SH+EE+Y	0	1	P748:R2_STAGED_ACTIVATION_BEFORE_HOLD	NONE
B2-S011	OK+AIN | AR | OK+AIN | OK+EE+DY	OK+AIN | AR | OK+AIN | OK+EE+DY	OK+AIN | AR | OK+AIN | OK+EE+DY	0	0	NONE	NONE
B2-S012	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	4	1	P751:R2_MEASURED_ITEM_BEFORE_FULL_CLOSE	NONE
B2-S013	L+CHD+DY	L+CHD+DY	L+CHD+DY	0	0	NONE	NONE
B2-S014	L+AR	L+AR	L+AR	0	0	NONE	NONE
B2-S015	SH+E+Y | OK+EE+DY	SH+E+Y | OK+EE+DY	SH+E+Y | OK+EE+DY	0	0	NONE	NONE
B2-S016	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	1	1	P754:R6_PACK_OK_WITH_MEASURE	NONE
B2-S017	R+SH+E+AL | AL+DY	R+SH+E+AL | AL+DY	R+SH+E+AL | AL+DY	0	0	NONE	NONE
B2-S018	OK+EE+DY	OK+EE+DY	OK+EE+DY	0	0	NONE	NONE
B2-S019	R+SHED+DY	R+SHED+DY	R+SHED+DY	0	0	NONE	NONE
B2-S020	OT+EE+DY	OT+EE+DY	OT+EE+DY	0	0	NONE	NONE
B2-S021	OK+EE+DY	OK+EE+DY	OK+EE+DY	0	0	NONE	NONE
B2-S022	L+O+CHD+DY	L+O+CHD+DY	L+O+CHD+DY	0	0	NONE	NONE
B3-S001	SOLK+EE+DY	SOLK+EE+DY	SOLK+EE+DY	0	0	NONE	NONE
B3-S002	OT+AL | CHK+EE+DY	OT+AL | CHK+EE+DY	OT+AL | CHK+EE+DY	0	0	NONE	NONE
B3-S003	Y | AIIN | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	0	1	P748:R1_MEASURED_ITEM_BEFORE_CLOSED_TRANSFER	NONE
B3-S004	OK+AIIN | OT+AL | AR	OK+AIIN | OT+AL | AR	OK+AIIN | OT+AL | AR	0	0	NONE	NONE
B3-S005	CHD+DY	CHD+DY	CHD+DY	0	0	NONE	NONE
B3-S006	CHD+Y | OK+AL | OL+CHD+DY	CHD+Y | OK+AL | OL+CHD+DY	CHD+Y | OK+AL | OL+CHD+DY	0	0	NONE	NONE
B3-S007	OK+AIIN | CHD+Y | OK+EE+DY	OK+AIIN | CHD+Y | OK+EE+DY	OK+AIIN | CHD+Y | OK+EE+DY	0	0	NONE	NONE
B3-S008	L+CHD+DY	L+CHD+DY	L+CHD+DY	0	0	NONE	NONE
B3-S009	OK+Y	OK+Y	OK+Y	0	0	NONE	NONE
B3-S010	P+CHD+AL | OT+E+DY	P+CHD+AL | OT+E+DY	P+CHD+AL | OT+E+DY	0	0	NONE	NONE
B3-S011	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	2	1	P754:R7_PACK_SOURCE_WITH_ITEM	NONE
B3-S012	OR | SHED+DY	OR | SHED+DY	OR | SHED+DY	0	0	NONE	NONE
B3-S013	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	0	0	NONE	NONE
B3-S014	OK+AIR | SH+EE+DY	OK+AIR | SH+EE+DY	OK+AIR | SH+EE+DY	0	0	NONE	NONE
B3-S015	L+CHD+DY	L+CHD+DY	L+CHD+DY	0	0	NONE	NONE
B3-S016	L+O | OK+CHD+DY	L+O | OK+CHD+DY	L+O | OK+CHD+DY	0	0	NONE	NONE
B3-S017	OK+EE+DY	OK+EE+DY	OK+EE+DY	0	0	NONE	NONE
B3-S018	SHED+DY	SHED+DY	SHED+DY	0	0	NONE	NONE
B3-S019	OK+SH+E+DY	OK+SH+E+DY	OK+SH+E+DY	0	0	NONE	NONE
B3-S020	AL | L+CHD+DY	AL | L+CHD+DY	AL | L+CHD+DY	0	0	NONE	NONE
B3-S021	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | CTH+Y | CHD+DY	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | CTH+Y | CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	1	0	NONE	EXEMPLAR_B3-S021
B3-S022	OT+CHD+DY	OT+CHD+DY	OT+CHD+DY	0	0	NONE	NONE
B3-S023	L+CHD+DY	L+CHD+DY	L+CHD+DY	0	0	NONE	NONE
B3-S024	CHD+DY	CHD+DY	CHD+DY	0	0	NONE	NONE
B3-S025	OK+CHD+DY	OK+CHD+DY	OK+CHD+DY	0	0	NONE	NONE
B3-S026	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	1	0	NONE	NONE
B3-S027	OT+EE+DY	OT+EE+DY	OT+EE+DY	0	0	NONE	NONE
B3-S028	OK+EE+Y | OK+E+DY	OK+EE+Y | OK+E+DY	OK+EE+Y | OK+E+DY	0	0	NONE	NONE
B3-S029	OL | EEE+T+Y | OK+E+DY	OL | EEE+T+Y | OK+E+DY	OL | EEE+T+Y | OK+E+DY	0	0	NONE	NONE
B3-S030	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	0	1	P751:R3_ACTIVATE_THEN_MEASURE_BEFORE_WATER_TRANSFER	NONE
B3-S031	OK+EE+DY	OK+EE+DY	OK+EE+DY	0	0	NONE	NONE
B3-S032	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	0	1	P756:R3_ORDERED_TRANSFER_MEASURE_CLOSE	NONE
B3-S033	L+DY	L+DY	L+DY	0	0	NONE	NONE
B3-S034	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	2	0	NONE	NONE
B4-S001	OK+EE+DY	OK+EE+DY	OK+EE+DY	0	0	NONE	NONE
B4-S002	Y | OK+EE+OL | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	0	1	P755:R2_REDISTRIBUTE_CONTINUATION_AND_ACTIVE_ITEM	NONE
B4-S003	CHD+Y | OT+AL | OT+EE+Y | OK+OL | OK+OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	0	1	P748:R3_STAGED_ACTIVATION_AFTER_NEXT_TARGET	NONE
B4-S004	OK+Y+LD+DY	OK+Y+LD+DY	OK+Y+LD+DY	0	0	NONE	NONE
B4-S005	AIN | CHD+Y | OK+EE+DY	AIN | CHD+Y | OK+EE+DY	AIN | CHD+Y | OK+EE+DY	0	0	NONE	NONE
B4-S006	SH+CKH+E+DY	SH+CKH+E+DY	SH+CKH+E+DY	0	0	NONE	NONE
B4-S007	SH+CKH+E+DY	SH+CKH+E+DY	SH+CKH+E+DY	0	0	NONE	NONE
B4-S008	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	1	0	NONE	NONE
B4-S009	SHED+DY	SHED+DY	SHED+DY	0	0	NONE	NONE
B4-S010	OL+DY	OL+DY	OL+DY	0	0	NONE	NONE
B4-S011	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	0	0	NONE	NONE
B4-S012	L+CHD+DY	L+CHD+DY	L+CHD+DY	0	0	NONE	NONE
B4-S013	OK+OL | SHED+DY	OK+OL | SHED+DY	OK+OL | SHED+DY	0	0	NONE	NONE
B4-S014	OR | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	0	1	P750:R3_PREPARATION_BEFORE_PASSAGE	NONE
B4-S015	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	1	0	NONE	NONE
B4-S016	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	0	1	P752:R3_PORTION_TARGET_SOURCE_BRIDGE	NONE
B5-S001	OT+CHD+DY	OT+CHD+DY	OT+CHD+DY	0	0	NONE	NONE
B5-S002	OK+CHD+DY	OK+CHD+DY	OK+CHD+DY	0	0	NONE	NONE
B5-S003	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	0	1	P752:R4_TARGET_CONTINUATION_BEFORE_TRANSFER	NONE
B6-S001	SOLK+EE+Y | K+E+Y | R+AL | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | K+E+Y | R+AL | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	1	0	NONE	EXEMPLAR_B6-S001
