surface	literal_gloss_de	positions	loci	pages	action_licensed_positions	specificity_open_positions	strict_card_debt_positions	strict_debt_categories	maximum_severity	strict_severity	anchor_drift_positions	priority_score	primary_classes	identity_signals	repair_routes	sample_keys	priority_rank
al	Rohstoffklasse I	3	3	3	0	3	3	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	6	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3	NONE	INGREDIENT_IDENTITY_SEARCH	f106r.23#4|f114v.36#9|f86v6.31#7	11
dain	Grad-/Maßwert II	3	2	2	0	3	3	VALUE_DIMENSION_OPEN	MAJOR	MAJOR	0	6	C3_VALUE_WITHOUT_AXIS_OR_OBJECT:3	NONE	VALUE_AXIS_BINDING	f112v.10#1|f116r.12#5|f116r.12#11	12
oror	zwei Portionen	3	3	3	0	3	3	QUANTITY_OR_UNIT_WITHOUT_HEAD	MAJOR	MAJOR	0	6	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3	NONE	INGREDIENT_IDENTITY_SEARCH	f102v2.3#1|f112v.10#4|f113v.12#5	13
shor	Blüten-/Fruchtstand; reproduktiver Teil	3	3	3	0	0	3	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	6	A2_IDENTITY_BEARING_ENTITY:3	IDENTITY_FLOWER_FRUIT	NONE	f7r.2#4|f86v5.2#6|f86v6.4#3	14
qodaiin	Qualitätsgrad III	1	1	1	0	1	1	VALUE_DIMENSION_OPEN	MAJOR	MAJOR	1	6	C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1	NONE	VALUE_AXIS_BINDING	f86v3.13#5	15
dchey	eine Dosis bis zur Mittelstufe trocknen und abschließen	10	10	10	9	1	0	NONE	CRITICAL	NONE	1	4	A1_LICENSED_OPERATION:9|D4_UNLICENSED_LITERAL_ACTION:1	NONE	ACTION_SCOPE_REVIEW	f107r.2#1|f10r.2#1|f115r.23#1|f24v.15#1|f26r.2#1|f27r.9#1|f30r.9#1|f86v3.19#1	16
chal	Rohstoffklasse I, trocken am Gradanfang	2	2	2	0	2	2	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	4	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f107r.40#4|f75r.3#2	17
chepy	Trockenpulver in Grundform	2	2	2	0	0	2	OPAQUE_FORM_CODE	NONE	MAJOR	0	4	A2_IDENTITY_BEARING_ENTITY:2	IDENTITY_POWDER	NONE	f86v5.4#7|f86v6.31#2	18
chor	Pflanzen-/Reproduktionsteil	2	2	2	0	0	2	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	4	A2_IDENTITY_BEARING_ENTITY:2	IDENTITY_FLOWER_FRUIT	NONE	f114r.24#3|f30r.9#6	19
qoekol	heißen Drogenstoff der Mittelstufe zugeben	2	1	1	2	2	2	GENERIC_DRUG_HEAD	MAJOR	MAJOR	0	4	B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:2	NONE	OBJECT_IDENTITY_BINDING	f88r.19#4|f88r.19#5	20
shdal	feuchte abgemessene Rohstoffmenge I am Gradanfang	2	2	2	0	2	2	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	4	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	NONE	INGREDIENT_IDENTITY_SEARCH	f77v.7#9|f86v6.4#7	21
keo	Ansatz auf mittlerer Heizstufe	1	1	1	0	1	0	NONE	MAJOR	NONE	1	4	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f7r.2#2	22
ls	eine Charge Holzdroge	1	1	1	0	0	0	NONE	NONE	NONE	1	4	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f26r.2#9	23
r	Wurzel	1	1	1	0	0	0	NONE	NONE	NONE	1	4	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_ROOT	NONE	f7r.2#3	24
qochedain	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	1	1	1	1	1	1	GENERIC_CARRIER	MAJOR	CRITICAL	0	3	B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1	NONE	OBJECT_IDENTITY_BINDING	f115r.1#3	25
qotain	kalt im qo-Rahmen, Grad II	1	1	1	0	1	1	STRUCTURAL_META_CARD	MAJOR	CRITICAL	0	3	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f107r.2#10	26
sheeey	vollständig eingeweichtes Gut der Schlussstufe	1	1	1	0	1	1	GENERIC_CARRIER	CRITICAL	CRITICAL	0	3	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f86v5.4#3	27
shol	feucht; nominal feuchtes Gut/Material	1	1	1	0	1	1	GENERIC_CARRIER	CRITICAL	CRITICAL	0	3	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f86v3.18#5	28
tol	kalt; nominal kaltes Gut/Material	1	1	1	0	1	1	GENERIC_CARRIER	CRITICAL	CRITICAL	0	3	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f80v.35#1	29
y	Eintrag abgeschlossen	1	1	1	0	1	1	STRUCTURAL_META_CARD	CRITICAL	CRITICAL	0	3	D2_STRUCTURAL_OR_REGISTER_META:1	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f56r.6#6	30
ychedy	Eintrag: getrocknete Droge, fertig	1	1	1	0	1	1	STRUCTURAL_META_CARD	CRITICAL	CRITICAL	0	3	D2_STRUCTURAL_OR_REGISTER_META:1	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f106r.23#1	31
yey	hieran anschließend	1	1	1	0	1	1	STRUCTURAL_META_CARD	CRITICAL	CRITICAL	0	3	D2_STRUCTURAL_OR_REGISTER_META:1	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f105r.2#2	32
yteody	Eintrag/Bezug: kalte Zubereitung, abgeschlossen	1	1	1	0	1	1	STRUCTURAL_META_CARD	CRITICAL	CRITICAL	0	3	D2_STRUCTURAL_OR_REGISTER_META:1	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f86v5.2#2	33
aiiin	Menge-/Klassenwert IV	1	1	1	0	1	1	VALUE_DIMENSION_OPEN	MAJOR	MAJOR	0	2	C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1	NONE	VALUE_AXIS_BINDING	f105v.14#6	34
am	Maßeinheit I	1	1	1	0	1	1	QUANTITY_OR_UNIT_WITHOUT_HEAD	MAJOR	MAJOR	0	2	C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1	NONE	VALUE_AXIS_BINDING	f86v5.4#11	35
checthedy	Blatt- oder Krautdroge in zwei mäßigen Trockengängen fertigstellen	1	1	1	1	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A1_LICENSED_OPERATION:1	IDENTITY_LEAF_HERB	NONE	f26r.2#8	36
checthy	trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut	1	1	1	0	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_LEAF_HERB	NONE	f115r.23#7	37
cheol	trockener Drogenstoff	1	1	1	0	1	1	GENERIC_DRUG_HEAD	CRITICAL	MAJOR	0	2	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f88r.19#8	38
ches	trockenes Drogenmaterial, Mittelstufe	1	1	1	0	1	1	GENERIC_DRUG_HEAD	CRITICAL	MAJOR	0	2	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f105r.2#7	39
cholches	nachgetrocknetes Drogenmaterial, Mittelstufe	1	1	1	0	1	1	GENERIC_DRUG_HEAD	CRITICAL	MAJOR	0	2	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f116r.12#3	40
chpcheey	nachgetrocknetes Pulver, Form II	1	1	1	0	0	1	OPAQUE_FORM_CODE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER	NONE	f114r.24#4	41
chs	Trockengut, Grundform	1	1	1	0	1	1	OPAQUE_FORM_CODE	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f77v.7#8	42
ckhol	Drogenstoff aus Arzneikompositum	1	1	1	0	1	1	GENERIC_DRUG_HEAD	CRITICAL	MAJOR	0	2	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f8r.15#2	43
cphy	Arzneikompositum in Grundform	1	1	1	0	1	1	OPAQUE_FORM_CODE	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.24#12	44
cthoor	eine Portion Blatt- oder Krautansatz	1	1	1	0	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_LEAF_HERB	NONE	f10r.2#2	45
cthororaiin	drei Portionen Blatt- oder Krautdroge	1	1	1	0	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_LEAF_HERB	NONE	f113v.17#6	46
da	eine Teilmenge abmessen	1	1	1	1	0	1	QUANTITY_OR_UNIT_WITHOUT_HEAD	NONE	MAJOR	0	2	A1_LICENSED_OPERATION:1	NONE	NONE	f80r.17#13	47
daiin	Qualitätsgrad III	1	1	1	0	1	1	VALUE_DIMENSION_OPEN	MAJOR	MAJOR	0	2	C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1	NONE	VALUE_AXIS_BINDING	f88r.19#3	48
dal	abgemessene Rohstoffmenge I	1	1	1	0	1	1	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f80v.27#6	49
dol	Materialmaß	1	1	1	0	1	1	QUANTITY_OR_UNIT_WITHOUT_HEAD	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f8r.15#8	50
dold	Drogenstoff abmessen und abschließen	1	1	1	1	1	1	GENERIC_DRUG_HEAD	MAJOR	MAJOR	0	2	B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1	NONE	OBJECT_IDENTITY_BINDING	f7r.2#5	51
dolkain	abgemessenes heißes Drogenmaterial, Stufe II	1	1	1	0	1	1	GENERIC_DRUG_HEAD	CRITICAL	MAJOR	0	2	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f95v1.7#10	52
dshees	Dosis oder Charge vollständig eingeweichter Arzneispecies	1	1	1	0	1	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105r.2#1	53
dshor	abgemessene Blüten-/Fruchtdroge	1	1	1	0	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_FLOWER_FRUIT	NONE	f86v6.4#1	54
fchoky	heiß-trockene Blütenzubereitung in Grundform	1	1	1	0	0	1	OPAQUE_FORM_CODE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_FLOWER_FRUIT	NONE	f105r.31#13	55
kal	Rohstoffklasse I, heiß am Gradanfang	1	1	1	0	1	1	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114v.36#10	56
lcheey	Drogenholz, trocken gebunden, Form II	1	1	1	0	0	1	OPAQUE_FORM_CODE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f113v.17#3	57
oidal	abgemessene Rohstoffmenge I im Ansatz, Grundform	1	1	1	0	1	1	OPAQUE_FORM_CODE|RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114v.36#2	58
okiin	erhitzter Ansatz, Form III	1	1	1	0	1	1	OPAQUE_FORM_CODE	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f80v.35#8	59
olal	Ansatz aus Holzrohstoff, Form I	1	1	1	0	0	1	OPAQUE_FORM_CODE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f83v.12#11	60
olchdy	Drogenstoff trocknen und fertigstellen	1	1	1	1	1	1	GENERIC_DRUG_HEAD	MAJOR	MAJOR	0	2	B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1	NONE	OBJECT_IDENTITY_BINDING	f116r.12#9	61
olkchdy	heiß-trocken aufbereitetes Drogenmaterial	1	1	1	0	1	1	GENERIC_DRUG_HEAD	CRITICAL	MAJOR	0	2	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f86v6.31#5	62
olpcheey	trocken gebundenes Holzdrogenpulver, Form II	1	1	1	0	0	1	OPAQUE_FORM_CODE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER|IDENTITY_WOOD	NONE	f105v.1#3	63
opchey	Trockenpulver-Ansatz, Form I	1	1	1	0	0	1	OPAQUE_FORM_CODE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER	NONE	f86v6.5#10	64
otal	Rohstoffklasse I im Ansatz, kalt am Gradanfang	1	1	1	0	1	1	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f116r.12#10	65
qoal	Rohstoffklasse I	1	1	1	0	1	1	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f83v.12#6	66
qockhol	Drogenstoff aus Arzneikompositum zugeben	1	1	1	1	1	1	GENERIC_DRUG_HEAD	MAJOR	MAJOR	0	2	B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1	NONE	OBJECT_IDENTITY_BINDING	f88r.19#6	67
qokal	Rohstoffklasse I, heiß am Gradanfang	1	1	1	0	1	1	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f80r.17#12	68
qolky	leicht erhitzten Drogenstoff hinzugeben	1	1	1	1	1	1	GENERIC_DRUG_HEAD	MAJOR	MAJOR	0	2	B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1	NONE	OBJECT_IDENTITY_BINDING	f77v.7#11	69
qolsheedy	vollständig eingeweichten und fertigen Drogenstoff zugeben	1	1	1	1	1	1	GENERIC_DRUG_HEAD	MAJOR	MAJOR	0	2	B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1	NONE	OBJECT_IDENTITY_BINDING	f77v.7#2	70
raiin	Wurzel, Typ/Charge III	1	1	1	0	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_ROOT	NONE	f105r.2#4	71
ram	Wurzel/Wurzeldroge: Maß-/Einheitsform I	1	1	1	0	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_ROOT	NONE	f114v.36#11	72
sain	Saatgut, Typ/Charge II	1	1	1	0	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f112r.36#1	73
shal	Rohstoffklasse I, feucht am Gradanfang	1	1	1	0	1	1	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f80v.27#9	74
shedal	feuchte abgemessene Rohstoffmenge I in der Gradmitte	1	1	1	0	1	1	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f76v.10#2	75
shkeol	eingeweichter Drogenstoff, bis Mittelstufe erhitzt	1	1	1	0	1	1	GENERIC_DRUG_HEAD	CRITICAL	MAJOR	0	2	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f80r.17#4	76
shoral	Blüten- oder Frucht-Rohdroge I	1	1	1	0	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_FLOWER_FRUIT	NONE	f85r2.5#3	77
solchedy	getrockneter Samen/Saatgutstoff/-ansatz	1	1	1	0	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	NONE	MAJOR	0	2	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f113v.12#1	78
tal	Rohstoffklasse I, kalt am Gradanfang	1	1	1	0	1	1	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v5.2#8	79
tolg	ein Gran kalten Drogenmaterials	1	1	1	0	1	1	GENERIC_DRUG_HEAD	MAJOR	MAJOR	0	2	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f27r.9#7	80
tshol	kalt eingeweichter Drogenstoff	1	1	1	0	1	1	GENERIC_DRUG_HEAD	CRITICAL	MAJOR	0	2	D3_GENERIC_CARRIER:1	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f23r.6#1	81
ytol	kühle hiervon den Drogenstoff ab	1	1	1	1	1	1	GENERIC_DRUG_HEAD	MAJOR	MAJOR	0	2	B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1	NONE	OBJECT_IDENTITY_BINDING	f86v5.2#10	82
qokaiin	heiß, Grad III	7	7	6	0	7	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:7	NONE	STATE_HOST_BINDING	f105r.31#11|f107r.40#3|f114r.26#3|f23r.6#4|f77r.38#4|f86v6.25#9|f86v6.31#3	83
qokar	heiße Drogenfraktion I	6	5	4	0	6	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:6	NONE	INGREDIENT_IDENTITY_SEARCH	f80r.17#5|f86v5.2#3|f86v5.2#5|f86v6.25#2|f86v6.5#9|f95v1.7#3	84
chedy	trocken in der Mitte des Grades, abgeschlossen	5	5	5	0	5	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:5	NONE	STATE_HOST_BINDING	f105r.31#10|f115r.23#11|f26r.2#5|f77v.7#10|f86v3.13#9	85
cheey	trocken am Ende des Grades	5	4	4	0	5	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:5	NONE	STATE_HOST_BINDING	f105r.2#3|f105r.2#9|f116r.12#6|f49r.16#2|f83v.12#5	86
dar	abgemessene Fraktion I	5	5	5	0	5	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:5	NONE	INGREDIENT_IDENTITY_SEARCH	f106r.23#9|f23r.6#6|f86v3.19#9|f86v5.4#9|f86v6.31#8	87
kain	heiß, Grad II	5	4	3	0	5	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:5	NONE	STATE_HOST_BINDING	f75r.3#5|f80v.27#2|f80v.35#7|f80v.35#10|f95v1.7#2	88
ol	Grundansatz	5	5	5	0	5	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:5	NONE	INGREDIENT_IDENTITY_SEARCH	f112r.36#2|f80r.17#8|f80v.35#9|f86v5.2#9|f86v6.4#4	89
qokain	heiß, Grad II	5	5	5	0	5	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:5	NONE	STATE_HOST_BINDING	f113v.3#5|f75r.3#1|f80v.27#5|f83v.12#10|f86v3.13#4	90
shedy	feucht in der Mitte des Grades, abgeschlossen	5	4	4	0	5	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:5	NONE	STATE_HOST_BINDING	f107r.2#4|f113v.17#2|f76v.10#5|f77r.38#2|f77r.38#8	91
dchey	abgemessene Trockendroge der Mittelstufe, abgeschlossen	4	4	4	0	4	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:4	NONE	INGREDIENT_IDENTITY_SEARCH	f23r.6#8|f49r.16#3|f56r.6#3|f7r.2#6	92
qopchol	nimm getrockneten Pulverstoff	4	4	4	4	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:4	IDENTITY_POWDER	NONE	f114v.36#6|f115r.1#2|f86v3.18#4|f86v5.2#7	93
cheody	getrockneter Ansatz	3	3	3	0	3	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3	NONE	INGREDIENT_IDENTITY_SEARCH	f105r.2#12|f114r.26#8|f7r.2#9	94
chey	trocken in der Mitte des Grades	3	3	2	0	3	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:3	NONE	STATE_HOST_BINDING	f107r.2#11|f107r.40#2|f8r.15#4	95
chy	trocken am Anfang des Grades	3	3	3	0	3	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:3	NONE	STATE_HOST_BINDING	f27r.9#6|f8r.15#6|f95v1.7#5	96
dair	abgemessene Fraktion II	3	3	3	0	3	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3	NONE	INGREDIENT_IDENTITY_SEARCH	f106r.23#3|f114r.24#13|f86v6.31#1	97
okaiin	heiß, Grad III, im Ansatzrahmen	3	3	3	0	3	0	NONE	CRITICAL	NONE	0	0	D2_STRUCTURAL_OR_REGISTER_META:3	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f107r.40#6|f113v.17#5|f114r.26#7	98
okain	heiß im Zubereitungsrahmen, Grad II	3	3	3	0	3	0	NONE	CRITICAL	NONE	0	0	D2_STRUCTURAL_OR_REGISTER_META:3	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f116r.12#4|f80r.17#10|f80v.27#8	99
otaiin	kalt im Zubereitungsrahmen, Grad III	3	2	2	0	3	0	NONE	CRITICAL	NONE	0	0	D2_STRUCTURAL_OR_REGISTER_META:3	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f104v.2#4|f86v5.24#7|f86v5.24#9	100
sheky	bis zur Mittelstufe einweichen, erhitzen und abschließen	3	1	1	3	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:3	NONE	NONE	f80r.17#3|f80r.17#6|f80r.17#11	101
