page	locus	section	language	hand	line_mode	token_count	licensed_action_positions	identity_positions	specificity_open_positions	strict_card_debt_positions	critical_positions	major_positions	specificity_points	licensed_operation_signals	licensed_practical_operation_labels	practical_operation_labels	extra_practical_operation_labels	extra_practical_operation_count	anchor_drift_count	class_counts	practical_translation_de
f112r	f112r.36	S	B	3	QUANTITY_LABEL	6	0	3	4	2	1	3	14	NONE	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:2|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3|D1_UNRESOLVED_COMPONENT:1	Für Saatgut der Charge II: Grundansatz; trockenes Arzneikompositum auf Anfangsstufe; Holzdrogenansatz auf Trockenstufe II; heißer Ansatz auf Endstufe. Schlussmenge: ein Maß Ansatzmaterial.
f112v	f112v.10	S	B	3	QUANTITY_LABEL	4	0	0	4	2	0	4	6	NONE	NONE	NONE	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2|C2_STATE_WITHOUT_OBJECT:1|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1	Grad/Maß II · feucht, Endstufe · heiß-trockener Ansatz, Mittelstufe, abgeschlossen · zwei Portionen.
f113v	f113v.12	S	B	3	QUANTITY_LABEL	5	0	3	2	2	0	2	16	NONE	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:3|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	Getrockneter Saatgutansatz; kalt angefeuchteter Ansatz, abgeschlossen; erste Holzdrogenfraktion; bis zur Mittelstufe getrockneter Holzdrogenansatz — zwei Portionen.
f113v	f113v.17	S	B	3	MIXED_RECORD	7	1	4	3	3	2	1	17	ACT_COOL	abkühlen	abkühlen|abschließen|bringen|einweichen|zugeben	abschließen|bringen|einweichen|zugeben	4	0	A1_LICENSED_OPERATION:1|A2_IDENTITY_BEARING_ENTITY:3|C2_STATE_WITHOUT_OBJECT:1|D1_UNRESOLVED_COMPONENT:1|D2_STRUCTURAL_OR_REGISTER_META:1	Drei Teile der ersten Samenfraktion bis zur Mittelstufe einweichen und abschließen; dazu trocken gebundene Holzdroge in Form II und die erste erhitzte Drogenfraktion. Im Ansatz auf Heizstufe III bringen, drei Portionen Blatt- oder Krautdroge zugeben und hiervon eine Portion bis zur letzten Stufe abkühlen.
f113v	f113v.3	S	B	3	QUANTITY_LABEL	7	0	3	5	2	1	4	14	NONE	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:2|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2|C2_STATE_WITHOUT_OBJECT:1|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1|D1_UNRESOLVED_COMPONENT:1	Samenfraktion I, Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Ansatzes; Heizgrad II; Holzdrogen-Grundansatz; ein Maß Ansatzmaterial.
f114r	f114r.24	S	B	3	NOMINAL_REGISTER	13	0	4	9	3	0	9	33	NONE	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:4|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:8|C2_STATE_WITHOUT_OBJECT:1	Drei Dosen bis zur Mittelstufe kalt getrockneter Droge: abgemessene Rohdroge I und Pflanzenteil; nachgetrocknetes Pulver der Form II; ein bis zur Mittelstufe getrocknetes sowie ein auf Anfangsstufe angetrocknetes Arzneikompositum; eine Charge Trockenansatz der dritten Fraktion. Dazu kalt-trockener Anfangsansatz, eine Pulverzubereitung aus Trockenansatz mit Samenfraktion II, Arzneikompositum in Grundform und die zweite abgemessene Fraktion.
f114r	f114r.26	S	B	3	MIXED_RECORD	10	1	2	8	1	2	6	19	ACT_MEASURE	abmessen	abmessen|nehmen|verbinden|verwenden|zusammengeben	nehmen|verbinden|verwenden|zusammengeben	4	1	A1_LICENSED_OPERATION:1|A2_IDENTITY_BEARING_ENTITY:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:5|C2_STATE_WITHOUT_OBJECT:1|D1_UNRESOLVED_COMPONENT:1|D2_STRUCTURAL_OR_REGISTER_META:1	Hiervon drei Dosen des zweiten Trockenansatzes abmessen. Die dritte erhitzte Holzdrogenfraktion mit einer Zubereitung auf Heizstufe III, drei Dosen Trockenansatz und der ersten heißen Ansatzfraktion verbinden. Heiße Drogenbasis Stufe III und heißen Ansatz Stufe III zusammengeben, den getrockneten Ansatz als Grundansatz aus der zweiten Fraktion nehmen und davon ein Maß verwenden.
f114v	f114v.36	S	B	3	MIXED_RECORD	11	2	4	7	4	0	7	29	ACT_TAKE	nehmen	abschließen|nehmen|verbinden	abschließen|verbinden	2	0	A1_LICENSED_OPERATION:2|A2_IDENTITY_BEARING_ENTITY:2|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:6|C2_STATE_WITHOUT_OBJECT:1	Kalt-feuchten Mittelansatz mit einer abgemessenen Rohstoffmenge I in Grundform, einem Pulveransatz und einem erhitzten Feuchtansatz verbinden. Aus dem kalt-trockenen Mittelansatz getrockneten Pulverstoff und drei Teile Pulveransatz nehmen. Mit kalter Fraktion I, Rohdroge I und heiß angesetzter Rohdroge I abschließen; ein Maß Wurzeldroge.
f115r	f115r.1	S	B	@	ACTION_SEQUENCE	11	3	3	8	1	0	8	26	ACT_MEASURE|ACT_TAKE	abmessen|nehmen	abmessen|abteilen|nehmen	abteilen	1	0	A1_LICENSED_OPERATION:2|A2_IDENTITY_BEARING_ENTITY:1|B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:4|C2_STATE_WITHOUT_OBJECT:3	Die erste Blütenfraktion abmessen; getrockneten Pulverstoff nehmen und davon zwei Dosen bis zur Mittelstufe getrocknetes Gut abteilen. Danach: kalter Ansatz, auf Mittelstufe abgeschlossen; bis zur Mittelstufe getrockneter Pulverstoff; vollständig abgekühlt und abgeschlossen; eine Portion der dritten Ansatzfraktion; bis zur Mittelstufe getrockneter und fertiggestellter Ansatz; auf Kühlendstufe abgeschlossener Ansatz; kalt-trocken auf Mittelstufe abgeschlossen.
f115r	f115r.23	S	B	@	ACTION_SEQUENCE	13	3	4	6	1	0	6	35	ACT_DRY|ACT_FINISH|ACT_HEAT|ACT_PREPARE|ACT_SET	abschließen|bereiten|erhitzen|trocknen	abschließen|ansetzen|bereiten|erhitzen|führen|halten|trocknen	ansetzen|führen|halten	3	0	A1_LICENSED_OPERATION:3|A2_IDENTITY_BEARING_ENTITY:4|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1|C2_STATE_WITHOUT_OBJECT:5	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Am Heizende einen heißen Auszug bereiten und abschließen; den fertigen Trockenansatz erhitzen, trocknen und neu ansetzen. Saatgutposten und trockenes Blatt- oder Krautgut stark bis zur Endstufe III erhitzen. Das stark erhitzte Gut mit Holzstoff bis zur mittleren Trockenstufe führen, heiß-trocken abschließen und als fertig aufbereitete Holzdroge halten.
f116r	f116r.12	S	B	3	MIXED_RECORD	12	2	1	11	6	4	7	16	ACT_DRY|ACT_FINISH|ACT_TAKE	fertigstellen|nehmen|trocknen	bringen|fertigstellen|führen|nehmen|trocknen	bringen|führen	2	0	A1_LICENSED_OPERATION:1|B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3|C2_STATE_WITHOUT_OBJECT:1|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:2|D1_UNRESOLVED_COMPONENT:1|D2_STRUCTURAL_OR_REGISTER_META:2|D3_GENERIC_CARRIER:1	Den zweiten Ansatz nehmen: erste Drogenfraktion und nachgetrocknetes Drogenmaterial der Mittelstufe. Auf Heizgrad II bringen; Maß II. Bis zur Trocken-Endstufe, danach zur heißen Endstufe und anschließend auf Kühlgrad II führen. Den Drogenstoff trocknen und fertigstellen; Rohdroge I im kalten Anfangsansatz, Maß II, schließlich ein Maß Drogenmaterial.
f23r	f23r.6	H	A	1	MIXED_RECORD	12	3	1	10	2	3	7	21	ACT_HEAT|ACT_MEASURE	abmessen|erhitzen|herstellen	abmessen|herstellen|nehmen	nehmen	1	0	A1_LICENSED_OPERATION:2|B2_LICENSED_OPERATION_WITH_REGISTER_WRAPPER:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:4|C2_STATE_WITHOUT_OBJECT:1|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1|D2_STRUCTURAL_OR_REGISTER_META:1|D3_GENERIC_CARRIER:2	Kalt eingeweichten Drogenstoff nehmen. Hierzu eine heiße Drogenportion auf Stufe III leicht nachwärmen. Die erste Fraktion des heißen Ansatzstoffs abmessen; dazu bis Mittelstufe getrocknete Messdroge, drei abgemessene Mengen Rohdroge I und eine Dosis I. Hieraus einen Kalt-Trockenansatz herstellen und eine Charge Holzrohdroge I abmessen.
f24v	f24v.15	H	A	1	ACTION_SEQUENCE	4	1	0	3	0	0	3	10	ACT_DRY|ACT_FINISH	abschließen|trocknen	abmessen|abschließen|abziehen|fertigstellen|trocknen	abmessen|abziehen|fertigstellen	3	0	A1_LICENSED_OPERATION:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Den heiß-trockenen Ansatz abziehen, eine Dosis angetrocknete Rohdroge I abmessen und den Trockenansatz fertigstellen.
f26r	f26r.2	H	B	2	ACTION_SEQUENCE	9	3	3	5	3	2	3	20	ACT_COOL|ACT_FINISH|ACT_HEAT	abkühlen|abschließen|erhitzen|fertigstellen	abkühlen|abschließen|erhitzen|fertigstellen|trocknen	trocknen	1	3	A1_LICENSED_OPERATION:3|A2_IDENTITY_BEARING_ENTITY:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1|C2_STATE_WITHOUT_OBJECT:1|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1|D2_STRUCTURAL_OR_REGISTER_META:1|D4_UNLICENSED_LITERAL_ACTION:1	Abgemessene, bis zur Mittelstufe getrocknete und abgeschlossene Droge, Menge III; ein gleicher abgemessener Teil des vollständig fertiggestellten Ansatzes. Hieraus die Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen, anschließend bis Mitte trocknen und abschließen, dann hiervon bis Mitte abkühlen und fertigstellen. Den Posten schließen und die Krautdroge in zwei mäßigen Trockengängen fertigstellen; Wurzelholz.
f27r	f27r.9	H	A	1	MIXED_RECORD	7	1	0	6	2	1	5	13	ACT_DRY|ACT_FINISH	abschließen|trocknen	abschließen|abziehen|ansetzen|trocknen	abziehen|ansetzen	2	0	A1_LICENSED_OPERATION:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:4|C2_STATE_WITHOUT_OBJECT:1|D3_GENERIC_CARRIER:1	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Den vollständig erhitzten Ansatz abziehen und damit einen Feuchtansatz aus kalt bis zur Mittelstufe nachgetrockneter Droge ansetzen. Zum Trockengut im kalten Anfangsansatz, leicht getrocknet, ein Gran kalten Drogenmaterials geben.
f30r	f30r.9	H	A	1	ACTION_SEQUENCE	7	4	2	2	2	1	1	21	ACT_DRY|ACT_FINISH|ACT_HEAT|ACT_TAKE	abschließen|erhitzen|nehmen|trocknen	abschließen|bringen|erhitzen|nehmen|trocknen	bringen	1	0	A1_LICENSED_OPERATION:4|A2_IDENTITY_BEARING_ENTITY:1|C2_STATE_WITHOUT_OBJECT:1|D3_GENERIC_CARRIER:1	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Die erste Trockenfraktion des Trockenguts nehmen und vollständig auf Stufe III erhitzen. Die Krautdroge bis zur Mittelstufe trocknen, den Pflanzen- oder Blütenteil dazugeben und bis zur mittleren Trockenstufe bringen, dann leicht anwärmen.
f49r	f49r.16	H	A	1	ACTION_SEQUENCE	4	2	0	2	0	0	2	11	ACT_COOL|ACT_DRY|ACT_FINISH|ACT_SET|ACT_TAKE	ansetzen|fertigstellen|kühlen|nehmen|trocknen	ansetzen|fertigstellen|halten|kühlen|nehmen|trocknen	halten	1	0	A1_LICENSED_OPERATION:2|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1|C2_STATE_WITHOUT_OBJECT:1	Den Trockenansatz nehmen und bis zur Endstufe trocknen. Die abgemessene und auf Mittelstufe getrocknete Droge als fertiges Zwischenprodukt halten; anschließend kühlen, trocknen, erneut ansetzen und fertigstellen.
f56r	f56r.6	H	A	1	MIXED_RECORD	6	1	0	5	3	2	3	8	ACT_PREPARE	bereiten	bereiten	NONE	0	0	A1_LICENSED_OPERATION:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1|C2_STATE_WITHOUT_OBJECT:1|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1|D2_STRUCTURAL_OR_REGISTER_META:2	Hieraus einen heiß-trockenen Ansatz bereiten · Qualitäts-/Wertfeld geschlossen · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß, Endstufe · Grad/Maß III · Eintrag abgeschlossen.
f75r	f75r.3	B	B	2	MIXED_RECORD	9	2	2	7	3	1	6	19	ACT_FINISH|ACT_HEAT|ACT_SOAK|ACT_TAKE	abschließen|einweichen|erhitzen|nehmen	abschließen|bringen|einweichen|erhitzen|nehmen|trocknen	bringen|trocknen	2	0	A1_LICENSED_OPERATION:1|A2_IDENTITY_BEARING_ENTITY:1|B2_LICENSED_OPERATION_WITH_REGISTER_WRAPPER:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3|C2_STATE_WITHOUT_OBJECT:2|D1_UNRESOLVED_COMPONENT:1	Auf Heizstufe II Rohdroge I leicht trocknen. Eine Portion bis zur Mittelstufe getrocknete Droge anschließend nehmen, auf Heizstufe II bringen, vollständig einweichen, erhitzen und abschließen. Dazu Holzdroge auf Kältestufe II und eine Portion der ersten erhitzten Ansatzfraktion.
f76v	f76v.10	B	B	2	MIXED_RECORD	10	3	2	6	3	1	5	23	ACT_FINISH|ACT_MEASURE|ACT_TAKE	abmessen|abschließen|einweichen|nehmen	abmessen|abschließen|einweichen|nehmen	NONE	0	0	A1_LICENSED_OPERATION:3|A2_IDENTITY_BEARING_ENTITY:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2|C2_STATE_WITHOUT_OBJECT:2|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1|D2_STRUCTURAL_OR_REGISTER_META:1	Eine Portion Arzneikompositum abmessen; dazu feuchte abgemessene Rohstoffmenge I auf Mittelstufe. Fertig getrocknetes Pulver nehmen und eine Dosis Droge bis zur Mittelstufe einweichen und abschließen. Mit dem fertigen Feuchtgut und dem kalt-trockenen Mittelstufenprodukt die Rohholzdroge I vollständig einweichen und kaltstellen; bis zur Mittelstufe eingeweichtes Arzneikompositum, Maß III, danach Abschluss.
f77r	f77r.38	B	B	2	ACTION_SEQUENCE	9	3	2	6	2	0	6	23	ACT_ADD|ACT_TAKE	nehmen|zugeben	nehmen|zugeben	NONE	0	0	A1_LICENSED_OPERATION:1|A2_IDENTITY_BEARING_ENTITY:2|B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:2|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1|C2_STATE_WITHOUT_OBJECT:3	Pulverstoff · feucht, Mittelstufe, abgeschlossen · vollständig fertiggestellten Ansatz nehmen · heiß, Grad III · bis Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum · Drogenstoff zugeben · Holzdroge, kalt auf Stufe III · feucht, Mittelstufe, abgeschlossen · Drogenstoff zugeben.
f77v	f77v.7	B	B	2	ACTION_SEQUENCE	11	4	3	6	4	0	6	33	ACT_ADD|ACT_DRY|ACT_FINISH|ACT_TAKE	fertigstellen|hinzugeben|nehmen|trocknen|zugeben	fertigstellen|führen|mischen|nehmen|trocknen|zugeben	führen|mischen	2	0	A1_LICENSED_OPERATION:2|A2_IDENTITY_BEARING_ENTITY:3|B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:2|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3|C2_STATE_WITHOUT_OBJECT:1	Vollständig eingeweichte Holzdroge; den vollständig eingeweichten und fertigen Drogenstoff zugeben. Davon getrocknete Wurzeldroge nehmen und vollständig trocknen und fertigstellen. Den heißen Mittelstufenansatz mit eingeweichtem Drogenholz mischen; Trockengut in Grundform und feuchte abgemessene Rohstoffmenge I auf Anfangsstufe. Bis zur mittleren Trockenstufe führen und leicht erhitzten Drogenstoff zugeben.
f7r	f7r.2	H	A	1	MIXED_RECORD	9	2	2	6	2	0	6	24	ACT_DRY|ACT_FINISH|ACT_MEASURE	abmessen|abschließen|trocknen	abmessen|abschließen|halten|trocknen|überführen	halten|überführen	2	1	A1_LICENSED_OPERATION:1|A2_IDENTITY_BEARING_ENTITY:2|B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:4|C2_STATE_WITHOUT_OBJECT:1	Eine Dosis vollständig trocknen und abschließen; heiße Drogenportion; Blüten- oder Fruchtstand. Den Drogenstoff abmessen und abschließen. Danach die abgemessene Trockendroge auf Mittelstufe, heiß-trocken auf Mittelstufe, in einen kalt-trockenen Anfangsansatz überführen und als getrockneten Ansatz halten.
f80r	f80r.17	B	B	2	ACTION_SEQUENCE	13	5	2	7	4	3	4	32	ACT_BRING|ACT_DRY|ACT_FINISH|ACT_HEAT|ACT_MEASURE|ACT_SOAK	abmessen|abschließen|bringen|einweichen|erhitzen|trocknen	abmessen|abschließen|bringen|einweichen|erhitzen|trocknen	NONE	0	0	A1_LICENSED_OPERATION:5|A2_IDENTITY_BEARING_ENTITY:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:4|D1_UNRESOLVED_COMPONENT:1|D2_STRUCTURAL_OR_REGISTER_META:1|D3_GENERIC_CARRIER:1	Leicht erhitzten Saatgutansatz und angefeuchtetes Arzneikompositum bis zur Mittelstufe einweichen, erhitzen und abschließen. Eingeweichten, bis Mitte erhitzten Drogenstoff mit der ersten heißen Drogenfraktion erneut bis zur Mittelstufe einweichen, erhitzen und abschließen; danach bis zur Mittelstufe trocknen und auf Kühlstufe II bringen. Grundansatz mit erster erhitzter Drogenfraktion bei Heizstufe II: bis zur Mittelstufe einweichen, erhitzen und abschließen. Von Rohstoffklasse I im heißen Anfangsansatz eine Teilmenge abmessen.
f80v	f80v.27	B	B	2	NOMINAL_REGISTER	10	0	3	8	3	2	6	16	NONE	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:2|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2|C2_STATE_WITHOUT_OBJECT:4|D1_UNRESOLVED_COMPONENT:1|D2_STRUCTURAL_OR_REGISTER_META:1	Eingeweichter Pulverstoff · heiß, Grad II · erste erhitzte Drogenfraktion im Ansatz · feucht, Mittelstufe · heiß, Grad II · abgemessene Rohstoffmenge I · Holzdrogenansatz, kalt auf Stufe III · heiß, Grad II, im Zubereitungsrahmen · Rohstoffklasse I, feucht, Anfangsstufe · kalt, Anfangsstufe.
