event_card_ordinal	edition_event_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	state_status	state_marker_sequence	gdt576_source_clause_de	gdt576_source_clause_sha256	retained_action_block_de	target_clause_de	target_clause_sha256	repeat_group_ids	repeat_group_count	repeat_slot_count	modifier_fragment_count	bound_fragment_count	unbound_fragment_count	repeat_particle_count	repeat_particle_profile	inverse_key	guard
16	1018	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	NONSTATE_CARD	NOT_APPLICABLE	Wähle denselben Positionsposten; als Ausführung, auf Grad II und als Ausführung.	078c8cf950a9ddc3b708951f4cd0903e2602b580f99df7653d5ef46418a735fe	Wähle denselben Positionsposten	Wähle denselben Positionsposten; beim Wählen: als Ausführung; auf Grad II; beim Wählen: erneut als Ausführung.	1d693dd0f2917b2beb6413137172d18aaa31457f9b5cf933bd451b15c52cad8e	GDT575-D027	1	2	3	2	1	1	erneut:1	G407-E1018	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
17	1037	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	NONSTATE_CARD	NOT_APPLICABLE	Stelle denselben Positionsposten ein, nimm ihn auf und wähle ihn; als Ausführung und als Ausführung.	94a17f754009b0d476b5058285b74b7ba3b86f04e36d436016554c4daf7f9dfa	Stelle denselben Positionsposten ein, nimm ihn auf und wähle ihn	Stelle denselben Positionsposten ein, nimm ihn auf und wähle ihn; beim Einstellen: als Ausführung; beim Wählen: ebenfalls als Ausführung.	1cb31f1a6b43b4ec7d284b982f013ce47bf62db07974f24efba088c92e6e788b	GDT575-D028	1	2	2	2	0	1	ebenfalls:1	G407-E1037	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
18	1041	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	NONSTATE_CARD	NOT_APPLICABLE	Nimm den Positionsposten auf und stelle ihn ein; auf Grad II und auf Grad II.	29a59262f4f9871fee4dce683746d537bac2ab38a1995b55ffdce6b3ab3523a5	Nimm den Positionsposten auf und stelle ihn ein	Nimm den Positionsposten auf und stelle ihn ein; beim Aufnehmen: auf Grad II; beim Einstellen: ebenfalls auf Grad II.	23eb9a8fc72bf361db7b181d3995847b89407938392489a079975e8a53ae5fcd	GDT575-D029	1	2	2	2	0	1	ebenfalls:1	G407-E1041	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
19	1044	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	NONSTATE_CARD	NOT_APPLICABLE	Nimm die Positionseinheit und den Positionsposten auf, ordne sie und ihn zu und nimm sie und ihn auf; auf Grad I, als Ausführung und auf Grad I.	832ea90a1fc1e56afc075b8e324b863574f1c06a626186cf13bff8fc5079d4d5	Nimm die Positionseinheit und den Positionsposten auf, ordne sie und ihn zu und nimm sie und ihn auf	Nimm die Positionseinheit und den Positionsposten auf, ordne sie und ihn zu und nimm sie und ihn auf; beim ersten Aufnehmen: auf Grad I; als Ausführung; beim zweiten Aufnehmen: ebenfalls auf Grad I.	90b29817b33ba879cd3d1dd5cf16f01bef7143b1bb1de43f44f7d19abfe23d49	GDT575-D030	1	2	3	2	1	1	ebenfalls:1	G407-E1044	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
20	1052	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	NONSTATE_CARD	NOT_APPLICABLE	Nimm dieselbe Positionseinheit auf und ordne sie zu; von der Ausgangsposition; auf Grad I und auf Grad I.	8f977aeb90ef3cf312d490c8efd164626b8e7b4176ed9682f7d714e12e8cda7a	Nimm dieselbe Positionseinheit auf und ordne sie zu	Nimm dieselbe Positionseinheit auf und ordne sie zu; beim Aufnehmen: auf Grad I; beim Zuordnen: ebenfalls auf Grad I; von der Ausgangsposition.	b3098e6feb1da1f85dd8e143a2a72b09dd3f919300b49713dd41f3d2a5037830	GDT575-D031	1	2	3	2	1	1	ebenfalls:1	G407-E1052	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
21	1059	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	NONSTATE_CARD	NOT_APPLICABLE	Halte; als Ausführung, auf Grad I und als Ausführung.	fea4bc796a8eab09e36438aac39961cde3e6f488e37c112adc5072933ec5f910	Halte	Halte; beim Halten: als Ausführung; auf Grad I; beim Halten: erneut als Ausführung.	37012fc0341c192739c64f75890ea0b026f4416f9f5f0c0aa0a482adbf10650d	GDT575-D033	1	2	3	2	1	1	erneut:1	G407-E1059	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
22	1115	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	NONSTATE_CARD	NOT_APPLICABLE	Halte dieselbe Positionseinheit, setze sie ein und nimm sie auf; als Ausführung und als Ausführung.	fffaefe3778d534a2ae49d1fdcd8c07b8957bf1cc055f766053012329dca1b71	Halte dieselbe Positionseinheit, setze sie ein und nimm sie auf	Halte dieselbe Positionseinheit, setze sie ein und nimm sie auf; beim Halten: als Ausführung; beim Aufnehmen: ebenfalls als Ausführung.	f5bf091f83b5ccceea04eca1983cb632ecfde658f420390bceb0ebd391f45391	GDT575-D034	1	2	2	2	0	1	ebenfalls:1	G407-E1115	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
23	1152	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	STATE_CARD	OL	Weiter: halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	ce2358a2f9dabd491b842b9f9e50c24eff106ccb2071ca1c91c36e37fe68fa44	Weiter: halte den Positionsposten und stelle ihn ein	Weiter: halte den Positionsposten und stelle ihn ein; beim Halten: auf Grad I; beim Einstellen: ebenfalls auf Grad I.	ce4a37c1d427b12528217deefa7071b3f5a2f52e856a7b70a70e2e5c6a59c987	GDT575-D035	1	2	2	2	0	1	ebenfalls:1	G407-E1152	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
24	1182	G407-E1182	G407-S064	f72r	CELESTIAL	shetey	SH+E+T+E+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	0ba7b8eafeadc51cfc3898ad561cd59943f6b567f90f9e30c7d042bb5efa1114	Halte den Positionsposten und stelle ihn ein	Halte den Positionsposten und stelle ihn ein; beim Halten: auf Grad I; beim Einstellen: ebenfalls auf Grad I.	aff4e9a6d1db385fbb95f60f7242f3c9f3d64d86aecfc9091daa7ed98ac9227c	GDT575-D036	1	2	2	2	0	1	ebenfalls:1	G407-E1182	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
25	1188	G407-E1188	G407-S064	f72r	CELESTIAL	chetey	CH+E+T+E+Y	NONSTATE_CARD	NOT_APPLICABLE	Nimm den Positionsposten auf und stelle ihn ein; auf Grad I und auf Grad I.	a6a4b03732641779914fc926df00c9f00efd523560eeb6f3d125ae492a169411	Nimm den Positionsposten auf und stelle ihn ein	Nimm den Positionsposten auf und stelle ihn ein; beim Aufnehmen: auf Grad I; beim Einstellen: ebenfalls auf Grad I.	9ffd90570b95b3f7006226adf51565826788d59ec3b682cff6182510ce353f46	GDT575-D037	1	2	2	2	0	1	ebenfalls:1	G407-E1188	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
26	1924	G407-E1924	G407-S212	f76r	BIOLOGICAL	qotedshedy	OT+E+D_ADDR+SH+E+DY	STATE_CARD	OT+DY	Danach: halte; auf Grad I; an der D-Stelle; auf Grad I; schließe den Schritt.	98d9f016bb010288cfc56b103475cb850583ce9619b5e3071fc3735ea3b1bb81	Danach: halte	Danach: halte; beim Halten: auf Grad I; an der D-Stelle; beim Halten: erneut auf Grad I; schließe den Schritt.	012e81f1a2e2f74a722aa6663fca41230edbbacf8608ff289e63a51ca1463723	GDT575-D042	1	2	3	2	1	1	erneut:1	G407-E1924	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
27	1955	G407-E1955	G407-S218	f76r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	c471408805b647d9cde9c5282f3f22dfb797b5420abc7a5fdbde52391b315000	Halte den Stationsposten, entnimm ihn und führe ihn zu	Halte den Stationsposten, entnimm ihn und führe ihn zu; beim Halten: auf Grad I; beim Zuführen: ebenfalls auf Grad I.	c23921d89749e3769c22f706825240da3969bc55ce38ff055a7f7cde50906888	GDT575-D043	1	2	2	2	0	1	ebenfalls:1	G407-E1955	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
28	1999	G407-E1999	G407-S228	f76r	BIOLOGICAL	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Stationsposten; auf Grad II; an der D-Stelle und an der D-Stelle.	4df2845f7f9dadbecd67b8b29f9f6ee7c03408918ce2360ced733d7e7e081d56	Entnimm den Stationsposten	Entnimm den Stationsposten; beim Entnehmen: an der D-Stelle; auf Grad II; beim Entnehmen: wieder an der D-Stelle.	453e0b4ab8f4970762ae4e389d1b456ebc415204fdab09a63d4293fc2f87c8ea	GDT575-D044	1	2	3	2	1	1	wieder:1	G407-E1999	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
29	2115	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	STATE_CARD	OL	Weiter: entnimm den Stationsposten und entnimm ihn; auf Grad I und auf Grad I.	97b2507fdc37be0cfa80e2593064516691c47f4abfb5aa85802fc401e05d5955	Weiter: entnimm den Stationsposten und entnimm ihn	Weiter: entnimm den Stationsposten und entnimm ihn; beim ersten Entnehmen: auf Grad I; beim zweiten Entnehmen: ebenfalls auf Grad I.	368074cc1e3b48572b8e0e518b0259352cd2477064d1b174d5f54a58d8c80d5b	GDT575-D045	1	2	2	2	0	1	ebenfalls:1	G407-E2115	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
30	2385	G407-E2385	G407-S309	f76r	BIOLOGICAL	checkhey	CH+E+CH+K+E+Y	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	513274e713649c3ce6775427e832299ca04547e355f9fdd46828655fea6f221f	Entnimm den Stationsposten, entnimm ihn und führe ihn zu	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; beim ersten Entnehmen: auf Grad I; beim Zuführen: ebenfalls auf Grad I.	ca22f8a12aec3f8b061a7feda4f5cd9c15ff9a4f0c6fafdee809c5cb09b3fc01	GDT575-D046	1	2	2	2	0	1	ebenfalls:1	G407-E2385	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
31	2410	G407-E2410	G407-S313	f77r	BIOLOGICAL	chetey	CH+E+T+E+Y	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Stationsposten und stelle ihn ein; auf Grad I und auf Grad I.	121dc3addc2de22a73d77b7d0837c78de5eea00b13e34bc8fcaf8b184f51dbb2	Entnimm den Stationsposten und stelle ihn ein	Entnimm den Stationsposten und stelle ihn ein; beim Entnehmen: auf Grad I; beim Einstellen: ebenfalls auf Grad I.	f96178357ddee6acdcc1c0be4451178a15e5b0b36f61470a78e6e8b11ea59fbe	GDT575-D048	1	2	2	2	0	1	ebenfalls:1	G407-E2410	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
32	2481	G407-E2481	G407-S341	f77r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	STATE_CARD	DY	Halte dieselbe Stationseinheit und entnimm sie und führe sie zu; auf Grad I und auf Grad I; schließe den Schritt.	faa959505afea36075f5b4c6d8b823b35096c0acea8a136388c79fb1c56100da	Halte dieselbe Stationseinheit und entnimm sie und führe sie zu	Halte dieselbe Stationseinheit und entnimm sie und führe sie zu; beim Halten: auf Grad I; beim Zuführen: ebenfalls auf Grad I; schließe den Schritt.	e17f3ef988487a8cbf4dab997bf06e037864c59d720b5ddf18c46377a3637f66	GDT575-D049	1	2	2	2	0	1	ebenfalls:1	G407-E2481	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
33	2638	G407-E2638	G407-S382	f77r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	c471408805b647d9cde9c5282f3f22dfb797b5420abc7a5fdbde52391b315000	Halte den Stationsposten, entnimm ihn und führe ihn zu	Halte den Stationsposten, entnimm ihn und führe ihn zu; beim Halten: auf Grad I; beim Zuführen: ebenfalls auf Grad I.	c23921d89749e3769c22f706825240da3969bc55ce38ff055a7f7cde50906888	GDT575-D050	1	2	2	2	0	1	ebenfalls:1	G407-E2638	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
34	2755	G407-E2755	G407-S397	f81r	BIOLOGICAL	eses	E+S+E+S	NONSTATE_CARD	NOT_APPLICABLE	Wähle denselben Stationsanteil und wähle ihn; auf Grad I und auf Grad I.	5b0b6eb0e3eea61fadf7d39356681447f8245a83ac2d09872f8835a159550df4	Wähle denselben Stationsanteil und wähle ihn	Wähle denselben Stationsanteil und wähle ihn; beim ersten Wählen: auf Grad I; beim ersten Wählen: erneut auf Grad I.	42839f9674a2091a21407650175511062bb0956332387499beda288196f622c1	GDT575-D052	1	2	2	2	0	1	erneut:1	G407-E2755	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
35	2783	G407-E2783	G407-S402	f81r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	STATE_CARD	DY	Halte denselben Stationsposten und entnimm ihn und führe ihn zu; auf Grad I und auf Grad I; schließe den Schritt.	fe1685af841d12dac5bd624f0f0a34a75b131c45e75e062e51a673da8c07655d	Halte denselben Stationsposten und entnimm ihn und führe ihn zu	Halte denselben Stationsposten und entnimm ihn und führe ihn zu; beim Halten: auf Grad I; beim Zuführen: ebenfalls auf Grad I; schließe den Schritt.	19db28130d6152b1669e176b74ad1c0ac71ebebf6cd5b1e40edfc09a614219c4	GDT575-D053	1	2	2	2	0	1	ebenfalls:1	G407-E2783	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
36	3030	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	STATE_CARD	OL	Weiter: halte den Stationsposten; an der D-Stelle und an der D-Stelle.	8eab94b73f7281b44655f14e71596329d00d008dd25dfee7e7b3ea042c141216	Weiter: halte den Stationsposten	Weiter: halte den Stationsposten; beim Halten: an der D-Stelle; bei der Fortsetzung: wieder an der D-Stelle.	7b46113465adb2aa883ee8c83325a6bca62018cf61da45b8479e5d9bff92cd2a	GDT575-D057	1	2	2	2	0	1	wieder:1	G407-E3030	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
