voice_slot_ordinal	gdt577_slot_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	repeat_root	slot_occurrence_in_group	slot_atom_position_zero_based	attachment_topology	head_identity	placement	head_nominal_de	repeat_particle_de	rendered_fragment_de	root_expression_de	root_expression_start	root_expression_end	particle_start	particle_end	guard
11	11	GDT575-D012	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	D_ADDR	1	0	ACTIVE_CONTEXT_HEAD	ACTION:G407-E0521@2:R	ACTIVE_CONTEXT	Markieren	NONE	beim fortgeführten Markieren: an der D-Stelle	an der D-Stelle	58	73	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
12	12	GDT575-D012	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	D_ADDR	2	3	ACTIVE_CONTEXT_HEAD	ACTION:G407-E0521@2:R	ACTIVE_CONTEXT	Markieren	wieder	beim fortgeführten Markieren: wieder an der D-Stelle	an der D-Stelle	150	165	143	149	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
13	13	GDT575-D013	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	O	1	0	BRACKETING_SAME_HEAD	ACTION:G407-E0607@1:P	PRE_HEAD	Einsetzen	NONE	beim Einsetzen: als Ausführung	als Ausführung	52	66	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
14	14	GDT575-D013	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	O	2	2	BRACKETING_SAME_HEAD	ACTION:G407-E0607@1:P	POST_HEAD	Einsetzen	erneut	beim Einsetzen: erneut als Ausführung	als Ausführung	91	105	84	90	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
15	15	GDT575-D014	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	O	1	0	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0610@1:P	PRE_HEAD	Einsetzen	NONE	beim Einsetzen: als Ausführung	als Ausführung	66	80	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
16	16	GDT575-D014	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	O	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0610@2:SH	POST_HEAD	Halten	ebenfalls	beim Halten: ebenfalls als Ausführung	als Ausführung	105	119	95	104	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
17	17	GDT575-D015	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0628@2:S	PRE_HEAD	ersten Wählen	NONE	beim ersten Wählen: auf Grad I	auf Grad I	82	92	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
18	18	GDT575-D015	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	E	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0628@2:S	POST_HEAD	ersten Wählen	erneut	beim ersten Wählen: erneut auf Grad I	auf Grad I	121	131	114	120	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
19	19	GDT575-D015	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	E	3	6	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0628@7:S	PRE_HEAD	zweiten Wählen	nochmals	beim zweiten Wählen: nochmals auf Grad I	auf Grad I	205	215	196	204	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
20	20	GDT575-D016	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	O	1	1	ACTIVE_CONTEXT_HEAD	ACTION:G407-E0663@0:CH	ACTIVE_CONTEXT	Nehmen	NONE	beim fortgeführten Nehmen: als Ausführung	als Ausführung	92	106	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
21	21	GDT575-D016	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	O	2	3	ACTIVE_CONTEXT_HEAD	ACTION:G407-E0663@0:CH	ACTIVE_CONTEXT	Nehmen	erneut	beim fortgeführten Nehmen: erneut als Ausführung	als Ausführung	159	173	152	158	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
22	22	GDT575-D021	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0736@0:SH	POST_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	71	81	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
23	23	GDT575-D021	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	E	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0736@2:OK	POST_HEAD	Ansetzen	ebenfalls	beim Ansetzen: ebenfalls auf Grad I	auf Grad I	108	118	98	107	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
24	24	GDT575-D022	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	E	1	0	BRACKETING_SAME_HEAD	ACTION:G407-E0802@1:S	PRE_HEAD	Wählen	NONE	beim Wählen: auf Grad I	auf Grad I	45	55	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
25	25	GDT575-D022	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	E	2	2	BRACKETING_SAME_HEAD	ACTION:G407-E0802@1:S	POST_HEAD	Wählen	erneut	beim Wählen: erneut auf Grad I	auf Grad I	77	87	70	76	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
26	26	GDT575-D023	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	O	1	0	BRACKETING_SAME_HEAD	ACTION:G407-E0902@1:P	PRE_HEAD	Einsetzen	NONE	beim Einsetzen: als Ausführung	als Ausführung	35	49	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
27	27	GDT575-D023	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	O	2	2	BRACKETING_SAME_HEAD	ACTION:G407-E0902@1:P	POST_HEAD	Einsetzen	erneut	beim Einsetzen: erneut als Ausführung	als Ausführung	74	88	67	73	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
28	28	GDT575-D024	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	O	1	2	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0966@1:T	POST_HEAD	Einstellen	NONE	beim Einstellen: als Ausführung	als Ausführung	233	247	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
29	30	GDT575-D025	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	E	1	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0966@1:T	POST_HEAD	Einstellen	NONE	beim Einstellen: auf Grad I	auf Grad I	266	276	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
30	29	GDT575-D024	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	O	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0966@5:P	PRE_HEAD	Einsetzen	ebenfalls	beim Einsetzen: ebenfalls als Ausführung	als Ausführung	304	318	294	303	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
31	31	GDT575-D025	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	E	2	7	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0966@6:CH	POST_HEAD	Aufnehmen	ebenfalls	beim Aufnehmen: ebenfalls auf Grad I	auf Grad I	346	356	336	345	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
32	32	GDT575-D026	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	O	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0968@0:S	POST_HEAD	Wählen	NONE	beim Wählen: als Ausführung	als Ausführung	60	74	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
33	33	GDT575-D026	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	O	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0968@2:SH	POST_HEAD	Halten	ebenfalls	beim Halten: ebenfalls als Ausführung	als Ausführung	99	113	89	98	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
34	34	GDT575-D027	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	O	1	0	SAME_HEAD_SAME_SIDE	ACTION:G407-E1018@3:S	PRE_HEAD	Wählen	NONE	beim Wählen: als Ausführung	als Ausführung	46	60	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
35	35	GDT575-D027	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	O	2	2	SAME_HEAD_SAME_SIDE	ACTION:G407-E1018@3:S	PRE_HEAD	Wählen	erneut	beim Wählen: erneut als Ausführung	als Ausführung	95	109	88	94	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
36	36	GDT575-D028	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	O	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1037@0:T	POST_HEAD	Einstellen	NONE	beim Einstellen: als Ausführung	als Ausführung	83	97	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
37	37	GDT575-D028	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	O	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1037@3:S	POST_HEAD	Wählen	ebenfalls	beim Wählen: ebenfalls als Ausführung	als Ausführung	122	136	112	121	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
38	38	GDT575-D029	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	EE	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1041@0:CH	POST_HEAD	Aufnehmen	NONE	beim Aufnehmen: auf Grad II	auf Grad II	65	76	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
39	39	GDT575-D029	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	EE	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1041@2:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls auf Grad II	auf Grad II	105	116	95	104	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
40	40	GDT575-D030	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1044@0:CH	POST_HEAD	ersten Aufnehmen	NONE	beim ersten Aufnehmen: auf Grad I	auf Grad I	125	135	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
41	41	GDT575-D030	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	E	2	6	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1044@5:CH	POST_HEAD	zweiten Aufnehmen	ebenfalls	beim zweiten Aufnehmen: ebenfalls auf Grad I	auf Grad I	187	197	177	186	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
42	42	GDT575-D031	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	E	1	0	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1052@1:CH	PRE_HEAD	Aufnehmen	NONE	beim Aufnehmen: auf Grad I	auf Grad I	69	79	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
43	43	GDT575-D031	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	E	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1052@2:K	POST_HEAD	Zuordnen	ebenfalls	beim Zuordnen: ebenfalls auf Grad I	auf Grad I	106	116	96	105	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
44	44	GDT575-D033	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	O	1	0	BRACKETING_SAME_HEAD	ACTION:G407-E1059@1:SH	PRE_HEAD	Halten	NONE	beim Halten: als Ausführung	als Ausführung	20	34	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
45	45	GDT575-D033	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	O	2	3	BRACKETING_SAME_HEAD	ACTION:G407-E1059@1:SH	POST_HEAD	Halten	erneut	beim Halten: erneut als Ausführung	als Ausführung	68	82	61	67	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
46	46	GDT575-D034	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	O	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1115@0:SH	POST_HEAD	Halten	NONE	beim Halten: als Ausführung	als Ausführung	78	92	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
47	47	GDT575-D034	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	O	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1115@3:CH	POST_HEAD	Aufnehmen	ebenfalls	beim Aufnehmen: ebenfalls als Ausführung	als Ausführung	120	134	110	119	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
48	48	GDT575-D035	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1152@0:SH	POST_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	67	77	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
49	49	GDT575-D035	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1152@3:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls auf Grad I	auf Grad I	106	116	96	105	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
50	50	GDT575-D036	G407-E1182	G407-S064	f72r	CELESTIAL	shetey	SH+E+T+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1182@0:SH	POST_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	59	69	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
51	51	GDT575-D036	G407-E1182	G407-S064	f72r	CELESTIAL	shetey	SH+E+T+E+Y	E	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1182@2:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls auf Grad I	auf Grad I	98	108	88	97	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
52	52	GDT575-D037	G407-E1188	G407-S064	f72r	CELESTIAL	chetey	CH+E+T+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1188@0:CH	POST_HEAD	Aufnehmen	NONE	beim Aufnehmen: auf Grad I	auf Grad I	65	75	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
53	53	GDT575-D037	G407-E1188	G407-S064	f72r	CELESTIAL	chetey	CH+E+T+E+Y	E	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1188@2:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls auf Grad I	auf Grad I	104	114	94	103	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
54	58	GDT575-D042	G407-E1924	G407-S212	f76r	BIOLOGICAL	qotedshedy	OT+E+D_ADDR+SH+E+DY	E	1	1	BRACKETING_SAME_HEAD	ACTION:G407-E1924@3:SH	PRE_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	28	38	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
55	59	GDT575-D042	G407-E1924	G407-S212	f76r	BIOLOGICAL	qotedshedy	OT+E+D_ADDR+SH+E+DY	E	2	4	BRACKETING_SAME_HEAD	ACTION:G407-E1924@3:SH	POST_HEAD	Halten	erneut	beim Halten: erneut auf Grad I	auf Grad I	77	87	70	76	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
56	60	GDT575-D043	G407-E1955	G407-S218	f76r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1955@0:SH	POST_HEAD	Halten	NONE	beim Halten: auf Grad I	auf Grad I	69	79	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
57	61	GDT575-D043	G407-E1955	G407-S218	f76r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E1955@3:K	POST_HEAD	Zuführen	ebenfalls	beim Zuführen: ebenfalls auf Grad I	auf Grad I	106	116	96	105	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
58	62	GDT575-D044	G407-E1999	G407-S228	f76r	BIOLOGICAL	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	D_ADDR	1	0	BRACKETING_SAME_HEAD	ACTION:G407-E1999@1:CH	PRE_HEAD	Entnehmen	NONE	beim Entnehmen: an der D-Stelle	an der D-Stelle	44	59	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
59	63	GDT575-D044	G407-E1999	G407-S228	f76r	BIOLOGICAL	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	D_ADDR	2	3	BRACKETING_SAME_HEAD	ACTION:G407-E1999@1:CH	POST_HEAD	Entnehmen	wieder	beim Entnehmen: wieder an der D-Stelle	an der D-Stelle	97	112	90	96	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
60	64	GDT575-D045	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2115@0:CH	POST_HEAD	ersten Entnehmen	NONE	beim ersten Entnehmen: auf Grad I	auf Grad I	75	85	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
61	65	GDT575-D045	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2115@3:CH	POST_HEAD	zweiten Entnehmen	ebenfalls	beim zweiten Entnehmen: ebenfalls auf Grad I	auf Grad I	121	131	111	120	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
62	66	GDT575-D046	G407-E2385	G407-S309	f76r	BIOLOGICAL	checkhey	CH+E+CH+K+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2385@0:CH	POST_HEAD	ersten Entnehmen	NONE	beim ersten Entnehmen: auf Grad I	auf Grad I	81	91	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
63	67	GDT575-D046	G407-E2385	G407-S309	f76r	BIOLOGICAL	checkhey	CH+E+CH+K+E+Y	E	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2385@3:K	POST_HEAD	Zuführen	ebenfalls	beim Zuführen: ebenfalls auf Grad I	auf Grad I	118	128	108	117	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
64	68	GDT575-D048	G407-E2410	G407-S313	f77r	BIOLOGICAL	chetey	CH+E+T+E+Y	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2410@0:CH	POST_HEAD	Entnehmen	NONE	beim Entnehmen: auf Grad I	auf Grad I	63	73	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
65	69	GDT575-D048	G407-E2410	G407-S313	f77r	BIOLOGICAL	chetey	CH+E+T+E+Y	E	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E2410@2:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls auf Grad I	auf Grad I	102	112	92	101	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
