fragment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	fragment_ordinal_in_event	atom_position_zero_based	atom	base_fragment_de	rendered_fragment_de	target_fragment_start	target_fragment_end	root_expression_start	root_expression_end	repeat_particle_de	head_nominal_de	binding_status	attachment_topology	gdt575_duplicate_group_id	guard
37	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	2	3	E	auf Grad I	beim Ansetzen: ebenfalls auf Grad I	83	118	108	118	ebenfalls	Ansetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D021	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
38	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	1	0	E	auf Grad I	beim Wählen: auf Grad I	32	55	45	55	NONE	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D022	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
39	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	2	2	E	auf Grad I	beim Wählen: erneut auf Grad I	57	87	77	87	erneut	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D022	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
40	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	1	0	O	als Ausführung	beim Einsetzen: als Ausführung	19	49	35	49	NONE	Einsetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D023	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
41	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	2	2	O	als Ausführung	beim Einsetzen: erneut als Ausführung	51	88	74	88	erneut	Einsetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D023	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
42	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	3	3	D_ADDR	an der D-Stelle	an der D-Stelle	90	105	90	105	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
43	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	1	2	O	als Ausführung	beim Einstellen: als Ausführung	216	247	233	247	NONE	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D024	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
44	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	2	3	E	auf Grad I	beim Einstellen: auf Grad I	249	276	266	276	NONE	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D025	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
45	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	3	4	O	als Ausführung	beim Einsetzen: ebenfalls als Ausführung	278	318	304	318	ebenfalls	Einsetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D024	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
46	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	4	7	E	auf Grad I	beim Aufnehmen: ebenfalls auf Grad I	320	356	346	356	ebenfalls	Aufnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D025	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
47	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	1	1	O	als Ausführung	beim Wählen: als Ausführung	47	74	60	74	NONE	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D026	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
48	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	2	3	O	als Ausführung	beim Halten: ebenfalls als Ausführung	76	113	99	113	ebenfalls	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D026	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
49	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	1	0	O	als Ausführung	beim Wählen: als Ausführung	33	60	46	60	NONE	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	SAME_HEAD_SAME_SIDE	GDT575-D027	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
50	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	2	1	EE	auf Grad II	auf Grad II	62	73	62	73	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
51	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	3	2	O	als Ausführung	beim Wählen: erneut als Ausführung	75	109	95	109	erneut	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	SAME_HEAD_SAME_SIDE	GDT575-D027	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
52	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	1	1	O	als Ausführung	beim Einstellen: als Ausführung	66	97	83	97	NONE	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D028	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
53	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	2	4	O	als Ausführung	beim Wählen: ebenfalls als Ausführung	99	136	122	136	ebenfalls	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D028	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
54	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	1	1	EE	auf Grad II	beim Aufnehmen: auf Grad II	49	76	65	76	NONE	Aufnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D029	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
55	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	2	3	EE	auf Grad II	beim Einstellen: ebenfalls auf Grad II	78	116	105	116	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D029	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
56	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	1	1	E	auf Grad I	beim ersten Aufnehmen: auf Grad I	102	135	125	135	NONE	ersten Aufnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D030	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
57	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	2	2	O	als Ausführung	als Ausführung	137	151	137	151	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
58	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	3	6	E	auf Grad I	beim zweiten Aufnehmen: ebenfalls auf Grad I	153	197	187	197	ebenfalls	zweiten Aufnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D030	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
59	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	1	0	E	auf Grad I	beim Aufnehmen: auf Grad I	53	79	69	79	NONE	Aufnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D031	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
60	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	2	3	E	auf Grad I	beim Zuordnen: ebenfalls auf Grad I	81	116	106	116	ebenfalls	Zuordnen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D031	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
61	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	3	4	AR	von der Ausgangsposition	von der Ausgangsposition	118	142	118	142	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
62	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	1	0	O	als Ausführung	beim Halten: als Ausführung	7	34	20	34	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D033	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
63	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	2	2	E	auf Grad I	auf Grad I	36	46	36	46	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
64	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	3	3	O	als Ausführung	beim Halten: erneut als Ausführung	48	82	68	82	erneut	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D033	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
65	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	1	1	O	als Ausführung	beim Halten: als Ausführung	65	92	78	92	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D034	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
66	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	2	4	O	als Ausführung	beim Aufnehmen: ebenfalls als Ausführung	94	134	120	134	ebenfalls	Aufnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D034	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
67	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	1	1	E	auf Grad I	beim Halten: auf Grad I	54	77	67	77	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D035	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
68	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	2	4	E	auf Grad I	beim Einstellen: ebenfalls auf Grad I	79	116	106	116	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D035	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
