respun_sigla_ordinal	gdt576_assignment_ordinal	event_id	atom_position_zero_based	atom	sigla_card_id	old_target_fragment_de	new_target_fragment_de	old_target_start	old_target_end	new_target_start	new_target_end	guard
26	478	G407-E3605	0	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	88	103	61	76	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
27	479	G407-E3605	6	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	108	123	181	196	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
28	489	G407-E3664	5	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	85	100	122	137	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
29	517	G407-E3870	5	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	97	112	127	142	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
30	550	G407-E4023	0	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	85	100	71	86	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
31	551	G407-E4023	3	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	105	120	165	180	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
32	610	G407-E4353	0	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	82	97	47	62	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
33	611	G407-E4353	2	LOCAL_CHAR_I	GDT576-C08	mit der i-Variante	mit der i-Variante	99	117	107	125	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
34	612	G407-E4353	3	G_LABEL	GDT576-C10	beim G-Vermerk	beim G-Vermerk	119	133	127	141	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
35	613	G407-E4353	5	M_LOCAL	GDT576-C06	bei der m-Ortsmarke	bei der m-Ortsmarke	138	157	193	212	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
