particle_ordinal	event_id	gdt575_duplicate_group_id	repeat_root	slot_occurrence_in_group	slot_atom_position_zero_based	particle_de	particle_start	particle_end	root_expression_start	root_expression_end	guard
14	G407-E0902	GDT575-D023	O	2	2	erneut	67	73	74	88	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
15	G407-E0966	GDT575-D024	O	2	4	ebenfalls	294	303	304	318	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
16	G407-E0966	GDT575-D025	E	2	7	ebenfalls	336	345	346	356	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
17	G407-E0968	GDT575-D026	O	2	3	ebenfalls	89	98	99	113	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
18	G407-E1018	GDT575-D027	O	2	2	erneut	88	94	95	109	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
19	G407-E1037	GDT575-D028	O	2	4	ebenfalls	112	121	122	136	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
20	G407-E1041	GDT575-D029	EE	2	3	ebenfalls	95	104	105	116	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
21	G407-E1044	GDT575-D030	E	2	6	ebenfalls	177	186	187	197	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
22	G407-E1052	GDT575-D031	E	2	3	ebenfalls	96	105	106	116	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
23	G407-E1059	GDT575-D033	O	2	3	erneut	61	67	68	82	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
24	G407-E1115	GDT575-D034	O	2	4	ebenfalls	110	119	120	134	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
25	G407-E1152	GDT575-D035	E	2	4	ebenfalls	96	105	106	116	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
26	G407-E1182	GDT575-D036	E	2	3	ebenfalls	88	97	98	108	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
27	G407-E1188	GDT575-D037	E	2	3	ebenfalls	94	103	104	114	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
28	G407-E1924	GDT575-D042	E	2	4	erneut	70	76	77	87	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
29	G407-E1955	GDT575-D043	E	2	4	ebenfalls	96	105	106	116	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
30	G407-E1999	GDT575-D044	D_ADDR	2	3	wieder	90	96	97	112	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
31	G407-E2115	GDT575-D045	E	2	4	ebenfalls	111	120	121	131	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
32	G407-E2385	GDT575-D046	E	2	4	ebenfalls	108	117	118	128	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
33	G407-E2410	GDT575-D048	E	2	3	ebenfalls	92	101	102	112	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
34	G407-E2481	GDT575-D049	E	2	4	ebenfalls	105	114	115	125	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
35	G407-E2638	GDT575-D050	E	2	4	ebenfalls	96	105	106	116	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
36	G407-E2755	GDT575-D052	E	2	2	erneut	98	104	105	115	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
37	G407-E2783	GDT575-D053	E	2	4	ebenfalls	105	114	115	125	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
38	G407-E3030	GDT575-D057	D_ADDR	2	4	wieder	85	91	92	107	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
39	G407-E3037	GDT575-D058	E	2	3	ebenfalls	92	101	102	112	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
40	G407-E3038	GDT575-D059	E	2	4	erneut	119	125	126	136	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
41	G407-E3040	GDT575-D060	E	2	4	ebenfalls	176	185	186	196	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
42	G407-E3041	GDT575-D061	D_ADDR	2	4	wieder	106	112	113	128	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
43	G407-E3278	GDT575-D063	D_ADDR	2	2	wieder	152	158	159	174	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
44	G407-E3377	GDT575-D064	E	2	4	erneut	105	111	112	122	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
45	G407-E3528	GDT575-D065	E	2	4	ebenfalls	119	128	129	139	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
46	G407-E3533	GDT575-D066	E	2	3	ebenfalls	83	92	93	103	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
47	G407-E3605	GDT575-D067	E	2	5	ebenfalls	137	146	147	157	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
48	G407-E3605	GDT575-D068	D_ADDR	2	6	wieder	174	180	181	196	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
49	G407-E3664	GDT575-D069	E	2	4	ebenfalls	100	109	110	120	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
50	G407-E3781	GDT575-D071	E	2	2	erneut	71	77	78	88	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
51	G407-E3870	GDT575-D073	O	2	4	erneut	104	110	111	125	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
52	G407-E3919	GDT575-D074	E	2	4	ebenfalls	100	109	110	120	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
53	G407-E3928	GDT575-D075	E	2	4	erneut	101	107	108	118	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
54	G407-E3950	GDT575-D076	E	2	3	erneut	95	101	102	112	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
55	G407-E3962	GDT575-D077	E	2	4	ebenfalls	116	125	126	136	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
56	G407-E4023	GDT575-D078	D_ADDR	2	3	wieder	158	164	165	180	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
57	G407-E4353	GDT575-D083	O	2	4	erneut	170	176	177	191	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
58	G407-E4380	GDT575-D086	O	2	3	erneut	81	87	88	102	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
59	G407-E4493	GDT575-D088	E	2	4	ebenfalls	105	114	115	125	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
60	G515-E0239	GDT575-D091	E	2	4	erneut	107	113	114	124	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
61	G515-E0525	GDT575-D096	E	2	4	erneut	99	105	106	116	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
