change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	repeat_argument_group_count	covered_later_argument_mention_count	anaphor_occurrence_count	before_clause_de	after_clause_de	full_argument_expansion_de	guard
35	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	STATE_CARD	pshol	P+SH+OL	1	1	1	Weiter: setze denselben Teilwert ein und halte denselben Teilwert fest.	Weiter: setze denselben Teilwert ein und halte ihn fest.	Weiter: setze denselben Teilwert ein und halte denselben Teilwert fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
36	G407-E0134	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	Entnimm den laufenden Eintrag und lege ihn fest.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
37	G407-E0139	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kodshey	K+O+D_ADDR+SH+E+Y	1	1	1	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; als Ausführung und auf Grad I; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und halte ihn fest; als Ausführung und auf Grad I; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; als Ausführung und auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
38	G407-E0140	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphealy	CH+P+E+AL+Y	1	1	1	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; zur Zielspalte; auf Grad I.	Entnimm den laufenden Eintrag und setze ihn ein; zur Zielspalte; auf Grad I.	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; zur Zielspalte; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
39	G407-E0144	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	ckhyds	CH+K+Y+D_ADDR+S	1	2	2	Entnimm den laufenden Eintrag, ordne den laufenden Eintrag zu und wähle den laufenden Eintrag; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag, ordne ihn zu und wähle ihn; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag, ordne den laufenden Eintrag zu und wähle den laufenden Eintrag; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
40	G407-E0146	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shcthaiin	SH+CH+T+AIIN	1	2	2	Halte den Kennwert fest, entnimm den Kennwert und lege den Kennwert fest.	Halte den Kennwert fest, entnimm ihn und lege ihn fest.	Halte den Kennwert fest, entnimm den Kennwert und lege den Kennwert fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
41	G407-E0147	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	okaiir	OK+IIN+R	1	1	1	Trage denselben Kennwert ein und kennzeichne denselben Kennwert; auf der bezeichneten Stufe.	Trage denselben Kennwert ein und kennzeichne ihn; auf der bezeichneten Stufe.	Trage denselben Kennwert ein und kennzeichne denselben Kennwert; auf der bezeichneten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
42	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	STATE_CARD	cthols	CH+T+OL+S	1	2	2	Weiter: entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest und wähle denselben laufenden Eintrag.	Weiter: entnimm denselben laufenden Eintrag und lege ihn fest und wähle ihn.	Weiter: entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest und wähle denselben laufenden Eintrag.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
43	G407-E0153	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shok	SH+OK	1	1	1	Halte denselben laufenden Eintrag fest und trage denselben laufenden Eintrag ein.	Halte denselben laufenden Eintrag fest und trage ihn ein.	Halte denselben laufenden Eintrag fest und trage denselben laufenden Eintrag ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
44	G407-E0157	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	ckhey	CH+K+E+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne ihn zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
45	G407-E0162	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shokcheey	SH+OK+CH+EE+Y	1	2	2	Halte den laufenden Eintrag fest, trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; auf Grad II.	Halte den laufenden Eintrag fest, trage ihn ein und entnimm ihn; auf Grad II.	Halte den laufenden Eintrag fest, trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
46	G407-E0164	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	tshodeesy	T+SH+O+D_ADDR+EE+S+Y	1	2	2	Lege den laufenden Eintrag fest, halte den laufenden Eintrag fest und wähle den laufenden Eintrag; als Ausführung und auf Grad II; an der bezeichneten Stelle.	Lege den laufenden Eintrag fest, halte ihn fest und wähle ihn; als Ausführung und auf Grad II; an der bezeichneten Stelle.	Lege den laufenden Eintrag fest, halte den laufenden Eintrag fest und wähle den laufenden Eintrag; als Ausführung und auf Grad II; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
47	G407-E0173	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthal	CH+T+AL	1	1	1	Entnimm denselben Teilwert und lege denselben Teilwert fest; zur Zielspalte.	Entnimm denselben Teilwert und lege ihn fest; zur Zielspalte.	Entnimm denselben Teilwert und lege denselben Teilwert fest; zur Zielspalte.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
48	G407-E0179	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthar	CH+T+AR	1	1	1	Entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest; von der Ausgangszeile.	Entnimm denselben laufenden Eintrag und lege ihn fest; von der Ausgangszeile.	Entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest; von der Ausgangszeile.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
49	G407-E0187	G407-S006	f1r	SOURCE_SECTION_T	STATE_CARD	cthol	CH+T+OL	1	1	1	Weiter: entnimm denselben Kennwert und lege denselben Kennwert fest.	Weiter: entnimm denselben Kennwert und lege ihn fest.	Weiter: entnimm denselben Kennwert und lege denselben Kennwert fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
50	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	STATE_CARD	ctholdar	CH+T+OL+D_ADDR+AR	1	1	1	Weiter: entnimm denselben Kennwert und lege denselben Kennwert fest; an der bezeichneten Stelle; von der Ausgangszeile.	Weiter: entnimm denselben Kennwert und lege ihn fest; an der bezeichneten Stelle; von der Ausgangszeile.	Weiter: entnimm denselben Kennwert und lege denselben Kennwert fest; an der bezeichneten Stelle; von der Ausgangszeile.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
51	G407-E0195	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kokaiin	K+OK+AIIN	1	1	1	Ordne den Kennwert zu und trage den Kennwert ein.	Ordne den Kennwert zu und trage ihn ein.	Ordne den Kennwert zu und trage den Kennwert ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
52	G407-E0201	G407-S007	f1r	SOURCE_SECTION_T	NONSTATE_CARD	koshey	K+O+SH+E+Y	1	1	1	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; als Ausführung und auf Grad I.	Ordne den laufenden Eintrag zu und halte ihn fest; als Ausführung und auf Grad I.	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; als Ausführung und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
53	G407-E0202	G407-S007	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	Entnimm den laufenden Eintrag und lege ihn fest.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
54	G407-E0208	G407-S007	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chtor	CH+T+OR	1	1	1	Entnimm die Eintragseinheit und lege die Eintragseinheit fest.	Entnimm die Eintragseinheit und lege sie fest.	Entnimm die Eintragseinheit und lege die Eintragseinheit fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
55	G407-E0215	G407-S008	f10r	HERBAL	NONSTATE_CARD	pchocthy	P+CH+O+CH+T+Y	1	3	3	Setze den Pflanzenposten ein, nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung.	Setze den Pflanzenposten ein, nimm ihn, nimm ihn und stelle ihn ein; als Ausführung.	Setze den Pflanzenposten ein, nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
56	G407-E0217	G407-S008	f10r	HERBAL	NONSTATE_CARD	octhody	O+CH+T+O+D_ADDR+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
57	G407-E0218	G407-S008	f10r	HERBAL	NONSTATE_CARD	chorchy	CH+OR+CH+Y	2	2	2	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	Nimm die Arbeitseinheit und den Pflanzenposten und nimm sie und ihn.	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
58	G407-E0219	G407-S008	f10r	HERBAL	STATE_CARD	pchodol	P+CH+O+D_ADDR+OL	1	1	1	Weiter: setze denselben Pflanzenposten ein und nimm denselben Pflanzenposten; als Ausführung; an der bezeichneten Stelle.	Weiter: setze denselben Pflanzenposten ein und nimm ihn; als Ausführung; an der bezeichneten Stelle.	Weiter: setze denselben Pflanzenposten ein und nimm denselben Pflanzenposten; als Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
