anaphor_ordinal	covered_argument_mention_ordinals	repeat_group_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	argument_root	argument_scope	source_form_class	pronoun_card_id	mention_ordinal_for_argument	mention_count_for_argument	covered_argument_mention_count	source_start_char	source_end_char	target_start_char	target_end_char	source_argument_phrase_de	pronoun_de	guard
14	14	11	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthiar	CH+T+LOCAL_CHAR_I+AR	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	2	2	1	45	72	45	48	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
15	15	12	G407-E0043	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthaiin	CH+T+AIIN	AIIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P02	2	2	1	30	42	30	33	den Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
16	16	13	G407-E0044	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphar	CH+P+AR	AIIN	SINGLE_ARGUMENT	CARRIED	GDT573-P02	2	2	1	37	55	37	40	denselben Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
17	17	14	G407-E0049	G407-S002	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphoy	CH+P+O+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	40	61	40	43	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
18	18	15	G407-E0057	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	okchoy	OK+CH+O+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	44	65	44	47	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
19	19	16	G407-E0059	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chocthy	CH+O+CH+T+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	3	1	39	60	39	42	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
20	20	16	G407-E0059	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chocthy	CH+O+CH+T+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	3	3	1	70	91	52	55	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
21	21	17	G407-E0064	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kos	K+O+S	OR	SINGLE_ARGUMENT	CARRIED	GDT573-P04	2	2	1	44	68	44	47	dieselbe Eintragseinheit	sie	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
22	22	18	G407-E0066	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shos	SH+O+S	AIIN	SINGLE_ARGUMENT	CARRIED	GDT573-P02	2	2	1	40	58	40	43	denselben Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
23	23	19	G407-E0073	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphesaiin	CH+P+E+S+AIIN	AIIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P02	2	3	1	28	40	28	31	den Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
24	24	19	G407-E0073	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphesaiin	CH+P+E+S+AIIN	AIIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P02	3	3	1	55	67	46	49	den Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
25	25	20	G407-E0075	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphey	CH+P+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	40	61	40	43	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
26	26	21	G407-E0077	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shoshy	SH+O+SH+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	43	64	43	46	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
27	27	22	G407-E0078	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphodal	CH+P+O+D_ADDR+AL	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	2	2	1	46	73	46	49	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
28	28	23	G407-E0080	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	oksho	OK+SH+O	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	2	2	1	48	75	48	51	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
29	29	24	G407-E0081	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kshoy	K+SH+O+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	41	62	41	44	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
30	30	25	G407-E0086	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	sckhey	S+CH+K+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	3	1	37	58	37	40	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
31	31	25	G407-E0086	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	sckhey	S+CH+K+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	3	3	1	69	90	51	54	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
32	32	26	G407-E0089	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	ckhey	CH+K+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	40	61	40	43	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
33	33	27	G407-E0091	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphy	CH+P+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	40	61	40	43	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
34	34	28	G407-E0092	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	AIIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P02	2	3	1	28	40	28	31	den Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
35	35	28	G407-E0092	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	AIIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P02	3	3	1	55	67	46	49	den Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
36	36	29	G407-E0093	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthey	CH+T+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	39	60	39	42	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
37	37	30	G407-E0105	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthy	CH+T+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	39	60	39	42	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
38	38	31	G407-E0108	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shckhey	SH+CH+K+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	3	1	42	63	42	45	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
39	39	31	G407-E0108	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shckhey	SH+CH+K+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	3	3	1	74	95	56	59	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
40	40	32	G407-E0121	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kshy	K+SH+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	41	62	41	44	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
41	41	33	G407-E0129	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	tchey	T+CH+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	44	65	44	47	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
42	42	34	G407-E0130	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chekain	CH+K+AIN	AIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P03	2	2	1	31	43	31	34	den Teilwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
43	43	35	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	STATE_CARD	pshol	P+SH+OL	AIN	SINGLE_ARGUMENT	CARRIED	GDT573-P03	2	2	1	47	65	47	50	denselben Teilwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
44	44	36	G407-E0134	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthy	CH+T+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	39	60	39	42	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
45	45	37	G407-E0139	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kodshey	K+O+D_ADDR+SH+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	41	62	41	44	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
46	46	38	G407-E0140	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphealy	CH+P+E+AL+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	40	61	40	43	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
47	47	39	G407-E0144	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	ckhyds	CH+K+Y+D_ADDR+S	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	3	1	37	58	37	40	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
48	48	39	G407-E0144	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	ckhyds	CH+K+Y+D_ADDR+S	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	3	3	1	72	93	54	57	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
49	49	40	G407-E0146	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shcthaiin	SH+CH+T+AIIN	AIIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P02	2	3	1	33	45	33	36	den Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
50	50	40	G407-E0146	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shcthaiin	SH+CH+T+AIIN	AIIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P02	3	3	1	55	67	46	49	den Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
51	51	41	G407-E0147	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	okaiir	OK+IIN+R	AIIN	SINGLE_ARGUMENT	CARRIED	GDT573-P02	2	2	1	45	63	45	48	denselben Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
52	52	42	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	STATE_CARD	cthols	CH+T+OL+S	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	2	3	1	53	80	53	56	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
53	53	42	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	STATE_CARD	cthols	CH+T+OL+S	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	3	3	1	96	123	72	75	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
54	54	43	G407-E0153	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shok	SH+OK	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	2	2	1	49	76	49	52	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
55	55	44	G407-E0157	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	ckhey	CH+K+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	40	61	40	43	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
56	56	45	G407-E0162	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shokcheey	SH+OK+CH+EE+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	3	1	40	61	40	43	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
57	57	45	G407-E0162	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shokcheey	SH+OK+CH+EE+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	3	3	1	78	99	60	63	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
58	58	46	G407-E0164	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	tshodeesy	T+SH+O+D_ADDR+EE+S+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	3	1	39	60	39	42	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
59	59	46	G407-E0164	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	tshodeesy	T+SH+O+D_ADDR+EE+S+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	3	3	1	76	97	58	61	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
60	60	47	G407-E0173	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthal	CH+T+AL	AIN	SINGLE_ARGUMENT	CARRIED	GDT573-P03	2	2	1	36	54	36	39	denselben Teilwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
61	61	48	G407-E0179	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthar	CH+T+AR	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	2	2	1	45	72	45	48	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
62	62	49	G407-E0187	G407-S006	f1r	SOURCE_SECTION_T	STATE_CARD	cthol	CH+T+OL	AIIN	SINGLE_ARGUMENT	CARRIED	GDT573-P02	2	2	1	44	62	44	47	denselben Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
63	63	50	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	STATE_CARD	ctholdar	CH+T+OL+D_ADDR+AR	AIIN	SINGLE_ARGUMENT	CARRIED	GDT573-P02	2	2	1	44	62	44	47	denselben Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
64	64	51	G407-E0195	G407-S006	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kokaiin	K+OK+AIIN	AIIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P02	2	2	1	32	44	32	35	den Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
65	65	52	G407-E0201	G407-S007	f1r	SOURCE_SECTION_T	NONSTATE_CARD	koshey	K+O+SH+E+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	41	62	41	44	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
66	66	53	G407-E0202	G407-S007	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthy	CH+T+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	39	60	39	42	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
67	67	54	G407-E0208	G407-S007	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chtor	CH+T+OR	OR	SINGLE_ARGUMENT	EXPLICIT	GDT573-P04	2	2	1	37	56	37	40	die Eintragseinheit	sie	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
68	68	55	G407-E0215	G407-S008	f10r	HERBAL	NONSTATE_CARD	pchocthy	P+CH+O+CH+T+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P05	2	4	1	35	53	35	38	den Pflanzenposten	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
69	69	55	G407-E0215	G407-S008	f10r	HERBAL	NONSTATE_CARD	pchocthy	P+CH+O+CH+T+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P05	3	4	1	60	78	45	48	den Pflanzenposten	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
70	70	55	G407-E0215	G407-S008	f10r	HERBAL	NONSTATE_CARD	pchocthy	P+CH+O+CH+T+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P05	4	4	1	90	108	60	63	den Pflanzenposten	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
71	71	56	G407-E0217	G407-S008	f10r	HERBAL	NONSTATE_CARD	octhody	O+CH+T+O+D_ADDR+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P05	2	2	1	35	53	35	38	den Pflanzenposten	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
72	72	57	G407-E0218	G407-S008	f10r	HERBAL	NONSTATE_CARD	chorchy	CH+OR+CH+Y	OR	SINGLE_ARGUMENT	EXPLICIT	GDT573-P08	2	2	1	56	74	56	59	die Arbeitseinheit	sie	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
73	73	58	G407-E0218	G407-S008	f10r	HERBAL	NONSTATE_CARD	chorchy	CH+OR+CH+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P05	2	2	1	79	97	64	67	den Pflanzenposten	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
74	74	59	G407-E0219	G407-S008	f10r	HERBAL	STATE_CARD	pchodol	P+CH+O+D_ADDR+OL	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P05	2	2	1	52	76	52	55	denselben Pflanzenposten	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
