parse_no	formal_parse	default_surface	support_groups	surface_counts
132	OK+CHD+Y	okchdy	1	okchdy:1
133	OK+E+AL	okeal	1	okeal:1
134	OK+E+AR	okear	1	okear:1
135	OK+E+O	okeo	2	okeo:2
136	OK+E+O+AL	okeodal	1	okeodal:1
137	OK+E+O+DY	okeody	1	okeody:1
138	OK+E+O+D_ADDR	okeod	4	okeod:4
139	OK+E+O+Y	qokeochy	1	qokeochy:1
140	OK+E+Y	okey	3	okedy:1|okey:2
141	OK+EE+O+AL	okeeodal	1	okeeodal:1
142	OK+EE+O+S_ADDR	okeeos	1	okeeos:1
143	OK+EE+O+Y	okeeody	3	okeeody:2|qokeeody:1
144	OK+EE+Y	okeey	4	okeey:4
145	OK+EEE+DY	qokeeedy	1	qokeeedy:1
146	OK+HO+AL	okchoal	1	okchoal:1
147	OK+O+AIIN	qokoaiin	1	qokoaiin:1
148	OK+O+AL+Y	okoaly	2	okoaly:1|okodaly:1
149	OK+O+AR	okodar	2	okodar:2
150	OK+O+DY	okody	1	okody:1
151	OK+O+D_ADDR+Y	okodchy	1	okodchy:1
152	OK+O+E+S_ADDR	okoes	1	okoes:1
153	OK+O+I_COUNT+R+SH	okoirsh	1	okoirsh:1
154	OK+O+Y	okody	1	okody:1
155	OK+OL	okol	2	okol:2
156	OK+OL+AR	okolar	1	okolar:1
157	OK+OL+DY	okoldy	1	okoldy:1
158	OK+OR	okshor	1	okshor:1
159	OK+Y	choky	3	choky:1|okchy:1|oky:1
160	OK+Y+S_ADDR	okcheys	1	okcheys:1
161	OL	chol	6	chol:4|ol:1|tol:1
162	OL+AR	olar	1	olar:1
163	OL+DY	oldy	1	oldy:1
164	OL+OL	olol	1	olol:1
165	OL+OR	olor	1	olor:1
166	OL+Y	choly	2	choly:1|oly:1
167	OR	or	2	or:1|sor:1
168	OR+AL+Y	oraly	1	oraly:1
169	OR+AN_SECTION	oran	1	oran:1
170	OR+A_ADDR+I_COUNT+I_COUNT+R	soraiir	1	soraiir:1
171	OS	os	2	os:2
172	OT	ot	1	ot:1
173	OT+AIR	qotair	1	qotair:1
174	OT+AL+AL	otaldal	1	otaldal:1
175	OT+AR	otar	1	otar:1
176	OT+CH+L	otchl	1	otchl:1
177	OT+CHD+DY	otchdy	1	otchdy:1
178	OT+CHEO+DY	otcheody	1	otcheody:1
179	OT+E+O+AR+AR	oteoarar	1	oteoarar:1
180	OT+E+O+Y	oteody	1	oteody:1
181	OT+E+OL	oteol	1	oteol:1
182	OT+E+OR	qoteor	1	qoteor:1
183	OT+EE+AL	oteeal	1	oteeal:1
184	OT+EE+O	oteeo	1	oteeo:1
185	OT+EE+Y	oteey	2	oteey:2
186	OT+EE+Y+S_ADDR	oteeys	1	oteeys:1
187	OT+O+AR	otoar	1	otoar:1
188	OT+O+CHD+Y	otochedy	1	otochedy:1
189	OT+O+DY	otody	1	otody:1
190	OT+O+E+AR	qotoear	1	qotoear:1
191	OT+OK+EEE+Y	otokeeey	1	otokeeey:1
192	OT+OL	otol	1	otol:1
193	OT+OL+D_ADDR+O+S_ADDR	otoldos	1	otoldos:1
194	OT+OL+OR	otolor	1	otolor:1
195	OT+OL+Y	otoly	1	otoly:1
196	OT+OR	otor	2	otor:2
197	OT+SH+E+Y	otshey	1	otshey:1
198	OT+Y	otchey	3	otchey:1|otchy:1|oty:1
199	OT+Y+DY	otydy	1	otydy:1
200	OT+Y+K+CH+S_ADDR	otykchs	1	otykchs:1
201	OT+Y+S_ADDR	otys	1	otys:1
202	R	r	1	r:1
203	R+OR	ror	1	ror:1
204	SH+E+K+Y	shekchy	1	shekchy:1
205	SH+E+O+Y	sheody	1	sheody:1
206	SH+EE+S_ADDR	shees	1	shees:1
207	SH+EE+Y	sheey	1	sheey:1
208	SH+S_ADDR	shs	1	shs:1
209	S_ADDR	s	4	s:4
210	S_ADDR+AIN	sain	1	sain:1
211	S_ADDR+A_ADDR+I_COUNT+I_COUNT+R	saiir	1	saiir:1
212	S_ADDR+G_ADDR	qsg	1	qsg:1
213	S_ADDR+O+AR	sodar	1	sodar:1
214	S_ADDR+O+E+AR	soear	1	soear:1
215	S_ADDR+O+EE+Y	soeey	1	soeey:1
216	S_ADDR+O+HO	sosho	1	sosho:1
217	S_ADDR+SH+E+Y	sshey	1	sshey:1
218	T+E+Y	tey	1	tey:1
219	T+EE+O	teeo	1	teeo:1
220	T+O+AIIN	todaiin	1	todaiin:1
221	T+O+CH+S_ADDR+O	tochso	1	tochso:1
222	WHOLE[cheey|shey]	cheey	3	cheey:2|shey:1
223	Y	dy	25	chey:4|chy:2|dy:9|sy:1|y:9
224	Y+AIIN	ydaiin	2	ydaiin:2
225	Y+AL+HO+S_ADDR	ytalchos	1	ytalchos:1
226	Y+CHEO+Y	ycheody	1	ycheody:1
227	Y+D_ADDR+AM_ADDR	ydam	1	ydam:1
228	Y+D_ADDR+HO+S_ADDR	ydchos	1	ydchos:1
229	Y+D_ADDR+OL+Y	ydoly	1	ydoly:1
230	Y+E+K+EE+S_ADDR	yekees	1	yekees:1
231	Y+E+T+E+Y	yetey	1	yetey:1
232	Y+F_ADDR+AIN	yfain	1	yfain:1
233	Y+K+AL+Y	ykaly	1	ykaly:1
234	Y+K+AR	ykar	4	chykar:1|ykar:3
235	Y+K+A_ADDR	yka	1	yka:1
236	Y+K+A_ADDR+Y	ykady	1	ykady:1
237	Y+K+CH+S_ADDR	chykchs	1	chykchs:1
238	Y+K+CHD+Y	ykchdy	1	ykchdy:1
239	Y+K+E+HO	ykecho	1	ykecho:1
240	Y+K+E+O+DY	ykeody	1	ykeody:1
241	Y+K+E+O+Y	ykeody	1	ykeody:1
242	Y+K+E+Y	ykey	1	ykey:1
243	Y+K+E+Y+DY	ykeydy	1	ykeydy:1
244	Y+K+EE+AL	ykeeal	1	ykeeal:1
245	Y+K+EE+O+Y	ykeeody	1	ykeeody:1
246	Y+K+EE+S_ADDR	ykees	1	ykees:1
247	Y+K+EE+Y	ykeey	1	ykeey:1
248	Y+K+HO+S_ADDR	ykchos	1	ykchos:1
249	Y+K+O+AIIN	ykoaiin	1	ykoaiin:1
250	Y+K+O+S_ADDR	sykos	1	sykos:1
251	Y+K+OR	ykor	2	ykor:2
252	Y+K+Y	ykchey	6	cheyky:1|ykchey:2|ykchy:1|ykshy:1|yky:1
253	Y+K+Y+S_ADDR	ykchys	1	ykchys:1
254	Y+P+AIR	ypair	1	ypair:1
255	Y+SH+E+Y	yshey	1	yshey:1
256	Y+T+E+O+OR	yteoor	1	yteoor:1
257	Y+T+E+O+S_ADDR	yteos	1	yteos:1
258	Y+T+E+O+Y	yteody	1	yteody:1
259	Y+T+HO+DY	ytchody	1	ytchody:1
260	Y+T+HO+L+Y	ytchodly	1	ytchodly:1
261	Y+T+O	yto	2	yto:2
262	Y+T+O+AIIN	ytoaiin	1	ytoaiin:1
263	Y+T+O+AL	ytodal	1	ytodal:1
264	Y+T+O+DY	ytody	1	ytody:1
265	Y+T+O+E+O+P+Y	ytoeopchey	1	ytoeopchey:1
266	Y+T+O+Y	ytody	1	ytody:1
267	Y+T+OK+AR	ytokar	1	ytokar:1
268	Y+T+OR	ytor	1	ytor:1
269	Y+T+OR+Y	ytory	1	ytory:1
270	Y+T+Y+D_ADDR	ytyd	1	ytyd:1
271	Y+Y	ychey	1	ychey:1
