exception_no	domain	item_id	unit_id	page	locus	formal_parse	compact_predicted_surface	exemplar_surface	apprentice_action
68	ASTRO	A:001	A1	f67r2	f67r2.1	Y+K+Y	ykchey	ykshy	copy the local exemplar surface
69	ASTRO	A:013	A1	f67r2	f67r2.5	OK+Y	choky	okchy	copy the local exemplar surface
70	ASTRO	A:015	A1	f67r2	f67r2.7	Y+K+Y	ykchey	ykchy	copy the local exemplar surface
71	ASTRO	A:026	A1	f67r2	f67r2.11	Y	dy	chy	copy the local exemplar surface
72	ASTRO	A:040	A1	f67r2	f67r2.16	Y	dy	y	copy the local exemplar surface
73	ASTRO	A:045	A1	f67r2	f67r2.18	AIIN	aiin	daiin	copy the local exemplar surface
74	ASTRO	A:073	A1	f67r2	f67r2.29	AIIN	aiin	saiin	copy the local exemplar surface
75	ASTRO	A:090	A1	f67r2	f67r2.36	AIIN	aiin	daiin	copy the local exemplar surface
76	ASTRO	A:095	A1	f67r2	f67r2.39	OR	or	sor	copy the local exemplar surface
77	ASTRO	A:106	A1	f67r2	f67r2.43	AIIN	aiin	daiin	copy the local exemplar surface
78	ASTRO	A:120	A1	f67r2	f67r2.48	AIN	ain	dain	copy the local exemplar surface
79	ASTRO	A:126	A1	f67r2	f67r2.50	AL	dal	sal	copy the local exemplar surface
80	ASTRO	A:130	A1	f67r2	f67r2.54	Y	dy	y	copy the local exemplar surface
81	ASTRO	A:133	A1	f67r2	f67r2.56	OL	chol	tol	copy the local exemplar surface
82	ASTRO	A:134	A1	f67r2	f67r2.56	AIIN	aiin	daiin	copy the local exemplar surface
83	ASTRO	A:153	A1	f67r2	f67r2.70	O+AR	oar	osar	copy the local exemplar surface
84	ASTRO	A:155	A1	f67r2	f67r2.72	AR	ar	dar	copy the local exemplar surface
85	ASTRO	A:156	A1	f67r2	f67r2.72	AL+AIIN	alaiin	aldaiin	copy the local exemplar surface
86	ASTRO	A:165	A1	f67r2	f67r2.72	OL+Y	choly	oly	copy the local exemplar surface
87	ASTRO	A:168	A1	f67r2	f67r2.73	Y	dy	sy	copy the local exemplar surface
88	ASTRO	A:179	A1	f67r2	f67r2.74	OK+EE+O+Y	okeeody	qokeeody	copy the local exemplar surface
89	ASTRO	A:182	A1	f67r2	f67r2.74	O+CKH+Y	ockhy	qockhy	copy the local exemplar surface
90	ASTRO	A:210	A2	f68r1	f68r1.3	WHOLE[cheey|shey]	cheey	shey	copy the local exemplar surface
91	ASTRO	A:216	A2	f68r1	f68r1.3	AR+AM_ADDR	aram	daram	copy the local exemplar surface
92	ASTRO	A:219	A2	f68r1	f68r1.5	Y+K+Y	ykchey	yky	copy the local exemplar surface
93	ASTRO	A:222	A2	f68r1	f68r1.8	OK+O+AL+Y	okoaly	okodaly	copy the local exemplar surface
94	ASTRO	A:251	A2	f68r1	f68r1.37	OK+Y	choky	oky	copy the local exemplar surface
95	ASTRO	A:257	A3	f69v	f69v.1	Y+K+Y	ykchey	cheyky	copy the local exemplar surface
96	ASTRO	A:259	A3	f69v	f69v.1	AR	ar	sar	copy the local exemplar surface
97	ASTRO	A:261	A3	f69v	f69v.1	Y+K+AR	ykar	chykar	copy the local exemplar surface
98	ASTRO	A:274	A3	f69v	f69v.1	Y	y	chey	copy the local exemplar surface
99	ASTRO	A:277	A3	f69v	f69v.1	OK+E+Y	okey	okedy	copy the local exemplar surface
100	ASTRO	A:281	A3	f69v	f69v.1	Y	y	dy	copy the local exemplar surface
101	ASTRO	A:289	A3	f69v	f69v.1	OT+Y	otchey	oty	copy the local exemplar surface
102	ASTRO	A:291	A3	f69v	f69v.1	AR	ar	dar	copy the local exemplar surface
103	ASTRO	A:295	A3	f69v	f69v.1	AR	ar	char	copy the local exemplar surface
104	ASTRO	A:313	A3	f69v	f69v.2	AL	dal	cheal	copy the local exemplar surface
105	ASTRO	A:317	A3	f69v	f69v.2	Y	y	dy	copy the local exemplar surface
106	ASTRO	A:321	A3	f69v	f69v.2	Y	y	dy	copy the local exemplar surface
107	ASTRO	A:324	A3	f69v	f69v.2	OL	chol	ol	copy the local exemplar surface
108	ASTRO	A:327	A3	f69v	f69v.2	Y	y	chey	copy the local exemplar surface
109	ASTRO	A:333	A3	f69v	f69v.2	Y	dy	chey	copy the local exemplar surface
110	ASTRO	A:340	A3	f69v	f69v.3	Y	dy	chy	copy the local exemplar surface
111	ASTRO	A:358	A3	f69v	f69v.3	Y	dy	chey	copy the local exemplar surface
112	ASTRO	A:364	A3	f69v	f69v.4	AR	ar	sar	copy the local exemplar surface
113	ASTRO	A:385	A3	f69v	f69v.24	OT+Y	otchey	otchy	copy the local exemplar surface
