body_no	body_surface	default_wrapper	support_events	wrapper_counts
163	sheol	d	1	d:1
164	shey	t	1	t:1
165	shkchdy	s	1	s:1
166	shol	t	1	t:1
167	ty	ch	2	ch:1|che:1
168	y	che	18	NONE:1|ch:3|che:7|d:5|s:1|sh:1
169	ycheor	NONE	1	NONE:1
170	ykaiin	NONE	1	NONE:1
171	ykain	NONE	1	NONE:1
172	ykan	NONE	1	NONE:1
173	ytey	NONE	1	NONE:1
