event_serial	statement_id	record_unit_id	page	local_address	visible_identity	short_form_reading	statement_translation_de	line_crossing_statement
12	H1-S002	H1	f10r	H1-S002	qotchol	Danach oder in demselben Gang: danach weiterfuehren.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	NO
13	H1-S002	H1	f10r	H1-S002	chol	Danach oder in demselben Gang: fortsetzen.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	NO
14	H1-S002	H1	f10r	H1-S002	cthy	Führe es mit diesem laufenden Posten aus: bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	NO
15	H2-S001	H2	f10r	H2-S001	ycheor	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszugsansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
16	H2-S001	H2	f10r	H2-S001	cthy	Führe es mit diesem laufenden Posten aus: bereit.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
17	H2-S001	H2	f10r	H2-S001	chor	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
18	H2-S001	H2	f10r	H2-S001	cthaiin	Führe es in der angegebenen Portion oder Stufe aus: Fertigmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
19	H2-S001	H2	f10r	H2-S001	qoctholy	Danach oder in demselben Gang: bereiten Posten weiterfuehren.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
20	H2-S001	H2	f10r	H2-S001	dy	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
21	H2-S001	H2	f10r	H2-S001	chy	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
22	H2-S001	H2	f10r	H2-S001	taiin	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
23	H2-S001	H2	f10r	H2-S001	shy	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
24	H2-S002	H2	f10r	H2-S002	qotchor	Danach oder in demselben Gang: Folgeansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
25	H2-S002	H2	f10r	H2-S002	chor	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
26	H2-S002	H2	f10r	H2-S002	otol	Danach oder in demselben Gang: danach fortsetzen.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
27	H2-S002	H2	f10r	H2-S002	chol	Danach oder in demselben Gang: fortsetzen.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
28	H2-S002	H2	f10r	H2-S002	cholor	Danach oder in demselben Gang: Fortsetzungsansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
29	H2-S002	H2	f10r	H2-S002	chol	Danach oder in demselben Gang: fortsetzen.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
30	H2-S002	H2	f10r	H2-S002	daiin	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
31	H2-S002	H2	f10r	H2-S002	dar	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
32	H2-S003	H2	f10r	H2-S003	oykchor	Führe es aus dem Vorrat oder am Ansatz aus: aktuellen Ansatz bearbeiten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
33	H2-S003	H2	f10r	H2-S003	shor	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
34	H2-S003	H2	f10r	H2-S003	chor	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
35	H2-S003	H2	f10r	H2-S003	chy	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
36	H2-S003	H2	f10r	H2-S003	kaiiin	Setze Maß, Portion oder Stufe: Weichstufe.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
37	H2-S003	H2	f10r	H2-S003	dy	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
38	H2-S003	H2	f10r	H2-S003	chodaiin	Setze die gelernte Fachkarte: Zutatenmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
39	H3-S001	H3	f11r	H3-S001	tshol	Setze die gelernte Fachkarte: Zutat entnehmen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
40	H3-S001	H3	f11r	H3-S001	schoal	Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
41	H3-S001	H3	f11r	H3-S001	cfhy	Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
42	H3-S001	H3	f11r	H3-S001	shfydaiin	Führe es in der angegebenen Portion oder Stufe aus: Standmaß.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
43	H3-S001	H3	f11r	H3-S001	cphy	Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
44	H3-S001	H3	f11r	H3-S001	shey	Setze die gelernte Fachkarte: klarer Auszug.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
45	H3-S001	H3	f11r	H3-S001	tchody	Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
46	H3-S002	H3	f11r	H3-S002	shoyty	Setze die gelernte Fachkarte: Zutatenteil.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	NO
47	H3-S003	H3	f11r	H3-S003	dchol	Danach oder in demselben Gang: vorigen Posten fortsetzen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
48	H3-S003	H3	f11r	H3-S003	chy	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
49	H3-S003	H3	f11r	H3-S003	kchy	Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
50	H3-S003	H3	f11r	H3-S003	dy	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
51	H3-S003	H3	f11r	H3-S003	daiin	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
52	H3-S004	H3	f11r	H3-S004	qotchy	Danach oder in demselben Gang: anschließender Arbeitsposten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	NO
53	H3-S004	H3	f11r	H3-S004	okchol	Danach oder in demselben Gang: weiterlaufenden Posten aufnehmen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	NO
54	H3-S004	H3	f11r	H3-S004	cthy	Führe es mit diesem laufenden Posten aus: bereit.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	NO
55	H3-S004	H3	f11r	H3-S004	dy	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	NO
56	H4-S001	H4	f55v	H4-S001	qokaiin	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
57	H4-S001	H4	f55v	H4-S001	chaiin	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
58	H4-S001	H4	f55v	H4-S001	ykain	Setze Maß, Portion oder Stufe: Postenportion.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
59	H4-S001	H4	f55v	H4-S001	ykan	Setze Maß, Portion oder Stufe: dieser Anteil.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
60	H4-S001	H4	f55v	H4-S001	ody	Setze die gelernte Fachkarte: kühlen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
61	H4-S002	H4	f55v	H4-S002	daiin	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	NO
62	H4-S002	H4	f55v	H4-S002	chedy	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	NO
63	H4-S002	H4	f55v	H4-S002	talam	Setze die gelernte Fachkarte: am Ziel verwahren.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	NO
64	H4-S003	H4	f55v	H4-S003	ykaiin	Setze Maß, Portion oder Stufe: Postenmaß.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	NO
65	H4-S003	H4	f55v	H4-S003	cheoar	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszug entnehmen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	NO
66	H4-S003	H4	f55v	H4-S003	cheeky	Führe aus und beachte Dauer oder Endpunkt: länger erwärmen und offen halten.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	NO
67	H4-S003	H4	f55v	H4-S003	oldy	Danach oder in demselben Gang: Fortsetzung abschließen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	NO
68	H4-S004	H4	f55v	H4-S004	aiin	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
69	H4-S004	H4	f55v	H4-S004	okal	Führe es an der bezeichneten Stelle aus: dort ansetzen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
70	H4-S004	H4	f55v	H4-S004	oltchy	Danach oder in demselben Gang: bereiten Posten weiterführen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
71	H4-S004	H4	f55v	H4-S004	or	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
72	H4-S004	H4	f55v	H4-S004	y	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
73	H4-S004	H4	f55v	H4-S004	orain	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatzportion.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
74	H5-S001	H5	f56r	H5-S001	chochor	Setze die gelernte Fachkarte: Zutatenansatz.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
75	H5-S001	H5	f56r	H5-S001	cho	Setze die gelernte Fachkarte: Eingangsposten oder Zutat.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
76	H5-S001	H5	f56r	H5-S001	chodaly	Setze die gelernte Fachkarte: diese Zutat zur Stelle bringen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
77	H5-S001	H5	f56r	H5-S001	daiin	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
78	H5-S001	H5	f56r	H5-S001	sho	Setze die gelernte Fachkarte: Zutat.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
79	H5-S001	H5	f56r	H5-S001	kchol	Danach oder in demselben Gang: weiter bearbeiten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
80	H5-S001	H5	f56r	H5-S001	otchor	Danach oder in demselben Gang: Folgeansatz.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
81	H5-S001	H5	f56r	H5-S001	choky	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
82	H5-S001	H5	f56r	H5-S001	dal	Setze die bezeichnete Zielstelle: dorthin.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
83	H5-S002	H5	f56r	H5-S002	schol	Danach oder in demselben Gang: vorigen Posten fortsetzen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	NO
84	H5-S002	H5	f56r	H5-S002	choy	Setze die gelernte Fachkarte: diese Zutat.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	NO
85	H5-S002	H5	f56r	H5-S002	choky	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	NO
86	H5-S002	H5	f56r	H5-S002	cheeckhody	Setze die gelernte Fachkarte: länger auftragen; Schluss.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	NO
87	H5-S003	H5	f56r	H5-S003	sh	Führe die Handlung aus; schließe nur bei Endkarte: halten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	NO
88	H5-S003	H5	f56r	H5-S003	cho	Setze die gelernte Fachkarte: Eingangsposten oder Zutat.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	NO
89	H5-S003	H5	f56r	H5-S003	kchey	Führe aus und beachte Dauer oder Endpunkt: diesen Posten kurz bearbeiten.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	NO
