statement_order	statement_id	record_unit_id	page	constituent_fields	physical_loci	line_crossing	event_count	event_serials	visible_surface_sequence	card_near_workshop_reading_de	concrete_source_expansion_de	record_program_de	sentence_boundary_rule	status
11	H4-S002	H4	f55v	F011	f55v.5	NO	3	61|62|63	daiin chedy talam	Setze den Posten nach Sollmaß um und verwahre ihn am Ziel.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
12	H4-S003	H4	f55v	F012	f55v.11	NO	4	64|65|66|67	ykaiin cheoar cheeky oldy	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
13	H4-S004	H4	f55v	F013	f55v.11	NO	6	68|69|70|71|72|73	aiin okal oltchy or y orain	Stelle das Sollmaß ein, setze dort an, führe den bereiten Ansatz weiter und nimm davon eine Portion.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
14	H5-S001	H5	f56r	F014|F015	f56r.5|f56r.7	YES__CONTINUE_ACROSS_PHYSICAL_LINE	9	74|75|76|77|78|79|80|81|82	chochor cho chodaly daiin sho kchol otchor choky dal	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmaß, bearbeite die nächste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
15	H5-S002	H5	f56r	F016	f56r.8	NO	4	83|84|85|86	schol choy choky cheeckhody	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
16	H5-S003	H5	f56r	F017	f56r.12	NO	4	87|88|89|90	sh cho kchey qokokchy	Nimm den Stängel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
17	H5-S004	H5	f56r	F018	f56r.13	NO	3	91|92|93	okchy chokcheo kchal	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
18	H5-S005	H5	f56r	F019	f56r.18	NO	4	94|95|96|97	sho chokchy kchoar sotodan	Setze den Ansatz als Zutat an, nimm den Auszug daraus und wende ihn danach an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
19	H5-S006	H5	f56r	F020	f56r.19	NO	3	98|99|100	otchey keol daiin	Nimm den Folgeposten, führe ihn kurz weiter und stelle das Sollmaß ein.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
20	B1-S001	B1	f81v	F021	f81v.2	NO	1	101	qokedy	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
21	B1-S002	B1	f81v	F022|F023	f81v.2|f81v.7	YES__CONTINUE_ACROSS_PHYSICAL_LINE	19	102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
22	B1-S003	B1	f81v	F024|F025	f81v.7|f81v.17	YES__CONTINUE_ACROSS_PHYSICAL_LINE	2	121|122	qol sshkchdy	Führe weiter, schwenke den Posten und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
23	B1-S004	B1	f81v	F026	f81v.17	NO	3	123|124|125	chedy ol shedy	Setze um, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
24	B1-S005	B1	f81v	F027	f81v.17	NO	1	126	qolchedy	Führe den Posten weiter und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
25	B1-S006	B1	f81v	F028	f81v.17	NO	4	127|128|129|130	qokain shckhy dl ral	Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
26	B1-S007	B1	f81v	F029	f81v.18	NO	1	131	qokchdy	Setze die abgekühlte Badmischung um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
27	B1-S008	B1	f81v	F030	f81v.18	NO	5	132|133|134|135|136	chey ol cheky ol shedy	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
28	B1-S009	B1	f81v	F031	f81v.18	NO	1	137	qokedy	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
29	B1-S010	B1	f81v	F032	f81v.18	NO	1	138	qokedy	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
30	B1-S011	B1	f81v	F033	f81v.18	NO	2	139|140	chckhy qoky	Leite durch und setze den Posten an	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
31	B1-S012	B1	f81v	F034	f81v.21	NO	3	141|142|143	lsho qokey lshedy	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
32	B1-S013	B1	f81v	F035	f81v.21	NO	1	144	lshedy	Wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
33	B1-S014	B1	f81v	F036	f81v.21	NO	5	145|146|147|148|149	chedy qolky lchedal qol otar	Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
34	B1-S015	B1	f81v	F037	f81v.24	NO	2	150|151	ytey okchedy	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
35	B1-S016	B1	f81v	F038	f81v.24	NO	4	152|153|154|155	qokal okeey qol cheedy	Setze dort länger an, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
36	B1-S017	B1	f81v	F039	f81v.24	NO	3	156|157|158	sal teol dchdy	Führe dorthin, führe kurz weiter, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
37	B1-S018	B1	f81v	F040|F041	f81v.24|f81v.27	YES__CONTINUE_ACROSS_PHYSICAL_LINE	4	159|160|161|162	ly dsheol oiiin olkeedy	Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
38	B1-S019	B1	f81v	F042	f81v.27	NO	1	163	tedy	Lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
39	B1-S020	B1	f81v	F043	f81v.27	NO	2	164|165	cheky shckhedy	Wärme kurz, seih und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
40	B1-S021	B1	f81v	F044	f81v.27	NO	1	166	chal	Führe den Posten dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
41	B2-S001	B2	f82r	F045	f82r.2	NO	1	167	dchedy	Setze um und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze um und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
42	B2-S002	B2	f82r	F046	f82r.2	NO	1	168	qolchedy	Führe weiter und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe weiter und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
