projection_ordinal	in_exact_542_join	gdt800_occurrence_id	gdt791_occurrence_ordinal	gdt791_occurrence_id	source_selector	physical_page	locus	token_index	token_count	surface	stem	terminal	distance_from_end	position_class	any_line_final	multi_line_final	single_token_line	occurrence_kind	line_kind	paragraph_start	paragraph_end_line	paragraph_role	paragraph_close	legacy_statement_id	statement_close	record_id	record_close	panel_id	panel_close	topology_family	register	context_scope	structurally_internal	semantic_export_credit
11	0	NONE	119	G407-E0119	f1r	f1r	f1r.16	2	10	chol	cho	l	8	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S005	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
12	0	NONE	137	G407-E0137	f1r	f1r	f1r.18	2	9	shol	sho	l	7	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S005	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
13	0	NONE	150	G407-E0150	f1r	f1r	f1r.19	6	8	tol	to	l	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S005	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
14	0	NONE	163	G407-E0163	f1r	f1r	f1r.22	4	10	chol	cho	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S006	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
15	0	NONE	171	G407-E0171	f1r	f1r	f1r.23	2	10	chol	cho	l	8	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S006	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
16	0	NONE	173	G407-E0173	f1r	f1r	f1r.23	4	10	cthal	ctha	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S006	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
17	0	NONE	184	G407-E0184	f1r	f1r	f1r.24	5	10	okol	oko	l	5	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S006	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
18	0	NONE	187	G407-E0187	f1r	f1r	f1r.24	8	10	cthol	ctho	l	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S006	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
19	0	NONE	198	G407-E0198	f1r	f1r	f1r.25	9	9	dal	da	l	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S006	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
20	0	NONE	207	G407-E0207	f1r	f1r	f1r.26	9	10	dal	da	l	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S007	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
21	0	NONE	210	G407-E0210	f1r	f1r	f1r.27	2	5	chol	cho	l	3	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S007	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
22	1	GDT800-O2208	217	G515-E0003	f4r	f4r	f4r.1	3	9	sheol	sheo	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G515-S002	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
23	1	GDT800-O2209	218	G515-E0004	f4r	f4r	f4r.1	4	9	ol	o	l	5	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G515-S002	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
24	1	GDT800-O2211	225	G515-E0011	f4r	f4r	f4r.2	2	9	shol	sho	l	7	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S002	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
25	1	GDT800-O2212	226	G515-E0012	f4r	f4r	f4r.2	3	9	shol	sho	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S002	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
26	1	GDT800-O2213	227	G515-E0013	f4r	f4r	f4r.2	4	9	cthol	ctho	l	5	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S002	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
27	1	GDT800-O2214	232	G515-E0018	f4r	f4r	f4r.2	9	9	chom	cho	m	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S002	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
28	1	GDT800-O2215	233	G515-E0019	f4r	f4r	f4r.3	1	7	otchol	otcho	l	6	FIRST	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S002	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
29	1	GDT800-O2216	234	G515-E0020	f4r	f4r	f4r.3	2	7	chol	cho	l	5	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S002	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
30	1	GDT800-O2217	254	G515-E0040	f4r	f4r	f4r.7	2	4	cthol	ctho	l	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S004	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
31	1	GDT800-O2218	256	G515-E0042	f4r	f4r	f4r.7	4	4	cthom	ctho	m	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S004	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
32	1	GDT800-O2219	258	G515-E0044	f4r	f4r	f4r.8	2	5	shol	sho	l	3	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S004	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
33	1	GDT800-O2220	259	G515-E0045	f4r	f4r	f4r.8	3	5	shol	sho	l	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S004	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
34	1	GDT800-O2210	267	G515-E0053	f4r	f4r	f4r.10	1	4	odal	oda	l	3	FIRST	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G515-S005	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
35	1	GDT800-O0765	286	G407-E0222	f10r	f10r	f10r.1	8	8	kom	ko	m	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S008	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
36	1	GDT800-O0766	303	G407-E0239	f10r	f10r	f10r.3	7	11	chol	cho	l	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S008	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
37	1	GDT800-O0767	320	G407-E0256	f10r	f10r	f10r.5	3	4	chol	cho	l	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	0	G407-S009	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
38	1	GDT800-O0768	340	G407-E0276	f10r	f10r	f10r.7	10	10	am	a	m	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S009	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
39	1	GDT800-O0769	344	G407-E0280	f10r	f10r	f10r.8	4	8	chol	cho	l	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S009	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
40	1	GDT800-O0770	346	G407-E0282	f10r	f10r	f10r.8	6	8	chol	cho	l	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S009	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
41	1	GDT800-O1328	386	G407-E0322	f11r	f11r	f11r.2	8	9	kchol	kcho	l	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S011	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
42	1	GDT800-O1329	389	G407-E0325	f11r	f11r	f11r.3	2	10	chol	cho	l	8	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S011	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
43	1	GDT800-O1330	398	G407-E0334	f11r	f11r	f11r.4	1	5	dchol	dcho	l	4	FIRST	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	0	G407-S011	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
44	1	GDT800-O1331	427	G407-E0363	f11r	f11r	f11r.7	2	4	okchol	okcho	l	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	0	G407-S011	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
45	1	GDT800-O1335	432	G407-E0368	f13r	f13r	f13r.1	3	9	shol	sho	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
46	1	GDT800-O1336	435	G407-E0371	f13r	f13r	f13r.1	6	9	shol	sho	l	3	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
47	1	GDT800-O1337	439	G407-E0375	f13r	f13r	f13r.2	1	11	dchol	dcho	l	10	FIRST	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
48	1	GDT800-O1338	440	G407-E0376	f13r	f13r	f13r.2	2	11	chol	cho	l	9	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
49	1	GDT800-O1339	441	G407-E0377	f13r	f13r	f13r.2	3	11	dol	do	l	8	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
50	1	GDT800-O1340	443	G407-E0379	f13r	f13r	f13r.2	5	11	ydal	yda	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
51	1	GDT800-O1341	467	G407-E0403	f13r	f13r	f13r.5	4	8	kchol	kcho	l	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
52	1	GDT800-O1342	470	G407-E0406	f13r	f13r	f13r.5	7	8	otchol	otcho	l	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
53	1	GDT800-O1343	483	G407-E0419	f13r	f13r	f13r.7	3	9	chol	cho	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S013	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
54	1	GDT800-O1344	499	G407-E0435	f13r	f13r	f13r.9	3	7	chol	cho	l	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S015	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
55	1	GDT800-O1399	508	G407-E0444	f17r	f17r	f17r.1	2	10	daram	dara	m	8	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S018	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
56	1	GDT800-O1403	523	G407-E0459	f17r	f17r	f17r.2	7	9	otchol	otcho	l	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S021	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
57	1	GDT800-O1404	526	G407-E0462	f17r	f17r	f17r.3	1	7	chol	cho	l	6	FIRST	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	0	G407-S021	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
58	1	GDT800-O1405	529	G407-E0465	f17r	f17r	f17r.3	4	7	qodam	qoda	m	3	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	0	G407-S021	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
59	1	GDT800-O1406	532	G407-E0468	f17r	f17r	f17r.3	7	7	okchom	okcho	m	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	1	G407-S021	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
60	1	GDT800-O1407	534	G407-E0470	f17r	f17r	f17r.4	2	9	shol	sho	l	7	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S021	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
61	1	GDT800-O1408	535	G407-E0471	f17r	f17r	f17r.4	3	9	qokol	qoko	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S021	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
62	1	GDT800-O1409	539	G407-E0475	f17r	f17r	f17r.4	7	9	som	so	m	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S021	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
63	1	GDT800-O1400	577	G407-E0513	f17r	f17r	f17r.11	1	5	otchol	otcho	l	4	FIRST	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S024	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
64	1	GDT800-O1401	580	G407-E0516	f17r	f17r	f17r.11	4	5	chol	cho	l	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S024	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
65	1	GDT800-O1402	584	G407-E0520	f17r	f17r	f17r.12	3	3	chotom	choto	m	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	1	G407-S024	1	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
66	1	GDT800-O1444	590	G407-E0524	f18r	f18r	f18r.1	4	9	ykchol	ykcho	l	5	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S026	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
67	1	GDT800-O1445	592	G407-E0526	f18r	f18r	f18r.1	6	9	om	o	m	3	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S026	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
68	1	GDT800-O1446	595	G407-E0529	f18r	f18r	f18r.1	9	9	dal	da	l	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S026	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
69	1	GDT800-O1452	602	G407-E0536	f18r	f18r	f18r.2	7	8	chol	cho	l	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S026	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
70	1	GDT800-O1453	615	G407-E0549	f18r	f18r	f18r.4	4	5	ykchol	ykcho	l	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	0	G407-S026	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
71	1	GDT800-O1454	620	G407-E0554	f18r	f18r	f18r.5	4	6	cthol	ctho	l	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S027	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
