deep_ordinal	gdt800_occurrence_id	gdt791_occurrence_id	physical_page	source_selector	locus	surface	stem	terminal	record_id	panel_id	record_line_rank	record_line_count	record_line_progress	record_lines_after	record_events_after	panel_line_rank	panel_line_count	panel_line_progress	panel_lines_after	panel_events_after	record_close	panel_close	semantic_export_credit
11	GDT800-O2854	G407-E2668	f77r	f77r	f77r.42	al	a	l	F77_P3	F77_LOWER_VESSEL	5	11	0.4	6	45	5	11	0.4	6	45	0	0	ZERO__PROGRESS_DIAGNOSTIC
12	GDT800-O3382	G407-E3214	f82r	f82r	f82r.5	qokal	qoka	l	F82_P1	F82_TOP_COUPLED	5	9	0.5	4	34	5	9	0.5	4	34	0	0	ZERO__PROGRESS_DIAGNOSTIC
13	GDT800-O3358	G407-E3256	f82r	f82r	f82r.11	kam	ka	m	F82_P2	F82_MIDDLE_TRANSFER	1	9	0	8	72	1	9	0	8	72	0	0	ZERO__PROGRESS_DIAGNOSTIC
14	GDT800-O3363	G407-E3303	f82r	f82r	f82r.16	dam	da	m	F82_P2	F82_MIDDLE_TRANSFER	6	9	0.625	3	25	6	9	0.625	3	25	0	0	ZERO__PROGRESS_DIAGNOSTIC
15	GDT800-O3367	G407-E3347	f82r	f82r	f82r.21	dal	da	l	F82_P3	F82_BOTTOM_COMMUNAL	2	14	0.0769230769231	12	107	2	14	0.0769230769231	12	107	0	0	ZERO__PROGRESS_DIAGNOSTIC
16	GDT800-O3441	G407-E3548	f83r	f83r	f83r.10	sam	sa	m	F83_P2	F83_MIDDLE_LOOP	2	9	0.125	7	62	2	9	0.125	7	62	0	0	ZERO__PROGRESS_DIAGNOSTIC
17	GDT800-O3445	G407-E3567	f83r	f83r	f83r.12	qokal	qoka	l	F83_P2	F83_MIDDLE_LOOP	4	9	0.375	5	43	4	9	0.375	5	43	0	0	ZERO__PROGRESS_DIAGNOSTIC
18	GDT800-O3457	G407-E3679	f83r	f83r	f83r.25	otal	ota	l	F83_P4	F83_LOWER_COUPLED	1	6	0	5	27	1	27	0	26	116	0	0	ZERO__PROGRESS_DIAGNOSTIC
19	GDT800-O3465	G407-E3748	f83r	f83r	f83r.39	chckhal	chckha	l	F83_P5	F83_LOWER_COUPLED	9	14	0.615384615385	5	20	15	27	0.538461538462	12	47	0	0	ZERO__PROGRESS_DIAGNOSTIC
20	GDT800-O3466	G407-E3755	f83r	f83r	f83r.41	dal	da	l	F83_P5	F83_LOWER_COUPLED	11	14	0.769230769231	3	13	17	27	0.615384615385	10	40	0	0	ZERO__PROGRESS_DIAGNOSTIC
21	GDT800-O3471	G407-E3771	f83r	f83r	f83r.47	shedal	sheda	l	F83_Q1	F83_LOWER_COUPLED	1	3	0	2	8	21	27	0.769230769231	6	24	0	0	ZERO__PROGRESS_DIAGNOSTIC
22	GDT800-O3477	G407-E3783	f83r	f83r	f83r.52	ol	o	l	F83_Q2	F83_LOWER_COUPLED	1	4	0	3	12	24	27	0.884615384615	3	12	0	0	ZERO__PROGRESS_DIAGNOSTIC
23	GDT800-O3479	G407-E3787	f83r	f83r	f83r.53	ol	o	l	F83_Q2	F83_LOWER_COUPLED	2	4	0.333333333333	2	8	25	27	0.923076923077	2	8	0	0	ZERO__PROGRESS_DIAGNOSTIC
24	GDT800-O3482	G407-E3795	f83r	f83r	f83r.55	cthal	ctha	l	F83_Q2	F83_LOWER_COUPLED	4	4	1	0	0	27	27	1	0	0	1	1	ZERO__PROGRESS_DIAGNOSTIC
