page	physical_folio	quire	visual_state	exact_source_phrase	provenance	annotation_source	postexposure_status	group_count	locus_count	mean_symbols_per_group	label_group_rate	alternative_group_rate	pages_on_physical_folio	currier	hand
f22r	f22	q03	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f22r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	77	9	3.506493506494	0.000000000000	0.064935064935	1	A	1
f24v	f24	q03	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f24v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	54	11	3.814814814815	0.000000000000	0.259259259259	1	A	1
f25v	f25	q04	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f25v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	43	5	3.604651162791	0.000000000000	0.186046511628	1	A	1
f27r	f27	q04	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f27r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	75	11	3.320000000000	0.000000000000	0.120000000000	1	A	1
f29v	f29	q04	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f29v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	66	9	3.424242424242	0.000000000000	0.303030303030	1	A	1
f30v	f30	q04	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f30v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	42	8	4.000000000000	0.000000000000	0.142857142857	1	A	1
f32r	f32	q04	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f32r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	74	18	3.675675675676	0.000000000000	0.081081081081	2	A	1
f32v	f32	q04	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f32v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	77	10	3.142857142857	0.000000000000	0.376623376623	2	A	1
f35v	f35	q05	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q05/index.html#f35v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	80	19	3.450000000000	0.000000000000	0.000000000000	1	A	1
f37r	f37	q05	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q05/index.html#f37r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	54	8	3.907407407407	0.000000000000	0.166666666667	1	A	1
f38r	f38	q05	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q05/index.html#f38r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	37	5	3.297297297297	0.000000000000	0.270270270270	1	A	1
f42r	f42	q06	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q06/index.html#f42r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	86	15	3.779069767442	0.000000000000	0.197674418605	1	A	1
f44r	f44	q06	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q06/index.html#f44r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	58	9	4.241379310345	0.000000000000	0.000000000000	1	A	1
f47r	f47	q06	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q06/index.html#f47r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	55	8	3.400000000000	0.000000000000	0.272727272727	1	A	1
f49r	f49	q07	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q07/index.html#f49r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	87	17	3.850574712644	0.000000000000	0.091954022989	1	A	1
f52v	f52	q07	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q07/index.html#f52v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	56	11	3.839285714286	0.000000000000	0.553571428571	1	A	1
f54r	f54	q07	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q07/index.html#f54r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	85	9	3.329411764706	0.000000000000	0.388235294118	1	A	1
f87r	f87	q15	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q15/index.html#f87r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	86	14	4.186046511628	0.000000000000	0.093023255814	1	A	1
f90v2	f90	q15	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q15/index.html#f90v2	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	34	4	3.823529411765	0.000000000000	0.294117647059	1	A	1
f93v	f93	q17	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q17/index.html#f93v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	43	5	4.209302325581	0.000000000000	0.209302325581	1	A	1
f96v	f96	q17	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q17/index.html#f96v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	35	8	4.171428571429	0.000000000000	0.000000000000	1	A	1
