page	physical_folio	quire	visual_state	exact_source_phrase	provenance	annotation_source	postexposure_status
f42r	f42	q06	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q06/index.html#f42r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f44r	f44	q06	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q06/index.html#f44r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f47r	f47	q06	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q06/index.html#f47r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f49r	f49	q07	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q07/index.html#f49r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f52v	f52	q07	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q07/index.html#f52v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f54r	f54	q07	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q07/index.html#f54r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f87r	f87	q15	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q15/index.html#f87r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f90v2	f90	q15	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q15/index.html#f90v2	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f93v	f93	q17	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q17/index.html#f93v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f96v	f96	q17	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q17/index.html#f96v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
