event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	whole_plant_owner	owner_status	apprentice_layer	portable_or_local_value_de	spoken_token_de	scope_guard	picture_supplies
13	H1-S002	H1	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	weiter	weiter	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
14	H1-S002	H1	f10r	cthy	MC161	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	bereit	bereit	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
15	H2-S001	H2	f10r	ycheor	MC075	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Posten · Auszug · Bereitung	Posten Auszug Bereitung	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
16	H2-S001	H2	f10r	cthy	MC161	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	bereit	bereit	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
17	H2-S001	H2	f10r	chor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	Ansatz	Ansatz	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
18	H2-S001	H2	f10r	cthaiin	MC169	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	bereitstellen · Sollmaß	bereitstellen Sollmaß	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
19	H2-S001	H2	f10r	qoctholy	MC115	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	bereitstellen · weiter · Posten	bereitstellen weiter Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
20	H2-S001	H2	f10r	dy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	dies	dies	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
21	H2-S001	H2	f10r	chy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	dies	dies	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
22	H2-S001	H2	f10r	taiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	Sollmaß	Sollmaß	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
23	H2-S001	H2	f10r	shy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	dies	dies	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
24	H2-S002	H2	f10r	qotchor	MC013	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	Folgeansatz	Folgeansatz	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
25	H2-S002	H2	f10r	chor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	Ansatz	Ansatz	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
26	H2-S002	H2	f10r	otol	MC053	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	danach · weiter	danach weiter	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
27	H2-S002	H2	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	weiter	weiter	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
28	H2-S002	H2	f10r	cholor	MC157	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	derselbe Ansatz	derselbe Ansatz	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
29	H2-S002	H2	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	weiter	weiter	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
30	H2-S002	H2	f10r	daiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	Sollmaß	Sollmaß	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
31	H2-S002	H2	f10r	dar	MC055	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	davon	davon	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
32	H2-S003	H2	f10r	oykchor	MC027	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Posten · bearbeiten · Bereitung	Posten bearbeiten Bereitung	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
33	H2-S003	H2	f10r	shor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	Ansatz	Ansatz	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
34	H2-S003	H2	f10r	chor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	Ansatz	Ansatz	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
35	H2-S003	H2	f10r	chy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	dies	dies	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
36	H2-S003	H2	f10r	kaiiin	MC048	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Arbeitsstufe	Arbeitsstufe	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
37	H2-S003	H2	f10r	dy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	dies	dies	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
38	H2-S003	H2	f10r	chodaiin	MC087	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Zugabe · Sollmaß	Zugabe Sollmaß	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
39	H3-S001	H3	f11r	tshol	MC098	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	Zugabe · abführen	Zugabe abführen	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
40	H3-S001	H3	f11r	schoal	MC049	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	Zugabe · Ziel	Zugabe Ziel	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
41	H3-S001	H3	f11r	cfhy	MC129	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	auswringen · Posten	auswringen Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
42	H3-S001	H3	f11r	shfydaiin	MC111	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	halten · Sollmaß	halten Sollmaß	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
43	H3-S001	H3	f11r	cphy	MC156	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	nachseihen · Posten	nachseihen Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
44	H3-S001	H3	f11r	shey	MC119	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LEHRWORT	Klarauszug	Klarauszug	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
45	H3-S001	H3	f11r	tchody	MC037	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	Zugabe; schließen	Zugabe; schließen	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
46	H3-S002	H3	f11r	shoyty	MC062	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	Zugabe · Posten · Teil	Zugabe Posten Teil	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
47	H3-S003	H3	f11r	dchol	MC142	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LEHRWORT	vom vorigen	vom vorigen	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
48	H3-S003	H3	f11r	chy	MC123	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LEHRWORT	dies	dies	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
49	H3-S003	H3	f11r	kchy	MC117	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	bearbeiten · Posten	bearbeiten Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
50	H3-S003	H3	f11r	dy	MC123	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LEHRWORT	dies	dies	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
51	H3-S003	H3	f11r	daiin	MC039	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LEHRWORT	Sollmaß	Sollmaß	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
52	H3-S004	H3	f11r	qotchy	MC107	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	danach · Posten	danach Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
53	H3-S004	H3	f11r	okchol	MC041	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LOKALKARTE	einsetzen · weiter	einsetzen weiter	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
54	H3-S004	H3	f11r	cthy	MC161	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LEHRWORT	bereit	bereit	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
55	H3-S004	H3	f11r	dy	MC123	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	LEHRWORT	dies	dies	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
56	H4-S001	H4	f55v	qokaiin	MC120	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	bemessen	bemessen	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
57	H4-S001	H4	f55v	chaiin	MC039	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	Sollmaß	Sollmaß	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
58	H4-S001	H4	f55v	ykain	MC047	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LOKALKARTE	Posten · Anteil	Posten Anteil	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
59	H4-S001	H4	f55v	ykan	MC148	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LOKALKARTE	Posten · Anteil	Posten Anteil	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
60	H4-S001	H4	f55v	ody	MC100	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LOKALKARTE	kühlen	kühlen	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
61	H4-S002	H4	f55v	daiin	MC039	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	Sollmaß	Sollmaß	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
62	H4-S002	H4	f55v	chedy	MC074	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	überführen	überführen	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
63	H4-S002	H4	f55v	talam	MC160	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LOKALKARTE	Ziel · verwahren	Ziel verwahren	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
64	H4-S003	H4	f55v	ykaiin	MC170	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LOKALKARTE	Posten · Sollmaß	Posten Sollmaß	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
65	H4-S003	H4	f55v	cheoar	MC085	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LOKALKARTE	Auszug · Quelle	Auszug Quelle	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
66	H4-S003	H4	f55v	cheeky	MC032	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	länger bearbeiten	länger bearbeiten	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
67	H4-S003	H4	f55v	oldy	MC019	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	fertig	fertig	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
68	H4-S004	H4	f55v	aiin	MC039	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	Sollmaß	Sollmaß	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
69	H4-S004	H4	f55v	okal	MC040	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	dorthin einsetzen	dorthin einsetzen	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
70	H4-S004	H4	f55v	oltchy	MC021	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LOKALKARTE	weiter · bereitstellen · Posten	weiter bereitstellen Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
71	H4-S004	H4	f55v	or	MC080	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	Ansatz	Ansatz	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
72	H4-S004	H4	f55v	y	MC123	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LEHRWORT	dies	dies	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
73	H4-S004	H4	f55v	orain	MC072	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	LOKALKARTE	Bereitung · Anteil	Bereitung Anteil	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
74	H5-S001	H5	f56r	chochor	MC125	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Zugabe · Bereitung	Zugabe Bereitung	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
75	H5-S001	H5	f56r	cho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	weitere Zutat	weitere Zutat	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
76	H5-S001	H5	f56r	chodaly	MC010	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Zugabe · Ziel · Posten	Zugabe Ziel Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
77	H5-S001	H5	f56r	daiin	MC039	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	Sollmaß	Sollmaß	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
78	H5-S001	H5	f56r	sho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	weitere Zutat	weitere Zutat	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
79	H5-S001	H5	f56r	kchol	MC090	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	bearbeiten · weiter	bearbeiten weiter	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
80	H5-S001	H5	f56r	otchor	MC013	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	Folgeansatz	Folgeansatz	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
81	H5-S001	H5	f56r	choky	MC026	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	einsetzen	einsetzen	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
82	H5-S001	H5	f56r	dal	MC154	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	dorthin	dorthin	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
83	H5-S002	H5	f56r	schol	MC142	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LEHRWORT	vom vorigen	vom vorigen	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
84	H5-S002	H5	f56r	choy	MC131	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Zugabe · Posten	Zugabe Posten	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
