section_id	record_unit_id	title_de	statements	statement_ids	events	event_ids	owner_zones	hard_scene_transition_events	current_continuous_prose_de
BP11	B3	Obere Paarstation erster Gang	5	B3-S001|B3-S002|B3-S003|B3-S004|B3-S005	11	E229|E230|E231|E232|E233|E234|E235|E236|E237|E238|E239	B3_ZONE_A_UPPER_PAIRED_STATION	NONE	[B3-S001] Länger auffangen und schließen. [B3-S002] An der Folgestelle länger wärmen und schließen. [B3-S003] Diesen Posten nach Maß hinausführen und schließen. [B3-S004] Bemessen, zur Folgestelle gehen und von dort weiterarbeiten. [B3-S005] Umsetzen und schliessen.
BP12	B3	Obere Paarstation Zielgang	5	B3-S006|B3-S007|B3-S008|B3-S009|B3-S010	10	E240|E241|E242|E243|E244|E245|E246|E247|E248|E249	B3_ZONE_A_UPPER_PAIRED_STATION	NONE	[B3-S006] Dies umsetzen, an die Stelle setzen, weiterfuehren und schliessen. [B3-S007] Bemessen, dies umsetzen, länger ansetzen und schließen. [B3-S008] Hinausführen und schließen. [B3-S009] Dies verwenden. [B3-S010] An der Stelle hineinführen, den kurzen Folgeschritt ausführen und schließen.
BP13	B3	Bereitgang zum Mittelteil	6	B3-S011|B3-S012|B3-S013|B3-S014|B3-S015|B3-S016	15	E250|E251|E252|E253|E254|E255|E256|E257|E258|E259|E260|E261|E262|E263|E264	B3_ZONE_A_UPPER_PAIRED_STATION|B3_ZONE_B_MIDDLE_STATION	E264	[B3-S011] Dies kurz bereit umsetzen, verwenden, nochmals umsetzen und dies aus der Quelle nehmen. [B3-S012] Den Ansatz absetzen und schließen. [B3-S013] Bemessen, eine Portion nehmen, dies kurz bereithalten, kurz ansetzen und schließen. [B3-S014] Wasser in Gang setzen, laenger absetzen und schliessen. [B3-S015] Hinausführen und schließen. [B3-S016] Hinausfuehren, den Ansatz umsetzen und schliessen.
BP14	B3	Mittlere Station	5	B3-S017|B3-S018|B3-S019|B3-S020|B3-S021	16	E265|E266|E267|E268|E269|E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	B3_ZONE_B_MIDDLE_STATION	NONE	[B3-S017] Länger ansetzen und schließen. [B3-S018] Absetzen und schließen. [B3-S019] Kurz absetzen und schließen. [B3-S020] An der Stelle hinausführen und schließen. [B3-S021] Bemessen und bereitstellen; an der Stelle absetzen, dies kurz bereit halten und an der Stelle ueberfuehren und schliessen.
BP15	B3	Mittlere Station zum Unterteil	5	B3-S022|B3-S023|B3-S024|B3-S025|B3-S026	11	E281|E282|E283|E284|E285|E286|E287|E288|E289|E290|E291	B3_ZONE_B_MIDDLE_STATION|B3_ZONE_C_LOWER_STATION	E291	[B3-S022] Danach umsetzen und schliessen. [B3-S023] Hinausführen und schließen. [B3-S024] Umsetzen und schliessen. [B3-S025] Den Ansatz umsetzen und schließen. [B3-S026] Laenger aus der Quelle fuehren, das Abfuehrmass setzen, dies umsetzen, eine Portion zugeben, bereitstellen, den Ansatz an der Stelle abkuehlen, laenger auffangen und schliessen.
BP16	B3	Untere Station Wasser und Fuellung	4	B3-S027|B3-S028|B3-S029|B3-S030	10	E292|E293|E294|E295|E296|E297|E298|E299|E300|E301	B3_ZONE_C_LOWER_STATION	NONE	[B3-S027] Den nächsten Schritt länger halten und schließen. [B3-S028] Länger ansetzen, dann kurz ansetzen und schließen. [B3-S029] Fortsetzen, dies vollstaendig fuellen, kurz ansetzen und schliessen. [B3-S030] Dies verwenden, auf Mass bringen, Wasser weiterfuehren, danach umsetzen und schliessen.
BP17	B3	Untere Station Schlussgang	4	B3-S031|B3-S032|B3-S033|B3-S034	13	E302|E303|E304|E305|E306|E307|E308|E309|E310|E311|E312|E313|E314	B3_ZONE_C_LOWER_STATION	NONE	[B3-S031] Länger ansetzen und schließen. [B3-S032] Eine Portion umsetzen, dies umsetzen, ein kurzes Folgemaß und danach das nächste Maß setzen, den kurzen Folgeschritt ausführen und schließen. [B3-S033] Abführen und schließen. [B3-S034] Auf Sollstand bringen, bereitstellen, dies fuellen, das naechste Mass nehmen, dies an der Stelle fortsetzen, absetzen und schliessen.
BP18	B4	Linker oberer Ansatz	4	B4-S001|B4-S002|B4-S003|B4-S004	12	E315|E316|E317|E318|E319|E320|E321|E322|E323|E324|E325|E326	B4_ZONE_A_LEFT_AND_UPPER_FLOW	NONE	[B4-S001] Länger ansetzen und schließen. [B4-S002] Dies weiterführen, länger ansetzen, dann kurz ansetzen und schließen. [B4-S003] Dies umsetzen, an die Folgestelle gehen, den nächsten Posten länger ansetzen, dies verwenden, fortsetzen, absetzen und schließen. [B4-S004] Dies befestigen und schließen.
BP19	B4	Tuch Seihen Waermen	4	B4-S005|B4-S006|B4-S007|B4-S008	9	E327|E328|E329|E330|E331|E332|E333|E334|E335	B4_ZONE_A_LEFT_AND_UPPER_FLOW	NONE	[B4-S005] Eine Portion bereitstellen, dies umsetzen, länger ansetzen und schließen. [B4-S006] Seihen und schließen. [B4-S007] Seihen und schließen. [B4-S008] Auf Maß bringen, dies länger wärmen und halten, kurz ansetzen und schließen.
BP20	B4	Fortsetzung und Abfuehrung	4	B4-S009|B4-S010|B4-S011|B4-S012	10	E336|E337|E338|E339|E340|E341|E342|E343|E344|E345	B4_ZONE_A_LEFT_AND_UPPER_FLOW	NONE	[B4-S009] Absetzen und schließen. [B4-S010] Fortsetzen und schließen. [B4-S011] Auf Maß bringen, kurz wärmen, länger fortsetzen, eine Portion zugeben, dies umsetzen, fortsetzen, kurz abführen und schließen. [B4-S012] Hinausführen und schließen.
BP21	B4	Wasserlauf zum rechten Besitzer	3	B4-S013|B4-S014|B4-S015	12	E346|E347|E348|E349|E350|E351|E352|E353|E354|E355|E356|E357	B4_ZONE_A_LEFT_AND_UPPER_FLOW|B4_ZONE_B_RIGHT_LOWER_FLOW	E356	[B4-S013] Die Fortsetzung einsetzen, absetzen und schließen. [B4-S014] Den Ansatz und diesen Posten kurz durchfuehren und den Wasserlauf schliessen. [B4-S015] Eine Portion und den Klarauszug mit einer weiteren Portion zur Durchlassstelle bringen; nach dem Besitzerwechsel kurz auffangen, hinausführen und schließen.
BP22	B4	Rechter Schluss	1	B4-S016	4	E358|E359|E360|E361	B4_ZONE_B_RIGHT_LOWER_FLOW	NONE	[B4-S016] Eine weitere Portion an die Stelle bringen, aus dem Vorrat zufuehren, absetzen und schliessen.
BP23	B5	Warmer Zweistufengang	3	B5-S001|B5-S002|B5-S003	11	E362|E363|E364|E365|E366|E367|E368|E369|E370|E371|E372	B5_LOCAL_RECORD_OWNER	NONE	[B5-S001] Danach umsetzen und schliessen. [B5-S002] Den Ansatz umsetzen und schliessen. [B5-S003] An der Absetzstelle fortsetzen und weiterfuehren; an der Stelle umsetzen, auf Mass bringen, fortsetzen, die zweite Stufe einstellen und dies umsetzen.
BP24	B6	Rohansatz Tuch und Ziel	1	B6-S001	9	E373|E374|E375|E376|E377|E378|E379|E380|E381	B6_LOCAL_RECORD_OWNER	NONE	[B6-S001] Länger auffangen, dies kurz zuführen, abkuehlen und fortsetzen; auf Mass bringen, fortsetzen, eine Portion davon nehmen und den Ansatz zur Stelle fuehren.
