section_order	section_id	register	record_unit_id	page	title_de	statements	events	event_ids	owner_zones	continuous_prose_de
20	BP15	BIOLOGICAL	B3	f83r	Mittlere Station zum Unterteil	5	11	E281|E282|E283|E284|E285|E286|E287|E288|E289|E290|E291	B3_ZONE_B_MIDDLE_STATION|B3_ZONE_C_LOWER_STATION	[B3-S022] Danach umsetzen und schliessen. [B3-S023] Hinausführen und schließen. [B3-S024] Umsetzen und schliessen. [B3-S025] Den Ansatz umsetzen und schließen. [B3-S026] Laenger aus der Quelle fuehren, das Abfuehrmass setzen, dies umsetzen, eine Portion zugeben, bereitstellen, den Ansatz an der Stelle abkuehlen, laenger auffangen und schliessen.
21	BP16	BIOLOGICAL	B3	f83r	Untere Station Wasser und Fuellung	4	10	E292|E293|E294|E295|E296|E297|E298|E299|E300|E301	B3_ZONE_C_LOWER_STATION	[B3-S027] Den nächsten Schritt länger halten und schließen. [B3-S028] Länger ansetzen, dann kurz ansetzen und schließen. [B3-S029] Fortsetzen, dies vollstaendig fuellen, kurz ansetzen und schliessen. [B3-S030] Dies verwenden, auf Mass bringen, Wasser weiterfuehren, danach umsetzen und schliessen.
22	BP17	BIOLOGICAL	B3	f83r	Untere Station Schlussgang	4	13	E302|E303|E304|E305|E306|E307|E308|E309|E310|E311|E312|E313|E314	B3_ZONE_C_LOWER_STATION	[B3-S031] Länger ansetzen und schließen. [B3-S032] Eine Portion umsetzen, dies umsetzen, ein kurzes Folgemaß und danach das nächste Maß setzen, den kurzen Folgeschritt ausführen und schließen. [B3-S033] Abführen und schließen. [B3-S034] Auf Sollstand bringen, bereitstellen, dies fuellen, das naechste Mass nehmen, dies an der Stelle fortsetzen, absetzen und schliessen.
23	BP18	BIOLOGICAL	B4	f83r	Linker oberer Ansatz	4	12	E315|E316|E317|E318|E319|E320|E321|E322|E323|E324|E325|E326	B4_ZONE_A_LEFT_AND_UPPER_FLOW	[B4-S001] Länger ansetzen und schließen. [B4-S002] Dies weiterführen, länger ansetzen, dann kurz ansetzen und schließen. [B4-S003] Dies umsetzen, an die Folgestelle gehen, den nächsten Posten länger ansetzen, dies verwenden, fortsetzen, absetzen und schließen. [B4-S004] Dies befestigen und schließen.
24	BP19	BIOLOGICAL	B4	f83r	Tuch Seihen Waermen	4	9	E327|E328|E329|E330|E331|E332|E333|E334|E335	B4_ZONE_A_LEFT_AND_UPPER_FLOW	[B4-S005] Eine Portion bereitstellen, dies umsetzen, länger ansetzen und schließen. [B4-S006] Seihen und schließen. [B4-S007] Seihen und schließen. [B4-S008] Auf Maß bringen, dies länger wärmen und halten, kurz ansetzen und schließen.
25	BP20	BIOLOGICAL	B4	f83r	Fortsetzung und Abfuehrung	4	10	E336|E337|E338|E339|E340|E341|E342|E343|E344|E345	B4_ZONE_A_LEFT_AND_UPPER_FLOW	[B4-S009] Absetzen und schließen. [B4-S010] Fortsetzen und schließen. [B4-S011] Auf Maß bringen, kurz wärmen, länger fortsetzen, eine Portion zugeben, dies umsetzen, fortsetzen, kurz abführen und schließen. [B4-S012] Hinausführen und schließen.
26	BP21	BIOLOGICAL	B4	f83r	Wasserlauf zum rechten Besitzer	3	12	E346|E347|E348|E349|E350|E351|E352|E353|E354|E355|E356|E357	B4_ZONE_A_LEFT_AND_UPPER_FLOW|B4_ZONE_B_RIGHT_LOWER_FLOW	[B4-S013] Die Fortsetzung einsetzen, absetzen und schließen. [B4-S014] Den Ansatz und diesen Posten kurz durchfuehren und den Wasserlauf schliessen. [B4-S015] Eine Portion und den Klarauszug mit einer weiteren Portion zur Durchlassstelle bringen; nach dem Besitzerwechsel kurz auffangen, hinausführen und schließen.
27	BP22	BIOLOGICAL	B4	f83r	Rechter Schluss	1	4	E358|E359|E360|E361	B4_ZONE_B_RIGHT_LOWER_FLOW	[B4-S016] Eine weitere Portion an die Stelle bringen, aus dem Vorrat zufuehren, absetzen und schliessen.
28	BP23	BIOLOGICAL	B5	f83r	Warmer Zweistufengang	3	11	E362|E363|E364|E365|E366|E367|E368|E369|E370|E371|E372	B5_LOCAL_RECORD_OWNER	[B5-S001] Danach umsetzen und schliessen. [B5-S002] Den Ansatz umsetzen und schliessen. [B5-S003] An der Absetzstelle fortsetzen und weiterfuehren; an der Stelle umsetzen, auf Mass bringen, fortsetzen, die zweite Stufe einstellen und dies umsetzen.
29	BP24	BIOLOGICAL	B6	f83r	Rohansatz Tuch und Ziel	1	9	E373|E374|E375|E376|E377|E378|E379|E380|E381	B6_LOCAL_RECORD_OWNER	[B6-S001] Länger auffangen, dies kurz zuführen, abkuehlen und fortsetzen; auf Mass bringen, fortsetzen, eine Portion davon nehmen und den Ansatz zur Stelle fuehren.
