statement_id	register	record_unit_id	page	owner_zones	events	event_ids	field_ids	literal_card_chain_de	current_fluent_reading_de	pass460_override	physical_line_is_sentence_boundary
B1-S001	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E101	F021	kurz ansetzen; Schluss.	Kurz ansetzen und den Schritt schließen.	NO	NO
B1-S002	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	19	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	F022|F023	bemessen; Wasser zufuehren; an die Stelle setzen; von dort; fortsetzen; eine Portion; weitere Portion; Stelle; fortsetzen; weiter abkuehlen; weiterfuehren; weiterer Ansatz; fortsetzen; kurz an der Durchlassstelle; Mass; länger an der Stelle halten; Mass; durchführen; umsetzen; Schluss.	Bemessen, Wasser zufuehren und an die Stelle setzen; von dort mit einer und einer weiteren Portion fortsetzen; an der Stelle weiter abkuehlen, weiterfuehren und einen weiteren Ansatz fortsetzen; kurz an der Durchlassstelle halten, auf Mass bringen, laenger an der Stelle halten, nochmals bemessen, durchfuehren, umsetzen und schliessen.	YES	NO
B1-S003	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	2	E121|E122	F024|F025	fortsetzen; gebuendelt umsetzen; Schluss.	Fortsetzen, gebuendelt umsetzen und schliessen.	NO	NO
B1-S004	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	3	E123|E124|E125	F026	dies umsetzen; fortsetzen; absetzen; Schluss.	Dies umsetzen, fortsetzen, absetzen und schließen.	NO	NO
B1-S005	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E126	F027	weiterführen; Schluss.	Den vorigen Gang weiterführen, überführen und schließen.	NO	NO
B1-S006	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	4	E127|E128|E129|E130	F028	eine Portion zugeben; durchführen; weiterfuehren; an der Stelle abkuehlen.	Eine Portion zugeben, durchfuehren, weiterfuehren und an der Stelle abkuehlen.	NO	NO
B1-S007	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E131	F029	Ansatz umsetzen; Schluss.	Den Ansatz umsetzen; Schluss.	NO	NO
B1-S008	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	5	E132|E133|E134|E135|E136	F030	dies; fortsetzen; kurz wärmen; fortsetzen; absetzen; Schluss.	Dies fortsetzen, kurz wärmen, weiterführen, absetzen und schließen.	NO	NO
B1-S009	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E137	F031	kurz ansetzen; Schluss.	Kurz ansetzen; Schluss.	NO	NO
B1-S010	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E138	F032	kurz ansetzen; Schluss.	Kurz ansetzen; Schluss.	NO	NO
B1-S011	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	2	E139|E140	F033	durchführen; verwende dies.	Durch den Durchlass führen und dies verwenden.	NO	NO
B1-S012	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	3	E141|E142|E143	F034	Waschgang; kurz ansetzen; Waschgang; Schluss.	Den Waschgang kurz ansetzen und schliessen.	NO	NO
B1-S013	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E144	F035	Waschgang; Schluss.	Den Waschgang schliessen.	NO	NO
B1-S014	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	5	E145|E146|E147|E148|E149	F036	dies umsetzen; dies auffangen; zum Auslass führen; fortsetzen; danach von dort.	Dies umsetzen, auffangen, zum Auslass fuehren, fortsetzen und danach von dort weitergehen.	NO	NO
B1-S015	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	2	E150|E151	F037	dies kurz fuellen; Ansatz umsetzen; Schluss.	Dies kurz fuellen, den Ansatz umsetzen und schliessen.	NO	NO
B1-S016	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	4	E152|E153|E154|E155	F038	an die Stelle setzen; länger ansetzen; fortsetzen; absetzen; Schluss.	An die Stelle setzen, länger ansetzen, fortsetzen, absetzen und schließen.	NO	NO
B1-S017	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	3	E156|E157|E158	F039	Stelle; kurz fortsetzen; umsetzen; Schluss.	An der Stelle kurz fortsetzen, umsetzen und schliessen.	NO	NO
B1-S018	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	4	E159|E160|E161|E162	F040|F041	dies fuehren; kurz halten; Sollstand; länger auffangen; Schluss.	Dies fuehren, kurz halten, auf Sollstand bringen, laenger auffangen und schliessen.	NO	NO
B1-S019	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E163	F042	absetzen; Schluss.	Absetzen und schließen.	NO	NO
B1-S020	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	2	E164|E165	F043	kurz wärmen; seihen; Schluss.	Kurz wärmen, seihen und schließen.	NO	NO
B1-S021	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E166	F044	Stelle.	An der bezeichneten Stelle fortsetzen.	NO	NO
B2-S001	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	1	E167	F045	umsetzen; Schluss.	Umsetzen und schliessen.	NO	NO
B2-S002	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	1	E168	F046	weiterführen; Schluss.	Weiterführen und schließen.	NO	NO
B2-S003	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	3	E169|E170|E171	F047	eine Portion zugeben; dies; länger ansetzen; Schluss.	Eine Portion zugeben, dies nehmen, länger ansetzen und schließen.	NO	NO
B2-S004	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	5	E172|E173|E174|E175|E176	F048|F049	an die Stelle setzen; dies zum Durchlass führen; hinausführen; länger ansetzen; hinaus seihen; Schluss.	An die Stelle setzen, dies zum Durchlass führen, hinausführen, länger ansetzen, hinaus seihen und schließen.	NO	NO
B2-S005	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	8	E177|E178|E179|E180|E181|E182|E183|E184	F050|F051	dies an die Stelle setzen; Auffangmass; durchführen; bemessen; bemessen; kurz bereit fortsetzen; dies länger wärmen; abführen; Schluss.	Dies an die Stelle setzen, das Auffangmass einstellen, durchfuehren, zweimal bemessen, kurz bereit fortsetzen, dies laenger waermen, abfuehren und schliessen.	NO	NO
B2-S006	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	4	E185|E186|E187|E188	F052	nächsten Posten länger halten; an die Stelle setzen; dies kurz im Durchlass halten; verwende dies.	Dies kurz im Durchlass halten.	NO	NO
B2-S007	BIOLOGICAL	B2	f82r	B2_ZONE_B_SIDE_POOL	1	E189	F053	kurz halten; Schluss.	Kurz halten und schliessen.	NO	NO
B2-S008	BIOLOGICAL	B2	f82r	B2_ZONE_B_SIDE_POOL	3	E190|E191|E192	F054	nächstes Maß; von dort einsetzen; absetzen; Schluss.	Das nächste Maß nehmen, von dort einsetzen, absetzen und schließen.	NO	NO
B2-S009	BIOLOGICAL	B2	f82r	B2_ZONE_B_SIDE_POOL	1	E193	F055	mit dem Vorigen kurz absetzen; Schluss.	Mit dem Vorigen kurz absetzen und schließen.	NO	NO
B2-S010	BIOLOGICAL	B2	f82r	B2_ZONE_B_SIDE_POOL	4	E194|E195|E196|E197	F056	länger ansetzen; verwende dies; abfuehren; Klarauszug.	Laenger ansetzen, dies verwenden, abfuehren und den Klarauszug nehmen.	NO	NO
B2-S011	BIOLOGICAL	B2	f82r	B2_ZONE_C_CENTRAL_VESSEL	4	E198|E199|E200|E201	F057	eine Portion zugeben; von dort; eine Portion zugeben; länger ansetzen; Schluss.	Eine Portion zugeben, von dort noch eine Portion zugeben, länger ansetzen und schließen.	YES	NO
B2-S012	BIOLOGICAL	B2	f82r	B2_ZONE_C_CENTRAL_VESSEL|B2_ZONE_D_LOWER_STATIONS	8	E202|E203|E204|E205|E206|E207|E208|E209	F058|F059	dies abziehen; Klarauszug; dies kurz bereithalten; länger ansetzen; dies länger abziehen; Mass; dies; vollständig ansetzen; Schluss.	Dies abziehen, den Klarauszug kurz bereithalten, länger ansetzen, dies länger abziehen, auf Maß bringen, dies vollständig ansetzen und schließen.	NO	NO
B2-S013	BIOLOGICAL	B2	f82r	B2_ZONE_D_LOWER_STATIONS	1	E210	F060	hinausführen; Schluss.	Hinausführen und schließen.	NO	NO
B2-S014	BIOLOGICAL	B2	f82r	B2_ZONE_D_LOWER_STATIONS	1	E211	F061	von dort abführen.	Von dort abführen.	NO	NO
B2-S015	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	2	E212|E213	F062	dies kurz halten; länger ansetzen; Schluss.	Dies kurz halten, laenger ansetzen und schliessen.	NO	NO
B2-S016	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	8	E214|E215|E216|E217|E218|E219|E220|E221	F063|F064	Stelle; von dort hinausführen; teilen; Mass; nächsten Posten länger halten; bemessen; kurz ansetzen; hineinführen; Schluss.	Von der Stelle hinausfuehren, teilen, auf Mass bringen, den naechsten Posten laenger halten, bemessen, kurz ansetzen, hineinfuehren und schliessen.	NO	NO
B2-S017	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	2	E222|E223	F065	an der Stelle kurz abkuehlen; an der Stelle schliessen.	An der Stelle kurz abkuehlen und dort schliessen.	NO	NO
B2-S018	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E224	F066	länger ansetzen; Schluss.	Länger ansetzen und schließen.	NO	NO
B2-S019	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E225	F067	abkuehlen und absetzen; Schluss.	Abkuehlen, absetzen und schliessen.	NO	NO
B2-S020	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E226	F068	nächsten Schritt länger halten; Schluss.	Den nächsten Schritt länger halten und schließen.	NO	NO
B2-S021	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E227	F069	länger ansetzen; Schluss.	Länger ansetzen und schließen.	NO	NO
B2-S022	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E228	F070	weiter hinausfuehren; Schluss.	Weiter hinausfuehren und schliessen.	NO	NO
B3-S001	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E229	F071	länger auffangen; Schluss.	Länger auffangen und schließen.	NO	NO
B3-S002	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	2	E230|E231	F072	Folgestelle; länger wärmen; Schluss.	An der Folgestelle länger wärmen und schließen.	NO	NO
B3-S003	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	4	E232|E233|E234|E235	F073	dies; Mass; dies; hinausführen; Schluss.	Diesen Posten nach Maß hinausführen und schließen.	NO	NO
B3-S004	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	3	E236|E237|E238	F074	bemessen; Folgestelle; von dort.	Bemessen, zur Folgestelle gehen und von dort weiterarbeiten.	YES	NO
B3-S005	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E239	F075	umsetzen; Schluss.	Umsetzen und schliessen.	NO	NO
B3-S006	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	3	E240|E241|E242	F076	dies umsetzen; an die Stelle setzen; weiterführen; Schluss.	Dies umsetzen, an die Stelle setzen, weiterfuehren und schliessen.	NO	NO
B3-S007	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	3	E243|E244|E245	F077	bemessen; dies umsetzen; länger ansetzen; Schluss.	Bemessen, dies umsetzen, länger ansetzen und schließen.	NO	NO
B3-S008	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E246	F078	hinausführen; Schluss.	Hinausführen und schließen.	NO	NO
B3-S009	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E247	F079	verwende dies.	Dies verwenden.	NO	NO
B3-S010	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	2	E248|E249	F080	an der Stelle hineinführen; kurzer Folgeschritt; Schluss.	An der Stelle hineinführen, den kurzen Folgeschritt ausführen und schließen.	NO	NO
B3-S011	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	4	E250|E251|E252|E253	F081	dies kurz bereit umsetzen; verwende dies; dies umsetzen; dies aus der Quelle nehmen.	Dies kurz bereit umsetzen, verwenden, nochmals umsetzen und dies aus der Quelle nehmen.	NO	NO
B3-S012	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	2	E254|E255	F082	Ansatz; absetzen; Schluss.	Den Ansatz absetzen und schließen.	NO	NO
B3-S013	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	4	E256|E257|E258|E259	F083	bemessen; eine Portion; dies kurz bereithalten; kurz ansetzen; Schluss.	Bemessen, eine Portion nehmen, dies kurz bereithalten, kurz ansetzen und schließen.	NO	NO
B3-S014	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	2	E260|E261	F084	Wasser in Gang setzen; länger absetzen; Schluss.	Wasser in Gang setzen, laenger absetzen und schliessen.	NO	NO
B3-S015	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E262	F085	hinausführen; Schluss.	Hinausführen und schließen.	NO	NO
B3-S016	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION|B3_ZONE_B_MIDDLE_STATION	2	E263|E264	F086|F087	hinausfuehren; Ansatz umsetzen; Schluss.	Hinausfuehren, den Ansatz umsetzen und schliessen.	NO	NO
B3-S017	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E265	F088	länger ansetzen; Schluss.	Länger ansetzen und schließen.	NO	NO
B3-S018	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E266	F089	absetzen; Schluss.	Absetzen und schließen.	NO	NO
B3-S019	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E267	F090	kurz absetzen; Schluss.	Kurz absetzen und schließen.	NO	NO
B3-S020	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	2	E268|E269	F091	Stelle; hinausführen; Schluss.	An der Stelle hinausführen und schließen.	NO	NO
B3-S021	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	11	E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	F092|F093	bemessen; bereit; Stelle; dies; Mass; an der Stelle absetzen; dies kurz bereit halten; dies; Stelle; bereit; an der Stelle überführen; Schluss.	Bemessen und bereitstellen; an der Stelle absetzen, dies kurz bereit halten und an der Stelle ueberfuehren und schliessen.	NO	NO
B3-S022	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E281	F094	danach umsetzen; Schluss.	Danach umsetzen und schliessen.	NO	NO
B3-S023	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E282	F095	hinausführen; Schluss.	Hinausführen und schließen.	NO	NO
B3-S024	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E283	F096	umsetzen; Schluss.	Umsetzen und schliessen.	NO	NO
B3-S025	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E284	F097	Ansatz umsetzen; Schluss.	Den Ansatz umsetzen und schließen.	NO	NO
B3-S026	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION|B3_ZONE_C_LOWER_STATION	7	E285|E286|E287|E288|E289|E290|E291	F098|F099	laenger aus der Quelle fuehren; Abfuehrmass; dies umsetzen; eine Portion zugeben; bereit; Ansatz an der Stelle abkuehlen; länger auffangen; Schluss.	Laenger aus der Quelle fuehren, das Abfuehrmass setzen, dies umsetzen, eine Portion zugeben, bereitstellen, den Ansatz an der Stelle abkuehlen, laenger auffangen und schliessen.	NO	NO
B3-S027	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	1	E292	F100	nächsten Schritt länger halten; Schluss.	Den nächsten Schritt länger halten und schließen.	NO	NO
B3-S028	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	2	E293|E294	F101	länger ansetzen; kurz ansetzen; Schluss.	Länger ansetzen, dann kurz ansetzen und schließen.	NO	NO
B3-S029	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	3	E295|E296|E297	F102	fortsetzen; dies vollstaendig fuellen; kurz ansetzen; Schluss.	Fortsetzen, dies vollstaendig fuellen, kurz ansetzen und schliessen.	NO	NO
B3-S030	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	4	E298|E299|E300|E301	F103|F104	verwende dies; Mass; Wasser weiterfuehren; danach umsetzen; Schluss.	Dies verwenden, auf Mass bringen, Wasser weiterfuehren, danach umsetzen und schliessen.	NO	NO
B3-S031	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	1	E302	F105	länger ansetzen; Schluss.	Länger ansetzen und schließen.	NO	NO
B3-S032	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	5	E303|E304|E305|E306|E307	F106	eine Portion überführen; dies umsetzen; kurzes Folgemaß; nächstes Maß; kurzer Folgeschritt; Schluss.	Eine Portion umsetzen, dies umsetzen, ein kurzes Folgemaß und danach das nächste Maß setzen, den kurzen Folgeschritt ausführen und schließen.	NO	NO
B3-S033	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	1	E308	F107	abführen; Schluss.	Abführen und schließen.	NO	NO
B3-S034	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	6	E309|E310|E311|E312|E313|E314	F108	Sollstand; bereit; dies fuellen; nächstes Maß; dies an der Stelle fortsetzen; absetzen; Schluss.	Auf Sollstand bringen, bereitstellen, dies fuellen, das naechste Mass nehmen, dies an der Stelle fortsetzen, absetzen und schliessen.	NO	NO
B4-S001	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E315	F109	länger ansetzen; Schluss.	Länger ansetzen und schließen.	NO	NO
B4-S002	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	3	E316|E317|E318	F110	dies weiterführen; länger ansetzen; kurz ansetzen; Schluss.	Dies weiterführen, länger ansetzen, dann kurz ansetzen und schließen.	NO	NO
B4-S003	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	7	E319|E320|E321|E322|E323|E324|E325	F111|F112	dies umsetzen; Folgestelle; nächster Posten; länger ansetzen; verwende dies; fortsetzen; absetzen; Schluss.	Dies umsetzen, an die Folgestelle gehen, den nächsten Posten länger ansetzen, dies verwenden, fortsetzen, absetzen und schließen.	NO	NO
B4-S004	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E326	F113	dies befestigen; Schluss.	Dies befestigen und schließen.	NO	NO
B4-S005	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	3	E327|E328|E329	F114	Portion; dies umsetzen; länger ansetzen; Schluss.	Eine Portion bereitstellen, dies umsetzen, länger ansetzen und schließen.	YES	NO
B4-S006	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E330	F115	seihen; Schluss.	Seihen und schließen.	NO	NO
B4-S007	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E331	F116	seihen; Schluss.	Seihen und schließen.	NO	NO
B4-S008	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	4	E332|E333|E334|E335	F117	Mass; dies länger wärmen; dies länger halten; kurz ansetzen; Schluss.	Auf Maß bringen, dies länger wärmen und halten, kurz ansetzen und schließen.	NO	NO
B4-S009	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E336	F118	absetzen; Schluss.	Absetzen und schließen.	NO	NO
B4-S010	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E337	F119	fortsetzen; Schluss.	Fortsetzen und schließen.	NO	NO
B4-S011	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	7	E338|E339|E340|E341|E342|E343|E344	F120|F121	Mass; kurz wärmen; länger fortsetzen; eine Portion zugeben; dies umsetzen; fortsetzen; kurz abführen; Schluss.	Auf Maß bringen, kurz wärmen, länger fortsetzen, eine Portion zugeben, dies umsetzen, fortsetzen, kurz abführen und schließen.	NO	NO
B4-S012	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E345	F122	hinausführen; Schluss.	Hinausführen und schließen.	NO	NO
B4-S013	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	2	E346|E347	F123	Fortsetzung einsetzen; absetzen; Schluss.	Die Fortsetzung einsetzen, absetzen und schließen.	NO	NO
