statement_id	page	record	register	error_class	missing_occurrences	extra_occurrences	missing_y_count	card_count_delta	predicted_recipe_sequence	observed_recipe_sequence	next_rule_de
H4-S003	f55v	H4	HERBAL	Y_COPY_ONLY	Y	NONE	1	1	Y+K+AIIN | CH+E+O+AR | UNPACKED(EE) | UNPACKED(CHK) | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
H4-S004	f55v	H4	HERBAL	Y_PLUS_OTHER_COPY	OR+Y	NONE	1	-2	AIIN | OK+AL | OL+T+Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
H5-S001	f56r	H5	HERBAL	Y_PLUS_OTHER_COPY	HO+HO+HO+Y	NONE	1	-3	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
H5-S002	f56r	H5	HERBAL	Y_COPY_ONLY	Y	NONE	1	0	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
H5-S003	f56r	H5	HERBAL	Y_PLUS_OTHER_COPY	OK+Y	NONE	1	0	HO | SH | K+E+Y | UNPACKED(OK)	SH | HO | K+E+Y | OK+OK+Y	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
B1-S002	f81v	B1	BIOLOGICAL	NON_Y_COPY	AIIN+AL+AL+K+OK+OL+OL+OL	NONE	0	-5	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | UNPACKED(CKH) | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	wiederholte Adresse/Operation explizit in mehrere Karten verteilen
B1-S006	f81v	B1	BIOLOGICAL	TRUE_SEGMENTATION	NONE	NONE	0	-1	OK+AIN | L+CKH+Y | R+AL	OK+AIN | CKH+Y | L | R+AL	zwischen gleichwertigen attestierten Packungen priorisieren
B1-S008	f81v	B1	BIOLOGICAL	Y_COPY_ONLY	Y	NONE	1	0	Y | E+OL | UNPACKED(CHK) | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B1-S011	f81v	B1	BIOLOGICAL	Y_COPY_ONLY	Y	NONE	1	0	CKH+Y | UNPACKED(OK)	CKH+Y | OK+Y	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B1-S014	f81v	B1	BIOLOGICAL	Y_COPY_ONLY	Y	NONE	1	0	CHD+Y | UNPACKED(SOLK) | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B1-S015	f81v	B1	BIOLOGICAL	TRUE_SEGMENTATION	NONE	NONE	0	0	E+T+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	zwischen gleichwertigen attestierten Packungen priorisieren
B2-S004	f82r	B2	BIOLOGICAL	Y_PLUS_OTHER_COPY	L+Y	NONE	1	1	OK+AL | CKH+Y | L+CHD | UNPACKED(EE) | UNPACKED(OK) | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
B2-S005	f82r	B2	BIOLOGICAL	Y_PLUS_OTHER_COPY	AIIN+OK+Y+Y	NONE	2	0	OK+AL+Y | SOLK+AIIN | UNPACKED(CKH) | OK+AIIN | O+CTH+E+OL | UNPACKED(EE) | UNPACKED(CHK) | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
B2-S006	f82r	B2	BIOLOGICAL	Y_COPY_ONLY	Y+Y	NONE	2	2	OT+EE+Y | OK+AL | UNPACKED(E) | UNPACKED(CKH) | SH | UNPACKED(OK)	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B2-S010	f82r	B2	BIOLOGICAL	Y_COPY_ONLY	Y+Y	NONE	2	-1	OK+EE+Y | OK+EE+OL | SH	OK+EE+Y | OK+Y | OL | SH+EE+Y	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B2-S012	f82r	B2	BIOLOGICAL	Y_COPY_ONLY	Y+Y+Y+Y+Y	NONE	5	2	L+CH+Y | UNPACKED(EE) | SH | UNPACKED(E) | UNPACKED(CTH) | UNPACKED(EE) | UNPACKED(OK) | UNPACKED(EE) | L+AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B2-S016	f82r	B2	BIOLOGICAL	Y_PLUS_OTHER_COPY	OK+Y	NONE	1	1	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | UNPACKED(E) | UNPACKED(OK) | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
B3-S003	f83r	B3	BIOLOGICAL	Y_COPY_ONLY	Y	NONE	1	-1	Y | AIIN | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B3-S011	f83r	B3	BIOLOGICAL	Y_COPY_ONLY	Y+Y+Y	NONE	3	0	SH+E+CTH+CHD+Y | UNPACKED(OK) | UNPACKED(CHD) | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B3-S021	f83r	B3	BIOLOGICAL	Y_PLUS_OTHER_COPY	AL+AL+Y+Y+Y	NONE	3	-2	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | UNPACKED(CTH) | CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
B3-S026	f83r	B3	BIOLOGICAL	Y_COPY_ONLY	Y	NONE	1	0	EE+AR | L+AIIN | CHD+Y | OK+AIN | UNPACKED(CTH) | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B3-S030	f83r	B3	BIOLOGICAL	TRUE_SEGMENTATION	NONE	NONE	0	0	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	zwischen gleichwertigen attestierten Packungen priorisieren
B3-S032	f83r	B3	BIOLOGICAL	NON_Y_COPY	CHD+OT	NONE	0	0	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	wiederholte Adresse/Operation explizit in mehrere Karten verteilen
B3-S034	f83r	B3	BIOLOGICAL	Y_COPY_ONLY	Y+Y	NONE	2	1	O+IIN | CTH+Y | UNPACKED(T) | OT+AIIN | AL | OL | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B4-S002	f83r	B4	BIOLOGICAL	Y_COPY_ONLY	Y	NONE	1	0	Y | OK+EE+OL | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B4-S003	f83r	B4	BIOLOGICAL	EXTRA_HELPER_OR_MIXED	Y+Y	OL	2	-1	CHD+Y | OT+AL | OT+EE+Y | OK+OL | OK+OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	ein verbliebenes Hilfswort entfernen und Y-Kopie pruefen
B4-S008	f83r	B4	BIOLOGICAL	Y_COPY_ONLY	Y	NONE	1	0	AIIN | CHK+EE+Y | UNPACKED(EE) | OK+SH+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B4-S014	f83r	B4	BIOLOGICAL	Y_COPY_ONLY	Y	NONE	1	-1	OR | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B4-S015	f83r	B4	BIOLOGICAL	Y_COPY_ONLY	Y	NONE	1	1	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | UNPACKED(E) | UNPACKED(SOLK) | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
B4-S016	f83r	B4	BIOLOGICAL	NON_Y_COPY	K	NONE	0	0	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	wiederholte Adresse/Operation explizit in mehrere Karten verteilen
B5-S003	f83r	B5	BIOLOGICAL	NON_Y_COPY	AL	NONE	0	-1	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	wiederholte Adresse/Operation explizit in mehrere Karten verteilen
B6-S001	f83r	B6	BIOLOGICAL	Y_PLUS_OTHER_COPY	E+OL+Y+Y+Y	NONE	3	-1	SOLK+EE+Y | UNPACKED(E) | K+AL | UNPACKED(R) | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
