pair_id	head_surface	value_surface	page	locus	section	hand	head_ordinal	line_position	exact_span_eva	value_roles	value_candidate_de	written_line_eva	head_family_value_contact	component_export_credit
G765-CV016	sor	aiin	f114v	f114v.25	S	3	1	FIRST	sor aiin	KNOWN_OTHER	Menge III	sor aiin otchedy otaiin alkain okeedy	1	0
G765-CV017	cthor	daiin	f15v	f15v.3	H	1	1	FIRST	cthor daiin	SCALAR_VALUE	Wert III	cthor daiin qokor okeor okaiin	1	0
G765-CV018	chor	daiin	f19v	f19v.10	H	1	2	MIDDLE	chor daiin	SCALAR_VALUE	Wert III	daiin chor daiin qokor y okchan	1	0
G765-CV019	chor	daiin	f22r	f22r.10	H	1	2	MIDDLE	chor daiin	SCALAR_VALUE	Wert III	kchol chor daiin cthoiin dchor chey qokol dy opchol oldam	1	0
G765-CV020	cthor	dain	f22r	f22r.2	H	1	9	MIDDLE	cthor dain	OPEN	Menge/Portion II	ol oiin shol o kor qokchol daiin okaiin cthor dain ckhy dom	1	0
G765-CV021	schor	daiin	f22r	f22r.4	H	1	8	MIDDLE	schor daiin	SCALAR_VALUE	Wert III	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	1	0
G765-CV022	chor	daiin	f23r	f23r.2	H	1	3	MIDDLE	chor daiin	SCALAR_VALUE	Wert III	to ar chor daiin chk dain otchy lolchor daiin dam okchol dain g	1	0
G765-CV023	chor	daiin	f25v	f25v.2	H	1	3	MIDDLE	chor daiin	SCALAR_VALUE	Wert III	dchor cthor chor daiin s okeeaiin daiin ckhey daiin	1	0
G765-CV024	shor	daiin	f28v	f28v.4	H	1	8	MIDDLE	shor daiin	SCALAR_VALUE	Wert III	tshoiin cheor chor o chty qotol sheol shor daiin qoty	1	0
G765-CV025	cthor	dain	f28v	f28v.8	H	1	4	MIDDLE	cthor dain	OPEN	Menge/Portion II	okain chan chain cthor dain yk chy daiin cthol	1	0
G765-CV026	shor	daiin	f29r	f29r.6	H	1	4	MIDDLE	shor daiin	SCALAR_VALUE	Wert III	chokshy shocthy shor shor daiin qokaiiin	1	0
G765-CV027	chor	daiin	f2v	f2v.2	H	1	8	MIDDLE	chor daiin	SCALAR_VALUE	Wert III	kcho kchy sho shol qotcho loeees qoty chor daiin	1	0
G765-CV028	sor	daiin	f30r	f30r.11	H	1	8	MIDDLE	sor daiin	SCALAR_VALUE	Wert III	qotchor cheor chey cheor chey soeeb ydey sor daiin	1	0
G765-CV029	shor	daiin	f32v	f32v.3	H	1	1	FIRST	shor daiin	SCALAR_VALUE	Wert III	shor daiin chckhy dsho dain daiin s shokey ka	1	0
G765-CV030	or	aiin	f33r	f33r.5	H	2	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	pair or aiin otaiin ol kor aiin okal otal chdal shekal qokar otam	1	0
G765-CV031	or	aiin	f33r	f33r.7	H	2	4	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	dar chos aiin or aiin cheekaiin okain ar okeeey	1	0
G765-CV032	or	aiin	f33v	f33v.9	H	2	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	sar or aiin chor or shkair shol or chckhy ar aiin okain dal dy	1	0
G765-CV033	cthor	daiin	f36v	f36v.6	H	1	2	MIDDLE	cthor daiin	SCALAR_VALUE	Wert III	daiin cthor daiin dal dys	1	0
G765-CV034	qotor	daiin	f37v	f37v.16	H	1	1	FIRST	qotor daiin	SCALAR_VALUE	Wert III	qotor daiin chotaiin	1	0
G765-CV035	dshor	daiin	f37v	f37v.4	H	1	3	MIDDLE	dshor daiin	SCALAR_VALUE	Wert III	dshor dytory dshor daiin	1	0
G765-CV036	or	aiin	f39v	f39v.1	H	2	9	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	pdair chdy fdykain or air sheykaiiin ofchy kar or aiin dolky oshdy	1	0
G765-CV037	or	aiin	f39v	f39v.3	H	2	7	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	daiin chor okain okaii fchody saiin or aiin qokaiin ytodaiin okam	1	0
G765-CV038	or	aiin	f39v	f39v.5	H	2	6	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	ytedykor or sheky kain otar or aiin okaiin ckhol ol kor oto r ofchy	1	0
G765-CV039	or	aiin	f40r	f40r.4	H	2	1	FIRST	or aiin	AMOUNT_VALUE	Menge III	or aiin chekody dar qokol okaiin okar oky okoldy ol	1	0
G765-CV040	or	dain	f40r	f40r.9	H	2	4	MIDDLE	or dain	OPEN	Menge/Portion II	taiin ol olaiin or dain okaiin okaiin okaiin daram	1	0
G765-CV041	chor	dain	f42v	f42v.1	H	1	7	MIDDLE	chor dain	OPEN	Menge/Portion II	cho sheey qocho taiin shols chol chor dain	1	0
G765-CV042	or	aiin	f43v	f43v.12	H	2	10	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	yshee kedy dar chey qotedy etaiin chedy cthey oteol or aiin odain	1	0
G765-CV043	chor	daiin	f45v	f45v.2	H	1	2	MIDDLE	chor daiin	SCALAR_VALUE	Wert III	okol chor daiin cthy okchol chom okolor dy okchol s	1	0
G765-CV044	chor	daiin	f49v	f49v.38	H	1	5	MIDDLE	chor daiin	SCALAR_VALUE	Wert III	chokeo sho cheor cheokchet chor daiin dy daiin qokg	1	0
G765-CV045	shor	qodaiin	f52v	f52v.11	H	1	2	MIDDLE	shor qodaiin	OPEN	Qualitätsgrad III	daiin shor qodaiin ckhey sal	1	0
G765-CV046	cthor	aiin	f52v	f52v.7	H	1	3	MIDDLE	cthor aiin	KNOWN_OTHER	Menge III	pcheol sholoiin cthor aiin	1	0
G765-CV047	or	aiin	f55r	f55r.2	H	2	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	okair or aiin chody ykair y qokar okar ol ykar ar al	1	0
G765-CV048	or	aiin	f55r	f55r.5	H	2	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	y or aiin okal chol kchoy pchtchdy oaiin okasor olkam	1	0
G765-CV049	or	aiin	f55v	f55v.9	H	2	6	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	ykaky qokchy okal chey or or aiin okaiin ykain otaky	1	0
G765-CV050	or	aiin	f58v	f58v.4	S	3	1	FIRST	or aiin	AMOUNT_VALUE	Menge III	or aiin okair y dair al qokal qokaiin qokaly okar olkaly okal	1	0
G765-CV051	or	aiin	f79r	f79r.13	B	2	7	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	pshorol shckhy qotshdy qokaldy opchedy qotar or aiin ol	1	0
G765-CV052	or	aiin	f79v	f79v.39	B	2	5	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	qokeedy ykeey sheey or or aiin yefaiin chy dor yty	1	0
G765-CV053	chor	daiin	f7r	f7r.10	H	1	3	MIDDLE	chor daiin	SCALAR_VALUE	Wert III	s chain chor daiin chckhy	1	0
G765-CV054	sor	aiin	f83r	f83r.36	B	2	1	FIRST	sor aiin	KNOWN_OTHER	Menge III	sor aiin shy shey lshedy qoky	1	0
G765-CV055	or	aiin	f85r1	f85r1.33	T	2	7	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	raraiiin shey osaiin otar ytar otedy or aiin otar olar olkeedy	1	0
G765-CV056	or	aiin	f85r2	f85r2.2	C	2	3	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	sain or or aiin opchdy	1	0
G765-CV057	or	aiin	f85r2	f85r2.20	C	2	1	FIRST	or aiin	AMOUNT_VALUE	Menge III	or aiin ckheda or ain olchey qokal shedy	1	0
G765-CV058	or	aiin	f86v5	f86v5.13	T	2	8	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	daiin shar otam ytaiin otal teody cthy or aiin otar aiiin	1	0
G765-CV059	or	aiin	f86v5	f86v5.23	T	2	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	ykaiin or aiin okol chokar sheol qokar cheey or aiin ody	1	0
G765-CV060	or	aiin	f86v5	f86v5.32	T	2	6	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	dshey ytchy dy qotal shdy or aiin chody chey ol teody aiin	1	0
G765-CV061	or	aiin	f86v5	f86v5.35	T	2	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	ychey or aiin ytair ytaim otal shod qokchy qoody s aim	1	0
G765-CV062	or	aiin	f86v6	f86v6.17	T	2	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	par or aiin dar aiiin qckhear shoy qotedy opchdy olain ar alkar am	1	0
G765-CV063	or	aiin	f86v6	f86v6.7	T	2	4	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	qokaiin y lchedor or aiin ol or olkal or shedy qokal s ar archey dy	1	0
G765-CV064	or	aiin	f95v1	f95v1.11	H	3	5	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	pshedar shedy kshedy qotches or aiin shekaiin otain tshes qokain	1	0
G765-CV065	or	aiin	f95v2	f95v2.3	H	3	4	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	archytaiin shekoiin okar or aiin chckhy okal otain okalody	1	0
G765-CV066	or	aiin	f99v	f99v.34	P	1	9	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	yoiin ol ol olaiin qockhey qokol olshy qokeeor or aiin doldam	1	0
G765-CV067	or	aiin	f99v	f99v.40	P	1	1	FIRST	or aiin	AMOUNT_VALUE	Menge III	or aiin okeody okol odaiin qoky olaldy	1	0
