page	locus	target_positions	target_ordinals	target_surfaces	v59_practical_translation_de	v60_practical_translation_de
f113v	f113v.17	1	2	shedy	Drei Teile der ersten Samenfraktion bis zur Mittelstufe einweichen und abschließen; dazu trocken gebundene Holzdroge in Form II und die erste erhitzte Drogenfraktion. Im Ansatz auf Heizstufe III bringen, drei Portionen Blatt- oder Krautdroge zugeben und hiervon eine Portion bis zur letzten Stufe abkühlen.	Drei Teile der ersten Samenfraktion; fertige mittlere Feuchtstufe; Drogenholz, trocken gebunden, Form II; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; heiß, Grad III, im Ansatzrahmen; drei Portionen Blatt- oder Krautdroge; hiervon eine Portion bis zur letzten Stufe abkühlen.
f114r	f114r.26	1	8	cheody	Hiervon drei Dosen des zweiten Trockenansatzes abmessen. Die dritte erhitzte Holzdrogenfraktion mit einer Zubereitung auf Heizstufe III, drei Dosen Trockenansatz und der ersten heißen Ansatzfraktion verbinden. Heiße Drogenbasis Stufe III und heißen Ansatz Stufe III zusammengeben, den getrockneten Ansatz als Grundansatz aus der zweiten Fraktion nehmen und davon ein Maß verwenden.	Hiervon drei Dosen des zweiten Trockenansatzes abmessen; dritte erhitzte Holzdrogenfraktion im Ansatz; heiß, Grad III; Trockenansatz, Dosis III; heiße Drogenfraktion I im Ansatz; heiße Drogenbasis, Stufe III; heiß, Grad III, im Ansatzrahmen; fertiger Trockenansatz; zweite Drogenfraktion als Grundansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.
f115r	f115r.1	5	4|7|9|10|11	otedy|teeedy|oechedy|oteedy|qotchedy	Die erste Blütenfraktion abmessen; getrockneten Pulverstoff nehmen und davon zwei Dosen bis zur Mittelstufe getrocknetes Gut abteilen. Danach: kalter Ansatz, auf Mittelstufe abgeschlossen; bis zur Mittelstufe getrockneter Pulverstoff; vollständig abgekühlt und abgeschlossen; eine Portion der dritten Ansatzfraktion; bis zur Mittelstufe getrockneter und fertiggestellter Ansatz; auf Kühlendstufe abgeschlossener Ansatz; kalt-trocken auf Mittelstufe abgeschlossen.	Erste Blütenfraktion abmessen; nimm getrockneten Pulverstoff; zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen; fertiger kalter Ansatz, Mittelstufe; bis zur Mittelstufe getrocknet; Pulverstoff; vollständig abgekühlter Ansatz, fertig; eine Portion der dritten Ansatzfraktion; fertiger bis zur Mittelstufe getrockneter Ansatz; fertiger kalter Ansatz, Endstufe; fertige kalt-trockene Mittelstufe.
f115r	f115r.23	5	1|4|11|12|13	dchey|chody|chedy|qokchedy|ldy	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Am Heizende einen heißen Auszug bereiten und abschließen; den fertigen Trockenansatz erhitzen, trocknen und neu ansetzen. Saatgutposten und trockenes Blatt- oder Krautgut stark bis zur Endstufe III erhitzen. Das stark erhitzte Gut mit Holzstoff bis zur mittleren Trockenstufe führen, heiß-trocken abschließen und als fertig aufbereitete Holzdroge halten.	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß am Ende des Grades; heißen Auszug bereiten und abschließen; fertiger Trockenansatz; erhitze, trockne und setze an; Samen-/Saatgutposten; trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut; stark erhitzt, Endstufe III; stark erhitzt, Endstufe III; Holzstoff; fertige mittlere Trockenstufe; fertige heiß-trockene Mittelstufe; fertig aufbereitete Holzdroge.
f116r	f116r.12	1	9	olchdy	Den zweiten Ansatz nehmen: erste Drogenfraktion und nachgetrocknetes Drogenmaterial der Mittelstufe. Auf Heizgrad II bringen; davon zwei Portionen. Bis zur Trocken-Endstufe, danach zur heißen Endstufe und anschließend auf Kühlgrad II führen. Den Drogenstoff trocknen und fertigstellen; von der Rohdroge I im kalten Anfangsansatz zwei Portionen; anschließend ein Maß Drogenmaterial.	Zweiten Ansatz nehmen; Drogenfraktion I; nachgetrocknetes Drogenmaterial, Mittelstufe; heiß im Zubereitungsrahmen, Grad II; zwei Portionen des erhitzten nachgetrockneten Drogenmaterials; trocken am Ende des Grades; heißer Ansatz am Ende des Grades; kalt im Zubereitungsrahmen, Grad II; Trockenstoff vollständig trocknen; Rohstoffklasse I im Ansatz, kalt am Gradanfang; zwei Portionen der Rohdroge I im kalten Anfangsansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.
f23r	f23r.6	2	2|8	y|dchey	Kalt eingeweichten Drogenstoff nehmen. Hierzu eine heiße Drogenportion auf Stufe III leicht nachwärmen. Die erste Fraktion des heißen Ansatzstoffs abmessen; dazu bis Mittelstufe getrocknete Messdroge, drei abgemessene Mengen Rohdroge I und eine Dosis I. Hieraus einen Kalt-Trockenansatz herstellen und eine Charge Holzrohdroge I abmessen.	Kalt eingeweichter Drogenstoff; Hierzu: heiße Drogenportion; heiß, Grad III; hierzu leicht erhitzen; abgemessene Fraktion I; heißer Ansatzstoff; fertige abgemessene Mittelstufen-Trockenportion; drei abgemessene Mengen Rohdroge I; Dosis I; hieraus einen Kalt-Trockenansatz herstellen; eine Charge Holzrohdroge I abmessen.
f24v	f24v.15	2	1|4	dchey|ochdy	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Den heiß-trockenen Ansatz abziehen, eine Dosis angetrocknete Rohdroge I abmessen und den Trockenansatz fertigstellen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß-trockener Ansatz, abgezogen und abgeschlossen; eine Dosis angetrocknete Rohdroge I; fertiger Trockenansatz.
f26r	f26r.2	6	1|3|5|6|7|8	dchey|adeeody|chedy|ytedy|dy|checthedy	Abgemessene, bis zur Mittelstufe getrocknete und abgeschlossene Droge, Menge III; ein gleicher abgemessener Teil des vollständig fertiggestellten Ansatzes. Hieraus die Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen, anschließend bis Mitte trocknen und abschließen, dann hiervon bis Mitte abkühlen und fertigstellen. Den Posten schließen und die Krautdroge in zwei mäßigen Trockengängen fertigstellen; Wurzelholz.	Fertige abgemessene Mittelstufen-Trockenportion; Menge III; gleicher abgemessener Teil des fertigen Ansatzes; hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen; fertige mittlere Trockenstufe; hiervon bis zur Mittelstufe abkühlen; Krautdroge in zwei mäßigen Trockengängen fertig trocknen; eine Charge Holzdroge.
f27r	f27r.9	1	1	dchey	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Den vollständig erhitzten Ansatz abziehen und damit einen Feuchtansatz aus kalt bis zur Mittelstufe nachgetrockneter Droge ansetzen. Danach: trocken; kalter Anfangsansatz, leicht getrocknet; ein Gran kalten Drogenmaterials.	Eine abgemessene Portion bis zur Mittelstufe trocknen; vollständig erhitzter und abgezogener Ansatz; Feuchtansatz aus kalt bis Mittelstufe getrockneter Droge; trocken; kalter Ansatz am Anfang des Grades; trocken am Anfang des Grades; ein Gran kalten Drogenmaterials.
f30r	f30r.9	1	1	dchey	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Die erste Trockenfraktion nehmen: trocken; vollständig auf Stufe III erhitzen. Die Krautdroge bis zur Mittelstufe trocknen, den Pflanzen- oder Blütenteil dazugeben und bis zur mittleren Trockenstufe bringen, dann leicht anwärmen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; erste Trockenfraktion nehmen; trocken; vollständig erhitzt, Stufe III; Krautdroge bis zur mittleren Stufe trocknen; Pflanzen-/Reproduktionsteil; bis zur mittleren Trockenstufe, dann leicht erhitzen.
f49r	f49r.16	2	3|4	dchey|qotchody	Den Trockenansatz nehmen und bis zur Endstufe trocknen. Die abgemessene und auf Mittelstufe getrocknete Droge als fertiges Zwischenprodukt halten; anschließend kühlen, trocknen, erneut ansetzen und fertigstellen.	Trockenansatz nehmen; trocken am Ende des Grades; fertige abgemessene Mittelstufen-Trockenportion; abkühlen, bis zur Mittelstufe trocknen und neu ansetzen.
f56r	f56r.6	3	2|3|6	dy|dchey|y	Hieraus einen heiß-trockenen Ansatz bereiten. Die abgemessene Trockendroge ist auf Mittelstufe abgeschlossen; heißer Endzustand, Qualitätsgrad III. Eintrag abgeschlossen.	Hieraus einen heiß-trockenen Ansatz bereiten; fertige abgemessene Mittelstufen-Trockenportion; heiß am Ende des Grades; Qualitätsgrad III des heißen Endzustands.
f76v	f76v.10	5	3|4|5|6|10	qopchdy|dshedy|shedy|tchedy|dy	Eine Portion Arzneikompositum abmessen; dazu feuchte abgemessene Rohstoffmenge I auf Mittelstufe. Fertig getrocknetes Pulver nehmen und eine Dosis Droge bis zur Mittelstufe einweichen und abschließen. Mit dem fertigen Feuchtgut und dem kalt-trockenen Mittelstufenprodukt die Rohholzdroge I vollständig einweichen und kaltstellen; bis zur Mittelstufe eingeweichtes Arzneikompositum, drei Portionen; Wertfeld geschlossen.	Eine Portion Arzneikompositum abmessen; feuchte abgemessene Rohstoffmenge I in der Gradmitte; fertig getrocknetes Pulver nehmen; eine abgemessene Portion Droge bis zur Mittelstufe einweichen; fertige mittlere Feuchtstufe; fertige kalt-trockene Mittelstufe; Rohholzdroge I, vollständig eingeweicht und kaltgestellt; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; drei Portionen des eingeweichten Arzneikompositums.
f77r	f77r.38	3	2|3|8	shedy|qoeedy|shedy	Pulverstoff · feucht, Mittelstufe, abgeschlossen · vollständig fertiggestellten Ansatz nehmen · heiß, Grad III · bis Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum · Drogenstoff zugeben · Holzdroge, kalt auf Stufe III · feucht, Mittelstufe, abgeschlossen · Drogenstoff zugeben.	Pulverstoff; fertige mittlere Feuchtstufe; den vollständig fertigen Ansatz nehmen; heiß, Grad III; bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum; Drogenstoff zugeben; Holzdroge, kalt auf Stufe III; fertige mittlere Feuchtstufe; Drogenstoff zugeben.
f77v	f77v.7	6	1|2|5|6|7|10	olshedy|qolsheedy|ycheedy|okedy|lshedy|chedy	Vollständig eingeweichte Holzdroge; den vollständig eingeweichten und fertigen Drogenstoff zugeben. Davon getrocknete Wurzeldroge nehmen und vollständig trocknen und fertigstellen. Den heißen Mittelstufenansatz mit eingeweichtem Drogenholz mischen; Trockengut in Grundform und feuchte abgemessene Rohstoffmenge I auf Anfangsstufe. Bis zur mittleren Trockenstufe führen und leicht erhitzten Drogenstoff zugeben.	Vollständig eingeweichte Holzdroge im Ansatz, fertig; vollständig eingeweichte Droge zugeben; hiervon nehmen; getrocknete Wurzeldroge; hiervon vollständig trocknen; fertiger heißer Ansatz, Mittelstufe; fertig eingeweichtes Drogenholz; Trockengut, Grundform; feuchte abgemessene Rohstoffmenge I am Gradanfang; fertige mittlere Trockenstufe; leicht erhitzten Drogenstoff hinzugeben.
f7r	f7r.2	2	6|9	dchey|cheody	Eine Dosis vollständig trocknen und abschließen; heiße Drogenportion; Blüten- oder Fruchtstand. Den Drogenstoff abmessen und abschließen. Danach die abgemessene Trockendroge auf Mittelstufe, heiß-trocken auf Mittelstufe, in einen kalt-trockenen Anfangsansatz überführen und als getrockneten Ansatz halten.	Eine Dosis vollständig trocknen und abschließen; Ansatz auf mittlerer Heizstufe; Wurzel; Blüten-/Fruchtstand; reproduktiver Teil; Drogenstoff abmessen und abschließen; fertige abgemessene Mittelstufen-Trockenportion; heiß und trocken in der Mitte des Grades; kalt-trockener Ansatz am Anfang des Grades; fertiger Trockenansatz.
f80v	f80v.35	2	4|12	y|ldy	Kalt. Holzdrogenansatz auf Kühlstufe II; erste erhitzte Drogenfraktion im Ansatz. Hierzu zweimal Drogenstoff zugeben. Danach: Heizgrad II; erhitzter Ansatz in Form III; Grundansatz; Heizgrad II; mittlere Feuchtstufe; fertig aufbereitete Holzdroge.	Kalt; Holzdrogenansatz, kalt auf Stufe II; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; Hierzu: Drogenstoff zugeben; Drogenstoff zugeben; heiß, Grad II; erhitzter Ansatz, Form III; Grundansatz; heiß, Grad II; feucht in der Mitte des Grades; fertig aufbereitete Holzdroge.
f83v	f83v.12	2	7|9	qokeedy|sheedy	Drei Portionen feuchten Arzneikompositums auf Anfangsstufe; zweiter Mazerationsansatz. Daraus die erste Holzdrogenfraktion abmessen und bis zur Trocken-Endstufe führen; Rohdroge I; heiße Endstufe abgeschlossen; erste erhitzte Drogenfraktion im Ansatz; Feucht-Endstufe abgeschlossen; Heizgrad II; schließlich Holzrohstoffansatz in Form I.	Drei Portionen feuchten Arzneikompositums; Arzneikompositum: feucht, Gradanfang; zweiter Mazerationsansatz; erste Holzdrogenfraktion abmessen; trocken am Ende des Grades; Rohstoffklasse I; fertige heiße Endstufe; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; fertige feuchte Endstufe; heiß, Grad II; Ansatz aus Holzrohstoff, Form I.
f86v3	f86v3.13	4	3|8|9|10	tcheody|y|chedy|qokady	Vollständig eingeweichter Ansatz; eine Portion vollständig eingeweichte Droge. Abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen. Heizstufe II; drei Portionen der ersten erhitzten Ansatzfraktion; drei Dosen Trockendroge. Hierzu bis zur Mittelstufe trocknen und abschließen; einen gleichen Teil erhitzen und abschließen; Trockengut auf Heizstufe II.	Vollständig eingeweichter Ansatz; eine Portion vollständig eingeweichte Droge; abkühlen, bis zur Mittelstufe trocknen und ansetzen; heiß, Grad II; drei Portionen der ersten erhitzten Drogenfraktion im Ansatz; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; abgemessene Trockendroge, Dosis III; Hierzu: fertige mittlere Trockenstufe; einen gleichen Teil erhitzen; Trockengut, heiß auf Stufe II.
f86v3	f86v3.18	3	2|3|6	dchedy|qokchdy|sheody	Drei Dosen bis zur Mittelstufe getrocknetes Pulver; abgemessene Trockendroge, fertig. Heiß-trocken auf Anfangsstufe abschließen. Fertig getrockneten Pulverstoff nehmen: feucht; den angefeuchteten Ansatz fertigstellen. Zum Schluss ein Maß erhitzter Saatgutzubereitung.	Drei Dosen bis Mittelstufe getrocknetes Pulver; fertige abgemessene Trockenportion; fertige heiß-trockene Anfangsstufe; nimm getrockneten Pulverstoff; feucht; fertiger angefeuchteter Ansatz; ein Maß erhitzter Saatgutzubereitung.
f86v3	f86v3.19	4	1|6|8|10	dchey|kchdy|tchdy|aiindy	Eine Dosis bis zur Mittelstufe trocknen und abschließen; kalter Ansatz auf Grad II. Den Holzdrogenansatz mäßig erhitzen, trocknen und abschließen. Ein Maß nehmen und erhitzen: trocken; heiß-trocken auf Anfangsstufe abgeschlossen. Danach erneut trocken; kalt-trocken auf Anfangsstufe abgeschlossen. Die erste abgemessene Fraktion in drei Teile fertig abteilen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; kalt im Zubereitungsrahmen, Grad II; Holzdrogenansatz mäßig erhitzen, trocknen und abschließen; nimm ein Maß und erhitze es; trocken; fertige heiß-trockene Anfangsstufe; trocken; fertige kalt-trockene Anfangsstufe; abgemessene Fraktion I; drei fertig abgeteilte Teile.
f86v5	f86v5.2	1	2	yteody	Zweite Fraktion des Drogenholzpostens: abgeschlossene Kaltzubereitung mit leicht angefeuchteter erster heißer Drogenfraktion, einer weiteren ersten heißen Drogenfraktion und Blüten- oder Fruchtstand. Getrockneten Pulverstoff nehmen; Rohdroge I, kalt auf Anfangsstufe, im Grundansatz. Hiervon den Drogenstoff abkühlen, wobei die Befehlsform leserunsicher ist. Zweimal je ein Maß kalten Ansatzes.	Zweite Fraktion des Drogenholzpostens; Eintrag: fertige kalte Zubereitung; heiße Drogenfraktion I; feucht am Anfang des Grades; heiße Drogenfraktion I; Blüten-/Fruchtstand; reproduktiver Teil; nimm getrockneten Pulverstoff; Rohstoffklasse I, kalt am Gradanfang; Grundansatz; kühle hiervon den Drogenstoff ab; ein Maß kalten Ansatzes; ein Maß kalten Ansatzes.
f86v5	f86v5.24	1	5	kchody	Drogenfraktion I im Ansatz · Menge III · hiervon auf Stufe II erhitzen · Rohstoffklasse I im heißen Anfangsansatz · fertiggestellter heiß-trockener Ansatz · trockenes Arzneikompositum, Anfangsstufe · kalt, Grad III, im Zubereitungsrahmen · erste erhitzte Drogenfraktion im Ansatz · kalt, Grad III, im Zubereitungsrahmen.	Drogenfraktion I im Ansatz; Menge III; erhitze hiervon auf Stufe II; Rohstoffklasse I im Ansatz, heiß am Gradanfang; fertiger heiß-trockener Ansatz; Arzneikompositum: trocken, Gradanfang; kalt im Zubereitungsrahmen, Grad III; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; kalt im Zubereitungsrahmen, Grad III.
f86v5	f86v5.4	1	8	ltedy	Trockne hiervon Samenpulver bis zur Mittelstufe. Heiß ansetzen; das bis zur Schlussstufe eingeweichte Gut zunächst auf Kälte-Anfangsstufe, dann auf Stufe III bringen. Saatgut der Charge II als Trockenpulver mit der fertig abgekühlten Holzdroge verwenden; eine Maßeinheit der ersten erhitzten Holzdrogenfraktion abmessen.	Hiervon Samenpulver bis zur Mittelstufe trocknen; heißer Ansatz am Anfang des Grades; vollständig eingeweichtes Gut der Schlussstufe; kalt am Anfang des Grades; kalt, Grad III; Saatgut, Charge II; Trockenpulver in Grundform; fertig abgekühlte Holzdroge, Mittelstufe; abgemessene Fraktion I; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; Maßeinheit I.
f86v6	f86v6.25	2	1|8	yteedy|ofchedy	Den Ansatz vollständig abkühlen und abschließen. Von der heißen Fraktion I und der ersten erhitzten Holzdrogenfraktion die erste Ansatzfraktion abmessen; hiervon drei Teile erhitzen. Eine Portion vollständig bis zur letzten Heizstufe führen und mit dem fertig getrockneten Blütenansatz verbinden; dazu drei heiße Teile und ein Maß der ersten Drogenfraktion.	Hiervon vollständig abkühlen; heiße Drogenfraktion I; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; die erste Ansatzfraktion abmessen; erhitze hiervon auf Stufe III; Drogenportion; Ansatz vollständig bis zur letzten Heizstufe geführt; fertig getrockneter Blütenansatz; heiß, Grad III; ein Maß der ersten Drogenfraktion.
f86v6	f86v6.31	1	5	olkchdy	Die zweite Fraktion als Trockenpulver abmessen und auf Stufe III erhitzen. Aus dem Holzdrogenansatz die erste erhitzte Fraktion sowie das heiß-trocken aufbereitete Material nehmen. Die erste heiße Fraktion aus Rohdroge I abmessen und den erhitzten Holzdrogenansatz bis zur Mittelstufe trocknen. Aus dem Kaltansatz ein Maß nehmen, erneut kühlen und eine Handvoll Ansatz als Portion abteilen.	Abgemessene Fraktion II; Trockenpulver in Grundform; heiß, Grad III; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; fertige heiß-trockene Drogenportion; heiße Drogenfraktion I im Ansatz; Rohstoffklasse I; abgemessene Fraktion I; erhitzter Holzdrogenansatz, bis Mittelstufe getrocknet; aus dem Kaltansatz ein Maß nehmen und erneut kühlen; eine Handvoll Ansatz als Portion.
