locus	ordinal	surface	dispatch_class	strict_cleared	mechanical_memberships_cleared	specificity_cleared	four_layer_position_cleared	remaining_debt
f115r.23	12	qokchedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f115r.23	13	ldy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f116r.12	9	olchdy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	1	1	1	1	NONE
f23r.6	2	y	RIGHT_REFERENCE	1	0	1	1	NONE
f23r.6	8	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	0	0	1	1	NONE
f24v.15	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	0	0	0	0	NONE
f24v.15	4	ochdy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f26r.2	1	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	0	0	1	1	NONE
f26r.2	3	adeeody	NOMINAL_FINISHED_RESULT_STATE	0	0	1	0	LOW_CONFIDENCE
f26r.2	5	chedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f26r.2	6	ytedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f26r.2	7	dy	CLAUSE_STOP	1	2	1	1	NONE
f26r.2	8	checthedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	1	1	0	1	NONE
f27r.9	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	0	0	0	0	NONE
f30r.9	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	0	0	0	0	NONE
f49r.16	3	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	0	0	1	1	NONE
f49r.16	4	qotchody	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f56r.6	2	dy	CLAUSE_STOP	1	2	1	1	NONE
f56r.6	3	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	0	0	1	1	NONE
f56r.6	6	y	LINE_STOP	1	1	1	1	NONE
f76v.10	3	qopchdy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f76v.10	4	dshedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f76v.10	5	shedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f76v.10	6	tchedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f76v.10	10	dy	LINE_STOP	1	2	1	1	NONE
f77r.38	2	shedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f77r.38	3	qoeedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f77r.38	8	shedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f77v.7	1	olshedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f77v.7	2	qolsheedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	1	1	1	1	NONE
f77v.7	5	ycheedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f77v.7	6	okedy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f77v.7	7	lshedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f77v.7	10	chedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f7r.2	6	dchey	NOMINAL_FINISHED_MIDDLE_DRY_PORTION	0	0	1	1	NONE
f7r.2	9	cheody	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f80v.35	4	y	RIGHT_REFERENCE	1	0	1	1	NONE
f80v.35	12	ldy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f83v.12	7	qokeedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f83v.12	9	sheedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f86v3.13	3	tcheody	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f86v3.13	8	y	RIGHT_REFERENCE	1	0	1	1	NONE
f86v3.13	9	chedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f86v3.13	10	qokady	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f86v3.18	2	dchedy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f86v3.18	3	qokchdy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f86v3.18	6	sheody	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f86v3.19	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	0	0	0	0	NONE
f86v3.19	6	kchdy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f86v3.19	8	tchdy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f86v3.19	10	aiindy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f86v5.2	2	yteody	NOMINAL_FINISHED_RESULT_STATE	1	2	1	1	NONE
f86v5.24	5	kchody	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
f86v5.4	8	ltedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f86v6.25	1	yteedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	0	0	0	0	NONE
f86v6.25	8	ofchedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f86v6.31	5	olkchdy	NOMINAL_FINISHED_RESULT_STATE	1	1	1	1	NONE
f86v6.4	2	shdy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f86v6.4	6	olkeedy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	NONE
f88r.19	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	0	0	0	0	NONE
f8r.15	1	dchey	ACTION_DRY_MEASURED_PORTION_TO_MIDDLE	0	0	0	0	NONE
f95v1.7	8	chdy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f95v1.7	9	kchdy	NOMINAL_FINISHED_RESULT_STATE	0	0	0	0	STATE_ONLY_NO_OBJECT
f95v1.7	11	otardy	NOMINAL_FINISHED_RESULT_STATE	0	0	1	1	NONE
