surface	positions	lines	action_positions	result_positions	dispatch_class	v60_literal_gloss_de	dy_contribution	confidence
checthedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	Krautdroge in zwei mäßigen Trockengängen fertig trocknen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
chody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
dairody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige abgemessene Ansatzfraktion II	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
dchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige abgemessene Trockenportion	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
dshedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	eine abgemessene Portion Droge bis zur Mittelstufe einweichen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
kchody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger heiß-trockener Ansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
lkedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige erhitzte Holzdroge, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
lshedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig eingeweichtes Drogenholz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ltedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig abgekühlte Holzdroge, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ochdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
oechedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger bis zur Mittelstufe getrockneter Ansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ofchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig getrockneter Blütenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
okchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger heiß-trockener Ansatz, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
okedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger heißer Ansatz, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
olchdy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	Trockenstoff vollständig trocknen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
olkchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Drogenportion	FINISHED_ENDPOINT_NOT_NEW_VERB	AMBER
olkeedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	vollständig erhitzter Holzdrogenansatz, fertig	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
olshedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	vollständig eingeweichte Holzdroge im Ansatz, fertig	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
otardy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige erste kalte Ansatzfraktion	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
otchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger kalt-trockener Anfangsansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
oteedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger kalter Ansatz, Endstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
otsheody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger kalt angefeuchteter Ansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qckhedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	das Arzneikompositum bis zur Mittelstufe aufbereiten	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
qody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige Zubereitung	FINISHED_ENDPOINT_NOT_NEW_VERB	AMBER
qoeedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	den vollständig fertigen Ansatz nehmen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
qokady	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	einen gleichen Teil erhitzen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
qokamdy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	ein Maß nehmen und erhitzen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
qokchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qokchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qokedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiße Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qokeedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiße Endstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qolsheedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	vollständig eingeweichte Droge zugeben	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
qopchdy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	fertig getrocknetes Pulver nehmen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
qotchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qotchody	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
shdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige feuchte Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
sheedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige feuchte Endstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
sheody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger angefeuchteter Ansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
solchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig getrockneter Saatgutstoff	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
tchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
tchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
tcheody	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	abkühlen, bis zur Mittelstufe trocknen und ansetzen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
teeedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	vollständig abgekühlter Ansatz, fertig	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ychedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	Eintrag: fertige getrocknete Droge	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ycheedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon vollständig trocknen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
ypcheddy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hieraus Pulver bis zur Mittelstufe trocknen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
ytedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon bis zur Mittelstufe abkühlen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
yteedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon vollständig abkühlen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
yteody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	Eintrag: fertige kalte Zubereitung	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
