book_event_ordinal	event_id	physical_page	register	locus	kind	surface	component_recipe	portable_default_de	local_contextual_expansion_de	event_role	statement_id	source_release
32	P912-E0032	f10r	HERBAL	f10r.4	CURRENT_BASE	chcthy	CH+CTH+Y	NEHMEN · BEREIT · POSTEN	ENTNEHMEN · BEREIT · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
33	P912-E0033	f10r	HERBAL	f10r.4	CURRENT_BASE	ctho	CTH+O	BEREIT · AUSFÜHREN	BEREIT · AUSFÜHREN	RUNNING_STATEMENT	P1006-S001	PASS1002
34	P912-E0034	f10r	HERBAL	f10r.4	CURRENT_BASE	ckhy	CKH+Y	DURCHLASS · POSTEN	DURCHLASS · POSTEN	RUNNING_STATEMENT	P1006-S001	PASS1002
35	P912-E0035	f10r	HERBAL	f10r.4	CURRENT_BASE	or	OR	ANSATZ	ANSATZ	RUNNING_STATEMENT	P1006-S001	PASS1002
36	P912-E0036	f10r	HERBAL	f10r.4	CURRENT_BASE	aiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S001	PASS1002
37	P912-E0037	f10r	HERBAL	f10r.4	CURRENT_BASE	chtchor	CH+T+CH+OR	NEHMEN · STELLEN · NEHMEN · ANSATZ	ENTNEHMEN · STELLEN · ENTNEHMEN · ANSATZ	RUNNING_STATEMENT	P1006-S001	PASS1002
38	P912-E0038	f10r	HERBAL	f10r.4	CURRENT_BASE	doiir	D_ADDR+O+IIN+R	TEIL · AUSFÜHREN · STUFE · MERKEN	TEIL · AUSFÜHREN · STUFE · MERKEN	RUNNING_STATEMENT	P1006-S001	PASS1002
39	P912-E0039	f10r	HERBAL	f10r.4	CURRENT_BASE	ody	O+DY	AUSFÜHREN · SCHLUSS	AUSFÜHREN · SCHLUSS	RUNNING_STATEMENT	P1006-S001	PASS1002
40	P912-E0040	f10r	HERBAL	f10r.5	CURRENT_BASE	qokchy	OK+Y	SETZEN · POSTEN	ANSETZEN · POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
41	P912-E0041	f10r	HERBAL	f10r.5	CURRENT_BASE	qotchol	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	anwärmen	RUNNING_STATEMENT	P1006-S002	PASS1002
42	P912-E0042	f10r	HERBAL	f10r.5	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	RUNNING_STATEMENT	P1006-S002	PASS1002
43	P912-E0043	f10r	HERBAL	f10r.5	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
44	P912-E0044	f10r	HERBAL	f10r.6	CURRENT_BASE	ycheor	Y+CHEO+R	POSTEN · AUSZUG · MERKEN	POSTEN · AUSZUG · MERKEN	RUNNING_STATEMENT	P1006-S002	PASS1002
45	P912-E0045	f10r	HERBAL	f10r.6	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
46	P912-E0046	f10r	HERBAL	f10r.6	CURRENT_BASE	chor	CH+OR	NEHMEN · ANSATZ	ENTNEHMEN · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
47	P912-E0047	f10r	HERBAL	f10r.6	CURRENT_BASE	cthaiin	CTH+AIIN	BEREIT · MASS	BEREIT · MASS	RUNNING_STATEMENT	P1006-S002	PASS1002
48	P912-E0048	f10r	HERBAL	f10r.6	CURRENT_BASE	qoctholy	CARRIER_Q+O+CTH+OL+Y	BEGINN · AUSFÜHREN · BEREIT · FORTSETZEN · POSTEN	pressen	RUNNING_STATEMENT	P1006-S002	PASS1002
49	P912-E0049	f10r	HERBAL	f10r.6	CURRENT_BASE	dy	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
50	P912-E0050	f10r	HERBAL	f10r.6	CURRENT_BASE	chy	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
51	P912-E0051	f10r	HERBAL	f10r.6	CURRENT_BASE	taiin	T+AIIN	STELLEN · MASS	STELLEN · MASS	RUNNING_STATEMENT	P1006-S002	PASS1002
52	P912-E0052	f10r	HERBAL	f10r.6	CURRENT_BASE	shy	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
53	P912-E0053	f10r	HERBAL	f10r.7	CURRENT_BASE	dchy	D_ADDR+Y	TEIL · POSTEN	TEIL · POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
54	P912-E0054	f10r	HERBAL	f10r.7	CURRENT_BASE	qokchol	OK+OL	SETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	RUNNING_STATEMENT	P1006-S002	PASS1002
55	P912-E0055	f10r	HERBAL	f10r.7	CURRENT_BASE	y	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
56	P912-E0056	f10r	HERBAL	f10r.7	CURRENT_BASE	kchaiin	K+CH+AIIN	GEBEN · NEHMEN · MASS	ZUGEBEN · ENTNEHMEN · MASS	RUNNING_STATEMENT	P1006-S002	PASS1002
57	P912-E0057	f10r	HERBAL	f10r.7	CURRENT_BASE	yty	Y+T+Y	POSTEN · STELLEN · POSTEN	POSTEN · STELLEN · POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
58	P912-E0058	f10r	HERBAL	f10r.7	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S002	PASS1002
59	P912-E0059	f10r	HERBAL	f10r.7	CURRENT_BASE	cth	CTH	BEREIT	BEREIT	RUNNING_STATEMENT	P1006-S002	PASS1002
60	P912-E0060	f10r	HERBAL	f10r.7	CURRENT_BASE	dain	AIN	PORTION	PORTION	RUNNING_STATEMENT	P1006-S002	PASS1002
61	P912-E0061	f10r	HERBAL	f10r.7	CURRENT_BASE	dair	D_ADDR+AIR	TEIL · LAUF	TEIL · FLÜSSIGKEITSLAUF	RUNNING_STATEMENT	P1006-S002	PASS1002
62	P912-E0062	f10r	HERBAL	f10r.7	CURRENT_BASE	am	AM_ADDR	INNEN	INNEN	RUNNING_STATEMENT	P1006-S002	PASS1002
63	P912-E0063	f10r	HERBAL	f10r.8	CURRENT_BASE	qotchor	OT+CH+OR	DANACH · NEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
64	P912-E0064	f10r	HERBAL	f10r.8	CURRENT_BASE	chor	CH+OR	NEHMEN · ANSATZ	ENTNEHMEN · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
65	P912-E0065	f10r	HERBAL	f10r.8	CURRENT_BASE	otol	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	RUNNING_STATEMENT	P1006-S002	PASS1002
66	P912-E0066	f10r	HERBAL	f10r.8	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	RUNNING_STATEMENT	P1006-S002	PASS1002
67	P912-E0067	f10r	HERBAL	f10r.8	CURRENT_BASE	cholor	OL+OR	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
68	P912-E0068	f10r	HERBAL	f10r.8	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	RUNNING_STATEMENT	P1006-S002	PASS1002
69	P912-E0069	f10r	HERBAL	f10r.8	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S002	PASS1002
70	P912-E0070	f10r	HERBAL	f10r.8	CURRENT_BASE	dar	D_ADDR+AR	TEIL · QUELLE	TEIL · VORRAT	RUNNING_STATEMENT	P1006-S002	PASS1002
71	P912-E0071	f10r	HERBAL	f10r.9	CURRENT_BASE	oykchor	O+Y+K+CH+OR	AUSFÜHREN · POSTEN · GEBEN · NEHMEN · ANSATZ	Topf	RUNNING_STATEMENT	P1006-S002	PASS1002
72	P912-E0072	f10r	HERBAL	f10r.9	CURRENT_BASE	shor	SH+OR	HALTEN · ANSATZ	HALTEN · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
73	P912-E0073	f10r	HERBAL	f10r.9	CURRENT_BASE	chor	CH+OR	NEHMEN · ANSATZ	ENTNEHMEN · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
74	P912-E0074	f10r	HERBAL	f10r.9	CURRENT_BASE	chy	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
75	P912-E0075	f10r	HERBAL	f10r.9	CURRENT_BASE	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	GEBEN · ORT · UNTERSTUFE · STUFE	ZUGEBEN · ORT · UNTERSTUFE · STUFE	RUNNING_STATEMENT	P1006-S002	PASS1002
76	P912-E0076	f10r	HERBAL	f10r.9	CURRENT_BASE	dy	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
77	P912-E0077	f10r	HERBAL	f10r.9	CURRENT_BASE	chodaiin	CH+O+D_ADDR+AIIN	NEHMEN · AUSFÜHREN · TEIL · MASS	ENTNEHMEN · AUSFÜHREN · TEIL · MASS	RUNNING_STATEMENT	P1006-S002	PASS1002
78	P912-E0078	f10r	HERBAL	f10r.10	CURRENT_BASE	oqotor	O+OT+OR	AUSFÜHREN · DANACH · ANSATZ	AUSFÜHREN · DANACH · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
79	P912-E0079	f10r	HERBAL	f10r.10	CURRENT_BASE	otor	OT+OR	DANACH · ANSATZ	DANACH · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
80	P912-E0080	f10r	HERBAL	f10r.10	CURRENT_BASE	cfhy	CFH+Y	TRENNEN · POSTEN	TRENNEN · POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
81	P912-E0081	f10r	HERBAL	f10r.10	CURRENT_BASE	cthor	CTH+OR	BEREIT · ANSATZ	BEREIT · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
82	P912-E0082	f10r	HERBAL	f10r.10	CURRENT_BASE	osain	O+S+AIN	AUSFÜHREN · AUSWÄHLEN · PORTION	AUSFÜHREN · AUSWÄHLEN · PORTION	RUNNING_STATEMENT	P1006-S002	PASS1002
83	P912-E0083	f10r	HERBAL	f10r.10	CURRENT_BASE	ytoiin	Y+T+O+IIN	POSTEN · STELLEN · AUSFÜHREN · STUFE	POSTEN · STELLEN · AUSFÜHREN · STUFE	RUNNING_STATEMENT	P1006-S002	PASS1002
84	P912-E0084	f10r	HERBAL	f10r.11	CURRENT_BASE	otchoshor	OT+CH+O+SH+OR	DANACH · NEHMEN · AUSFÜHREN · HALTEN · ANSATZ	DANACH · ENTNEHMEN · AUSFÜHREN · HALTEN · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
85	P912-E0085	f10r	HERBAL	f10r.11	CURRENT_BASE	qoty	OT+Y	DANACH · POSTEN	DANACH · POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
86	P912-E0086	f10r	HERBAL	f10r.11	CURRENT_BASE	qotor	OT+OR	DANACH · ANSATZ	DANACH · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
87	P912-E0087	f10r	HERBAL	f10r.11	CURRENT_BASE	cthyd	CTH+Y+D_ADDR	BEREIT · POSTEN · TEIL	BEREIT · POSTEN · TEIL	RUNNING_STATEMENT	P1006-S002	PASS1002
88	P912-E0088	f10r	HERBAL	f10r.11	CURRENT_BASE	otar	OT+AR	DANACH · QUELLE	DANACH · VORRAT	RUNNING_STATEMENT	P1006-S002	PASS1002
89	P912-E0089	f10r	HERBAL	f10r.12	CURRENT_BASE	odaiin	O+D_ADDR+AIIN	AUSFÜHREN · TEIL · MASS	AUSFÜHREN · TEIL · MASS	RUNNING_STATEMENT	P1006-S002	PASS1002
90	P912-E0090	f10r	HERBAL	f10r.12	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S002	PASS1002
91	P912-E0091	f10r	HERBAL	f10r.12	CURRENT_BASE	qotchy	OT+Y	DANACH · POSTEN	DANACH · POSTEN	RUNNING_STATEMENT	P1006-S002	PASS1002
92	P912-E0092	f10r	HERBAL	f10r.12	CURRENT_BASE	qotor	OT+OR	DANACH · ANSATZ	DANACH · ANSATZ	RUNNING_STATEMENT	P1006-S002	PASS1002
93	P912-E0093	f11r	HERBAL	f11r.1	CURRENT_BASE	tshol	T+SH+OL	STELLEN · HALTEN · FORTSETZEN	Blütenkraut	RUNNING_STATEMENT	P1006-S003	PASS1002
94	P912-E0094	f11r	HERBAL	f11r.1	CURRENT_BASE	schoal	SH+O+AL	HALTEN · AUSFÜHREN · ZIEL	Weinsud	RUNNING_STATEMENT	P1006-S003	PASS1002
95	P912-E0095	f11r	HERBAL	f11r.1	CURRENT_BASE	cfhy	CFH+Y	TRENNEN · POSTEN	auswringen	RUNNING_STATEMENT	P1006-S003	PASS1002
96	P912-E0096	f11r	HERBAL	f11r.1	CURRENT_BASE	shfydaiin	SH+Y+AIIN	HALTEN · POSTEN · MASS	vorgeschriebene Stehzeit	RUNNING_STATEMENT	P1006-S003	PASS1002
97	P912-E0097	f11r	HERBAL	f11r.1	CURRENT_BASE	cphy	CPH+Y	UMLEITEN · POSTEN	nachseihen	RUNNING_STATEMENT	P1006-S003	PASS1002
98	P912-E0098	f11r	HERBAL	f11r.1	CURRENT_BASE	shey	SH+E+Y	HALTEN · KURZ · POSTEN	Klarlauf	RUNNING_STATEMENT	P1006-S003	PASS1002
99	P912-E0099	f11r	HERBAL	f11r.1	CURRENT_BASE	tchody	T+CH+O+DY	STELLEN · NEHMEN · AUSFÜHREN · SCHLUSS	kalt stellen	RUNNING_STATEMENT	P1006-S003	PASS1002
100	P912-E0100	f11r	HERBAL	f11r.1	CURRENT_BASE	shoyty	SH+O+Y+T+Y	HALTEN · AUSFÜHREN · POSTEN · STELLEN · POSTEN	Blütenreserve	RUNNING_STATEMENT	P1006-S004	PASS1002
101	P912-E0101	f11r	HERBAL	f11r.2	CURRENT_BASE	socthody	S+O+CTH+O+D_ADDR+Y	AUSWÄHLEN · AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN	AUSWÄHLEN · AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
102	P912-E0102	f11r	HERBAL	f11r.2	CURRENT_BASE	qodor	CARRIER_Q+O+D_ADDR+OR	BEGINN · AUSFÜHREN · TEIL · ANSATZ	BEGINNEN · AUSFÜHREN · TEIL · ANSATZ	RUNNING_STATEMENT	P1006-S004	PASS1002
103	P912-E0103	f11r	HERBAL	f11r.2	CURRENT_BASE	y	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
104	P912-E0104	f11r	HERBAL	f11r.2	CURRENT_BASE	kshy	K+SH+Y	GEBEN · HALTEN · POSTEN	ZUGEBEN · HALTEN · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
105	P912-E0105	f11r	HERBAL	f11r.2	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S004	PASS1002
106	P912-E0106	f11r	HERBAL	f11r.2	CURRENT_BASE	ytchy	Y+T+Y	POSTEN · STELLEN · POSTEN	POSTEN · STELLEN · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
107	P912-E0107	f11r	HERBAL	f11r.2	CURRENT_BASE	ytchoky	Y+T+OK+Y	POSTEN · STELLEN · SETZEN · POSTEN	POSTEN · STELLEN · ANSETZEN · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
108	P912-E0108	f11r	HERBAL	f11r.2	CURRENT_BASE	kchol	K+OL	GEBEN · FORTSETZEN	ZUGEBEN · FORTSETZEN	RUNNING_STATEMENT	P1006-S004	PASS1002
109	P912-E0109	f11r	HERBAL	f11r.2	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S004	PASS1002
110	P912-E0110	f11r	HERBAL	f11r.3	CURRENT_BASE	qoty	OT+Y	DANACH · POSTEN	DANACH · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
111	P912-E0111	f11r	HERBAL	f11r.3	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	RUNNING_STATEMENT	P1006-S004	PASS1002
112	P912-E0112	f11r	HERBAL	f11r.3	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
113	P912-E0113	f11r	HERBAL	f11r.3	CURRENT_BASE	dor	D_ADDR+OR	TEIL · ANSATZ	TEIL · ANSATZ	RUNNING_STATEMENT	P1006-S004	PASS1002
114	P912-E0114	f11r	HERBAL	f11r.3	CURRENT_BASE	ykychy	Y+K+Y+CH+Y	POSTEN · GEBEN · POSTEN · NEHMEN · POSTEN	POSTEN · ZUGEBEN · POSTEN · ENTNEHMEN · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
115	P912-E0115	f11r	HERBAL	f11r.3	CURRENT_BASE	choty	CH+OT+Y	NEHMEN · DANACH · POSTEN	ENTNEHMEN · DANACH · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
116	P912-E0116	f11r	HERBAL	f11r.3	CURRENT_BASE	dain	AIN	PORTION	PORTION	RUNNING_STATEMENT	P1006-S004	PASS1002
117	P912-E0117	f11r	HERBAL	f11r.3	CURRENT_BASE	chaiin	CH+AIIN	NEHMEN · MASS	ENTNEHMEN · MASS	RUNNING_STATEMENT	P1006-S004	PASS1002
118	P912-E0118	f11r	HERBAL	f11r.3	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S004	PASS1002
119	P912-E0119	f11r	HERBAL	f11r.3	CURRENT_BASE	dod	D_ADDR+O+D_ADDR	TEIL · AUSFÜHREN · TEIL	TEIL · AUSFÜHREN · TEIL	RUNNING_STATEMENT	P1006-S004	PASS1002
120	P912-E0120	f11r	HERBAL	f11r.4	CURRENT_BASE	dchol	D_ADDR+OL	TEIL · FORTSETZEN	Voriges	RUNNING_STATEMENT	P1006-S004	PASS1002
121	P912-E0121	f11r	HERBAL	f11r.4	CURRENT_BASE	chy	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
122	P912-E0122	f11r	HERBAL	f11r.4	CURRENT_BASE	kchy	K+Y	GEBEN · POSTEN	Trank	RUNNING_STATEMENT	P1006-S004	PASS1002
123	P912-E0123	f11r	HERBAL	f11r.4	CURRENT_BASE	dy	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
124	P912-E0124	f11r	HERBAL	f11r.4	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S004	PASS1002
125	P912-E0125	f11r	HERBAL	f11r.5	CURRENT_BASE	tchol	T+OL	STELLEN · FORTSETZEN	STELLEN · FORTSETZEN	RUNNING_STATEMENT	P1006-S004	PASS1002
126	P912-E0126	f11r	HERBAL	f11r.5	CURRENT_BASE	shor	SH+OR	HALTEN · ANSATZ	HALTEN · ANSATZ	RUNNING_STATEMENT	P1006-S004	PASS1002
127	P912-E0127	f11r	HERBAL	f11r.5	CURRENT_BASE	shor	SH+OR	HALTEN · ANSATZ	HALTEN · ANSATZ	RUNNING_STATEMENT	P1006-S004	PASS1002
128	P912-E0128	f11r	HERBAL	f11r.5	CURRENT_BASE	dky	D_ADDR+K+Y	TEIL · GEBEN · POSTEN	TEIL · ZUGEBEN · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
129	P912-E0129	f11r	HERBAL	f11r.5	CURRENT_BASE	y	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
130	P912-E0130	f11r	HERBAL	f11r.5	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S004	PASS1002
131	P912-E0131	f11r	HERBAL	f11r.5	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
132	P912-E0132	f11r	HERBAL	f11r.5	CURRENT_BASE	d	D_ADDR	TEIL	TEIL	RUNNING_STATEMENT	P1006-S004	PASS1002
133	P912-E0133	f11r	HERBAL	f11r.5	CURRENT_BASE	y	Y	POSTEN	POSTEN	RUNNING_STATEMENT	P1006-S004	PASS1002
134	P912-E0134	f11r	HERBAL	f11r.5	CURRENT_BASE	chodl	CH+O+D_ADDR+L	NEHMEN · AUSFÜHREN · TEIL · LEITEN	ENTNEHMEN · AUSFÜHREN · TEIL · LEITEN	RUNNING_STATEMENT	P1006-S004	PASS1002
135	P912-E0135	f11r	HERBAL	f11r.5	CURRENT_BASE	daiin	AIIN	MASS	MASS	RUNNING_STATEMENT	P1006-S004	PASS1002
