statement_id	page	record	selected_events	selected_surfaces	portable_sequence_de	full_working_reading_de	owner_noun_not_used_in_portable_sequence
B3-S021	f83r	B3	6	qokaiin | dal | sy | saiin | chey | tal	nach Sollmass ansetzen | an der Zielstelle | den aktuellen Posten | nach dem Sollmass | den aktuellen Posten | an der Zielstelle	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	YES
B3-S023	f83r	B3	1	lchedy	leiten, umsetzen und schliessen	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.	YES
B3-S026	f83r	B3	1	chedy	den Posten umsetzen	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger sammeln und schliessen.	YES
B3-S029	f83r	B3	1	sol	weiter	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen.	YES
B3-S030	f83r	B3	2	qoky | saiin	den Posten ansetzen | nach dem Sollmass	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, das laufende Wasser umsetzen; danach nochmals umsetzen und schliessen.	YES
B3-S031	f83r	B3	1	qokeedy	laenger ansetzen und schliessen	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.	YES
B3-S032	f83r	B3	1	chedy	den Posten umsetzen	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	YES
B3-S034	f83r	B3	1	shedy	stehen lassen und schliessen	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.	YES
B4-S001	f83r	B4	1	qokeedy	laenger ansetzen und schliessen	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.	YES
B4-S003	f83r	B4	4	chedy | qoky | tol | shedy	den Posten umsetzen | den Posten ansetzen | weiter | stehen lassen und schliessen	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.	YES
B4-S005	f83r	B4	2	chedy | qokeedy	den Posten umsetzen | laenger ansetzen und schliessen	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	YES
B4-S008	f83r	B4	1	saiin	nach dem Sollmass	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	YES
B4-S009	f83r	B4	1	shedy	stehen lassen und schliessen	Am zweiten durch den Bogen verbundenen Hauptpaar: Stehen lassen; den Schritt schliessen.	YES
B4-S011	f83r	B4	3	saiin | chdy | sol	nach dem Sollmass | den Posten umsetzen | weiter	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	YES
B4-S012	f83r	B4	1	lchedy	leiten, umsetzen und schliessen	An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen.	YES
B4-S013	f83r	B4	1	shedy	stehen lassen und schliessen	An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen.	YES
B4-S014	f83r	B4	1	chey	den aktuellen Posten	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, das laufende Wasser als aktuellen Posten fuehren und schliessen.	YES
B4-S015	f83r	B4	1	lchedy	leiten, umsetzen und schliessen	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen.	YES
B4-S016	f83r	B4	2	dal | shedy	an der Zielstelle | stehen lassen und schliessen	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.	YES
B5-S003	f83r	B5	5	dal | cheol | aiin | sol | chedy	an der Zielstelle | weiter | nach dem Sollmass | weiter | den Posten umsetzen	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.	YES
B6-S001	f83r	B6	4	ol | daiin | ol | chey	weiter | nach dem Sollmass | weiter | den aktuellen Posten	An der rechten S-Lauf-Nebenstation: Den Posten laenger sammeln, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	YES
