frequency_rank	surface	residual_unknown_occurrences	split_status	graphemic_cut_count	reading_combination_count	exact_v99r4_routes	selected_gdt734_candidate	selection_reason
11	otody	14	UNIQUE_SPLIT	1	1	o#GLOBAL=Ansatzwasser + tody#GLOBAL=kalten Ansatz fertigstellen	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
12	chkeey	13	UNIQUE_SPLIT	1	1	ch#GLOBAL=trockne + keey#1=heiß am Ende des Grades	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
13	do	13	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
14	ory	13	MULTI_SPLIT	2	3	o#GLOBAL=Ansatzwasser + ry#GLOBAL=rohe Wurzel || or#1=Drogenportion + y#1=[STRUKTUR: SATZSCHLUSS] || or#1=Drogenportion + y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN]	0	NOT_SELECTED_THIS_TRANCHE
15	ytor	13	MULTI_SPLIT	1	2	y#1=[STRUKTUR: SATZSCHLUSS] + tor#GLOBAL=kalte Drogenportion || y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN] + tor#GLOBAL=kalte Drogenportion	0	NOT_SELECTED_THIS_TRANCHE
16	arody	12	MULTI_SPLIT	2	2	a#GLOBAL=je, zu gleichen Teilen + rody#GLOBAL=fertig aufbereitete Wurzeldroge || ar#1=Drogenanteil I + ody#GLOBAL=fertiggestellter Ansatz	0	NOT_SELECTED_THIS_TRANCHE
17	olkey	12	MULTI_SPLIT	2	3	o#GLOBAL=Ansatzwasser + lkey#GLOBAL=Holzdroge bis zur mittleren Heizstufe || ol#V84_1=Ansatz + key#GLOBAL=heiß in der Mitte des Grades || ol#V84_2=Stoffkopf + key#GLOBAL=heiß in der Mitte des Grades	0	NOT_SELECTED_THIS_TRANCHE
18	pchor	12	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
19	qokechy	12	MULTI_SPLIT	2	2	qo#GLOBAL=nehmen + kechy#GLOBAL=mäßig erhitzen, trocknen und abschließen || qoke#GLOBAL=bis zur Mittelstufe erhitzen + chy#1=trocken am Anfang des Grades	0	NOT_SELECTED_THIS_TRANCHE
20	qopchy	12	UNIQUE_SPLIT	1	1	qo#GLOBAL=nehmen + pchy#GLOBAL=Pulver, trockene Grundform	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
21	qoy	12	MULTI_SPLIT	1	2	qo#GLOBAL=nehmen + y#1=[STRUKTUR: SATZSCHLUSS] || qo#GLOBAL=nehmen + y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN]	0	NOT_SELECTED_THIS_TRANCHE
22	shky	12	UNIQUE_SPLIT	1	1	sh#GLOBAL=einweichen + ky#GLOBAL=heiß am Anfang des Grades	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
23	ytain	12	MULTI_SPLIT	1	2	y#1=[STRUKTUR: SATZSCHLUSS] + tain#GLOBAL=kalt, Grad II || y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN] + tain#GLOBAL=kalt, Grad II	0	NOT_SELECTED_THIS_TRANCHE
24	cthedy	11	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
25	olkeeey	11	MULTI_SPLIT	1	2	ol#V84_1=Ansatz + keeey#1=stark erhitzt, Endstufe III || ol#V84_2=Stoffkopf + keeey#1=stark erhitzt, Endstufe III	0	NOT_SELECTED_THIS_TRANCHE
26	ot	11	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
27	sheod	11	UNIQUE_SPLIT	1	1	she#GLOBAL=feucht, attributiv gebunden + od#GLOBAL=miss vom Ansatz ab	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
28	tair	11	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
29	ykeol	11	MULTI_SPLIT	1	2	y#1=[STRUKTUR: SATZSCHLUSS] + keol#GLOBAL=heißer Drogenstoff || y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN] + keol#GLOBAL=heißer Drogenstoff	0	NOT_SELECTED_THIS_TRANCHE
30	chcphy	10	UNIQUE_SPLIT	1	1	ch#GLOBAL=trockne + cphy#1=Mischung, Grundform	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
31	cheeody	10	UNIQUE_SPLIT	1	1	chee#GLOBAL=vollständig getrocknet + ody#GLOBAL=fertiggestellter Ansatz	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
32	chom	10	MULTI_SPLIT	2	2	ch#GLOBAL=trockne + om#GLOBAL=eine Handvoll Ansatz || cho#GLOBAL=Trockenansatz + m#GLOBAL=eine Handvoll	0	NOT_SELECTED_THIS_TRANCHE
33	k	10	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
34	okeeor	10	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
35	opaiin	10	MULTI_SPLIT	2	2	o#GLOBAL=Ansatzwasser + paiin#GLOBAL=Pulver, Charge III || op#1=Pulverzubereitung + aiin#1=Menge III	0	NOT_SELECTED_THIS_TRANCHE
36	pchedar	10	UNIQUE_SPLIT	1	1	pched#GLOBAL=Pulver bis zur Mittelstufe trocknen und abschließen + ar#1=Drogenanteil I	0	NOT_SELECTED_THIS_TRANCHE
37	qokaldy	10	MULTI_SPLIT	2	3	qok#GLOBAL=erhitze Folgendes + aldy#GLOBAL=Rohstoffklasse I, abgeschlossen || qokal#1=heißes Material I, Anfangsstufe + dy#1=[STRUKTUR: SATZSCHLUSS] || qokal#1=heißes Material I, Anfangsstufe + dy#2=[STRUKTUR: ARBEITSSCHRITT-TRENNER]	0	NOT_SELECTED_THIS_TRANCHE
38	qoteody	10	UNIQUE_SPLIT	1	1	qo#GLOBAL=nehmen + teody#GLOBAL=kühle den Ansatz ab und schließe	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
39	qoteol	10	UNIQUE_SPLIT	1	1	qo#GLOBAL=nehmen + teol#GLOBAL=Drogenstoff auf mittlerer Kühlstufe	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
40	qotody	10	MULTI_SPLIT	3	4	qo#GLOBAL=nehmen + tody#GLOBAL=kalten Ansatz fertigstellen || qot#GLOBAL=kühle Folgendes ab + ody#GLOBAL=fertiggestellter Ansatz || qotod#GLOBAL=kühle den Ansatz und schließe ab + y#1=[STRUKTUR: SATZSCHLUSS] || qotod#GLOBAL=kühle den Ansatz und schließe ab + y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN]	0	NOT_SELECTED_THIS_TRANCHE
41	sheeol	10	MULTI_SPLIT	2	3	shee#GLOBAL=vollständig anfeuchten + ol#V84_1=Ansatz || shee#GLOBAL=vollständig anfeuchten + ol#V84_2=Stoffkopf || sheeo#GLOBAL=vollständig eingeweichter Ansatz + l#1=Holz / holziger Pflanzenteil (nur als Kompositionskopf)	0	NOT_SELECTED_THIS_TRANCHE
42	shod	10	UNIQUE_SPLIT	1	1	sh#GLOBAL=einweichen + od#GLOBAL=miss vom Ansatz ab	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
43	shoy	10	MULTI_SPLIT	2	3	sh#GLOBAL=einweichen + oy#GLOBAL=Ansatz in Grundform || sho#GLOBAL=feuchter Ansatz + y#1=[STRUKTUR: SATZSCHLUSS] || sho#GLOBAL=feuchter Ansatz + y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN]	0	NOT_SELECTED_THIS_TRANCHE
44	t	10	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
45	ytchedy	10	MULTI_SPLIT	1	2	y#1=[STRUKTUR: SATZSCHLUSS] + tchedy#1=kalt-trockene Mittelstufe erreicht || y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN] + tchedy#1=kalt-trockene Mittelstufe erreicht	0	NOT_SELECTED_THIS_TRANCHE
46	alor	9	MULTI_SPLIT	2	2	a#GLOBAL=je, zu gleichen Teilen + lor#1=Holzportion || al#1=Material I + or#1=Drogenportion	0	NOT_SELECTED_THIS_TRANCHE
47	araiin	9	MULTI_SPLIT	2	2	a#GLOBAL=je, zu gleichen Teilen + raiin#1=Wurzel, Charge III || ar#1=Drogenanteil I + aiin#1=Menge III	0	NOT_SELECTED_THIS_TRANCHE
48	cheom	9	UNIQUE_SPLIT	1	1	cheo#GLOBAL=trocken angesetzte Zubereitung + m#GLOBAL=eine Handvoll	0	NOT_SELECTED_THIS_TRANCHE
49	chodar	9	MULTI_SPLIT	3	3	ch#GLOBAL=trockne + odar#1=Anteil I des Ansatzes abmessen || cho#GLOBAL=Trockenansatz + dar#1=abgemessener Anteil I || chod#GLOBAL=Trockenansatz abschließen + ar#1=Drogenanteil I	0	NOT_SELECTED_THIS_TRANCHE
50	qokl	9	UNIQUE_SPLIT	1	1	qok#GLOBAL=erhitze Folgendes + l#1=Holz / holziger Pflanzenteil (nur als Kompositionskopf)	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
51	sheaiin	9	MULTI_SPLIT	2	2	sh#GLOBAL=einweichen + eaiin#GLOBAL=drei Teile auf Mittelstufe || she#GLOBAL=feucht, attributiv gebunden + aiin#1=Menge III	0	NOT_SELECTED_THIS_TRANCHE
52	sheos	9	MULTI_SPLIT	2	2	she#GLOBAL=feucht, attributiv gebunden + os#1=Zubereitung || sheo#GLOBAL=Feuchtzubereitung + s#1=Samenposten	0	NOT_SELECTED_THIS_TRANCHE
53	shos	9	MULTI_SPLIT	2	2	sh#GLOBAL=einweichen + os#1=Zubereitung || sho#GLOBAL=feuchter Ansatz + s#1=Samenposten	0	NOT_SELECTED_THIS_TRANCHE
54	ytchdy	9	MULTI_SPLIT	1	2	y#1=[STRUKTUR: SATZSCHLUSS] + tchdy#1=kalt-trockene Anfangsstufe erreicht || y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN] + tchdy#1=kalt-trockene Anfangsstufe erreicht	0	NOT_SELECTED_THIS_TRANCHE
55	ytchey	9	MULTI_SPLIT	1	2	y#1=[STRUKTUR: SATZSCHLUSS] + tchey#GLOBAL=kalt und trocken in der Mitte des Grades || y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN] + tchey#GLOBAL=kalt und trocken in der Mitte des Grades	0	NOT_SELECTED_THIS_TRANCHE
56	cheeey	8	UNIQUE_SPLIT	1	1	chee#GLOBAL=vollständig getrocknet + ey#GLOBAL=anschließend	0	NOT_SELECTED_THIS_TRANCHE
57	chr	8	UNIQUE_SPLIT	1	1	ch#GLOBAL=trockne + r#1=Wurzel / Wurzeldroge (nur als Kompositionskopf)	0	NOT_SELECTED_THIS_TRANCHE
58	cphedy	8	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
59	dcheol	8	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
60	eees	8	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
61	keeo	8	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
62	lcheol	8	MULTI_SPLIT	2	2	l#1=Holz / holziger Pflanzenteil (nur als Kompositionskopf) + cheol#1=trockenes Material || lcheo#GLOBAL=trockene Holzzubereitung + l#1=Holz / holziger Pflanzenteil (nur als Kompositionskopf)	0	NOT_SELECTED_THIS_TRANCHE
63	lkchey	8	UNIQUE_SPLIT	1	1	l#1=Holz / holziger Pflanzenteil (nur als Kompositionskopf) + kchey#1=heiß-trocken, Mittelstufe	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
64	ok	8	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
65	okaldy	8	MULTI_SPLIT	1	2	okal#1=Rohstoffklasse I im heißen Ansatz, Gradanfang + dy#1=[STRUKTUR: SATZSCHLUSS] || okal#1=Rohstoffklasse I im heißen Ansatz, Gradanfang + dy#2=[STRUKTUR: ARBEITSSCHRITT-TRENNER]	0	NOT_SELECTED_THIS_TRANCHE
66	otedar	8	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
67	polaiin	8	UNIQUE_SPLIT	1	1	pol#1=Pulverstoff + aiin#1=Menge III	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
68	qocthy	8	UNIQUE_SPLIT	1	1	qo#GLOBAL=nehmen + cthy#GLOBAL=CTH-Drogenmaterial	0	NOT_SELECTED_THIS_TRANCHE
69	qofchedy	8	UNIQUE_SPLIT	1	1	qo#GLOBAL=nehmen + fchedy#GLOBAL=Blütenfraktion bis zur Mittelstufe trocknen und abschließen	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
70	qokchor	8	MULTI_SPLIT	3	3	qo#GLOBAL=nehmen + kchor#GLOBAL=Drogenportion, heiß-trocken || qok#GLOBAL=erhitze Folgendes + chor#1=Pflanzenteil || qokcho#1=erhitze, trockne und setze an + r#1=Wurzel / Wurzeldroge (nur als Kompositionskopf)	0	NOT_SELECTED_THIS_TRANCHE
71	shdar	8	UNIQUE_SPLIT	1	1	sh#GLOBAL=einweichen + dar#1=abgemessener Anteil I	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
72	shedar	8	MULTI_SPLIT	2	2	she#GLOBAL=feucht, attributiv gebunden + dar#1=abgemessener Anteil I || shed#GLOBAL=Einweichen bis zur mittleren Stufe abschließen + ar#1=Drogenanteil I	0	NOT_SELECTED_THIS_TRANCHE
73	tchody	8	MULTI_SPLIT	2	3	tch#GLOBAL=abkühlen und trocknen + ody#GLOBAL=fertiggestellter Ansatz || tcho#GLOBAL=Kalt-Trockenansatz + dy#1=[STRUKTUR: SATZSCHLUSS] || tcho#GLOBAL=Kalt-Trockenansatz + dy#2=[STRUKTUR: ARBEITSSCHRITT-TRENNER]	0	NOT_SELECTED_THIS_TRANCHE
74	yk	8	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
75	ykeeody	8	MULTI_SPLIT	1	2	y#1=[STRUKTUR: SATZSCHLUSS] + keeody#GLOBAL=vollständig ausgekochter Ansatz || y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN] + keeody#GLOBAL=vollständig ausgekochter Ansatz	0	NOT_SELECTED_THIS_TRANCHE
76	cfhy	7	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
77	chekaiin	7	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
78	choaiin	7	MULTI_SPLIT	2	2	ch#GLOBAL=trockne + oaiin#GLOBAL=drei Ansatzportionen || cho#GLOBAL=Trockenansatz + aiin#1=Menge III	0	NOT_SELECTED_THIS_TRANCHE
79	chodain	7	MULTI_SPLIT	3	3	ch#GLOBAL=trockne + odain#GLOBAL=Zubereitung, Wertstufe II || cho#GLOBAL=Trockenansatz + dain#V84_CORE=Wert II || chod#GLOBAL=Trockenansatz abschließen + ain#GLOBAL=Wertstufe II	0	NOT_SELECTED_THIS_TRANCHE
80	cphey	7	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
81	dody	7	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
82	kam	7	UNIQUE_SPLIT	1	1	ka#GLOBAL=ein erhitzter Teil + m#GLOBAL=eine Handvoll	0	NOT_SELECTED_THIS_TRANCHE
83	lkeeey	7	UNIQUE_SPLIT	1	1	l#1=Holz / holziger Pflanzenteil (nur als Kompositionskopf) + keeey#1=stark erhitzt, Endstufe III	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
84	lkl	7	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
85	okcho	7	UNIQUE_SPLIT	1	1	o#GLOBAL=Ansatzwasser + kcho#GLOBAL=Zubereitung: heiß und trocken	1	RECURRENT_EXACT_WHOLE_WITH_UNIQUE_NAVIGATION_SPLIT
86	okeeedy	7	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
87	okeeody	7	UNIQUE_SPLIT	1	1	o#GLOBAL=Ansatzwasser + keeody#GLOBAL=vollständig ausgekochter Ansatz	0	NOT_SELECTED_THIS_TRANCHE
88	oldaiin	7	MULTI_SPLIT	1	2	ol#V84_1=Ansatz + daiin#V84_CORE=Wert III || ol#V84_2=Stoffkopf + daiin#V84_CORE=Wert III	0	NOT_SELECTED_THIS_TRANCHE
89	oldar	7	MULTI_SPLIT	2	3	o#GLOBAL=Ansatzwasser + ldar#GLOBAL=erste Holzdrogenfraktion abmessen || ol#V84_1=Ansatz + dar#1=abgemessener Anteil I || ol#V84_2=Stoffkopf + dar#1=abgemessener Anteil I	0	NOT_SELECTED_THIS_TRANCHE
90	olkeol	7	MULTI_SPLIT	2	3	o#GLOBAL=Ansatzwasser + lkeol#GLOBAL=Holzdrogenstoff bis zur Mittelstufe erhitzen || ol#V84_1=Ansatz + keol#GLOBAL=heißer Drogenstoff || ol#V84_2=Stoffkopf + keol#GLOBAL=heißer Drogenstoff	0	NOT_SELECTED_THIS_TRANCHE
91	olsheey	7	MULTI_SPLIT	2	3	o#GLOBAL=Ansatzwasser + lsheey#GLOBAL=eingeweichtes Drogenholz, Form II || ol#V84_1=Ansatz + sheey#1=feucht, Endstufe || ol#V84_2=Stoffkopf + sheey#1=feucht, Endstufe	0	NOT_SELECTED_THIS_TRANCHE
92	opar	7	MULTI_SPLIT	2	2	o#GLOBAL=Ansatzwasser + par#GLOBAL=Pulverfraktion I || op#1=Pulverzubereitung + ar#1=Drogenanteil I	0	NOT_SELECTED_THIS_TRANCHE
93	opy	7	MULTI_SPLIT	2	3	o#GLOBAL=Ansatzwasser + py#GLOBAL=Pulver in Grundform || op#1=Pulverzubereitung + y#1=[STRUKTUR: SATZSCHLUSS] || op#1=Pulverzubereitung + y#2=[STRUKTUR: ANSCHLUSS AN FOLGENDEN POSTEN]	0	NOT_SELECTED_THIS_TRANCHE
94	orar	7	MULTI_SPLIT	2	2	o#GLOBAL=Ansatzwasser + rar#GLOBAL=Wurzelfraktion I || or#1=Drogenportion + ar#1=Drogenanteil I	0	NOT_SELECTED_THIS_TRANCHE
95	oteeody	7	MULTI_SPLIT	1	2	oteeo#GLOBAL=zweiter Kaltansatz + dy#1=[STRUKTUR: SATZSCHLUSS] || oteeo#GLOBAL=zweiter Kaltansatz + dy#2=[STRUKTUR: ARBEITSSCHRITT-TRENNER]	0	NOT_SELECTED_THIS_TRANCHE
96	oteo	7	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
97	qokear	7	UNIQUE_SPLIT	1	1	qoke#GLOBAL=bis zur Mittelstufe erhitzen + ar#1=Drogenanteil I	0	NOT_SELECTED_THIS_TRANCHE
98	qokeeol	7	MULTI_SPLIT	2	2	qo#GLOBAL=nehmen + keeol#GLOBAL=stark erhitzter Drogenstoff || qokeeo#GLOBAL=heißer Ansatz, Bindungsstufe II + l#1=Holz / holziger Pflanzenteil (nur als Kompositionskopf)	0	NOT_SELECTED_THIS_TRANCHE
99	shd	7	NO_SPLIT	0	0	NONE	0	NOT_SELECTED_THIS_TRANCHE
100	so	7	UNIQUE_SPLIT	1	1	s#1=Samenposten + o#GLOBAL=Ansatzwasser	0	NOT_SELECTED_THIS_TRANCHE
