rank	page	locus	section	language	hand	token_count	practical_unit_count	gdt734_changed_cell_count	active_whole_repair_count	unique_split_candidate_count	editorial_override_count	unknown_cells_v99r6	unknown_cells_v99r7	unknown_delta	complete_line_v99r6	complete_line_v99r7	newly_complete_line	gdt734_changed_ordinals	gdt734_dispatch_classes	zl3b_line	v99r7_semantic_token_values_de	v99r7_spoken_token_values_de	v99r7_practical_units_de	v99r6_practical_render_de	v99r7_practical_render_de
11	f115v	f115v.34	S	B	3	10	10	2	1	1	0	3	1	-2	0	0	0	2|5	UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	taiin sheeey lchckhy ldar shdar qotchdy qoky shedy qokar chckhy	kalt, Grad III | feucht, Endstufe | [lchckhy:?] | erste Holzdrogenfraktion abmessen | eingeweichter, abgemessener Anteil I | kalt und trocken am Anfang des Grades, abgeschlossen | heiß am Anfang des Grades | feucht in der Mitte des Grades, abgeschlossen | heiße Drogenfraktion I | Arzneikompositum: trocken, Gradanfang	kalt, Grad III | feucht, Endstufe | [lchckhy:?] | erste Holzdrogenfraktion abmessen | eingeweichter, abgemessener Anteil I | kalt und trocken, Anfangsstufe erreicht; abgeschlossen | leicht erhitzt | bis zur Mittelstufe angefeuchtet; abgeschlossen | heiße Drogenfraktion I | leicht getrocknetes Arzneikompositum	kalt, Grad III | feucht, Endstufe | [lchckhy:?] | erste Holzdrogenfraktion abmessen | eingeweichter, abgemessener Anteil I | kalt und trocken, Anfangsstufe erreicht; abgeschlossen | leicht erhitzt | bis zur Mittelstufe angefeuchtet; abgeschlossen | heiße Drogenfraktion I | leicht getrocknetes Arzneikompositum	kalt, Grad III; [sheeey:?]; [lchckhy:?]; erste Holzdrogenfraktion abmessen; [shdar:?]; kalt und trocken, Anfangsstufe erreicht; abgeschlossen; leicht erhitzt; bis zur Mittelstufe angefeuchtet; abgeschlossen; heiße Drogenfraktion I; leicht getrocknetes Arzneikompositum	kalt, Grad III; feucht, Endstufe; [lchckhy:?]; erste Holzdrogenfraktion abmessen; eingeweichter, abgemessener Anteil I; kalt und trocken, Anfangsstufe erreicht; abgeschlossen; leicht erhitzt; bis zur Mittelstufe angefeuchtet; abgeschlossen; heiße Drogenfraktion I; leicht getrocknetes Arzneikompositum
12	f17v	f17v.7	H	A	1	7	7	2	1	1	0	3	1	-2	0	0	0	2|5	UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733	sor chkeey poiis cheor os s aiin	Samenportion | heiß-trocken, Endstufe | [poiis:?] | trockener Drogenteil | Zubereitung | Samen-/Saatgutposten | Menge III	Samenportion | heiß-trocken, Endstufe | [poiis:?] | trockener Drogenteil | Zubereitung | Samen-/Saatgutposten | Menge III	Samenportion | heiß-trocken, Endstufe | [poiis:?] | trockener Drogenteil | Zubereitung | Samen-/Saatgutposten | Menge III	Samenportion; [chkeey:?]; [poiis:?]; trockener Drogenteil; [os:?]; Samen-/Saatgutposten; Menge III	Samenportion; heiß-trocken, Endstufe; [poiis:?]; trockener Drogenteil; Zubereitung; Samen-/Saatgutposten; Menge III
13	f26r	f26r.4	H	B	2	10	10	2	2	0	2	3	1	-2	0	0	0	3|5	UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	qokedy cheos ytedy qokedy ytedy chekedy daiin odam s aldy	heiß in der Mitte des Grades, abgeschlossen | Charge eines mitteltrockenen Ansatzes | hiervon bis zur Mittelstufe abkühlen und abschließen | heiß in der Mitte des Grades, abgeschlossen | hiervon bis zur Mittelstufe abkühlen und abschließen | [chekedy:?] | Grad-/Maßwert III | ein Maß Ansatz abmessen | Samen-/Saatgutposten | Rohstoffklasse I, abgeschlossen	bis zur Mittelstufe erhitzt; abgeschlossen | Charge eines mitteltrockenen Ansatzes | bis zur Mittelstufe abkühlen und abschließen | bis zur Mittelstufe erhitzt; abgeschlossen | bis zur Mittelstufe abkühlen und abschließen | [chekedy:?] | Grad-/Maßwert III | ein Maß Ansatz abmessen | Samen-/Saatgutposten | Rohstoffklasse I, abgeschlossen	bis zur Mittelstufe erhitzt; abgeschlossen | Charge eines mitteltrockenen Ansatzes | bis zur Mittelstufe abkühlen und abschließen | bis zur Mittelstufe erhitzt; abgeschlossen | bis zur Mittelstufe abkühlen und abschließen | [chekedy:?] | Grad-/Maßwert III | ein Maß Ansatz abmessen | Samen-/Saatgutposten | Rohstoffklasse I, abgeschlossen	bis zur Mittelstufe erhitzt; abgeschlossen; Charge eines mitteltrockenen Ansatzes; [ytedy:?]; bis zur Mittelstufe erhitzt; abgeschlossen; [ytedy:?]; [chekedy:?]; Grad-/Maßwert III; ein Maß Ansatz abmessen; Samen-/Saatgutposten; Rohstoffklasse I, abgeschlossen	bis zur Mittelstufe erhitzt; abgeschlossen; Charge eines mitteltrockenen Ansatzes; bis zur Mittelstufe abkühlen und abschließen; bis zur Mittelstufe erhitzt; abgeschlossen; bis zur Mittelstufe abkühlen und abschließen; [chekedy:?]; Grad-/Maßwert III; ein Maß Ansatz abmessen; Samen-/Saatgutposten; Rohstoffklasse I, abgeschlossen
14	f39r	f39r.2	H	B	2	10	10	2	2	0	0	3	1	-2	0	0	0	1|10	ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR	olchey cheky qokedy shekshey qolain chy chdy dair shckhey dold	Holzansatz, bis Mittelstufe getrocknet | bis zur mittleren Trockenstufe, dann leicht erhitzen | heiß in der Mitte des Grades, abgeschlossen | [shekshey:?] | gib zwei Teile Drogenstoff hinzu | trocken am Anfang des Grades | trocken am Anfang des Grades, abgeschlossen | abgemessene Fraktion II | Arzneikompositum: feucht, Gradmitte | abmessen und abschließen	Holzansatz, bis Mittelstufe getrocknet | bis zur mittleren Trockenstufe, dann leicht erhitzen | bis zur Mittelstufe erhitzt; abgeschlossen | [shekshey:?] | gib zwei Teile Drogenstoff hinzu | leicht getrocknet | leicht getrocknet; abgeschlossen | abgemessene Fraktion II | Arzneikompositum: bis zur Mittelstufe angefeuchtet | abmessen und abschließen	Holzansatz, bis Mittelstufe getrocknet | bis zur mittleren Trockenstufe, dann leicht erhitzen | bis zur Mittelstufe erhitzt; abgeschlossen | [shekshey:?] | gib zwei Teile Drogenstoff hinzu | leicht getrocknet | leicht getrocknet; abgeschlossen | abgemessene Fraktion II | Arzneikompositum: bis zur Mittelstufe angefeuchtet | abmessen und abschließen	[olchey:?]; bis zur mittleren Trockenstufe, dann leicht erhitzen; bis zur Mittelstufe erhitzt; abgeschlossen; [shekshey:?]; gib zwei Teile Drogenstoff hinzu; leicht getrocknet; leicht getrocknet; abgeschlossen; abgemessene Fraktion II; Arzneikompositum: bis zur Mittelstufe angefeuchtet; [dold:?]	Holzansatz, bis Mittelstufe getrocknet; bis zur mittleren Trockenstufe, dann leicht erhitzen; bis zur Mittelstufe erhitzt; abgeschlossen; [shekshey:?]; gib zwei Teile Drogenstoff hinzu; leicht getrocknet; leicht getrocknet; abgeschlossen; abgemessene Fraktion II; Arzneikompositum: bis zur Mittelstufe angefeuchtet; abmessen und abschließen
15	f43r	f43r.2	H	B	2	12	12	2	2	0	1	3	1	-2	0	0	0	3|7	UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	yteody oteol ytedy ar chety dar aiir okaldy daral otchdy daiin dals	Eintrag/Bezug: kalte Zubereitung, abgeschlossen | Drogenstoff im Ansatz bis zur Mittelstufe abkühlen | hiervon bis zur Mittelstufe abkühlen und abschließen | Drogenfraktion I | trocken-kalte gebundene Form | abgemessene Fraktion I | Anteil III | [okaldy:?] | erste Fraktion Rohdroge I abmessen | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | Grad-/Maßwert III | eine Charge Rohdroge I abmessen	Eintrag/Bezug: kalte Zubereitung, abgeschlossen | Drogenstoff im Ansatz bis zur Mittelstufe abkühlen | bis zur Mittelstufe abkühlen und abschließen | Drogenfraktion I | trocken-kalte gebundene Form | abgemessene Fraktion I | Anteil III | [okaldy:?] | erste Fraktion Rohdroge I abmessen | kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen | Grad-/Maßwert III | eine Charge Rohdroge I abmessen	Eintrag/Bezug: kalte Zubereitung, abgeschlossen | Drogenstoff im Ansatz bis zur Mittelstufe abkühlen | bis zur Mittelstufe abkühlen und abschließen | Drogenfraktion I | trocken-kalte gebundene Form | abgemessene Fraktion I | Anteil III | [okaldy:?] | erste Fraktion Rohdroge I abmessen | kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen | Grad-/Maßwert III | eine Charge Rohdroge I abmessen	Eintrag/Bezug: kalte Zubereitung, abgeschlossen; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; [ytedy:?]; Drogenfraktion I; trocken-kalte gebundene Form; abgemessene Fraktion I; [aiir:?]; [okaldy:?]; erste Fraktion Rohdroge I abmessen; kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen; Grad-/Maßwert III; eine Charge Rohdroge I abmessen	Eintrag/Bezug: kalte Zubereitung, abgeschlossen; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; bis zur Mittelstufe abkühlen und abschließen; Drogenfraktion I; trocken-kalte gebundene Form; abgemessene Fraktion I; Anteil III; [okaldy:?]; erste Fraktion Rohdroge I abmessen; kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen; Grad-/Maßwert III; eine Charge Rohdroge I abmessen
16	f81r	f81r.16	B	B	2	6	6	2	2	0	2	3	1	-2	0	0	0	2|4	UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733	polchdy qopchol qokor olpchedy opol oraisy	Pulverstoff trocknen und fertigstellen | nimm getrockneten Pulverstoff | heiße Drogenportion | fertiges Holzextraktpulver | Pulveransatz | [oraisy:?]	Pulverstoff trocknen und fertigstellen | getrocknetes Pulver nehmen | heiße Drogenportion | fertiges Pulver aus Drogenholz | Pulveransatz | [oraisy:?]	Pulverstoff trocknen und fertigstellen | getrocknetes Pulver nehmen | heiße Drogenportion | fertiges Pulver aus Drogenholz | Pulveransatz | [oraisy:?]	Pulverstoff trocknen und fertigstellen; [qopchol:?]; heiße Drogenportion; [olpchedy:?]; Pulveransatz; [oraisy:?]	Pulverstoff trocknen und fertigstellen; getrocknetes Pulver nehmen; heiße Drogenportion; fertiges Pulver aus Drogenholz; Pulveransatz; [oraisy:?]
17	f85r1	f85r1.8	T	B	2	11	11	2	1	1	1	3	1	-2	0	0	0	10|11	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | ACTIVE_WHOLE_EXPORT_REPAIR	daiin chckhdy qotchdy opchsd qokchdy otchy qodal daiin dal shdar oram	Grad-/Maßwert III | Arzneikompositum: trocken, Gradanfang, abgeschlossen | kalt und trocken am Anfang des Grades, abgeschlossen | [opchsd:?] | heiß und trocken am Anfang des Grades, abgeschlossen | kalt-trockener Ansatz am Anfang des Grades | abgewogener Rohstoffposten I im Ansatz | Grad-/Maßwert III | abgemessene Rohstoffmenge I | eingeweichter, abgemessener Anteil I | Maßportion	Grad-/Maßwert III | leicht getrocknetes Arzneikompositum; abgeschlossen | kalt und trocken, Anfangsstufe erreicht; abgeschlossen | [opchsd:?] | heiß und trocken, Anfangsstufe erreicht; abgeschlossen | kalt-trockener Ansatz, Anfangsstufe | abgewogener Rohstoffposten I im Ansatz | Grad-/Maßwert III | abgemessene Rohstoffmenge I | eingeweichter, abgemessener Anteil I | ein Maß	Grad-/Maßwert III | leicht getrocknetes Arzneikompositum; abgeschlossen | kalt und trocken, Anfangsstufe erreicht; abgeschlossen | [opchsd:?] | heiß und trocken, Anfangsstufe erreicht; abgeschlossen | kalt-trockener Ansatz, Anfangsstufe | abgewogener Rohstoffposten I im Ansatz | Grad-/Maßwert III | abgemessene Rohstoffmenge I | eingeweichter, abgemessener Anteil I | ein Maß	Grad-/Maßwert III; leicht getrocknetes Arzneikompositum; abgeschlossen; kalt und trocken, Anfangsstufe erreicht; abgeschlossen; [opchsd:?]; heiß und trocken, Anfangsstufe erreicht; abgeschlossen; kalt-trockener Ansatz, Anfangsstufe; abgewogener Rohstoffposten I im Ansatz; Grad-/Maßwert III; abgemessene Rohstoffmenge I; [shdar:?]; [oram:?]	Grad-/Maßwert III; leicht getrocknetes Arzneikompositum; abgeschlossen; kalt und trocken, Anfangsstufe erreicht; abgeschlossen; [opchsd:?]; heiß und trocken, Anfangsstufe erreicht; abgeschlossen; kalt-trockener Ansatz, Anfangsstufe; abgewogener Rohstoffposten I im Ansatz; Grad-/Maßwert III; abgemessene Rohstoffmenge I; eingeweichter, abgemessener Anteil I; ein Maß
18	f87r	f87r.9	H	A	1	5	5	2	1	1	0	3	1	-2	0	0	0	3|5	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR	sor shocthey oteody dchol saraiin	Samenportion | [shocthey:?] | abgekühlter, fertiger Ansatz | Maß trockenen Materials | drei Teile des Samenanteils I	Samenportion | [shocthey:?] | abgekühlter, fertiger Ansatz | Maß trockenen Materials | drei Teile des Samenanteils I	Samenportion | [shocthey:?] | abgekühlter, fertiger Ansatz | Maß trockenen Materials | drei Teile des Samenanteils I	Samenportion; [shocthey:?]; [oteody:?]; Maß trockenen Materials; [saraiin:?]	Samenportion; [shocthey:?]; abgekühlter, fertiger Ansatz; Maß trockenen Materials; drei Teile des Samenanteils I
19	f88v	f88v.17	P	A	1	8	8	2	1	1	1	3	1	-2	0	0	0	4|5	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	qokeey qokeody chor oteody qockhol okol cheedy qokody	heiß am Ende des Grades | [qokeody:?] | Pflanzen-/Reproduktionsteil | abgekühlter, fertiger Ansatz | Mischgut zugeben | heißer Ansatzstoff | trocken am Ende des Grades, abgeschlossen | Ansatz erhitzen und fertigstellen	vollständig erhitzt | [qokeody:?] | Pflanzen-/Reproduktionsteil | abgekühlter, fertiger Ansatz | Mischung zugeben | heißer Ansatzstoff | vollständig getrocknet, abgeschlossen | Ansatz erhitzen und fertigstellen	vollständig erhitzt | [qokeody:?] | Pflanzen-/Reproduktionsteil | abgekühlter, fertiger Ansatz | Mischung zugeben | heißer Ansatzstoff | vollständig getrocknet, abgeschlossen | Ansatz erhitzen und fertigstellen	vollständig erhitzt; [qokeody:?]; Pflanzen-/Reproduktionsteil; [oteody:?]; [qockhol:?]; heißer Ansatzstoff; vollständig getrocknet, abgeschlossen; Ansatz erhitzen und fertigstellen	vollständig erhitzt; [qokeody:?]; Pflanzen-/Reproduktionsteil; abgekühlter, fertiger Ansatz; Mischung zugeben; heißer Ansatzstoff; vollständig getrocknet, abgeschlossen; Ansatz erhitzen und fertigstellen
20	f90r1	f90r1.8	H	A	1	10	10	2	2	0	0	3	1	-2	0	0	0	3|7	UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	kor sheol qodar oko ykeey qokeey qodar qokeed s choky	heiße Drogenportion | feuchtes Material | Anteil I abmessen | [oko:?] | erhitze hiervon bis zur Endstufe und schließe ab | heiß am Ende des Grades | Anteil I abmessen | erhitze bis zur Endstufe und schließe ab | Samen-/Saatgutposten | heiß-trockene Zubereitung, Grundform	heiße Drogenportion | feuchtes Material | Anteil I abmessen | [oko:?] | erhitze hiervon bis zur Endstufe und schließe ab | vollständig erhitzt | Anteil I abmessen | erhitze bis zur Endstufe und schließe ab | Samen-/Saatgutposten | heiß-trockene Zubereitung, Grundform	heiße Drogenportion | feuchtes Material | Anteil I abmessen | [oko:?] | erhitze hiervon bis zur Endstufe und schließe ab | vollständig erhitzt | Anteil I abmessen | erhitze bis zur Endstufe und schließe ab | Samen-/Saatgutposten | heiß-trockene Zubereitung, Grundform	heiße Drogenportion; feuchtes Material; [qodar:?]; [oko:?]; erhitze hiervon bis zur Endstufe und schließe ab; vollständig erhitzt; [qodar:?]; erhitze bis zur Endstufe und schließe ab; Samen-/Saatgutposten; heiß-trockene Zubereitung, Grundform	heiße Drogenportion; feuchtes Material; Anteil I abmessen; [oko:?]; erhitze hiervon bis zur Endstufe und schließe ab; vollständig erhitzt; Anteil I abmessen; erhitze bis zur Endstufe und schließe ab; Samen-/Saatgutposten; heiß-trockene Zubereitung, Grundform
21	f106v	f106v.29	S	B	3	11	11	2	2	0	0	4	2	-2	0	0	0	2|8	UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	ycheey olchey chedy qotaiin cheos otaiin otain chotar olos aiin cheog	trockne hiervon bis zur Endstufe | Holzansatz, bis Mittelstufe getrocknet | trocken in der Mitte des Grades, abgeschlossen | kalt, Grad III | Charge eines mitteltrockenen Ansatzes | kalt im Zubereitungsrahmen, Grad III | kalt im Zubereitungsrahmen, Grad II | abgekühlter trockener Anteil I | [olos:?] | Menge III | [cheog:?]	trockne hiervon bis zur Endstufe | Holzansatz, bis Mittelstufe getrocknet | bis zur Mittelstufe getrocknet; abgeschlossen | kalt, Grad III | Charge eines mitteltrockenen Ansatzes | kalt im Zubereitungsrahmen, Grad III | kalt im Zubereitungsrahmen, Grad II | abgekühlter trockener Anteil I | [olos:?] | Menge III | [cheog:?]	trockne hiervon bis zur Endstufe | Holzansatz, bis Mittelstufe getrocknet | bis zur Mittelstufe getrocknet; abgeschlossen | kalt, Grad III | Charge eines mitteltrockenen Ansatzes | kalt im Zubereitungsrahmen, Grad III | kalt im Zubereitungsrahmen, Grad II | abgekühlter trockener Anteil I | [olos:?] | Menge III | [cheog:?]	trockne hiervon bis zur Endstufe; [olchey:?]; bis zur Mittelstufe getrocknet; abgeschlossen; kalt, Grad III; Charge eines mitteltrockenen Ansatzes; kalt im Zubereitungsrahmen, Grad III; kalt im Zubereitungsrahmen, Grad II; [chotar:?]; [olos:?]; Menge III; [cheog:?]	trockne hiervon bis zur Endstufe; Holzansatz, bis Mittelstufe getrocknet; bis zur Mittelstufe getrocknet; abgeschlossen; kalt, Grad III; Charge eines mitteltrockenen Ansatzes; kalt im Zubereitungsrahmen, Grad III; kalt im Zubereitungsrahmen, Grad II; abgekühlter trockener Anteil I; [olos:?]; Menge III; [cheog:?]
22	f107r	f107r.19	S	B	3	12	12	2	0	2	0	4	2	-2	0	0	0	9|10	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733	oaiin ol rar sheey ylar aiin cholal dy cheeody okeeey cheodaiin aldy	drei Ansatzportionen | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzelfraktion I | feucht am Ende des Grades | [ylar:?] | Menge III | [cholal:?] | Qualitäts-/Wertfeld geschlossen | vollständig getrockneter, fertiger Ansatz | stark erhitzt, Endstufe | drei Portionen Trockenansatz auf mittlerer Trockenstufe | Rohstoffklasse I, abgeschlossen	drei Ansatzportionen | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzelfraktion I | vollständig angefeuchtet | [ylar:?] | Menge III | [cholal:?] | Qualitäts-/Wertfeld geschlossen | vollständig getrockneter, fertiger Ansatz | stark erhitzt, Endstufe | drei Portionen Trockenansatz auf mittlerer Trockenstufe | Rohstoffklasse I, abgeschlossen	drei Ansatzportionen | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzelfraktion I | vollständig angefeuchtet | [ylar:?] | Menge III | [cholal:?] | Qualitäts-/Wertfeld geschlossen | vollständig getrockneter, fertiger Ansatz | stark erhitzt, Endstufe | drei Portionen Trockenansatz auf mittlerer Trockenstufe | Rohstoffklasse I, abgeschlossen	drei Ansatzportionen; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Wurzelfraktion I; vollständig angefeuchtet; [ylar:?]; Menge III; [cholal:?]; Qualitäts-/Wertfeld geschlossen; [cheeody:?]; [okeeey:?]; drei Portionen Trockenansatz auf mittlerer Trockenstufe; Rohstoffklasse I, abgeschlossen	drei Ansatzportionen; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Wurzelfraktion I; vollständig angefeuchtet; [ylar:?]; Menge III; [cholal:?]; Qualitäts-/Wertfeld geschlossen; vollständig getrockneter, fertiger Ansatz; stark erhitzt, Endstufe; drei Portionen Trockenansatz auf mittlerer Trockenstufe; Rohstoffklasse I, abgeschlossen
23	f108r	f108r.4	S	B	3	6	6	2	1	1	0	4	2	-2	0	0	0	1|2	ACTIVE_WHOLE_EXPORT_REPAIR | UNIQUE_SPLIT_EXPLORATORY_WHOLE | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733	ychedaiin shky chdy oteeody chedor sheeky	drei Portionen der bis zur Mittelstufe getrockneten Droge abmessen | heiß angefeuchtet, Anfangsstufe | trocken am Anfang des Grades, abgeschlossen | [oteeody:?] | [chedor:?] | vollständig einweichen, erhitzen und abschließen	drei Portionen der bis zur Mittelstufe getrockneten Droge abmessen | heiß angefeuchtet, Anfangsstufe | leicht getrocknet; abgeschlossen | [oteeody:?] | [chedor:?] | vollständig einweichen, erhitzen und abschließen	drei Portionen der bis zur Mittelstufe getrockneten Droge abmessen | heiß angefeuchtet, Anfangsstufe | leicht getrocknet; abgeschlossen | [oteeody:?] | [chedor:?] | vollständig einweichen, erhitzen und abschließen	[ychedaiin:?]; [shky:?]; leicht getrocknet; abgeschlossen; [oteeody:?]; [chedor:?]; vollständig einweichen, erhitzen und abschließen	drei Portionen der bis zur Mittelstufe getrockneten Droge abmessen; heiß angefeuchtet, Anfangsstufe; leicht getrocknet; abgeschlossen; [oteeody:?]; [chedor:?]; vollständig einweichen, erhitzen und abschließen
24	f108v	f108v.24	S	B	3	12	12	2	2	0	2	4	2	-2	0	0	0	7|12	UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | UNCHANGED_GDT733 | ACTIVE_WHOLE_EXPORT_REPAIR	daiin chekeek checkhy ol r ain odar sheey daiin tchar okeedaiin oram	Grad-/Maßwert III | [chekeek:?] | trockenes Arzneikompositum am Gradanfang | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzel | Menge-/Klassenwert II | Anteil I des Ansatzes abmessen | feucht am Ende des Grades | Grad-/Maßwert III | erste Drogenfraktion abkühlen und trocknen | [okeedaiin:?] | Maßportion	Grad-/Maßwert III | [chekeek:?] | leicht getrocknetes Arzneikompositum | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzel | Menge-/Klassenwert II | Anteil I abmessen | vollständig angefeuchtet | Grad-/Maßwert III | erste Drogenfraktion abkühlen und trocknen | [okeedaiin:?] | ein Maß	Grad-/Maßwert III | [chekeek:?] | leicht getrocknetes Arzneikompositum | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzel | Menge-/Klassenwert II | Anteil I abmessen | vollständig angefeuchtet | Grad-/Maßwert III | erste Drogenfraktion abkühlen und trocknen | [okeedaiin:?] | ein Maß	Grad-/Maßwert III; [chekeek:?]; leicht getrocknetes Arzneikompositum; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Wurzel; Menge-/Klassenwert II; [odar:?]; vollständig angefeuchtet; Grad-/Maßwert III; erste Drogenfraktion abkühlen und trocknen; [okeedaiin:?]; [oram:?]	Grad-/Maßwert III; [chekeek:?]; leicht getrocknetes Arzneikompositum; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Wurzel; Menge-/Klassenwert II; Anteil I abmessen; vollständig angefeuchtet; Grad-/Maßwert III; erste Drogenfraktion abkühlen und trocknen; [okeedaiin:?]; ein Maß
