surface	reading_id	total_cache_occurrences	omitted_unknown_occurrences_receiving_portable_renderer	higher_precedence_occurrences_retained	retained_v99r6_realizations_de	portable_v99r7_repair_renderer_de	renderer_decision	scope_decision	local_variants_explicitly_marked	silent_second_global_default
qopchol	qopchol#1	5	1	4	nimm getrockneten Pulverstoff	getrocknetes Pulver nehmen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
dchal	dchal#1	2	1	1	angetrocknetes, abgemessenes Material I	angetrockneter, abgemessener Anteil I	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
alched	alched#1	2	1	1	Material I, bis Mittelstufe getrocknet und abgeschlossen	Rohstoff I, mitteltrocken; abgeschlossen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
dshees	dshees#1	2	1	1	eine abgemessene feuchte Form auf Endstufe	abgemessene feuchte Zubereitung, Endstufe	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
qolsheedy	qolsheedy#1	2	1	1	vollständig eingeweichten Drogenstoff zugeben und abschließen	vollständig Eingeweichtes zugeben und abschließen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
olpchedy	olpchedy#1	4	2	2	fertiges Holzextraktpulver	fertiges Pulver aus Drogenholz	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
ofchedy	ofchedy#1	6	5	1	fertig getrocknete Blütenmasse	vollständig getrockneter Blüten-/Fruchtstand	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
qokeod	qokeod#1	5	4	1	heißen Auszug bereiten und abschließen	Ansatz erhitzen und abschließen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
qoeeo	qoeeo#V84_1	2	1	1	zweite Feuchtzubereitung	zweiter feuchter Ansatz	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
oteed	oteed#1	6	5	1	vollständig abgekühlter und abgezogener Auszug	vollständig abgekühlt; entnommen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
keeod	keeod#1	2	1	1	vollständig erhitzter und abgezogener Auszug	vollständig erhitzt; entnommen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
dold	dold#1	2	1	1	diese Blüte abmessen und abschließen	abmessen und abschließen	HOLD_UNCHANGED	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
checthedy	checthedy#1	2	1	1	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	mäßig trocknen, nachtrocknen und abschließen	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
keo	keo#1	5	4	1	heiße Zubereitung auf Mittelstufe	erhitzter Ansatz, Mittelstufe	RENDERER_REVISE	REPAIR_OMISSION_ONLY__EXACT_CONTEXT_AND_SPAN_PRECEDENCE_RETAINED	1	0
