group_serial	page	locus	visible_owner	namespace_id	visible_surface	coverage_class	component_or_copy_reading_de	source_order_only	orientation_claim	start_claim	cross_page_key
25	f67r2	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	chykchs	LOCAL_COPY_LABEL	Lokalschluessel chykchs fuer A1_RIGHT_SECTOR_SLOT_11	YES	NONE	NONE	NONE
26	f67r2	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	chy	PORTABLE_COMPOSITION	dies	YES	NONE	NONE	NONE
27	f67r2	f67r2.12	A1_RIGHT_SECTOR_SLOT_12	F67_RIGHT_WHEEL_NS	ykees	LOCAL_COPY_LABEL	Lokalschluessel ykees fuer A1_RIGHT_SECTOR_SLOT_12	YES	NONE	NONE	NONE
28	f67r2	f67r2.12	A1_RIGHT_SECTOR_SLOT_12	F67_RIGHT_WHEEL_NS	ykchos	LOCAL_COPY_LABEL	Lokalschluessel ykchos fuer A1_RIGHT_SECTOR_SLOT_12	YES	NONE	NONE	NONE
29	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	opodchol	PORTABLE_COMPOSITION	lokalen OPODCH-Posten im selben Lauf weiterfuehren	YES	NONE	NONE	NONE
30	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	s	LOCAL_COPY_LABEL	Lokalschluessel s fuer A1_RIGHT_RING_BAND_01	YES	NONE	NONE	NONE
31	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	ain	PORTABLE_COMPOSITION	Portion oder Teilwert	YES	NONE	NONE	NONE
32	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	aldy	LEARNED_WHOLE_SIGN	Ganzzeichen aldy: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest dy.	YES	NONE	NONE	NONE
33	f67r2	f67r2.14	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	soeey	PORTABLE_COMPOSITION	lange oder volle Diagrammstufe; lokaler Namensrest so/y.	YES	NONE	NONE	NONE
34	f67r2	f67r2.14	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	doiin	LOCAL_COPY_LABEL	Lokalschluessel doiin fuer A1_RIGHT_RING_BAND_02	YES	NONE	NONE	NONE
35	f67r2	f67r2.14	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	oldy	PORTABLE_COMPOSITION	fertig	YES	NONE	NONE	NONE
36	f67r2	f67r2.15	A1_LEFT_LOCAL_FIELD_15	F67_LEFT_WHEEL_NS	dolchsody	LEARNED_WHOLE_SIGN	Ganzzeichen dolchsody: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest d/chsody.	YES	NONE	NONE	NONE
37	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	odaeiin	LOCAL_COPY_LABEL	Lokalschluessel odaeiin fuer A1_LEFT_LOCAL_FIELD_16	YES	NONE	NONE	NONE
38	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	okoes	LOCAL_COPY_LABEL	Lokalschluessel okoes fuer A1_LEFT_LOCAL_FIELD_16	YES	NONE	NONE	NONE
39	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	oekain	PORTABLE_COMPOSITION	kurz gebundene Rücknahmeportion	YES	NONE	NONE	NONE
40	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	y	PORTABLE_COMPOSITION	dies	YES	NONE	NONE	NONE
41	f67r2	f67r2.17	A1_LEFT_LOCAL_FIELD_17	F67_LEFT_WHEEL_NS	otchey	PORTABLE_COMPOSITION	das nächste	YES	NONE	NONE	NONE
42	f67r2	f67r2.17	A1_LEFT_LOCAL_FIELD_17	F67_LEFT_WHEEL_NS	soraiir	LOCAL_COPY_LABEL	Lokalschluessel soraiir fuer A1_LEFT_LOCAL_FIELD_17	YES	NONE	NONE	NONE
43	f67r2	f67r2.17	A1_LEFT_LOCAL_FIELD_17	F67_LEFT_WHEEL_NS	dy	PORTABLE_COMPOSITION	dies	YES	NONE	NONE	NONE
44	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	F67_LEFT_WHEEL_NS	qopchy	PORTABLE_COMPOSITION	neuer Paarbezug.	YES	NONE	NONE	NONE
45	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	F67_LEFT_WHEEL_NS	daiin	PORTABLE_COMPOSITION	Sollwert	YES	NONE	NONE	NONE
46	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	F67_LEFT_WHEEL_NS	dal	PORTABLE_COMPOSITION	dorthin	YES	NONE	NONE	NONE
47	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	ydchos	LOCAL_COPY_LABEL	Lokalschluessel ydchos fuer A1_LEFT_LOCAL_FIELD_19	YES	NONE	NONE	NONE
48	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	ain	PORTABLE_COMPOSITION	Portion oder Teilwert	YES	NONE	NONE	NONE
49	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	ar	PORTABLE_COMPOSITION	Quelladresse des ROOT-Postens	YES	NONE	NONE	NONE
50	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	amy	PORTABLE_COMPOSITION	aktueller Aspektwert.	YES	NONE	NONE	NONE
51	f67r2	f67r2.20	A1_LEFT_LOCAL_FIELD_20	F67_LEFT_WHEEL_NS	chocfhy	LEARNED_WHOLE_SIGN	Ganzzeichen chocfhy: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/cfhy.	YES	NONE	NONE	NONE
52	f67r2	f67r2.20	A1_LEFT_LOCAL_FIELD_20	F67_LEFT_WHEEL_NS	saral	PORTABLE_COMPOSITION	von der Quelladresse zur Zieladresse	YES	NONE	NONE	NONE
53	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	F67_LEFT_WHEEL_NS	sain	PORTABLE_COMPOSITION	Portion oder Teilwert	YES	NONE	NONE	NONE
54	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	F67_LEFT_WHEEL_NS	am	LOCAL_COPY_LABEL	Lokalschluessel am fuer A1_LEFT_LOCAL_FIELD_21	YES	NONE	NONE	NONE
55	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	F67_LEFT_WHEEL_NS	ar	PORTABLE_COMPOSITION	Quelladresse des ROOT-Postens	YES	NONE	NONE	NONE
56	f67r2	f67r2.22	A1_LEFT_LOCAL_FIELD_22	F67_LEFT_WHEEL_NS	okal	PORTABLE_COMPOSITION	dorthin einsetzen	YES	NONE	NONE	NONE
57	f67r2	f67r2.23	A1_LEFT_LOCAL_FIELD_23	F67_LEFT_WHEEL_NS	oparchy	PORTABLE_COMPOSITION	Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest op/chy.	YES	NONE	NONE	NONE
58	f67r2	f67r2.23	A1_LEFT_LOCAL_FIELD_23	F67_LEFT_WHEEL_NS	salsain	PORTABLE_COMPOSITION	Zielportion oder Ziel-Teilwert	YES	NONE	NONE	NONE
59	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	F67_LEFT_WHEEL_NS	sodar	PORTABLE_COMPOSITION	Quelladresse des SOD-Postens	YES	NONE	NONE	NONE
60	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	F67_LEFT_WHEEL_NS	ofar	PORTABLE_COMPOSITION	Quelladresse des OF-Postens	YES	NONE	NONE	NONE
61	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	F67_LEFT_WHEEL_NS	ar	PORTABLE_COMPOSITION	Quelladresse des ROOT-Postens	YES	NONE	NONE	NONE
62	f67r2	f67r2.25	A1_LEFT_LOCAL_FIELD_25	F67_LEFT_WHEEL_NS	ydam	LOCAL_COPY_LABEL	Lokalschluessel ydam fuer A1_LEFT_LOCAL_FIELD_25	YES	NONE	NONE	NONE
63	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	F67_LEFT_WHEEL_NS	yteoor	PORTABLE_COMPOSITION	Bedingungsansatz des lokalen YTEO-Postens	YES	NONE	NONE	NONE
64	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	F67_LEFT_WHEEL_NS	yto	LOCAL_COPY_LABEL	Lokalschluessel yto fuer A1_LEFT_LOCAL_FIELD_26	YES	NONE	NONE	NONE
65	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	F67_LEFT_WHEEL_NS	ykor	PORTABLE_COMPOSITION	Bedingungsansatz des lokalen YK-Postens	YES	NONE	NONE	NONE
66	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	F67_LEFT_WHEEL_NS	okeo	LOCAL_COPY_LABEL	Lokalschluessel okeo fuer A1_LEFT_LOCAL_FIELD_27	YES	NONE	NONE	NONE
67	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	F67_LEFT_WHEEL_NS	r	LOCAL_COPY_LABEL	Lokalschluessel r fuer A1_LEFT_LOCAL_FIELD_27	YES	NONE	NONE	NONE
68	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	F67_LEFT_WHEEL_NS	aiin	PORTABLE_COMPOSITION	Sollwert	YES	NONE	NONE	NONE
69	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	F67_LEFT_WHEEL_NS	am	LOCAL_COPY_LABEL	Lokalschluessel am fuer A1_LEFT_LOCAL_FIELD_27	YES	NONE	NONE	NONE
70	f67r2	f67r2.28	A1_LEFT_LOCAL_FIELD_28	F67_LEFT_WHEEL_NS	okain	PORTABLE_COMPOSITION	TEILWERT_ZUGEBEN	YES	NONE	NONE	NONE
71	f67r2	f67r2.28	A1_LEFT_LOCAL_FIELD_28	F67_LEFT_WHEEL_NS	am	LOCAL_COPY_LABEL	Lokalschluessel am fuer A1_LEFT_LOCAL_FIELD_28	YES	NONE	NONE	NONE
72	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	F67_LEFT_WHEEL_NS	ytody	LEARNED_WHOLE_SIGN	Ganzzeichen ytody: Platz fest eingetragen.	YES	NONE	NONE	NONE
73	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	F67_LEFT_WHEEL_NS	saiin	PORTABLE_COMPOSITION	Sollwert	YES	NONE	NONE	NONE
74	f67r2	f67r2.30	A1_LEFT_LOCAL_FIELD_30	F67_LEFT_WHEEL_NS	ochol	PORTABLE_COMPOSITION	lokalen OCH-Posten im selben Lauf weiterfuehren	YES	NONE	NONE	NONE
75	f67r2	f67r2.30	A1_LEFT_LOCAL_FIELD_30	F67_LEFT_WHEEL_NS	olol	PORTABLE_COMPOSITION	im selben Lauf nochmals weiter	YES	NONE	NONE	NONE
76	f67r2	f67r2.31	A1_LEFT_LOCAL_FIELD_31	F67_LEFT_WHEEL_NS	opcholdy	LEARNED_WHOLE_SIGN	Ganzzeichen opcholdy: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opch/dy.	YES	NONE	NONE	NONE
77	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	dosar	PORTABLE_COMPOSITION	Quelladresse des DOS-Postens	YES	NONE	NONE	NONE
78	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	odas	LOCAL_COPY_LABEL	Lokalschluessel odas fuer A1_LEFT_LOCAL_FIELD_32	YES	NONE	NONE	NONE
79	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	air	PORTABLE_COMPOSITION	Lauf oder Bahn	YES	NONE	NONE	NONE
80	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	alaiin	PORTABLE_COMPOSITION	Ziel-Sollwert	YES	NONE	NONE	NONE
81	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	F67_LEFT_WHEEL_NS	dokan	PORTABLE_COMPOSITION	zweite oder alternative Portion einsetzen	YES	NONE	NONE	NONE
82	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	F67_LEFT_WHEEL_NS	oear	PORTABLE_COMPOSITION	Quelladresse des OE-Postens	YES	NONE	NONE	NONE
83	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	F67_LEFT_WHEEL_NS	odal	PORTABLE_COMPOSITION	Zieladresse des OD-Postens	YES	NONE	NONE	NONE
84	f67r2	f67r2.34	A1_LEFT_LOCAL_FIELD_34	F67_LEFT_WHEEL_NS	ofar	PORTABLE_COMPOSITION	Quelladresse des OF-Postens	YES	NONE	NONE	NONE
85	f67r2	f67r2.34	A1_LEFT_LOCAL_FIELD_34	F67_LEFT_WHEEL_NS	oeoldan	PORTABLE_COMPOSITION	mit der zweiten Einstellung weiter	YES	NONE	NONE	NONE
86	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	F67_LEFT_WHEEL_NS	chol	PORTABLE_COMPOSITION	weiter	YES	NONE	NONE	NONE
87	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	F67_LEFT_WHEEL_NS	giin	LOCAL_COPY_LABEL	Lokalschluessel giin fuer A1_LEFT_LOCAL_FIELD_35	YES	NONE	NONE	NONE
88	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	F67_LEFT_WHEEL_NS	okol	PORTABLE_COMPOSITION	den Posten einsetzen und im selben Lauf weiter	YES	NONE	NONE	NONE
89	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	F67_LEFT_WHEEL_NS	ytor	PORTABLE_COMPOSITION	Bedingungsansatz des lokalen YT-Postens	YES	NONE	NONE	NONE
90	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	F67_LEFT_WHEEL_NS	daiin	PORTABLE_COMPOSITION	Sollwert	YES	NONE	NONE	NONE
91	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	F67_LEFT_WHEEL_NS	or	PORTABLE_COMPOSITION	Ansatz	YES	NONE	NONE	NONE
92	f67r2	f67r2.37	A1_LEFT_LOCAL_FIELD_37	F67_LEFT_WHEEL_NS	ytoaiin	PORTABLE_COMPOSITION	Sollwert des lokalen YTO-Postens	YES	NONE	NONE	NONE
93	f67r2	f67r2.38	A1_LEFT_LOCAL_FIELD_38	F67_LEFT_WHEEL_NS	otoldos	PORTABLE_COMPOSITION	Folgeposten im selben Lauf weiter	YES	NONE	NONE	NONE
94	f67r2	f67r2.38	A1_LEFT_LOCAL_FIELD_38	F67_LEFT_WHEEL_NS	octhole	LOCAL_COPY_LABEL	Lokalschluessel octhole fuer A1_LEFT_LOCAL_FIELD_38	YES	NONE	NONE	NONE
95	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	F67_LEFT_WHEEL_NS	sor	PORTABLE_COMPOSITION	Ansatz	YES	NONE	NONE	NONE
96	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	F67_LEFT_WHEEL_NS	chedaiin	PORTABLE_COMPOSITION	Übertragungs-Sollwert	YES	NONE	NONE	NONE
97	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	F67_LEFT_WHEEL_NS	dy	PORTABLE_COMPOSITION	dies	YES	NONE	NONE	NONE
98	f67r2	f67r2.40	A1_LEFT_LOCAL_FIELD_40	F67_LEFT_WHEEL_NS	yteos	LOCAL_COPY_LABEL	Lokalschluessel yteos fuer A1_LEFT_LOCAL_FIELD_40	YES	NONE	NONE	NONE
99	f67r2	f67r2.40	A1_LEFT_LOCAL_FIELD_40	F67_LEFT_WHEEL_NS	oiin	LOCAL_COPY_LABEL	Lokalschluessel oiin fuer A1_LEFT_LOCAL_FIELD_40	YES	NONE	NONE	NONE
100	f67r2	f67r2.40	A1_LEFT_LOCAL_FIELD_40	F67_LEFT_WHEEL_NS	og	LOCAL_COPY_LABEL	Lokalschluessel og fuer A1_LEFT_LOCAL_FIELD_40	YES	NONE	NONE	NONE
101	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	F67_LEFT_WHEEL_NS	ytoeopchey	PORTABLE_COMPOSITION	Vergleichswert dieses Platzes.	YES	NONE	NONE	NONE
102	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	F67_LEFT_WHEEL_NS	chekody	LEARNED_WHOLE_SIGN	Ganzzeichen chekody: abgeleiteter Klassenwert.	YES	NONE	NONE	NONE
103	f67r2	f67r2.42	A1_LEFT_LOCAL_FIELD_42	F67_LEFT_WHEEL_NS	sosho	LOCAL_COPY_LABEL	Lokalschluessel sosho fuer A1_LEFT_LOCAL_FIELD_42	YES	NONE	NONE	NONE
104	f67r2	f67r2.42	A1_LEFT_LOCAL_FIELD_42	F67_LEFT_WHEEL_NS	chos	LOCAL_COPY_LABEL	Lokalschluessel chos fuer A1_LEFT_LOCAL_FIELD_42	YES	NONE	NONE	NONE
105	f67r2	f67r2.42	A1_LEFT_LOCAL_FIELD_42	F67_LEFT_WHEEL_NS	ockhy	PORTABLE_COMPOSITION	durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest o/y.	YES	NONE	NONE	NONE
106	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	F67_LEFT_WHEEL_NS	daiin	PORTABLE_COMPOSITION	Sollwert	YES	NONE	NONE	NONE
107	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	F67_LEFT_WHEEL_NS	aiin	PORTABLE_COMPOSITION	Sollwert	YES	NONE	NONE	NONE
108	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	F67_LEFT_WHEEL_NS	os	PORTABLE_COMPOSITION	AUFNAHMEFELD_ODER_UMSCHLUSS	YES	NONE	NONE	NONE
109	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	F67_LEFT_WHEEL_NS	qsg	LOCAL_COPY_LABEL	Lokalschluessel qsg fuer A1_LEFT_LOCAL_FIELD_43	YES	NONE	NONE	NONE
110	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	F67_LEFT_WHEEL_NS	ofydy	LEARNED_WHOLE_SIGN	Ganzzeichen ofydy: fester Grundlichtwert.	YES	NONE	NONE	NONE
111	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	F67_LEFT_WHEEL_NS	sheody	LEARNED_WHOLE_SIGN	Ganzzeichen sheody: Position oder Bedingung halten; lokaler Namensrest eody.	YES	NONE	NONE	NONE
112	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	F67_LEFT_WHEEL_NS	aiin	PORTABLE_COMPOSITION	Sollwert	YES	NONE	NONE	NONE
113	f67r2	f67r2.45	A1_LEFT_LOCAL_FIELD_45	F67_LEFT_WHEEL_NS	ycheody	LEARNED_WHOLE_SIGN	Ganzzeichen ycheody: aktueller Ablesewert fest.	YES	NONE	NONE	NONE
114	f67r2	f67r2.45	A1_LEFT_LOCAL_FIELD_45	F67_LEFT_WHEEL_NS	es	LOCAL_COPY_LABEL	Lokalschluessel es fuer A1_LEFT_LOCAL_FIELD_45	YES	NONE	NONE	NONE
115	f67r2	f67r2.45	A1_LEFT_LOCAL_FIELD_45	F67_LEFT_WHEEL_NS	odaiiin	LOCAL_COPY_LABEL	Lokalschluessel odaiiin fuer A1_LEFT_LOCAL_FIELD_45	YES	NONE	NONE	NONE
116	f67r2	f67r2.46	A1_LEFT_LOCAL_FIELD_46	F67_LEFT_WHEEL_NS	yekees	LOCAL_COPY_LABEL	Lokalschluessel yekees fuer A1_LEFT_LOCAL_FIELD_46	YES	NONE	NONE	NONE
117	f67r2	f67r2.46	A1_LEFT_LOCAL_FIELD_46	F67_LEFT_WHEEL_NS	oraly	PORTABLE_COMPOSITION	Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.	YES	NONE	NONE	NONE
118	f67r2	f67r2.47	A1_LEFT_LOCAL_FIELD_47	F67_LEFT_WHEEL_NS	yfain	PORTABLE_COMPOSITION	Portion des lokalen YF-Postens	YES	NONE	NONE	NONE
119	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	F67_LEFT_WHEEL_NS	todaiin	PORTABLE_COMPOSITION	Sollwert des lokalen TOD-Postens	YES	NONE	NONE	NONE
120	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	F67_LEFT_WHEEL_NS	dain	PORTABLE_COMPOSITION	ABDECK_ODER_TRAEGERFELD	YES	NONE	NONE	NONE
121	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	F67_LEFT_WHEEL_NS	dy	PORTABLE_COMPOSITION	dies	YES	NONE	NONE	NONE
122	f67r2	f67r2.49	A1_LEFT_LOCAL_FIELD_49	F67_LEFT_WHEEL_NS	os	PORTABLE_COMPOSITION	AUFNAHMEFELD_ODER_UMSCHLUSS	YES	NONE	NONE	NONE
123	f67r2	f67r2.49	A1_LEFT_LOCAL_FIELD_49	F67_LEFT_WHEEL_NS	choer	LOCAL_COPY_LABEL	Lokalschluessel choer fuer A1_LEFT_LOCAL_FIELD_49	YES	NONE	NONE	NONE
124	f67r2	f67r2.49	A1_LEFT_LOCAL_FIELD_49	F67_LEFT_WHEEL_NS	aiin	PORTABLE_COMPOSITION	Sollwert	YES	NONE	NONE	NONE
125	f67r2	f67r2.50	A1_LEFT_LOCAL_FIELD_50	F67_LEFT_WHEEL_NS	choeea	LOCAL_COPY_LABEL	Lokalschluessel choeea fuer A1_LEFT_LOCAL_FIELD_50	YES	NONE	NONE	NONE
126	f67r2	f67r2.50	A1_LEFT_LOCAL_FIELD_50	F67_LEFT_WHEEL_NS	sal	PORTABLE_COMPOSITION	dorthin	YES	NONE	NONE	NONE
