template_id	old_v48_context_de	new_spoken_context_de	renderer_mode	formal_stage	workflow_closure	modality_class	expected_occurrences	note_de
G733-T024	heiß und trocken am Anfang des Grades, abgeschlossen	heiß und trocken, Anfangsstufe erreicht; abgeschlossen	MIXED_NEUTRAL_STAGE	BEGIN	CLOSED	HEISS>TROCKEN	63	Keine der zwei Achsen erhält den Grad allein.
G733-T025	heiß und trocken am Anfang des Grades	heiß und trocken, Anfangsstufe	MIXED_NEUTRAL_STAGE	BEGIN	OPEN	HEISS>TROCKEN	63	Offene neutrale Stufe für zwei Achsen.
G733-T026	kalt und trocken in der Mitte des Grades, abgeschlossen	kalt und trocken, Mittelstufe erreicht; abgeschlossen	MIXED_NEUTRAL_STAGE	MIDDLE	CLOSED	KALT>TROCKEN	55	Keine der zwei Achsen erhält den Grad allein.
G733-T027	Arzneikompositum: feucht, Gradanfang	leicht angefeuchtetes Arzneikompositum	HEAD_INFLECTED_SINGLE	BEGIN	OPEN	FEUCHT	50	Vorhandener Kompositumkopf; nicht eingeweicht.
G733-T028	trockenes Arzneikompositum am Gradanfang	leicht getrocknetes Arzneikompositum	HEAD_INFLECTED_SINGLE	BEGIN	OPEN	TROCKEN	45	Vorhandener Kompositumkopf wird nur flektiert.
G733-T029	heiß am Ende des Grades	vollständig erhitzt	SINGLE_DIRECT	END	OPEN	HEISS	41	Einzelachse ohne Abschlusszusatz.
G733-T030	Rohstoffklasse I, trocken am Gradanfang	Rohstoffklasse I; leicht getrocknet	HEAD_PRESERVING_SINGLE	BEGIN	OPEN	TROCKEN	40	Klassenkopf bleibt stehen; kein Patient ergänzt.
G733-T031	feucht am Anfang des Grades, abgeschlossen	leicht angefeuchtet; abgeschlossen	SINGLE_DIRECT	BEGIN	CLOSED	FEUCHT	39	Anfangsstufe und Abschluss getrennt.
G733-T032	kalt-trockener Ansatz am Anfang des Grades	kalt-trockener Ansatz, Anfangsstufe	MIXED_NEUTRAL_STAGE	BEGIN	OPEN	KALT>TROCKEN	39	Keine Achsenzuweisung im kombinierten Zustand.
G733-T033	heiß und trocken in der Mitte des Grades, abgeschlossen	heiß und trocken, Mittelstufe erreicht; abgeschlossen	MIXED_NEUTRAL_STAGE	MIDDLE	CLOSED	HEISS>TROCKEN	38	Keine Achsenzuweisung; Abschluss separat.
G733-T034	Arzneikompositum am Gradanfang	Arzneikompositum, Anfangsstufe	NO_MODAL_NEUTRAL_STAGE	BEGIN	OPEN	NONE	33	Ohne Modalität entsteht kein Prozesspartizip.
G733-T035	feuchtes Arzneikompositum am Gradanfang	leicht angefeuchtetes Arzneikompositum	HEAD_INFLECTED_SINGLE	BEGIN	OPEN	FEUCHT	32	Vorhandener Kompositumkopf; nicht eingeweicht.
G733-T036	kalt-trockener Ansatz in der Mitte des Grades	kalt-trockener Ansatz, Mittelstufe	MIXED_NEUTRAL_STAGE	MIDDLE	OPEN	KALT>TROCKEN	25	Offene neutrale Stufe für zwei Achsen.
G733-T037	kalt-trockener Ansatz am Anfang des Grades, abgeschlossen	kalt-trockener Ansatz, Anfangsstufe erreicht; abgeschlossen	MIXED_NEUTRAL_STAGE	BEGIN	CLOSED	KALT>TROCKEN	23	Keine Achsenzuweisung; Abschluss separat.
G733-T038	heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen	heiß-trockener Ansatz, Mittelstufe erreicht; abgeschlossen	MIXED_NEUTRAL_STAGE	MIDDLE	CLOSED	HEISS>TROCKEN	22	Keine Achsenzuweisung; Abschluss separat.
G733-T039	Rohstoffklasse I, kalt am Gradanfang	Rohstoffklasse I; leicht abgekühlt	HEAD_PRESERVING_SINGLE	BEGIN	OPEN	KALT	19	Klassenkopf bleibt stehen; abgekühlt statt gekühlt.
G733-T040	Arzneikompositum im Trockenansatz am Gradanfang	Arzneikompositum im Trockenansatz, Anfangsstufe	COMPOSITE_HEAD_NEUTRAL_STAGE	BEGIN	OPEN	TROCKEN	17	Grad wird nicht willkürlich Kompositum oder Ansatz zugewiesen.
G733-T041	heiß und trocken in der Mitte des Grades	heiß und trocken, Mittelstufe	MIXED_NEUTRAL_STAGE	MIDDLE	OPEN	HEISS>TROCKEN	17	Offene neutrale Stufe für zwei Achsen.
G733-T042	Rohstoffklasse I, feucht am Gradanfang	Rohstoffklasse I; leicht angefeuchtet	HEAD_PRESERVING_SINGLE	BEGIN	OPEN	FEUCHT	14	Klassenkopf bleibt stehen; nicht eingeweicht.
G733-T043	kalt und trocken am Anfang des Grades, abgeschlossen	kalt und trocken, Anfangsstufe erreicht; abgeschlossen	MIXED_NEUTRAL_STAGE	BEGIN	CLOSED	KALT>TROCKEN	11	Keine Achsenzuweisung; Abschluss separat.
G733-T044	Arzneikompositum: trocken, Gradanfang, abgeschlossen	leicht getrocknetes Arzneikompositum; abgeschlossen	HEAD_INFLECTED_SINGLE	BEGIN	CLOSED	TROCKEN	11	Vorhandener Kopf; Abschluss separat.
G733-T045	trocken-kalt am Gradanfang	trocken-kalt, Anfangsstufe	MIXED_NEUTRAL_STAGE	BEGIN	OPEN	TROCKEN>KALT	10	Kombinierter Zustand bleibt neutral gestuft.
G733-T046	feuchte abgemessene Rohstoffmenge I in der Gradmitte	abgemessene Rohstoffmenge I; bis zur Mittelstufe angefeuchtet	HEAD_PRESERVING_SINGLE	MIDDLE	OPEN	FEUCHT	10	Geerbter Kopf bleibt unverändert; keine Einweichhandlung.
G733-T047	trocken angesetztes Arzneikompositum am Gradanfang	trocken angesetztes Arzneikompositum, Anfangsstufe	COMPOSITE_HEAD_NEUTRAL_STAGE	BEGIN	OPEN	TROCKEN	7	Grad wird nicht zwischen Trockenstatus und Ansatzstatus erzwungen.
G733-T048	kalt und feucht in der Mitte des Grades	kalt und feucht, Mittelstufe	MIXED_NEUTRAL_STAGE	MIDDLE	OPEN	KALT>FEUCHT	7	Offene neutrale Stufe für zwei Achsen.
G733-T049	Drogenholz, heiß am Gradende, abgeschlossen	vollständig erhitztes Drogenholz; abgeschlossen	HEAD_INFLECTED_SINGLE	END	CLOSED	HEISS	6	Vorhandener Holzkopf; Abschluss separat.
G733-T050	kalt-feuchter Ansatz in der Mitte des Grades	kalt-feuchter Ansatz, Mittelstufe	MIXED_NEUTRAL_STAGE	MIDDLE	OPEN	KALT>FEUCHT	6	Keine Achsenzuweisung im kombinierten Zustand.
G733-T051	Drogenholz, heiß am Gradende	vollständig erhitztes Drogenholz	HEAD_INFLECTED_SINGLE	END	OPEN	HEISS	3	Vorhandener Holzkopf wird nur flektiert.
G733-T052	feuchte abgemessene Rohstoffmenge I am Gradanfang	abgemessene Rohstoffmenge I; leicht angefeuchtet	HEAD_PRESERVING_SINGLE	BEGIN	OPEN	FEUCHT	2	Geerbter Kopf bleibt unverändert; keine Einweichhandlung.
