exact_card_id	component_recipe	meaning_de	registered_surfaces	registered_variant_count	S1_BARE	S2_CH	S3_Q_SH	S4_D_T	distinct_profile_choices	profile_sensitive
PROC027	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	schoal	1	schoal	schoal	schoal	schoal	1	NO
PROC028	CFH+Y	AUSPRESSEN · POSTEN	cfhy	1	cfhy	cfhy	cfhy	cfhy	1	NO
PROC029	SH+Y+AIIN	HALTEN · POSTEN · SOLLMASS	shfydaiin	1	shfydaiin	shfydaiin	shfydaiin	shfydaiin	1	NO
PROC030	P+Y	EINBRINGEN · POSTEN	cphy	1	cphy	cphy	cphy	cphy	1	NO
PROC031	SH+EE+Y	HALTEN · LANG · POSTEN	cheey|shey	2	shey	cheey	shey	shey	2	YES
PROC157	SH+EE+Y	HALTEN · LANG · POSTEN	sheey	1	sheey	sheey	sheey	sheey	1	NO
PROC032	T+CH+O+DY	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	tchody	1	tchody	tchody	tchody	tchody	1	NO
PROC033	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	shoyty	1	shoyty	shoyty	shoyty	shoyty	1	NO
PROC034	RESUME_CARD	DAVON	dchol|schol	2	dchol	dchol	schol	dchol	2	YES
PROC035	K+Y	ZUGEBEN · POSTEN	kchy	1	kchy	kchy	kchy	kchy	1	NO
PROC036	OT+Y	DANACH · POSTEN	qotchy	1	qotchy	qotchy	qotchy	qotchy	1	NO
PROC065	OT+Y	DANACH · POSTEN	otchey	1	otchey	otchey	otchey	otchey	1	NO
PROC037	OK+OL	ANSETZEN · WEITER	okchol	1	okchol	okchol	okchol	okchol	1	NO
PROC160	OK+OL	ANSETZEN · WEITER	qokol	1	qokol	qokol	qokol	qokol	1	NO
PROC038	OK+AIIN	ANSETZEN · SOLLMASS	okaiin|qokaiin	2	okaiin	okaiin	qokaiin	okaiin	2	YES
PROC039	Y+K+AIN	POSTEN · ZUGEBEN · PORTION	ykain	1	ykain	ykain	ykain	ykain	1	NO
PROC040	Y+K+AN	POSTEN · ZUGEBEN · NACHGABE	ykan	1	ykan	ykan	ykan	ykan	1	NO
PROC041	O+DY	ARBEITSGANG · SCHLUSS	ody	1	ody	ody	ody	ody	1	NO
PROC042	CHD+Y	UMSETZEN · POSTEN	chdy|chedy	2	chdy	chedy	chdy	chdy	2	YES
PROC133	CHD+Y	UMSETZEN · POSTEN	chedchy	1	chedchy	chedchy	chedchy	chedchy	1	NO
PROC043	TALAM	BEISEITESTELLEN	talam	1	talam	talam	talam	talam	1	NO
PROC044	Y+K+AIIN	POSTEN · ZUGEBEN · SOLLMASS	ykaiin	1	ykaiin	ykaiin	ykaiin	ykaiin	1	NO
PROC045	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	cheoar	1	cheoar	cheoar	cheoar	cheoar	1	NO
PROC046	CHK+EE+Y	WAERMEN · LANG · POSTEN	cheeky	1	cheeky	cheeky	cheeky	cheeky	1	NO
PROC107	CHK+EE+Y	WAERMEN · LANG · POSTEN	chkeey	1	chkeey	chkeey	chkeey	chkeey	1	NO
PROC047	OL+DY	WEITER · SCHLUSS	oldy	1	oldy	oldy	oldy	oldy	1	NO
PROC048	OK+AL	ANSETZEN · ZIELSTELLE	okal|qokal	2	okal	okal	qokal	okal	2	YES
PROC049	OL+T+Y	WEITER · BEARBEITEN · POSTEN	oltchy	1	oltchy	oltchy	oltchy	oltchy	1	NO
PROC050	OR+AIN	ANSATZ · PORTION	orain	1	orain	orain	orain	orain	1	NO
PROC051	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	chochor	1	chochor	chochor	chochor	chochor	1	NO
PROC052	HO	ZUTAT	cho|sho	2	cho	cho	sho	cho	2	YES
PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · POSTEN	chodaly	1	chodaly	chodaly	chodaly	chodaly	1	NO
PROC054	K+OL	ZUGEBEN · WEITER	kchol	1	kchol	kchol	kchol	kchol	1	NO
PROC055	AL	ZIELSTELLE	al|chal|cheal|dal|sal|tal	6	al	cheal	sal	dal	4	YES
PROC056	HO+Y	ZUTAT · POSTEN	choy	1	choy	choy	choy	choy	1	NO
PROC057	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	cheeckhody	1	cheeckhody	cheeckhody	cheeckhody	cheeckhody	1	NO
PROC058	SH	HALTEN	sh	1	sh	sh	sh	sh	1	NO
PROC059	K+E+Y	ZUGEBEN · KURZ · POSTEN	kchey	1	kchey	kchey	kchey	kchey	1	NO
PROC060	OK+OK+Y	ANSETZEN · ANSETZEN · POSTEN	qokokchy	1	qokokchy	qokokchy	qokokchy	qokokchy	1	NO
PROC061	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	chokcheo	1	chokcheo	chokcheo	chokcheo	chokcheo	1	NO
PROC062	K+AL	ZUGEBEN · ZIELSTELLE	kchal	1	kchal	kchal	kchal	kchal	1	NO
PROC063	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	kchoar	1	kchoar	kchoar	kchoar	kchoar	1	NO
PROC064	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	sotodan	1	sotodan	sotodan	sotodan	sotodan	1	NO
PROC066	K+E+OL	ZUGEBEN · KURZ · WEITER	keol	1	keol	keol	keol	keol	1	NO
PROC067	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	qokedy	1	qokedy	qokedy	qokedy	qokedy	1	NO
PROC068	K+AIR	ZUGEBEN · WASSER	kair	1	kair	kair	kair	kair	1	NO
PROC069	K+AIN	ZUGEBEN · PORTION	chkain|kain	2	kain	chkain	kain	kain	2	YES
PROC070	OL+K+AIN	WEITER · ZUGEBEN · PORTION	olkain|qolkain	2	olkain	olkain	qolkain	olkain	2	YES
PROC071	R+OL	KUEHLEN · WEITER	rol	1	rol	rol	rol	rol	1	NO
PROC072	L	LEITEN	dl	1	dl	dl	dl	dl	1	NO
PROC073	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	sheckhal	1	sheckhal	sheckhal	sheckhal	sheckhal	1	NO
PROC074	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	qokeedal	1	qokeedal	qokeedal	qokeedal	qokeedal	1	NO
PROC075	CKH+Y	DURCHLASS · POSTEN	chckhy|shckhy	2	chckhy	chckhy	shckhy	chckhy	2	YES
PROC076	CHD+DY	UMSETZEN · SCHLUSS	dchedy|schedy|tchedy	3	dchedy	dchedy	schedy	dchedy	2	YES
PROC094	CHD+DY	UMSETZEN · SCHLUSS	dchdy	1	dchdy	dchdy	dchdy	dchdy	1	NO
PROC077	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	sshkchdy	1	sshkchdy	sshkchdy	sshkchdy	sshkchdy	1	NO
PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	cheedy|shedy|tedy	3	tedy	cheedy	shedy	tedy	3	YES
PROC079	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	olchedy|qolchedy	2	olchedy	olchedy	qolchedy	olchedy	2	YES
PROC080	OK+AIN	ANSETZEN · PORTION	okain|qokain	2	okain	okain	qokain	okain	2	YES
PROC081	R+AL	KUEHLEN · ZIELSTELLE	ral	1	ral	ral	ral	ral	1	NO
PROC082	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	qokchdy	1	qokchdy	qokchdy	qokchdy	qokchdy	1	NO
PROC091	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	okchedy|qokchedy	2	okchedy	okchedy	qokchedy	okchedy	2	YES
PROC083	CHK+E+Y	WAERMEN · KURZ · POSTEN	cheky	1	cheky	cheky	cheky	cheky	1	NO
PROC084	LSH+O	SPUELEN · ARBEITSGANG	lsho	1	lsho	lsho	lsho	lsho	1	NO
PROC085	OK+E+Y	ANSETZEN · KURZ · POSTEN	okey|qokey	2	okey	okey	qokey	okey	2	YES
PROC086	LSH+E+DY	SPUELEN · KURZ · SCHLUSS	lshedy	1	lshedy	lshedy	lshedy	lshedy	1	NO
PROC087	SOLK+Y	SAMMELN · POSTEN	qolky	1	qolky	qolky	qolky	qolky	1	NO
PROC088	L+CHD+AL	LEITEN · UMSETZEN · ZIELSTELLE	lchedal	1	lchedal	lchedal	lchedal	lchedal	1	NO
PROC089	OT+AR	DANACH · QUELLE	otar	1	otar	otar	otar	otar	1	NO
PROC090	T+E+Y	BEARBEITEN · KURZ · POSTEN	ytey	1	ytey	ytey	ytey	ytey	1	NO
PROC092	OK+EE+Y	ANSETZEN · LANG · POSTEN	okeey|qokeey	2	okeey	okeey	qokeey	okeey	2	YES
PROC093	E+OL	KURZ · WEITER	teol	1	teol	teol	teol	teol	1	NO
PROC095	L+Y	LEITEN · POSTEN	ly	1	ly	ly	ly	ly	1	NO
PROC096	SH+E+OL	HALTEN · KURZ · WEITER	dsheol	1	dsheol	dsheol	dsheol	dsheol	1	NO
PROC097	O+IIN	ARBEITSGANG · STUFE	oiiin|soiiin	2	oiiin	oiiin	soiiin	oiiin	2	YES
PROC098	SOLK+EE+DY	SAMMELN · LANG · SCHLUSS	olkeedy|solkeedy	2	olkeedy	olkeedy	solkeedy	olkeedy	2	YES
PROC099	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	shckhedy	1	shckhedy	shckhedy	shckhedy	shckhedy	1	NO
PROC100	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	qokeedy	1	qokeedy	qokeedy	qokeedy	qokeedy	1	NO
PROC101	L+CKH+Y	LEITEN · DURCHLASS · POSTEN	lcheckhy	1	lcheckhy	lcheckhy	lcheckhy	lcheckhy	1	NO
PROC102	L+CHD	LEITEN · UMSETZEN	lched	1	lched	lched	lched	lched	1	NO
PROC103	L+CKH+E+DY	LEITEN · DURCHLASS · KURZ · SCHLUSS	lcheckhedy	1	lcheckhedy	lcheckhedy	lcheckhedy	lcheckhedy	1	NO
PROC104	OK+AL+Y	ANSETZEN · ZIELSTELLE · POSTEN	qokaly	1	qokaly	qokaly	qokaly	qokaly	1	NO
PROC105	SOLK+AIIN	SAMMELN · SOLLMASS	solkaiin	1	solkaiin	solkaiin	solkaiin	solkaiin	1	NO
PROC106	O+CTH+E+OL	ARBEITSGANG · BEREITEN · KURZ · WEITER	octheol	1	octheol	octheol	octheol	octheol	1	NO
PROC108	L+DY	LEITEN · SCHLUSS	ldy	1	ldy	ldy	ldy	ldy	1	NO
PROC109	OT+EE+Y	DANACH · LANG · POSTEN	oteey	1	oteey	oteey	oteey	oteey	1	NO
PROC110	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · POSTEN	sheckhy	1	sheckhy	sheckhy	sheckhy	sheckhy	1	NO
PROC111	SH+E+DY	HALTEN · KURZ · SCHLUSS	dshedy	1	dshedy	dshedy	dshedy	dshedy	1	NO
PROC112	OT+AIIN	DANACH · SOLLMASS	otaiin|sotaiin	2	otaiin	otaiin	sotaiin	otaiin	2	YES
PROC113	OK+AR	ANSETZEN · QUELLE	qokar	1	qokar	qokar	qokar	qokar	1	NO
PROC114	OL+SH+E+DY	WEITER · HALTEN · KURZ · SCHLUSS	solshedy	1	solshedy	solshedy	solshedy	solshedy	1	NO
PROC116	L+CH+Y	LEITEN · ENTNEHMEN · POSTEN	lchy	1	lchy	lchy	lchy	lchy	1	NO
PROC117	CTH+E+Y	BEREITEN · KURZ · POSTEN	qcthey|shcthey	2	qcthey	qcthey	qcthey	qcthey	1	NO
PROC118	L+EE+Y	LEITEN · LANG · POSTEN	lcheey	1	lcheey	lcheey	lcheey	lcheey	1	NO
PROC119	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	qokeeedy	1	qokeeedy	qokeeedy	qokeeedy	qokeeedy	1	NO
PROC120	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	lchedy	1	lchedy	lchedy	lchedy	lchedy	1	NO
PROC121	L+AR	LEITEN · QUELLE	lar	1	lar	lar	lar	lar	1	NO
PROC122	SH+E+Y	HALTEN · KURZ · POSTEN	tshey	1	tshey	tshey	tshey	tshey	1	NO
PROC123	L+CHD+AR	LEITEN · UMSETZEN · QUELLE	lchedar	1	lchedar	lchedar	lchedar	lchedar	1	NO
PROC124	CH+E+S	ENTNEHMEN · KURZ · PROBE	ches	1	ches	ches	ches	ches	1	NO
PROC125	P+CHD+DY	EINBRINGEN · UMSETZEN · SCHLUSS	pchedy	1	pchedy	pchedy	pchedy	pchedy	1	NO
PROC126	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	rsheal	1	rsheal	rsheal	rsheal	rsheal	1	NO
PROC127	AL+DY	ZIELSTELLE · SCHLUSS	daldy	1	daldy	daldy	daldy	daldy	1	NO
PROC128	R+SHED+DY	KUEHLEN · STEHENLASSEN · SCHLUSS	rshedy	1	rshedy	rshedy	rshedy	rshedy	1	NO
PROC129	OT+EE+DY	DANACH · LANG · SCHLUSS	qoteedy	1	qoteedy	qoteedy	qoteedy	qoteedy	1	NO
PROC130	L+O+CHD+DY	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	lochedy	1	lochedy	lochedy	lochedy	lochedy	1	NO
PROC131	OT+AL	DANACH · ZIELSTELLE	otal|qotal	2	otal	otal	qotal	otal	2	YES
PROC132	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	chkeedy	1	chkeedy	chkeedy	chkeedy	chkeedy	1	NO
PROC134	P+CHD+AL	EINBRINGEN · UMSETZEN · ZIELSTELLE	pchedal	1	pchedal	pchedal	pchedal	pchedal	1	NO
PROC135	OT+E+DY	DANACH · KURZ · SCHLUSS	otedy	1	otedy	otedy	otedy	otedy	1	NO
PROC136	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREITEN · UMSETZEN · POSTEN	shecthedchy	1	shecthedchy	shecthedchy	shecthedchy	shecthedchy	1	NO
PROC137	AR+Y	QUELLE · POSTEN	chary	1	chary	chary	chary	chary	1	NO
PROC138	OK+AIR	ANSETZEN · WASSER	okair	1	okair	okair	okair	okair	1	NO
PROC139	SH+EE+DY	HALTEN · LANG · SCHLUSS	sheedy	1	sheedy	sheedy	sheedy	sheedy	1	NO
PROC140	L+O	LEITEN · ARBEITSGANG	lo	1	lo	lo	lo	lo	1	NO
PROC141	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	qokshedy	1	qokshedy	qokshedy	qokshedy	qokshedy	1	NO
PROC142	SHED+AL	STEHENLASSEN · ZIELSTELLE	shedal	1	shedal	shedal	shedal	shedal	1	NO
PROC143	SH+E+CTH+Y	HALTEN · KURZ · BEREITEN · POSTEN	shecthy	1	shecthy	shecthy	shecthy	shecthy	1	NO
PROC144	AL+CHD+DY	ZIELSTELLE · UMSETZEN · SCHLUSS	dalchdy	1	dalchdy	dalchdy	dalchdy	dalchdy	1	NO
PROC145	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	otchedy|qotchedy	2	otchedy	otchedy	qotchedy	otchedy	2	YES
PROC166	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	otchdy	1	otchdy	otchdy	otchdy	otchdy	1	NO
PROC146	EE+AR	LANG · QUELLE	cheedar	1	cheedar	cheedar	cheedar	cheedar	1	NO
PROC147	L+AIIN	LEITEN · SOLLMASS	chldaiin	1	chldaiin	chldaiin	chldaiin	chldaiin	1	NO
PROC148	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	chealror	1	chealror	chealror	chealror	chealror	1	NO
PROC149	EEE+T+Y	VOLL · BEARBEITEN · POSTEN	cheeety	1	cheeety	cheeety	cheeety	cheeety	1	NO
PROC150	CHD+AIR	UMSETZEN · WASSER	schedair	1	schedair	schedair	schedair	schedair	1	NO
PROC151	CHD+AIN	UMSETZEN · PORTION	chedain	1	chedain	chedain	chedain	chedain	1	NO
PROC152	OT+E+AIIN	DANACH · KURZ · SOLLMASS	qotedaiin	1	qotedaiin	qotedaiin	qotedaiin	qotedaiin	1	NO
PROC153	OL+AL+Y	WEITER · ZIELSTELLE · POSTEN	olsaly	1	olsaly	olsaly	olsaly	olsaly	1	NO
PROC154	OL+Y	WEITER · POSTEN	qolchey	1	qolchey	qolchey	qolchey	qolchey	1	NO
PROC155	OK+Y+LD+DY	ANSETZEN · POSTEN · BEFESTIGEN · SCHLUSS	qokylddy	1	qokylddy	qokylddy	qokylddy	qokylddy	1	NO
PROC156	AIN	PORTION	dain	1	dain	dain	dain	dain	1	NO
PROC158	OK+EE+OL	ANSETZEN · LANG · WEITER	okeeol	1	okeeol	okeeol	okeeol	okeeol	1	NO
PROC159	L+K+E+DY	LEITEN · ZUGEBEN · KURZ · SCHLUSS	lkedy	1	lkedy	lkedy	lkedy	lkedy	1	NO
PROC161	O+CKH+E+Y	ARBEITSGANG · DURCHLASS · KURZ · POSTEN	qockhey	1	qockhey	qockhey	qockhey	qockhey	1	NO
PROC162	AIR+Y+DY	WASSER · POSTEN · SCHLUSS	dairydy	1	dairydy	dairydy	dairydy	dairydy	1	NO
PROC163	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	chckhal	1	chckhal	chckhal	chckhal	chckhal	1	NO
PROC164	SOLK+E+Y	SAMMELN · KURZ · POSTEN	solkey	1	solkey	solkey	solkey	solkey	1	NO
PROC165	K+AR	ZUGEBEN · QUELLE	skar	1	skar	skar	skar	skar	1	NO
PROC167	L+OL	LEITEN · WEITER	lol	1	lol	lol	lol	lol	1	NO
PROC168	CHD+AL	UMSETZEN · ZIELSTELLE	chdal	1	chdal	chdal	chdal	chdal	1	NO
PROC169	DA+IIN	ZWEI · STUFE	daiiin	1	daiiin	daiiin	daiiin	daiiin	1	NO
PROC170	SOLK+EE+Y	SAMMELN · LANG · POSTEN	solkeey	1	solkeey	solkeey	solkeey	solkeey	1	NO
PROC171	E+K+E+Y	KURZ · ZUGEBEN · KURZ · POSTEN	qekey	1	qekey	qekey	qekey	qekey	1	NO
PROC172	R+AL+Y	KUEHLEN · ZIELSTELLE · POSTEN	raly	1	raly	raly	raly	raly	1	NO
PROC173	L+AL+OR	LEITEN · ZIELSTELLE · ANSATZ	ldalor	1	ldalor	ldalor	ldalor	ldalor	1	NO
