statement_id	record_unit_id	page	event_ids	surface_sequence	atomic_sequence	event_count	productive_events	whole_card_events
B1-S014	B1	f81v	E145|E146|E147|E148|E149	chedy qolky lchedal qol otar	Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle	5	5	0
B1-S015	B1	f81v	E150|E151	ytey okchedy	Kurzteil → Rücktransfer	2	1	1
B1-S016	B1	f81v	E152|E153|E154|E155	qokal okeey qol cheedy	Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung	4	4	0
B1-S017	B1	f81v	E156|E157|E158	sal teol dchdy	Stelle → Kurzfortgang → Transfer	3	3	0
B1-S018	B1	f81v	E159|E160|E161|E162	ly dsheol oiiin olkeedy	Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung	4	3	1
B1-S019	B1	f81v	E163	tedy	Kurzabsetzung	1	1	0
B1-S020	B1	f81v	E164|E165	cheky shckhedy	Kurzwärme → durchlassen	2	2	0
B1-S021	B1	f81v	E166	chal	Stelle	1	1	0
B2-S001	B2	f82r	E167	dchedy	überführen	1	1	0
B2-S002	B2	f82r	E168	qolchedy	weiterführen	1	1	0
B2-S003	B2	f82r	E169|E170|E171	qokain dy qokeedy	Zugabe → Diesposten → Langkontakt	3	3	0
B2-S004	B2	f82r	E172|E173|E174|E175|E176	qokal lcheckhy lched qokeey lcheckhedy	Zieleinsatz → Abführpassage → Abführung → Langkontakt → Trennabzug	5	5	0
B2-S005	B2	f82r	E177|E178|E179|E180|E181|E182|E183|E184	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Zieleinsatz → Sollsammlung → durchleiten → Sollstellung → Sollstellung → Folgevorbereitung → Langwärmen → abziehen	8	8	0
B2-S006	B2	f82r	E185|E186|E187|E188	oteey qokal sheckhy qoky	Langfolge → Zieleinsatz → Kurzpassage → Einsetzen	4	4	0
B2-S007	B2	f82r	E189	dshedy	Frischspülung	1	0	1
B2-S008	B2	f82r	E190|E191|E192	sotaiin qokar shedy	Folgemaß → Quelleinsatz → Kurzabsetzung	3	3	0
B2-S009	B2	f82r	E193	solshedy	Folgeabsetzen	1	1	0
B2-S010	B2	f82r	E194|E195|E196|E197	qokeey qoky ls cheey	Langkontakt → Einsetzen → Auslass → Klarauszug	4	3	1
B2-S011	B2	f82r	E198|E199|E200|E201	okain char okain qokeedy	Zugabe → Quelle → Zugabe → Langkontakt	4	4	0
B2-S012	B2	f82r	E202|E203|E204|E205|E206|E207|E208|E209	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Abführgut → Klarauszug → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → Diesposten → Volleinsatz	8	7	1
B2-S013	B2	f82r	E210	lchedy	abführen	1	1	0
B2-S014	B2	f82r	E211	lar	Quellabzug	1	1	0
B2-S015	B2	f82r	E212|E213	tshey qokeedy	Folgeklarlauf → Langkontakt	2	2	0
B2-S016	B2	f82r	E214|E215|E216|E217|E218|E219|E220|E221	cheal lchedar ches aiin oteey qokaiin okey pchedy	Stelle → Quellabführung → teilen → Sollmaß → Langfolge → Sollstellung → Kurzkontakt → Zuführung	8	7	1
B2-S017	B2	f82r	E222|E223	rsheal daldy	Zielkurzhalt → Zielschluss	2	2	0
B2-S018	B2	f82r	E224	qokeedy	Langkontakt	1	1	0
B2-S019	B2	f82r	E225	rshedy	Vollwaschung	1	0	1
B2-S020	B2	f82r	E226	qoteedy	Langfolgestufe	1	1	0
B2-S021	B2	f82r	E227	qokeedy	Langkontakt	1	1	0
B2-S022	B2	f82r	E228	lochedy	Abführung	1	1	0
B3-S001	B3	f83r	E229	olkeedy	Langsammlung	1	1	0
B3-S002	B3	f83r	E230|E231	qotal chkeedy	Folgeziel → Langwärmen	2	2	0
B3-S003	B3	f83r	E232|E233|E234|E235	chey daiin chey lchedy	Diesposten → Sollmaß → Diesposten → abführen	4	4	0
B3-S004	B3	f83r	E236|E237|E238	qokaiin qotal dar	Sollstellung → Folgeziel → Quelle	3	3	0
B3-S005	B3	f83r	E239	schedy	überführen	1	1	0
B3-S006	B3	f83r	E240|E241|E242	chedchy qokal olchedy	Postentransfer → Zieleinsatz → weiterführen	3	3	0
B3-S007	B3	f83r	E243|E244|E245	qokaiin chedy qokeedy	Sollstellung → Umsetzen → Langkontakt	3	3	0
B3-S008	B3	f83r	E246	lchedy	abführen	1	1	0
B3-S009	B3	f83r	E247	qoky	Einsetzen	1	1	0
B3-S010	B3	f83r	E248|E249	pchedal otedy	Zielzuführung → Kurzfolge	2	2	0
B3-S011	B3	f83r	E250|E251|E252|E253	shecthedchy qoky chedy chary	Vorbereitungstransfer → Einsetzen → Umsetzen → Quellposten	4	4	0
B3-S012	B3	f83r	E254|E255	sor shedy	Ansatz → Kurzabsetzung	2	2	0
B3-S013	B3	f83r	E256|E257|E258|E259	qokaiin chkain shcthey qokedy	Sollstellung → Portion → Kurzvorbereitung → Kurzkontakt	4	4	0
B3-S014	B3	f83r	E260|E261	okair sheedy	Laufeinsatz → Langabsetzen	2	2	0
B3-S015	B3	f83r	E262	lchedy	abführen	1	1	0
B3-S016	B3	f83r	E263|E264	lo qokchedy	Abzug → Rücktransfer	2	2	0
B3-S017	B3	f83r	E265	qokeedy	Langkontakt	1	1	0
B3-S018	B3	f83r	E266	shedy	Kurzabsetzung	1	1	0
B3-S019	B3	f83r	E267	qokshedy	Einsatzabsetzen	1	1	0
B3-S020	B3	f83r	E268|E269	dal lchedy	Stelle → abführen	2	2	0
B3-S021	B3	f83r	E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	Sollstellung → Bereit → Stelle → Diesposten → Sollmaß → Zielabsetzung → Kurzvorbereitung → Diesposten → Stelle → Bereit → Zieltransfer	11	11	0
B3-S022	B3	f83r	E281	qotchedy	Folgetransfer	1	1	0
B3-S023	B3	f83r	E282	lchedy	abführen	1	1	0
B3-S024	B3	f83r	E283	tchedy	überführen	1	1	0
B3-S025	B3	f83r	E284	qokchdy	Neueinsatz	1	1	0
B3-S026	B3	f83r	E285|E286|E287|E288|E289|E290|E291	cheedar chldaiin chedy qokain checthy chealror solkeedy	Quelltransfer → Sollabsetzung → Umsetzen → Zugabe → Bereit → Zielbereitung → Langsammlung	7	7	0
B3-S027	B3	f83r	E292	qoteedy	Langfolgestufe	1	1	0
B3-S028	B3	f83r	E293|E294	qokeey qokedy	Langkontakt → Kurzkontakt	2	2	0
B3-S029	B3	f83r	E295|E296|E297	sol cheeety qokedy	Fortsetzung → Vollteil → Kurzkontakt	3	3	0
B3-S030	B3	f83r	E298|E299|E300|E301	qoky saiin schedair otchedy	Einsetzen → Sollmaß → Weiterlauf → Folgetransfer	4	4	0
B3-S031	B3	f83r	E302	qokeedy	Langkontakt	1	1	0
B3-S032	B3	f83r	E303|E304|E305|E306|E307	chedain chedy qotedaiin otaiin otedy	Anteilstransfer → Umsetzen → Kurzsoll → Folgemaß → Kurzfolge	5	5	0
B3-S033	B3	f83r	E308	ldy	abziehen	1	1	0
B3-S034	B3	f83r	E309|E310|E311|E312|E313|E314	soiiin checthy chety otaiin olsaly shedy	Arbeitsstufe → Bereit → Zerkleinern → Folgemaß → Zwischenziel → Kurzabsetzung	6	6	0
B4-S001	B4	f83r	E315	qokeedy	Langkontakt	1	1	0
B4-S002	B4	f83r	E316|E317|E318	qolchey qokeey qokedy	Weiterposten → Langkontakt → Kurzkontakt	3	3	0
B4-S003	B4	f83r	E319|E320|E321|E322|E323|E324|E325	chedy otal otchey qokeey qoky tol shedy	Umsetzen → Folgeziel → Folgeposten → Langkontakt → Einsetzen → Fortsetzung → Kurzabsetzung	7	7	0
B4-S004	B4	f83r	E326	qokylddy	befestigen	1	0	1
B4-S005	B4	f83r	E327|E328|E329	dain chedy qokeedy	Einlage → Umsetzen → Langkontakt	3	2	1
B4-S006	B4	f83r	E330	shckhedy	durchlassen	1	1	0
B4-S007	B4	f83r	E331	shckhedy	durchlassen	1	1	0
B4-S008	B4	f83r	E332|E333|E334|E335	saiin cheeky sheey qokedy	Sollmaß → Langwärme → Langhalt → Kurzkontakt	4	4	0
B4-S009	B4	f83r	E336	shedy	Kurzabsetzung	1	1	0
B4-S010	B4	f83r	E337	oldy	Fortschluss	1	1	0
B4-S011	B4	f83r	E338|E339|E340|E341|E342|E343|E344	saiin cheky okeeol okain chdy sol lkedy	Sollmaß → Kurzwärme → Langfortsetzung → Zugabe → Umsetzen → Fortsetzung → Weiterabzug	7	6	1
B4-S012	B4	f83r	E345	lchedy	abführen	1	1	0
B4-S013	B4	f83r	E346|E347	qokol shedy	Wiedereinsatz → Kurzabsetzung	2	2	0
B4-S014	B4	f83r	E348|E349|E350|E351	or chey qockhey dairydy	Ansatz → Diesposten → Kurzdurchgang → Laufschluss	4	4	0
B4-S015	B4	f83r	E352|E353|E354|E355|E356|E357	qokain shey kain chckhal solkey lchedy	Zugabe → Klarauszug → Portion → Zielpassage → Kurzsammlung → abführen	6	5	1
B4-S016	B4	f83r	E358|E359|E360|E361	qolkain dal skar shedy	Folgeportion → Stelle → Quellausguss → Kurzabsetzung	4	4	0
B5-S001	B5	f83r	E362	otchdy	Nachtransfer	1	1	0
B5-S002	B5	f83r	E363	qokchdy	Neueinsatz	1	1	0
B5-S003	B5	f83r	E364|E365|E366|E367|E368|E369|E370|E371|E372	shedal dal cheol lol chdal aiin sol daiiin chedy	Zielabsetzung → Stelle → Fortsetzung → Weiterabzug → Zieltransfer → Sollmaß → Fortsetzung → Endstufe → Umsetzen	9	9	0
B6-S001	B6	f83r	E373|E374|E375|E376|E377|E378|E379|E380|E381	solkeey qekey raly ol daiin ol dain chey ldalor	Langsammlung → Kurzbearbeitung → Endposten → Fortsetzung → Sollmaß → Fortsetzung → Einlage → Diesposten → Endziel	9	7	2
