guard_ordinal	primary_governor_key	source_event_or_card_id	statement_or_record_id	physical_page	gdt584_rule_id	written_root_sequence	complete_host_values_written	body_blockers_present	historical_y_lemma_sequence	portable_y_lemma_sequence	historical_route	portable_exact	clean_bath_body_fork	exploratory_bath_default_de	retained_bath_alternative_de	guard	gdt590_y_lemma_sequence	gdt590_body_station_route	gdt590_changed	gdt590_retained_alternative_de	gdt590_guard
11	ACTION:G407-E1480@1:CHD	G407-E1480	G407-S090	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
12	ACTION:G407-E1484@1:CHD	G407-E1484	G407-S090	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
13	ACTION:G407-E1486@1:S	G407-E1486	G407-S090	f75r	S_REST_SELECT	OR+Y	S|OR|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
14	ACTION:G407-E1495@3:T	G407-E1495	G407-S094	f75r	T_BIO_STATION_REGULATE	Y	T|Y|L|O	L|O	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
15	ACTION:G407-E1505@1:CHD	G407-E1505	G407-S096	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
16	ACTION:G407-E1506@1:SH	G407-E1506	G407-S096	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
17	ACTION:G407-E1526@1:SH	G407-E1526	G407-S101	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
18	ACTION:G407-E1529@1:SH	G407-E1529	G407-S101	f75r	SH_BIO_BATHE	Y	SH|EE|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
19	ACTION:G407-E1530@1:SH	G407-E1530	G407-S101	f75r	SH_BIO_BATHE	Y+Y	SH|E|Y|Y	NONE	Körper|Körper	Körper|Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper|Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
20	ACTION:G407-E1544@3:SH	G407-E1544	G407-S109	f75r	SH_BIO_BATHE	Y	SH|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
21	ACTION:G407-E1557@1:CHD	G407-E1557	G407-S110	f75r	CHD_BIO_TREAT	Y+OR	CHD|Y|OR	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
22	ACTION:G407-E1571@1:CHD	G407-E1571	G407-S115	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
23	ACTION:G407-E1574@2:SH	G407-E1574	G407-S115	f75r	SH_BIO_BATHE	Y	L|SH|E|D_ADDR|AR|Y|AL	AL|AR|D_ADDR|L	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
24	ACTION:G407-E1576@1:SH	G407-E1576	G407-S115	f75r	SH_BIO_BATHE	Y	SH|AL|Y	AL	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
25	ACTION:G407-E1588@1:S	G407-E1588	G407-S118	f75r	S_BIO_DIVERT	Y	S|AR|Y	AR	Strom	Strom	FLOW	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Strom	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
26	ACTION:G407-E1592@1:SH	G407-E1592	G407-S119	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
27	ACTION:G407-E1594@1:SH	G407-E1594	G407-S119	f75r	SH_BIO_BATHE	Y+Y	SH|E|Y|E|Y	NONE	Körper|Körper	Körper|Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper|Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
28	ACTION:G407-E1599@1:SH	G407-E1599	G407-S119	f75r	SH_BIO_BATHE	Y+OR+Y+Y+Y+AIN	SH|E|Y|OR|Y|L|Y|L|O|Y|AIN	L|O	Stationsansatz|Stationsansatz|Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz|Stationsansatz|Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz|Stationsansatz|Stationsansatz|Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
29	ACTION:G407-E1605@1:SH	G407-E1605	G407-S119	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
30	ACTION:G407-E1611@2:SH	G407-E1611	G407-S119	f75r	SH_BIO_BATHE	Y+OR+OR	Y|SH|E|OR|L|OR|O|D_ADDR|AR	AR|D_ADDR|L|O	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
31	ACTION:G407-E1616@1:SH	G407-E1616	G407-S119	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
32	ACTION:G407-E1618@1:CHD	G407-E1618	G407-S119	f75r	CHD_BIO_TREAT	Y+OR	CHD|Y|OR	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
33	ACTION:G407-E1620@1:SH	G407-E1620	G407-S119	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
34	ACTION:G407-E1622@1:CHD	G407-E1622	G407-S119	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
35	ACTION:G407-E1625@2:SH	G407-E1625	G407-S119	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
36	ACTION:G407-E1628@2:SH	G407-E1628	G407-S119	f75r	SH_BIO_BATHE	Y	SH|E|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
37	ACTION:G407-E1630@1:CHD	G407-E1630	G407-S119	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
38	ACTION:G407-E1635@2:T	G407-E1635	G407-S119	f75r	T_BIO_STATION_REGULATE	Y+OR	T|Y|L|OR	L	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
39	ACTION:G407-E1648@1:SH	G407-E1648	G407-S122	f75r	SH_BIO_BATHE	AIN+Y+Y	SH|AIN|Y|D_ADDR|AR|A_ADDR|Y	AR|A_ADDR|D_ADDR	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz|Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
40	ACTION:G407-E1655@2:T	G407-E1655	G407-S122	f75r	T_AFTER_SH_COOL	Y	T|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
41	ACTION:G407-E1665@2:CHD	G407-E1665	G407-S125	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
42	ACTION:G407-E1670@4:T	G407-E1670	G407-S126	f75r	T_BIO_STATION_REGULATE	Y	T|Y|L	L	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
43	ACTION:G407-E1686@1:CHD	G407-E1686	G407-S130	f75r	CHD_BIO_TREAT	Y+AIN	CHD|Y|AIN	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
44	ACTION:G407-E1696@1:CHD	G407-E1696	G407-S130	f75r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
45	ACTION:G407-E1711@3:SH	G407-E1711	G407-S135	f75r	SH_BIO_BATHE	Y	SH|Y|AL	AL	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
46	ACTION:G407-E1726@1:CHD	G407-E1726	G407-S141	f75r	CHD_BIO_TREAT	Y	L|CHD|Y	L	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
47	ACTION:G407-E1742@3:T	G407-E1742	G407-S145	f75r	T_AFTER_SH_COOL	Y	T|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
48	ACTION:G407-E1758@1:SH	G407-E1758	G407-S151	f75r	SH_BIO_BATHE	Y	Y|SH|EE	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
49	ACTION:G407-E1758@3:T	G407-E1758	G407-S151	f75r	T_AFTER_SH_COOL	Y	T|Y	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
50	ACTION:G407-E1769@2:SH	G407-E1769	G407-S160	f75r	SH_BIO_BATHE	Y	Y|SH|E	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
51	ACTION:G407-E1789@1:SH	G407-E1789	G407-S173	f75r	SH_BIO_BATHE	Y	Y|SH|E	NONE	Körper	Körper	BODY	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Körper	CLEAN_BATH_Y_WITH_OPTIONAL_FILL	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
52	ACTION:G407-E1795@2:SH	G407-E1795	G407-S177	f75r	SH_BIO_BATHE	OR+Y	D_ADDR|OR|Y|SH|E	D_ADDR	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
53	ACTION:G407-E1802@2:CHD	G407-E1802	G407-S180	f75r	CHD_BIO_TREAT	Y	D_ADDR|CHD|Y	D_ADDR	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
54	ACTION:G407-E1818@1:S	G407-E1818	G407-S186	f75r	S_BIO_DIVERT	Y	S|AR|Y	AR	Strom	Strom	FLOW	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Strom	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
55	ACTION:G407-E1831@1:CHD	G407-E1831	G407-S192	f75r	CHD_BIO_TREAT	Y+OR	CHD|Y|OR	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
56	ACTION:G407-E1835@3:SH	G407-E1835	G407-S193	f76r	SH_REST_HOLD	Y	SH|D_ADDR|Y	D_ADDR	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
57	ACTION:G407-E1839@3:SH	G407-E1839	G407-S193	f76r	SH_REST_HOLD	Y	SH|E|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
58	ACTION:G407-E1840@4:SH	G407-E1840	G407-S193	f76r	SH_REST_HOLD	Y	SH|D_ADDR|Y	D_ADDR	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
59	ACTION:G407-E1841@3:CHD	G407-E1841	G407-S193	f76r	CHD_BIO_TREAT	Y	CHD|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
60	ACTION:G407-E1843@2:S	G407-E1843	G407-S193	f76r	S_REST_SELECT	Y	A_ADDR|S|Y	A_ADDR	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
61	ACTION:G407-E1857@2:SH	G407-E1857	G407-S195	f76r	SH_REST_HOLD	Y+Y	Y|SH|E|Y	NONE	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz|Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
62	ACTION:G407-E1865@1:SH	G407-E1865	G407-S198	f76r	SH_REST_HOLD	Y	SH|Y	NONE	Stationsansatz	Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
63	ACTION:G407-E1868@1:CHD	G407-E1868	G407-S198	f76r	CHD_BIO_TREAT	Y+AIIN+Y	CHD|Y|AIIN|Y	NONE	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	STATION	YES	NO	NOT_APPLICABLE	NOT_APPLICABLE	FULL_HOST_BLOCKERS_RETAINED__CLEAN_BATH_FORK_VISIBLE	Stationsansatz|Stationsansatz	GDT589_RETAINED	NO	NOT_APPLICABLE	GDT589_GUARD_RETAINED
