analogy_ordinal	primary_governor_key	source_event_id	statement_id	physical_page	locus	surface	component_recipe	written_root_sequence	body_blockers_present	gdt589_y_lemma_sequence	gdt590_y_lemma_sequence	analogy_class	gdt590_changed	guard
44	ACTION:G407-E2704@2:SH	G407-E2704	G407-S392	f77r	f77r.47	ysheey	Y+SH+EE+Y	Y+Y	AL	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
45	ACTION:G407-E2719@3:SH	G407-E2719	G407-S396	f81r	f81r.1	ofshdy	O+LOCAL_CHAR_F+SH+D_ADDR+Y	Y+Y	D_ADDR|LOCAL_CHAR_F|O	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
46	ACTION:G407-E2778@1:SH	G407-E2778	G407-S401	f81r	f81r.10	cheey	SH+EE+Y	Y+AIN+Y	L	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
47	ACTION:G407-E2817@1:SH	G407-E2817	G407-S416	f81r	f81r.17	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
48	ACTION:G407-E2843@2:SH	G407-E2843	G407-S425	f81r	f81r.21	olshey	OL+SH+E+Y	Y+Y	AL|L	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
49	ACTION:G407-E2912@3:SH	G407-E2912	G407-S436	f81r	f81r.30	olkshdy	OL+K+SH+D_ADDR+Y	Y	D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
50	ACTION:G407-E2925@1:SH	G407-E2925	G407-S441	f81v	f81v.1	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
51	ACTION:G407-E3012@3:SH	G407-E3012	G407-S455	f81v	f81v.10	polshy	P+OL+SH+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
52	ACTION:G407-E3013@2:SH	G407-E3013	G407-S455	f81v	f81v.10	ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	Y	A_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
53	ACTION:G407-E3020@2:SH	G407-E3020	G407-S458	f81v	f81v.11	yshey	Y+SH+E+Y	Y+Y	AIR|A_ADDR|D_ADDR	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
54	ACTION:G407-E3030@2:SH	G407-E3030	G407-S458	f81v	f81v.11	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	Y	D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
55	ACTION:G407-E3040@4:SH	G407-E3040	G407-S462	f81v	f81v.13	ykeshey	Y+K+E+SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
56	ACTION:G407-E3060@1:SH	G407-E3060	G407-S468	f81v	f81v.15	sheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
57	ACTION:G407-E3071@2:SH	G407-E3071	G407-S469	f81v	f81v.16	rshdy	R+SH+D_ADDR+Y	Y	D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
58	ACTION:G407-E3125@1:SH	G407-E3125	G407-S484	f81v	f81v.22	cheey	SH+EE+Y	Y	AL	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
59	ACTION:G407-E3149@2:SH	G407-E3149	G407-S488	f81v	f81v.25	oshedy	O+SH+E+Y	Y+Y	L|O	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
60	ACTION:G407-E3154@1:SH	G407-E3154	G407-S489	f81v	f81v.25	shchey	SH+Y	Y+Y	NONE	Körper|Körper	Körper|Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
61	ACTION:G407-E3166@1:SH	G407-E3166	G407-S490	f81v	f81v.26	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
62	ACTION:G407-E3177@3:SH	G407-E3177	G407-S495	f82r	f82r.1	qosheedy	CARRIER_Q+O+SH+EE+D_ADDR+Y	Y	CARRIER_Q|D_ADDR|O	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
63	ACTION:G407-E3182@1:SH	G407-E3182	G407-S495	f82r	f82r.1	cheey	SH+EE+Y	Y+AIIN	NONE	Stationsansatz	Körper	CLEAN_Y_PLUS_FILL_BODY_GDT590	YES	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
64	ACTION:G407-E3184@1:SH	G407-E3184	G407-S495	f82r	f82r.1	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
65	ACTION:G407-E3232@1:SH	G407-E3232	G407-S505	f82r	f82r.7	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
66	ACTION:G407-E3238@1:SH	G407-E3238	G407-S507	f82r	f82r.8	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
67	ACTION:G407-E3270@1:SH	G407-E3270	G407-S513	f82r	f82r.13	cheey	SH+EE+Y	Y+Y	L	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
68	ACTION:G407-E3295@1:SH	G407-E3295	G407-S521	f82r	f82r.16	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
69	ACTION:G407-E3329@6:SH	G407-E3329	G407-S527	f82r	f82r.20	posalshy	P+O+S+A_ADDR+L+SH+Y	Y	L	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
70	ACTION:G407-E3341@4:SH	G407-E3341	G407-S531	f82r	f82r.21	salshey	S+A_ADDR+L+SH+E+Y	Y+AIIN+Y	L	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
71	ACTION:G407-E3350@1:SH	G407-E3350	G407-S531	f82r	f82r.22	sheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
72	ACTION:G407-E3357@1:SH	G407-E3357	G407-S531	f82r	f82r.23	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
73	ACTION:G407-E3384@1:SH	G407-E3384	G407-S538	f82r	f82r.25	sheey	SH+EE+Y	Y	AR|L	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
74	ACTION:G407-E3386@1:SH	G407-E3386	G407-S538	f82r	f82r.26	tshey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
75	ACTION:G407-E3413@1:SH	G407-E3413	G407-S548	f82r	f82r.29	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
76	ACTION:G407-E3433@2:SH	G407-E3433	G407-S555	f82r	f82r.31	rsheedy	R+SH+EE+D_ADDR+Y	Y	D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
77	ACTION:G407-E3445@1:SH	G407-E3445	G407-S556	f82r	f82r.32	sheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
78	ACTION:G407-E3463@1:SH	G407-E3463	G407-S559	f83r	f83r.2	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
79	ACTION:G407-E3467@1:SH	G407-E3467	G407-S559	f83r	f83r.2	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
80	ACTION:G407-E3512@2:SH	G407-E3512	G407-S572	f83r	f83r.7	lsheedy	L+SH+EE+D_ADDR+Y	Y+Y	CARRIER_Q|D_ADDR|L	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
81	ACTION:G407-E3517@2:SH	G407-E3517	G407-S572	f83r	f83r.7	rsheedy	R+SH+EE+D_ADDR+Y	Y	D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
82	ACTION:G407-E3530@2:SH	G407-E3530	G407-S578	f83r	f83r.9	lsheedy	L+SH+EE+D_ADDR+Y	Y	D_ADDR|L	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
83	ACTION:G407-E3534@4:SH	G407-E3534	G407-S579	f83r	f83r.9	qopshdy	CARRIER_Q+O+P+SH+D_ADDR+Y	Y	D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
84	ACTION:G407-E3611@4:SH	G407-E3611	G407-S597	f83r	f83r.18	pdalshdy	P+DA+L+SH+D_ADDR+Y	Y	D_ADDR|L	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
85	ACTION:G407-E3615@3:SH	G407-E3615	G407-S599	f83r	f83r.18	opshedy	O+P+SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
86	ACTION:G407-E3616@2:SH	G407-E3616	G407-S599	f83r	f83r.18	otshdy	OT+SH+D_ADDR+Y	Y	D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
87	ACTION:G407-E3618@1:SH	G407-E3618	G407-S599	f83r	f83r.18	shdy	SH+D_ADDR+Y	Y	D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
88	ACTION:G407-E3629@1:SH	G407-E3629	G407-S601	f83r	f83r.19	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
89	ACTION:G407-E3693@1:SH	G407-E3693	G407-S624	f83r	f83r.28	sheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
90	ACTION:G407-E3698@1:SH	G407-E3698	G407-S627	f83r	f83r.29	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
91	ACTION:G407-E3733@1:SH	G407-E3733	G407-S636	f83r	f83r.36	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
92	ACTION:G407-E3746@1:SH	G407-E3746	G407-S641	f83r	f83r.39	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
