visible_insert	visible_position	atom_insert	atom_position	support_pair_count	visible_condition_total	visible_condition_option_count	conditional_probability	reliability	examples
ch	INNER	NULL	NULL	22	67	6	0.321428571	0.916666667	ky>kchy | qoty>qotchy | qoky>qokchy | qokol>qokchol | yty>ytchy | kol>kchol | dol>dchol | tol>tchol
ch	INNER	CH	INNER	38	67	6	0.550000000	0.950000000	otol>otchol | tey>tchey | dar>dchar | chtor>chtchor | qotol>qotchol | kaiin>kchaiin | qotor>qotchor | ykor>ykchor
ch	INNER	CH	LEFT	1	67	6	0.021428571	0.333333333	chs>chchs
ch	INNER	CHD	INNER	3	67	6	0.050000000	0.600000000	daldy>dalchdy | qokedy>qokechdy | oldy>olchdy
ch	INNER	D_ADDR	LEFT	1	67	6	0.021428571	0.333333333	dy>dchy
ch	INNER	D_ADDR+CH	LEFT	2	67	6	0.035714286	0.500000000	daiin>dchaiin | dal>dchal
ch	LEFT	NULL	NULL	29	88	5	0.325966851	0.935483871	y>chy | ol>chol | ar>char | ok>chok | olor>cholor | ckhy>chckhy | oky>choky | ckho>chckho
ch	LEFT	CH	INNER	12	88	5	0.138121547	0.857142857	cthy>chcthy | ykchy>chykchy | okchy>chokchy | cphy>chcphy | cth>chcth | chs>chchs | cphedy>chcphedy | ckhey>chckhey
ch	LEFT	CH	LEFT	44	88	5	0.491712707	0.956521739	taiin>chtaiin | or>chor | odain>chodain | al>chal | odaiin>chodaiin | oty>choty | otey>chotey | air>chair
ch	LEFT	CH+E	INNER	1	88	5	0.016574586	0.333333333	okchey>chokchey
ch	LEFT	CHD	LEFT	2	88	5	0.027624309	0.500000000	dy>chdy | dal>chdal
ch	RIGHT	CH	RIGHT	1	1	1	1.000000000	0.333333333	l>lch
cha	LEFT	CH+A_ADDR	LEFT	1	1	1	1.000000000	0.333333333	s>chas
chd	INNER	CHD	INNER	8	8	1	1.000000000	0.800000000	ky>kchdy | koly>kolchdy | ly>lchdy | yky>ykchdy | qofaiin>qofchdaiin | yty>ytchdy | olky>olkchdy | taiin>tchdaiin
chd	LEFT	CHD	LEFT	6	6	1	1.000000000	0.750000000	y>chdy | am>chdam | ol>chdol | al>chdal | yty>chdyty | ykain>chdykain
chd	RIGHT	CHD	RIGHT	3	3	1	1.000000000	0.600000000	ok>okchd | tol>tolchd | t>tchd
che	INNER	NULL	NULL	6	28	7	0.206349206	0.750000000	oky>okchey | oly>olchey | oty>otchey | ory>orchey | ly>lchey | qoly>qolchey
che	INNER	CH	INNER	1	28	7	0.047619048	0.333333333	ykchy>ychekchy
che	INNER	CH+E	INNER	11	28	7	0.365079365	0.846153846	do>dcheo | choky>chokchey | choty>chotchey | ky>kchey | yky>ykchey | qokaly>qokalchey | lar>lchear | ry>rchey
che	INNER	CH+E	LEFT	1	28	7	0.047619048	0.333333333	dy>dchey
che	INNER	CHD	INNER	7	28	7	0.238095238	0.777777778	otody>otochedy | oldy>olchedy | ldy>lchedy | qoldy>qolchedy | daldy>dalchedy | qokedy>qokechedy | qoty>qotchey
che	INNER	S+CH+E	LEFT	1	28	7	0.047619048	0.333333333	sy>schey
che	INNER	SH	LEFT	1	28	7	0.047619048	0.333333333	shy>shchey
che	LEFT	NULL	NULL	5	38	6	0.134146341	0.714285714	y>chey | cthy>checthy | alor>chealor | aly>chealy | al>cheal
che	LEFT	CH	LEFT	9	38	6	0.231707317	0.818181818	kain>chekain | keol>chekeol | kaiin>chekaiin | kar>chekar | keedy>chekeedy | kam>chekam | kair>chekair | kal>chekal
che	LEFT	CH+E	LEFT	14	38	6	0.353658537	0.875000000	ar>chear | tey>chetey | o>cheo | s>ches | ckhy>checkhy | ckhey>checkhey | ckho>checkho | pol>chepol
che	LEFT	CHD	LEFT	4	38	6	0.109756098	0.666666667	dy>chedy | daiin>chedaiin | dal>chedal | dain>chedain
che	LEFT	E	INNER	2	38	6	0.060975610	0.500000000	olor>cheolor | okor>cheokor
che	LEFT	E+CH	INNER	4	38	6	0.109756098	0.666666667	ckhy>checkhy | ckhey>checkhey | ckho>checkho | cphedy>checphedy
chg	RIGHT	CH+LOCAL_CHAR_G	RIGHT	1	1	1	1.000000000	0.333333333	d>dchg
chk	INNER	CH+K	LEFT	1	1	1	1.000000000	0.333333333	chy>chchky
chk	LEFT	CH+K	LEFT	7	7	1	1.000000000	0.777777778	or>chkor | al>chkal | ar>chkar | eedy>chkeedy | y>chky | ain>chkain | aiin>chkaiin
chl	LEFT	L	LEFT	2	2	1	1.000000000	0.500000000	ol>chlol | daiin>chldaiin
chl	RIGHT	CH+L	RIGHT	3	4	2	0.700000000	0.600000000	ot>otchl | dol>dolchl | l>lchl
chl	RIGHT	L+CH	LEFT	1	4	2	0.300000000	0.333333333	l>lchl
cho	INNER	CH+O	INNER	3	6	4	0.437500000	0.600000000	oky>okchoy | kar>kchoar | okal>okchoal
cho	INNER	HO	LEFT	1	6	4	0.187500000	0.333333333	chor>chochor
cho	INNER	O	LEFT	1	6	4	0.187500000	0.333333333	ol>ochol
cho	INNER	O+CH	INNER	1	6	4	0.187500000	0.333333333	tol>tochol
cho	LEFT	CH+O	LEFT	7	20	4	0.340909091	0.777777778	cthy>chocthy | pchal>chopchal | s>chos | cfhy>chocfhy | d>chod | cthar>chocthar | cthey>chocthey
cho	LEFT	CH+O+D_ADDR	LEFT	4	20	4	0.204545455	0.666666667	dain>chodain | daiin>chodaiin | dl>chodl | dy>chody
cho	LEFT	HO	LEFT	5	20	4	0.250000000	0.714285714	g>chog | y>choy | chor>chochor | daly>chodaly | ckhy>chockhy
cho	LEFT	O+CH	INNER	4	20	4	0.204545455	0.666666667	cthy>chocthy | cfhy>chocfhy | cthar>chocthar | cthey>chocthey
cho	RIGHT	CH+O	RIGHT	4	4	1	1.000000000	0.666666667	y>ycho | t>tcho | ok>okcho | l>lcho
chp	INNER	CH+P	INNER	1	1	1	1.000000000	0.333333333	lchdy>lchpchdy
chp	LEFT	CH+P	LEFT	2	3	2	0.625000000	0.500000000	or>chpor | sheedy>chpsheedy
chp	LEFT	CH+P+CH	LEFT	1	3	2	0.375000000	0.333333333	chy>chpchy
chr	RIGHT	CH+R	RIGHT	1	1	1	1.000000000	0.333333333	ot>otchr
chs	RIGHT	CH+S	RIGHT	3	3	1	1.000000000	0.600000000	ch>chchs | l>lchs | r>rchs
cht	LEFT	CH+T	LEFT	5	6	2	0.785714286	0.714285714	aiin>chtaiin | or>chtor | y>chty | chor>chtchor | al>chtal
cht	LEFT	T+CH	INNER	1	6	2	0.214285714	0.333333333	chor>chtchor
chy	LEFT	CH+Y	LEFT	1	1	1	1.000000000	0.333333333	key>chykey
chy	RIGHT	CH+Y	RIGHT	12	23	4	0.500000000	0.857142857	chor>chorchy | yky>ykychy | ot>otchy | chok>chokchy | kor>korchy | opar>oparchy | qokeo>qokeochy | shok>shokchy
chy	RIGHT	Y	LEFT	1	23	4	0.060000000	0.333333333	y>ychy
chy	RIGHT	Y	RIGHT	9	23	4	0.380000000	0.818181818	k>kchy | t>tchy | qot>qotchy | d>dchy | yt>ytchy | ok>okchy | y>ychy | qo>qochy
chy	RIGHT	Y+CH	INNER	1	23	4	0.060000000	0.333333333	yky>ykychy
ckh	INNER	CH+K	INNER	12	15	3	0.757575758	0.857142857	shey>shckhey | dshey>dsheckhy | sshey>ssheckhy | shey>sheckhy | sheal>sheckhal | shedy>shckhedy | lchey>lcheckhy | cheo>checkho
ckh	INNER	CH+K	LEFT	2	15	3	0.151515152	0.500000000	chy>chckhy | chol>chckhol
ckh	INNER	SH+CH+K	LEFT	1	15	3	0.090909091	0.333333333	shy>shckhy
ckh	LEFT	CH+K	LEFT	8	8	1	1.000000000	0.800000000	ar>ckhar | ey>ckhey | y>ckhy | ody>ckhody | ol>ckhol | or>ckhor | al>ckhal | o>ckho
ckh	RIGHT	K	RIGHT	1	1	1	1.000000000	0.333333333	ch>chckh
cph	INNER	CH+CH+P	LEFT	1	3	2	0.375000000	0.333333333	chy>chcphy
cph	INNER	CH+P	INNER	2	3	2	0.625000000	0.500000000	shey>shecphy | cheoy>cheocphy
cph	LEFT	CH+P	LEFT	7	7	1	1.000000000	0.777777778	ar>cphar | ey>cphey | y>cphy | o>cpho | or>cphor | ol>cphol | al>cphal
cth	INNER	CH+CH+T	LEFT	2	11	5	0.185185185	0.500000000	chy>chcthy | chol>chcthol
cth	INNER	CH+T	INNER	5	11	5	0.407407407	0.714285714	shaiin>shcthaiin | shoy>shocthy | shey>shecthy | shey>shcthey | qoy>qocthy
cth	INNER	CH+T	LEFT	2	11	5	0.185185185	0.500000000	chey>checthy | qey>qcthey
cth	INNER	SH+CH+T	LEFT	1	11	5	0.111111111	0.333333333	shy>shcthy
cth	INNER	T	INNER	1	11	5	0.111111111	0.333333333	chal>chcthal
cth	LEFT	CH+T	LEFT	11	11	1	1.000000000	0.846153846	ar>cthar | es>cthes | aiin>cthaiin | ey>cthey | y>cthy | ols>cthols | al>cthal | ol>cthol
cth	RIGHT	CH+T	RIGHT	1	1	1	1.000000000	0.333333333	ch>chcth
d	INNER	NULL	NULL	16	56	5	0.282051282	0.888888889	olain>oldain | cheoy>cheody | chealy>chealdy | chcphy>chcphdy | qokaly>qokaldy | sheal>shedal | laiin>ldaiin | opshey>opshedy
d	INNER	CHD	INNER	5	56	5	0.094017094	0.714285714	kchy>kchdy | opchy>opchdy | ychey>ychedy | ykchy>ykchdy | ytchy>ytchdy
d	INNER	CHD	LEFT	5	56	5	0.094017094	0.714285714	chy>chdy | chey>chedy | cheal>chedal | cheyl>chedyl | chol>chdol
d	INNER	D_ADDR	INNER	29	56	5	0.504273504	0.935483871	oaiin>odaiin | koshey>kodshey | kchy>kdchy | qoor>qodor | qochy>qodchy | yar>ydar | qoar>qodar | qocthy>qodcthy
d	INNER	SH+D_ADDR	LEFT	1	56	5	0.025641026	0.333333333	shy>shdy
d	LEFT	NULL	NULL	12	47	5	0.252525253	0.857142857	aiin>daiin | ain>dain | al>dal | y>dy | oldy>doldy | alchdy>dalchdy | shedy>dshedy | aly>daly
d	LEFT	CH+E	LEFT	1	47	5	0.030303030	0.333333333	chey>dchey
d	LEFT	DA	LEFT	1	47	5	0.030303030	0.333333333	am>dam
d	LEFT	D_ADDR	LEFT	32	47	5	0.656565657	0.941176471	araiin>daraiin | ar>dar | cheo>dcheo | chaiin>dchaiin | chy>dchy | air>dair | or>dor | chol>dchol
d	LEFT	D_ADDR+CH	LEFT	1	47	5	0.030303030	0.333333333	char>dchar
d	RIGHT	NULL	NULL	1	12	3	0.111111111	0.333333333	ety>etyd
d	RIGHT	D_ADDR	RIGHT	10	12	3	0.777777778	0.833333333	sho>shod | cthy>cthyd | do>dod | ycho>ychod | she>shed | okee>okeed | lo>lod | keeo>keeod
d	RIGHT	D_LABEL	RIGHT	1	12	3	0.111111111	0.333333333	dody>dodyd
da	INNER	A_ADDR	LEFT	1	4	4	0.250000000	0.333333333	al>adal
da	INNER	DA	INNER	1	4	4	0.250000000	0.333333333	lr>ldar
da	INNER	DA+D_ADDR	LEFT	1	4	4	0.250000000	0.333333333	daiin>dadaiin
da	INNER	DA+LOCAL_CHAR_I	INNER	1	4	4	0.250000000	0.333333333	oiiin>odaiiin
da	LEFT	DA	LEFT	4	5	2	0.750000000	0.666666667	s>das | ry>dary | ckhy>dackhy | g>dag
da	LEFT	DA+D_ADDR	LEFT	1	5	2	0.250000000	0.333333333	daiin>dadaiin
dad	LEFT	DA+D_ADDR	LEFT	1	1	1	1.000000000	0.333333333	aiin>dadaiin
dae	INNER	DA+E	INNER	1	1	1	1.000000000	0.333333333	oiin>odaeiin
dai	INNER	DA+LOCAL_CHAR_I	INNER	1	1	1	1.000000000	0.333333333	oiin>odaiiin
dai	LEFT	AIN	LEFT	1	3	3	0.333333333	0.333333333	d>daid
dai	LEFT	DA	LEFT	1	3	3	0.333333333	0.333333333	iin>daiiin
dai	LEFT	D_ADDR+A_ADDR+LOCAL_CHAR_I	LEFT	1	3	3	0.333333333	0.333333333	y>daiy
dal	INNER	AL	INNER	2	4	2	0.500000000	0.500000000	choy>chodaly | lor>ldalor
dal	INNER	D_ADDR+AL	INNER	2	4	2	0.500000000	0.500000000	okeoy>okeodaly | okeor>okedalor
dal	LEFT	AL	LEFT	7	10	3	0.652173913	0.777777778	y>daly | shedy>dalshedy | aiin>dalaiin | al>dalal | daiin>daldaiin | s>dals | dal>daldal
dal	LEFT	AL	RIGHT	2	10	3	0.217391304	0.500000000	al>dalal | dal>daldal
dal	LEFT	D_ADDR+AL	LEFT	1	10	3	0.130434783	0.333333333	o>dalo
dal	RIGHT	AL	LEFT	1	12	4	0.107142857	0.333333333	dal>daldal
dal	RIGHT	AL	RIGHT	7	12	4	0.535714286	0.777777778	y>ydal | qokeo>qokeodal | okee>okeedal | she>shedal | dal>daldal | cheo>cheodal | sheo>sheodal
dal	RIGHT	DA+L	RIGHT	2	12	4	0.178571429	0.500000000	o>odal | ol>oldal
dal	RIGHT	D_ADDR+AL	RIGHT	2	12	4	0.178571429	0.500000000	cpho>cphodal | teo>teodal
dam	RIGHT	DA+AM_ADDR	RIGHT	1	3	3	0.333333333	0.333333333	y>ydam
dam	RIGHT	DY	RIGHT	1	3	3	0.333333333	0.333333333	kol>koldam
dam	RIGHT	D_ADDR+AM_ADDR	RIGHT	1	3	3	0.333333333	0.333333333	qo>qodam
dan	RIGHT	D_ADDR+AN	RIGHT	1	1	1	1.000000000	0.333333333	sho>shodan
dar	INNER	D_ADDR+AR	INNER	2	2	1	1.000000000	0.500000000	shoy>shodary | lshey>lshedary
dar	LEFT	AR+CH+EE	LEFT	1	7	4	0.166666667	0.333333333	chey>darchey
dar	LEFT	DA+R	LEFT	1	7	4	0.166666667	0.333333333	y>dary
dar	LEFT	DA+R+A_ADDR	LEFT	1	7	4	0.166666667	0.333333333	am>daram
dar	LEFT	D_ADDR+AR	LEFT	4	7	4	0.500000000	0.666666667	aiin>daraiin | om>darom | or>daror | aly>daraly
dar	RIGHT	DA+R	RIGHT	1	9	2	0.150000000	0.333333333	l>ldar
dar	RIGHT	D_ADDR+AR	RIGHT	8	9	2	0.850000000	0.800000000	o>odar | cthol>ctholdar | y>ydar | qo>qodar | tcho>tchodar | oteo>oteodar | she>shedar | qotal>qotaldar
das	RIGHT	DA+S	RIGHT	1	1	1	1.000000000	0.333333333	o>odas
dch	INNER	CHD	LEFT	1	3	2	0.375000000	0.333333333	chey>chedchy
dch	INNER	D_ADDR	INNER	2	3	2	0.625000000	0.500000000	ky>kdchy | qoy>qodchy
dch	LEFT	CH	LEFT	1	11	3	0.120000000	0.333333333	ey>dchey
dch	LEFT	D_ADDR	LEFT	2	11	3	0.200000000	0.500000000	y>dchy | ol>dchol
dch	LEFT	D_ADDR+CH	LEFT	8	11	3	0.680000000	0.800000000	ar>dchar | eo>dcheo | aiin>dchaiin | g>dchg | or>dchor | chy>dchchy | al>dchal | ody>dchody
ddy	INNER	D_ADDR+D_ADDR+Y	INNER	1	1	1	1.000000000	0.333333333	qotar>qotddyar
de	INNER	D_ADDR+E	INNER	1	2	2	0.500000000	0.333333333	lkey>lkedey
de	INNER	E+D_ADDR	INNER	1	2	2	0.500000000	0.333333333	lkey>lkedey
dee	LEFT	D_ADDR+EE	LEFT	1	1	1	1.000000000	0.333333333	y>deey
dg	RIGHT	D_ADDR+LOCAL_CHAR_G	RIGHT	1	1	1	1.000000000	0.333333333	sheol>sheoldg
dk	LEFT	D_ADDR+K	LEFT	3	3	1	1.000000000	0.600000000	y>dky | ain>dkain | shey>dkshey
dl	RIGHT	D_ADDR+L	RIGHT	1	1	1	1.000000000	0.333333333	o>odl
dlo	LEFT	D_ADDR+L+O	LEFT	2	2	1	1.000000000	0.500000000	o>dloo | s>dlos
do	INNER	CARRIER_Q+O+D_ADDR	LEFT	1	3	3	0.333333333	0.333333333	qor>qodor
do	INNER	CH+O+D_ADDR	INNER	1	3	3	0.333333333	0.333333333	tchol>tchodol
do	INNER	O+D_ADDR	LEFT	1	3	3	0.333333333	0.333333333	or>odor
do	LEFT	D_ADDR+O	LEFT	5	6	2	0.785714286	0.714285714	d>dod | aiin>doaiin | iin>doiin | sar>dosar | y>doy
do	LEFT	O+D_ADDR	RIGHT	1	6	2	0.214285714	0.333333333	d>dod
dol	LEFT	D_ADDR+OL	LEFT	3	4	2	0.700000000	0.600000000	chl>dolchl | kain>dolkain | kchy>dolkchy
dol	LEFT	OL	LEFT	1	4	2	0.300000000	0.333333333	daiin>doldaiin
dol	RIGHT	D_ADDR+OL	RIGHT	1	1	1	1.000000000	0.333333333	tcho>tchodol
dor	LEFT	D_ADDR+OR	LEFT	1	1	1	1.000000000	0.333333333	y>dory
dor	RIGHT	D_ADDR+OR	RIGHT	1	1	1	1.000000000	0.333333333	o>odor
dos	LEFT	D_ADDR+O+S	LEFT	1	1	1	1.000000000	0.333333333	ar>dosar
dos	RIGHT	D_ADDR+O+S	RIGHT	1	1	1	1.000000000	0.333333333	otol>otoldos
dp	LEFT	D_ADDR+P	LEFT	1	1	1	1.000000000	0.333333333	chy>dpchy
ds	RIGHT	D_ADDR+S	RIGHT	2	2	1	1.000000000	0.500000000	ckhy>ckhyds | o>ods
dsh	INNER	D_ADDR+SH	INNER	1	1	1	1.000000000	0.333333333	koey>kodshey
dsh	LEFT	D_ADDR+SH	LEFT	2	4	2	0.500000000	0.500000000	or>dshor | ey>dshey
dsh	LEFT	SH	LEFT	2	4	2	0.500000000	0.500000000	eol>dsheol | ody>dshody
dy	LEFT	D_ADDR+Y	LEFT	2	2	1	1.000000000	0.500000000	chear>dychear | kain>dykain
dy	RIGHT	NULL	NULL	1	52	4	0.027777778	0.333333333	sheeol>sheeoldy
dy	RIGHT	DY	RIGHT	32	52	4	0.601851852	0.941176471	sho>shody | teo>teody | o>ody | tcho>tchody | cfhol>cfholdy | ol>oldy | dal>daldy | do>dody
dy	RIGHT	D_ADDR+Y	RIGHT	12	52	4	0.231481481	0.857142857	shol>sholdy | okeo>okeody | al>aldy | sheo>sheody | ycheo>ycheody | qokeeo>qokeeody | okeeo>okeeody | sh>shdy
dy	RIGHT	Y	RIGHT	7	52	4	0.138888889	0.777777778	cheo>cheody | oteo>oteody | cheal>chealdy | qokal>qokaldy | chal>chaldy | chol>choldy | cheol>cheoldy
dyd	RIGHT	DY+D_LABEL	RIGHT	2	2	1	1.000000000	0.500000000	dy>dydyd | do>dodyd
dyk	LEFT	D_ADDR+Y+K	LEFT	1	1	1	1.000000000	0.333333333	ain>dykain
dyl	LEFT	D_ADDR+Y+L	LEFT	1	1	1	1.000000000	0.333333333	ches>dylches
dyp	LEFT	D_ADDR+Y+P	LEFT	1	1	1	1.000000000	0.333333333	chy>dypchy
dyq	INNER	DY	INNER	1	1	1	1.000000000	0.333333333	okeeol>okeedyqol
