assumption_id	unit_id	theory	category	unsupported_assumption	cost	not_a_card_meaning
H5-I06	H5	IATROMEDICAL	PARAMETER	therapeutische Gabe	1	YES
B1-N01	B1	NONMEDICAL	GENRE	gewöhnliches Badhaus	1	YES
B1-N02	B1	NONMEDICAL	MATERIAL	Pflanzenzusatz	1	YES
B1-N03	B1	NONMEDICAL	ROLE	Betreiber	1	YES
B1-N04	B1	NONMEDICAL	SYSTEM	Wasserkreislauf	1	YES
B1-I01	B1	IATROMEDICAL	GENRE	therapeutisches Bad	1	YES
B1-I02	B1	IATROMEDICAL	ROLE	Patient	1	YES
B1-I03	B1	IATROMEDICAL	MATERIAL	Kräuterflotte	1	YES
B1-I04	B1	IATROMEDICAL	PURPOSE	Heilbehandlung	1	YES
B1-I05	B1	IATROMEDICAL	SYSTEM	Apparatefluss	1	YES
B2-N01	B2	NONMEDICAL	GENRE	gewöhnlicher Badedienst	1	YES
B2-N02	B2	NONMEDICAL	ROLE	Badgast	1	YES
B2-N03	B2	NONMEDICAL	OBJECT	Sitzbecken	1	YES
B2-N04	B2	NONMEDICAL	PURPOSE	Hygiene/Tuchdienst	1	YES
B2-I01	B2	IATROMEDICAL	ROLE	Patient	1	YES
B2-I02	B2	IATROMEDICAL	PURPOSE	Teilbadtherapie	1	YES
B2-I03	B2	IATROMEDICAL	TARGET	Körperbereich	1	YES
B2-I04	B2	IATROMEDICAL	PURPOSE	warme Auflage	1	YES
B3-N01	B3	NONMEDICAL	GENRE	Badhauswartung	1	YES
B3-N02	B3	NONMEDICAL	PROCESS	Rücklauf	1	YES
B3-N03	B3	NONMEDICAL	PROCESS	Wiederverwendung	1	YES
B3-N04	B3	NONMEDICAL	PURPOSE	Servicezyklus	1	YES
B3-I01	B3	IATROMEDICAL	ROLE	Patient	1	YES
B3-I02	B3	IATROMEDICAL	PURPOSE	Lavage	1	YES
B3-I03	B3	IATROMEDICAL	TARGET	Körperbereich	1	YES
B3-I04	B3	IATROMEDICAL	PROCESS	zweiter Therapiezyklus	1	YES
B3-I05	B3	IATROMEDICAL	SYSTEM	Rücklauf	1	YES
B4-N01	B4	NONMEDICAL	OBJECT	Filtertuch	1	YES
B4-N02	B4	NONMEDICAL	TARGET	Beckenablagerung	1	YES
B4-N03	B4	NONMEDICAL	PURPOSE	Leitungsreinigung	1	YES
B4-N04	B4	NONMEDICAL	PROCESS	Tuchtrennung	1	YES
B4-I01	B4	IATROMEDICAL	ROLE	Patient	1	YES
B4-I02	B4	IATROMEDICAL	TARGET	Haut/Wunde	1	YES
B4-I03	B4	IATROMEDICAL	PURPOSE	warme Auflage	1	YES
B4-I04	B4	IATROMEDICAL	OBJECT	Tuch	1	YES
B4-I05	B4	IATROMEDICAL	PURPOSE	Therapie	1	YES
B5-N01	B5	NONMEDICAL	OBJECT	Servicecharge	1	YES
B5-N02	B5	NONMEDICAL	PARAMETER	Haltezeit	1	YES
B5-N03	B5	NONMEDICAL	TARGET	nächste Station	1	YES
B5-I01	B5	IATROMEDICAL	OBJECT	medizinischer Posten	1	YES
B5-I02	B5	IATROMEDICAL	ROLE	Patient	1	YES
B5-I03	B5	IATROMEDICAL	PARAMETER	Therapiezeit	1	YES
B5-I04	B5	IATROMEDICAL	TARGET	nächste Behandlung	1	YES
B6-N01	B6	NONMEDICAL	OBJECT	kalte Spülreserve	1	YES
B6-N02	B6	NONMEDICAL	PROCESS	einfache Filtration	1	YES
B6-N03	B6	NONMEDICAL	TARGET	Vorratskasten	1	YES
B6-I01	B6	IATROMEDICAL	PURPOSE	Kaltanwendung	1	YES
B6-I02	B6	IATROMEDICAL	ROLE	Patient	1	YES
B6-I03	B6	IATROMEDICAL	TARGET	Körperstelle	1	YES
B6-I04	B6	IATROMEDICAL	PROCESS	Filtration	1	YES
A1-N01	A1	NONMEDICAL	VALUE	sieben Werkstatttage	1	YES
A1-N02	A1	NONMEDICAL	VALUE	zwölf Arbeitsklassen	1	YES
A1-N03	A1	NONMEDICAL	VALUE	acht Qualitätsbedingungen	1	YES
A1-N04	A1	NONMEDICAL	PURPOSE	Arbeitsplanung	1	YES
A1-I01	A1	IATROMEDICAL	VALUE	sieben Planeten	1	YES
A1-I02	A1	IATROMEDICAL	VALUE	zwölf Tierkreiszeichen	1	YES
A1-I03	A1	IATROMEDICAL	TARGET	Körpersektoren	1	YES
A1-I04	A1	IATROMEDICAL	VALUE	acht Mondbedingungen	1	YES
A1-I05	A1	IATROMEDICAL	PURPOSE	medizinische Wahl	1	YES
A1-I06	A1	IATROMEDICAL	OBJECT	Eingriff	1	YES
A2-N01	A2	NONMEDICAL	OWNER	Monatsrota	1	YES
A2-N02	A2	NONMEDICAL	VALUE	28 Arbeitsadressen	1	YES
A2-N03	A2	NONMEDICAL	PURPOSE	Qualitäts-/Dienstplan	1	YES
A2-I01	A2	IATROMEDICAL	OWNER	Mond	1	YES
A2-I02	A2	IATROMEDICAL	VALUE	28 Mondhäuser	1	YES
A2-I03	A2	IATROMEDICAL	LABEL	externe Hausnamen	1	YES
A2-I04	A2	IATROMEDICAL	PURPOSE	medizinisch-astrologische Konsultation	1	YES
A2-I05	A2	IATROMEDICAL	ORDER	externe Orientierung	1	YES
A3-N01	A3	NONMEDICAL	VALUE	28 Werkstattregeln	1	YES
A3-N02	A3	NONMEDICAL	PURPOSE	Arbeitskalender	1	YES
A3-N03	A3	NONMEDICAL	CONTENT	konkrete Regeltexte	1	YES
A3-I01	A3	IATROMEDICAL	VALUE	28 Wahlregeln	1	YES
A3-I02	A3	IATROMEDICAL	PURPOSE	medizinischer Wahlkalender	1	YES
A3-I03	A3	IATROMEDICAL	CONTENT	Therapiehandlungen	1	YES
A3-I04	A3	IATROMEDICAL	ORDER	externe Zeitordnung	1	YES
