universal_group_serial	register	unit_id	page	source_serial	locus	field_or_address	statement_or_station	exact_card_or_local_group_id	formal_value	atomic_or_whole_card_mnemonic	source_order_slot	abbreviation_channel	register_state_before	register_update	register_state_after	selected_parse_status	terminal_status	renderer_instruction	rendered_surface	iatromedical_selected_local_expansion	nonmedical_rival_local_expansion	frozen_anchor_note	nonmedical_source_status	rival_unit_text_digest	rival_fragment_digest	mechanical_identity_token_from_v67	adversarial_roundtrip_status
11	HERBAL	H1	f10r	11	f10r.5	F002	H1-S002	9ad66e67803a12e745de	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; START_OR_RESUME_NEXT_SELECTED_STATEMENT	qokchy	[EXEMPLAR:nimm den frischen ersten Lauf]	Wannen und zum Vorwaschen heller Tücher.	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	8605d04cc0fc0d77ed52	d664fc85da6d218466cf	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
12	HERBAL	H1	f10r	12	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	FRAME_OT(OPAQUE_PAYLOAD) || NONE	UNKNOWN	RELATION_LINK	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	qotchol	[GENRE:erwärme ihn gelinde]	Erwärme den zurückbehaltenen Wurzelposten ein zweites Mal,	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	c5c8f289a13e69e8751d	9a6152e8e4434a754127	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
13	HERBAL	H1	f10r	13	f10r.5	F002	H1-S002	dcda95c81a5460feb191	FRAME_O(LINK) || AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN	LINK_ACTIVE	LICENSED_FORMAL_SLOT_CARD	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	ACTIVE_ITEM/PREPARATION:=FORMAL_ACTIVE_LINK(OPAQUE_EVENT_VALUE);PREVIOUS_ITEM=CARRY	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNIQUE_FORMAL_ONLY	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	chol	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H1:I001 fortführen]	verbinde nur brauchbare klare Fraktionen und verwahre	FROZEN_FORMAL_SLOT=LINK_ACTIVE; NO_LEXICAL_EXPANSION	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	68939b44ee0e59d833f9	1627e062e462066f0b88	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
14	HERBAL	H1	f10r	14	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	OPAQUE_PAYLOAD || NONE	BEREIT?	STATE_GATE	LICENSED_EXACT_WHOLE_CARD	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	ACTIVE_ITEM/PREPARATION.STATE:=EXACT_GATE_VALUE	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNIQUE_EXACT	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	cthy	[CARD:BEREIT?] [EXEMPLAR:bis zum örtlichen Gebrauchszustand]	den Rest verschlossen und beschriftet im Materialschrank.	FROZEN_V60_MNEMONIC=BEREIT?; LOCAL_OBJECTS_NOT_INCLUDED	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	f442d051f526b44df69b	164bbb8e74f51df139f6	946291a8884bd8806da6	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
15	HERBAL	H2	f10r	15	f10r.6	F003	H2-S001	7249edc4df3419c26999	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; START_SELECTED_STATEMENT	ycheor	[IMAGE:Blütenköpfe und junge Blätter derselben Teufelsabbiss-Pflanze]	Von derselben abgebildeten Pflanze	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	44494f13231a337de787	a1fa04f69af75d9a3a0e	021b945b3e73512e4f36	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
16	HERBAL	H2	f10r	16	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	OPAQUE_PAYLOAD || NONE	BEREIT?	STATE_GATE	LICENSED_EXACT_WHOLE_CARD	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	ACTIVE_ITEM/PREPARATION.STATE:=EXACT_GATE_VALUE	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	UNIQUE_EXACT	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	cthy	[CARD:BEREIT?] [EXEMPLAR:wenn sie eben aufgehen]	nimm früh geöffnete Blütenköpfe	FROZEN_V60_MNEMONIC=BEREIT?; LOCAL_OBJECTS_NOT_INCLUDED	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	44494f13231a337de787	b27d720ba15d696bcddc	7dfc700cfd9944f2d230	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
17	HERBAL	H2	f10r	17	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	OPAQUE_PAYLOAD || NONE	ANSATZ?	ACTIVE_PREPARATION_OR_ITEM	LICENSED_EXACT_WHOLE_CARD	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	ACTIVE_ITEM/PREPARATION:=EXACT_ACTIVE_PREPARATION;PREVIOUS_ITEM=CARRY	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	UNIQUE_EXACT	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	chor	[CARD:ANSATZ?] [REGISTER:H2:I001 als frischen Ansatz führen]	und junge Blätter als ersten	FROZEN_V60_MNEMONIC=ANSATZ?; LOCAL_OBJECTS_NOT_INCLUDED	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	44494f13231a337de787	42399b2625467c135489	c58fc42d3ea247032040	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
18	HERBAL	H2	f10r	18	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	OPAQUE_PAYLOAD + <ARG_AIIN> || NONE	UNKNOWN	PARAMETER_ASSIGNMENT	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	cthaiin	[GENRE:zerstoße das Kraut]	Werkstattposten. Zerstoße sie, presse	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	44494f13231a337de787	b2a2eb34c62a44d15e44	cca1ee0711ef7ef98b59	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
19	HERBAL	H2	f10r	19	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	qoctholy	[GENRE:presse den Saft durch ein Tuch]	den Saft durch ein	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	44494f13231a337de787	ccc165b504509fd1e948	1fdb6de1e682066fa12b	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
20	HERBAL	H2	f10r	20	f10r.6	F003	H2-S001	b921a237be883a820352	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	dy	[EXEMPLAR:fange die erste Fraktion auf]	Tuch, gib eine kleine bemessene	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	44494f13231a337de787	a59e3033826f970e501a	dfe611fa08d8aa6b1d90	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
21	HERBAL	H2	f10r	21	f10r.6	F003	H2-S001	b921a237be883a820352	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	chy	[GENRE:gib Olivenöl hinzu]	Menge Alaunlösung hinzu und	UNKNOWN_OR_EXEMPLAR_ONLY; COPY_EXACT_ID	RECORD_OR_PAGE_LOCAL_EXEMPLAR; NOT_CARD_VALUE	44494f13231a337de787	94c68715bbfebc5e403e	5874de6dc7e23ebcefaa	PASS_FROZEN_IDENTITY_PLUS_LOCAL_RIVAL_EXEMPLAR
