combined_group_ordinal	unit_id	section_axis	page	source_locus	field_or_local_address	statement_or_locus_unit	opaque_whole_card_or_local_group_key	surface_display_only	fixed_exact_mnemonic	strict_formal_prompt	template_or_diagram_role	terminal_or_local_status	technical_system	complete_local_technical_default	technical_local_noun_source	selected_iatromedical_comparator	medical_local_noun_source	local_comparison_winner	strongest_local_technical_contradiction	compiler_channel_inherited	field_and_reflow_contract	formal_roundtrip	technical_content_status	medical_content_status	identity_contract
11	H1	HERBAL_MATERIAL	f10r	f10r.5	F002	H1-S002	P:9ad66e67803a12e745de	qokchy	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[gelagerten Wurzelrest H1-R02 aufnehmen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[EXEMPLAR:nimm den frischen ersten Lauf]	EXEMPLAR	TIE	Die verknüpften Chargen bleiben ohne lokale Prosa unbestimmt.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
12	H1	HERBAL_MATERIAL	f10r	f10r.5	F002	H1-S002	P:e8a6105b5c3a6220b440	qotchol	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[zweiten Auszug gelinde erwärmen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:erwärme ihn gelinde]	GENRE	TIE	Die verknüpften Chargen bleiben ohne lokale Prosa unbestimmt.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
13	H1	HERBAL_MATERIAL	f10r	f10r.5	F002	H1-S002	P:dcda95c81a5460feb191	chol	UNKNOWN	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	LINK_ACTIVE	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formale Verknüpfung mit dem laufenden Wurzelauszug H1-P01 buchen]	V63_FORMAL_CHANNEL_NO_SEMANTIC_WORD+V53/V64_LOCAL_ARGUMENT	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H1:I001 fortführen]	FORMAL|REGISTER	TIE	Die verknüpften Chargen bleiben ohne lokale Prosa unbestimmt.	STRICT_FORMAL_PROMPT	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
14	H1	HERBAL_MATERIAL	f10r	f10r.5	F002	H1-S002	P:e0b630cb1b5df5e7105b	cthy	BEREIT?	NONE	STATE_GATE	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H1-P02 freigeben]	V60_EXACT_VALUE+V53/V64_LOCAL_ARGUMENT	[CARD:BEREIT?] [EXEMPLAR:bis zum örtlichen Gebrauchszustand]	CARD|EXEMPLAR	TIE	Die verknüpften Chargen bleiben ohne lokale Prosa unbestimmt.	EXACT_MNEMONIC	OPEN_FIELD_CUT>LINE_RESET	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
15	H2	HERBAL_MATERIAL	f10r	f10r.6	F003	H2-S001	P:7249edc4df3419c26999	ycheor	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[Bildbesitzer H2 als Oberteil-Los H2-R01 eröffnen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[IMAGE:Blütenköpfe und junge Blätter derselben Teufelsabbiss-Pflanze]	IMAGE	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
16	H2	HERBAL_MATERIAL	f10r	f10r.6	F003	H2-S001	P:e0b630cb1b5df5e7105b	cthy	BEREIT?	NONE	STATE_GATE	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Erntegut als verarbeitungsbereit markieren]	V60_EXACT_VALUE+V53/V64_LOCAL_ARGUMENT	[CARD:BEREIT?] [EXEMPLAR:wenn sie eben aufgehen]	CARD|EXEMPLAR	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	EXACT_MNEMONIC	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
17	H2	HERBAL_MATERIAL	f10r	f10r.6	F003	H2-S001	P:7a4bb8136330ee4e6e56	chor	ANSATZ?	NONE	LINK_ACTIVE	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[gepresste Arbeitsflüssigkeit H2-P01 als aktiven Ansatz führen]	V60_EXACT_VALUE+V53/V64_LOCAL_ARGUMENT	[CARD:ANSATZ?] [REGISTER:H2:I001 als frischen Ansatz führen]	CARD|REGISTER	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	EXACT_MNEMONIC	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
18	H2	HERBAL_MATERIAL	f10r	f10r.6	F003	H2-S001	P:f3c23f42baf625639e1e	cthaiin	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[Stängel und obere Blätter grob quetschen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:zerstoße das Kraut]	GENRE	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
19	H2	HERBAL_MATERIAL	f10r	f10r.6	F003	H2-S001	P:af816c04e65874a0f2fa	qoctholy	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[austretende Pflanzenflüssigkeit auffangen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:presse den Saft durch ein Tuch]	GENRE	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
20	H2	HERBAL_MATERIAL	f10r	f10r.6	F003	H2-S001	P:b921a237be883a820352	dy	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[Pressgut mit Wasser nachziehen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[EXEMPLAR:fange die erste Fraktion auf]	EXEMPLAR	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
21	H2	HERBAL_MATERIAL	f10r	f10r.6	F003	H2-S001	P:b921a237be883a820352	chy	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[beide Flüssigkeiten zusammenführen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:gib Olivenöl hinzu]	GENRE	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
22	H2	HERBAL_MATERIAL	f10r	f10r.6	F003	H2-S001	P:2f1c5e56e8f0ff459065	taiin	MASS?	NONE	PARAMETER_ASSIGN	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	MASS?=vorgesehenen Mengenwert buchen ; LOCAL[Sollmenge für H2-P01 buchen]	V60_EXACT_VALUE+V53/V64_LOCAL_ARGUMENT	[CARD:MASS?] [EXEMPLAR:ein örtlich vorgeschriebenes Maß]	CARD|EXEMPLAR	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	EXACT_MNEMONIC	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
23	H2	HERBAL_MATERIAL	f10r	f10r.6	F003	H2-S001	P:b921a237be883a820352	shy	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[Pressrückstand als Nebenfraktion H2-R02 markieren]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:erwärme gelinde]	GENRE	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	EXEMPLAR_WHOLE_CARD	OPEN_FIELD_CUT>LINE_RESET	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
24	H2	HERBAL_MATERIAL	f10r	f10r.8	F004	H2-S002	P:10488b911aae52b3b334	qotchor	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[frühe Erntefraktion H2-R03 eröffnen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[IMAGE:nimm vor voller Blüte eine zweite Portion der Spitzen]	IMAGE	TECHNICAL	Die frühe Erntefraktion ist ein lokaler, nicht formaler Wert.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
25	H2	HERBAL_MATERIAL	f10r	f10r.8	F004	H2-S002	P:7a4bb8136330ee4e6e56	chor	ANSATZ?	NONE	LINK_ACTIVE	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[H2-P01 als aktiven Ansatz ansprechen]	V60_EXACT_VALUE+V53/V64_LOCAL_ARGUMENT	[CARD:ANSATZ?] [REGISTER:H2:I001 fortführen]	CARD|REGISTER	TECHNICAL	Die frühe Erntefraktion ist ein lokaler, nicht formaler Wert.	EXACT_MNEMONIC	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
26	H2	HERBAL_MATERIAL	f10r	f10r.8	F004	H2-S002	P:497cbd9c7401810ff56b	otol	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[eine Teilmenge H2-R03 in ein Vergleichsgefäß geben]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[EXEMPLAR:eine Handvoll]	EXEMPLAR	TECHNICAL	Die frühe Erntefraktion ist ein lokaler, nicht formaler Wert.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
27	H2	HERBAL_MATERIAL	f10r	f10r.8	F004	H2-S002	P:dcda95c81a5460feb191	chol	UNKNOWN	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	LINK_ACTIVE	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen]	V63_FORMAL_CHANNEL_NO_SEMANTIC_WORD+V53/V64_LOCAL_ARGUMENT	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H2:I001 fortführen]	FORMAL|REGISTER	TECHNICAL	Die frühe Erntefraktion ist ein lokaler, nicht formaler Wert.	STRICT_FORMAL_PROMPT	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
28	H2	HERBAL_MATERIAL	f10r	f10r.8	F004	H2-S002	P:dec401773c1f0347793d	cholor	VORIGES?	NONE	SELECT_PREVIOUS	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	VORIGES?=vorige Charge wieder aufnehmen ; LOCAL[vorige Charge H2-P01 wieder aufnehmen]	V60_EXACT_VALUE+V53/V64_LOCAL_ARGUMENT	[CARD:VORIGES?] [REGISTER:H2:I001 als vorigen Posten aufnehmen]	CARD|REGISTER	TECHNICAL	Die frühe Erntefraktion ist ein lokaler, nicht formaler Wert.	EXACT_MNEMONIC	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
