global_index	section	page	unit_id	locus	opaque_identity	surface_display_only	rival_complete_local_reading	iatromedical_comparator	shared_formal_layer	semantic_status
15	HERBAL_MATERIAL	f10r	H2	f10r.6	7249edc4df3419c26999	ycheor	LOCAL[Bildbesitzer H2 als Oberteil-Los H2-R01 eröffnen]	sie wächst auf feuchtem Wiesengrund	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
16	HERBAL_MATERIAL	f10r	H2	f10r.6	e0b630cb1b5df5e7105b	cthy	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Erntegut als verarbeitungsbereit markieren]	Sobald die Zubereitung gebrauchsfertig ist	STATE_GATE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
17	HERBAL_MATERIAL	f10r	H2	f10r.6	7a4bb8136330ee4e6e56	chor	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[gepresste Arbeitsflüssigkeit H2-P01 als aktiven Ansatz führen]	Die bereitete Arbeitsflüssigkeit	LINK_ACTIVE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
18	HERBAL_MATERIAL	f10r	H2	f10r.6	f3c23f42baf625639e1e	cthaiin	LOCAL[Stängel und obere Blätter grob quetschen]	gib den ausgepressten Saft hinzu	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
19	HERBAL_MATERIAL	f10r	H2	f10r.6	af816c04e65874a0f2fa	qoctholy	LOCAL[austretende Pflanzenflüssigkeit auffangen]	koche es sanft	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
20	HERBAL_MATERIAL	f10r	H2	f10r.6	b921a237be883a820352	dy	LOCAL[Pressgut mit Wasser nachziehen]	Diese aktive Portion	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
21	HERBAL_MATERIAL	f10r	H2	f10r.6	b921a237be883a820352	chy	LOCAL[beide Flüssigkeiten zusammenführen]	Diese aktive Portion	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
22	HERBAL_MATERIAL	f10r	H2	f10r.6	2f1c5e56e8f0ff459065	taiin	MASS?=vorgesehenen Mengenwert buchen ; LOCAL[Sollmenge für H2-P01 buchen]	Ein vorgeschriebenes Maß	PARAMETER_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
23	HERBAL_MATERIAL	f10r	H2	f10r.6	b921a237be883a820352	shy	LOCAL[Pressrückstand als Nebenfraktion H2-R02 markieren]	Diese aktive Portion	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
24	HERBAL_MATERIAL	f10r	H2	f10r.8	10488b911aae52b3b334	qotchor	LOCAL[frühe Erntefraktion H2-R03 eröffnen]	vor der Blüte gesammelt	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
25	HERBAL_MATERIAL	f10r	H2	f10r.8	7a4bb8136330ee4e6e56	chor	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[H2-P01 als aktiven Ansatz ansprechen]	Die bereitete Arbeitsflüssigkeit	LINK_ACTIVE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
26	HERBAL_MATERIAL	f10r	H2	f10r.8	497cbd9c7401810ff56b	otol	LOCAL[eine Teilmenge H2-R03 in ein Vergleichsgefäß geben]	eine Handvoll	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
27	HERBAL_MATERIAL	f10r	H2	f10r.8	dcda95c81a5460feb191	chol	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen]	Mit der vorigen Zubereitung weiter	LINK_ACTIVE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
28	HERBAL_MATERIAL	f10r	H2	f10r.8	dec401773c1f0347793d	cholor	VORIGES?=vorige Charge wieder aufnehmen ; LOCAL[vorige Charge H2-P01 wieder aufnehmen]	Aus dem vorigen Ansatz entnehmen	SELECT_PREVIOUS	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
29	HERBAL_MATERIAL	f10r	H2	f10r.8	dcda95c81a5460feb191	chol	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[diese vorige Charge an Vergleich H2-P02 verknüpfen]	Mit der vorigen Zubereitung weiter	LINK_ACTIVE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
30	HERBAL_MATERIAL	f10r	H2	f10r.8	2f1c5e56e8f0ff459065	daiin	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge für H2-P02 buchen]	Ein vorgeschriebenes Maß	PARAMETER_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
31	HERBAL_MATERIAL	f10r	H2	f10r.8	4d4559019a961b834aa1	dar	LOCAL[frühe Fraktion vollständig mazerieren]	Daraus, aus demselben Ansatz	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
32	HERBAL_MATERIAL	f10r	H2	f10r.9	27d97af8c96eb056c2e6	oykchor	LOCAL[späte Erntefraktion H2-R04 eröffnen]	wenn sich die Blüte geöffnet hat	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
33	HERBAL_MATERIAL	f10r	H2	f10r.9	7a4bb8136330ee4e6e56	shor	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[H2-P02 als ersten aktiven Ansatz führen]	Die bereitete Arbeitsflüssigkeit	LINK_ACTIVE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
34	HERBAL_MATERIAL	f10r	H2	f10r.9	7a4bb8136330ee4e6e56	chor	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[späte Teilcharge H2-P03 als zweiten aktiven Ansatz führen]	Die bereitete Arbeitsflüssigkeit	LINK_ACTIVE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
35	HERBAL_MATERIAL	f10r	H2	f10r.9	b921a237be883a820352	chy	LOCAL[beide Ernteauszüge in getrennten Gefäßen umrühren]	Diese aktive Portion	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
36	HERBAL_MATERIAL	f10r	H2	f10r.9	409de02322e7b2ca0c62	kaiiin	LOCAL[beide durch dasselbe Tuch seihen]	bis ein bitterer Geschmack bleibt	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
37	HERBAL_MATERIAL	f10r	H2	f10r.9	b921a237be883a820352	dy	LOCAL[Farbe und Bodensatz als Vergleichsmerkmale notieren]	Diese aktive Portion	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
38	HERBAL_MATERIAL	f10r	H2	f10r.9	834825c61d048a6b5628	chodaiin	LOCAL[Vergleichspaar H2-P02/H2-P03 verschlossen lagern]	bewahre diesen Anteil unter Öl	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
39	HERBAL_MATERIAL	f11r	H3	f11r.1	953ad19b79517fc8a211	tshol	LOCAL[Bildbesitzer H3 als Blüten-Kraut-Los H3-R01 eröffnen]	sammle die Wurzel im Frühjahr	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
40	HERBAL_MATERIAL	f11r	H3	f11r.1	428a5e3662aa57b4b256	schoal	LOCAL[junge oberirdische Teile sammeln]	vom schattigen Waldort	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
41	HERBAL_MATERIAL	f11r	H3	f11r.1	bdad9f9ea8b80f141496	cfhy	LOCAL[Blütenköpfe und Blätter in zwei Schalen sortieren]	bevor sich die Blütenkrone öffnet	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
42	HERBAL_MATERIAL	f11r	H3	f11r.1	a8af08e69edab8e54f15	shfydaiin	LOCAL[Krautfraktion quetschen und in Wasser mazerieren]	presse die gequetschte Wurzel durch ein Tuch	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
43	HERBAL_MATERIAL	f11r	H3	f11r.1	deb377381ceaf55ea310	cphy	LOCAL[Auszug zuerst grob, dann durch Tuch seihen]	seihe die Flüssigkeit ein zweites Mal	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
44	HERBAL_MATERIAL	f11r	H3	f11r.1	b5df9126607030b95175	shey	KLAR?=Klarzustand der aktiven Charge prüfen ; LOCAL[Klarheitszustand des Filtrats H3-P01 prüfen]	Bis die Flüssigkeit klar abläuft	STATE_GATE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
45	HERBAL_MATERIAL	f11r	H3	f11r.1	2e2027b1951d79911e24	tchody	LOCAL[klares Filtrat absetzen lassen und Feld schließen]	lasse die geseihte Flüssigkeit offen abkühlen	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
46	HERBAL_MATERIAL	f11r	H3	f11r.1	577c03a928d674d420d7	shoyty	LOCAL[einen Blütenkopf als Referenzfraktion H3-R02 zurücklegen]	behalte die Blütenkrone zurück	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
47	HERBAL_MATERIAL	f11r	H3	f11r.4	d665560c8ff80799a82c	dchol	LOCAL[Filtrat H3-P01 wieder aufnehmen]	von diesem abgebildeten Simplex	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
48	HERBAL_MATERIAL	f11r	H3	f11r.4	b921a237be883a820352	chy	LOCAL[drei gleiche Probengläser bereitstellen]	Diese aktive Portion	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
49	HERBAL_MATERIAL	f11r	H3	f11r.4	b2812c8283c3a62438bd	kchy	LOCAL[Filtrat auf die Probengläser verteilen]	binde es auf die geschwollene Stelle	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
50	HERBAL_MATERIAL	f11r	H3	f11r.4	b921a237be883a820352	dy	LOCAL[Farbton und Niederschlag je Glas vermerken]	Diese aktive Portion	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
51	HERBAL_MATERIAL	f11r	H3	f11r.4	2f1c5e56e8f0ff459065	daiin	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge je Probenglas buchen]	Ein vorgeschriebenes Maß	PARAMETER_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
52	HERBAL_MATERIAL	f11r	H3	f11r.7	a48efd6c4491a046ba78	qotchy	LOCAL[Blattfraktion H3-R03 als neue Charge eröffnen]	bereite aus den Blättern einen warmen Umschlag	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
53	HERBAL_MATERIAL	f11r	H3	f11r.7	322281bd391aa621f568	okchol	LOCAL[Blätter warm in Wasser ausziehen]	lege ihn warm auf	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
54	HERBAL_MATERIAL	f11r	H3	f11r.7	e0b630cb1b5df5e7105b	cthy	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H3-P02 als bereit markieren]	Sobald die Zubereitung gebrauchsfertig ist	STATE_GATE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
55	HERBAL_MATERIAL	f11r	H3	f11r.7	b921a237be883a820352	dy	LOCAL[Blattauszug und Referenzblüte getrennt verwahren]	Diese aktive Portion	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
56	HERBAL_MATERIAL	f55v	H4	f55v.5	b5fcea1eaed06b2f2291	qokaiin	STANDARDSLOT_SETZEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formalen Standardslot für Blattposten H4-R01 setzen]	beginne den nächsten abgemessenen Posten	PARAMETER_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
57	HERBAL_MATERIAL	f55v	H4	f55v.5	2f1c5e56e8f0ff459065	chaiin	MASS?=vorgesehenen Mengenwert buchen ; LOCAL[Sollmenge frischer breiter Blätter buchen]	Ein vorgeschriebenes Maß	PARAMETER_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
58	HERBAL_MATERIAL	f55v	H4	f55v.5	403c1592f918c8f23b88	ykain	LOCAL[Blätter waschen und grob schneiden]	koche das breite Blatt sanft	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
59	HERBAL_MATERIAL	f55v	H4	f55v.5	d929a14ec45749b2e805	ykan	LOCAL[Schnittgut in Wasser mazerieren]	in Weißwein	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
60	HERBAL_MATERIAL	f55v	H4	f55v.5	97cc9ac109148723c472	ody	LOCAL[erste Blattflotte absetzen lassen und Feld schließen]	lasse es ziehen, bis die Flüssigkeit klar ist	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
61	HERBAL_MATERIAL	f55v	H4	f55v.5	2f1c5e56e8f0ff459065	daiin	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge aus H4-P01 abteilen]	Ein vorgeschriebenes Maß	PARAMETER_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
62	HERBAL_MATERIAL	f55v	H4	f55v.5	6f7ff8287eddf4da9fdb	chedy	LOCAL[weichen Blattrest aus der Flotte heben]	rühre, bis alles gleichmäßig vermischt ist	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
63	HERBAL_MATERIAL	f55v	H4	f55v.5	e026af581c99322fbd46	talam	LOCAL[Rest pressen, Flüssigkeit seihen und beide Fraktionen schließen]	wasche die wunde Stelle einmal	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
64	HERBAL_MATERIAL	f55v	H4	f55v.11	f7dc90b2c31fd341f0a4	ykaiin	LOCAL[zweite Blattfraktion H4-R02 eröffnen]	für den zweiten Arzneigebrauch	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
65	HERBAL_MATERIAL	f55v	H4	f55v.11	807591efc3d3f7ddbfab	cheoar	LOCAL[zweite Fraktion mit frischem Wasser waschen]	gib Weißwein hinzu	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
66	HERBAL_MATERIAL	f55v	H4	f55v.11	2c1a5fd92b9e3c762242	cheeky	LOCAL[Fraktion warm mazerieren]	solange es noch warm ist	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
67	HERBAL_MATERIAL	f55v	H4	f55v.11	1b1ffdd869fb1429ad03	oldy	LOCAL[zweite Blattflotte H4-P03 seihen und schließen]	koche sanft und beende diesen Arbeitsschritt	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
68	HERBAL_MATERIAL	f55v	H4	f55v.11	2f1c5e56e8f0ff459065	aiin	MASS?=vorgesehenen Mengenwert buchen ; LOCAL[Sollmenge der zweiten Flotte buchen]	Ein vorgeschriebenes Maß	PARAMETER_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
69	HERBAL_MATERIAL	f55v	H4	f55v.11	308e8ea2d5d190c498e8	okal	LOKALEN_RELATIONSSLOT_SETZEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[opaken Relationsslot für Fraktionspaar und Lagergefäß setzen]	mische beide Anteile zusammen	TARGET_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
70	HERBAL_MATERIAL	f55v	H4	f55v.11	204b04837409088c48f9	oltchy	LOCAL[erste und zweite Flotte nebeneinander prüfen]	bewahre es in einem bedeckten Gefäß	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
71	HERBAL_MATERIAL	f55v	H4	f55v.11	7a4bb8136330ee4e6e56	or	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[zweite Flotte als aktiven Ansatz H4-P03 führen]	Die bereitete Arbeitsflüssigkeit	LINK_ACTIVE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
72	HERBAL_MATERIAL	f55v	H4	f55v.11	b921a237be883a820352	y	LOCAL[Presskuchen und Flotten als Paarposten etikettieren]	Diese aktive Portion	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
73	HERBAL_MATERIAL	f55v	H4	f55v.11	6afeb5c9ab9f6cbdea0d	orain	LOCAL[Paarposten H4-P04 bedeckt lagern]	gebrauche die fertige Flüssigkeit frisch	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
74	HERBAL_MATERIAL	f56r	H5	f56r.5	b9d7b6d68209a9019e7a	chochor	LOCAL[Bildbesitzer H5 als drüsiges Feuchtland-Rohlos H5-R01 eröffnen]	sammle die Pflanze im Frühjahr	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
75	HERBAL_MATERIAL	f56r	H5	f56r.5	2cc054357a929df85f64	cho	LOCAL[kleine Gesamtpflanzenprobe sammeln]	nimm danach den folgenden Zusatz oder Pflanzenteil	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
76	HERBAL_MATERIAL	f56r	H5	f56r.5	0ec6a45e2950e8e7061d	chodaly	LOCAL[feine Wurzel- und Krautfraktion trennen]	die dünne untere Wurzel	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
77	HERBAL_MATERIAL	f56r	H5	f56r.5	2f1c5e56e8f0ff459065	daiin	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge der Krautfraktion buchen]	Ein vorgeschriebenes Maß	PARAMETER_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
78	HERBAL_MATERIAL	f56r	H5	f56r.7	2cc054357a929df85f64	sho	LOCAL[Krautfraktion in wenig Wasser einweichen]	nimm danach den folgenden Zusatz oder Pflanzenteil	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
79	HERBAL_MATERIAL	f56r	H5	f56r.7	893c570f3fa3fce99711	kchol	LOCAL[weiches Material quetschen]	lasse es in Weißwein ziehen	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
80	HERBAL_MATERIAL	f56r	H5	f56r.7	10488b911aae52b3b334	otchor	LOCAL[klebrige Flüssigkeit als Prüfcharge H5-P01 auffangen]	vor der Blüte gesammelt	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
81	HERBAL_MATERIAL	f56r	H5	f56r.7	276a7c2d74d1143446f4	choky	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfcharge H5-P01 auf Prüffläche H5-T01 einsetzen]	Die aktive Portion verwenden	ACTION_APPLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
82	HERBAL_MATERIAL	f56r	H5	f56r.7	dd0ecaf5e27d81befffc	dal	ZIEL?=Arbeitsziel setzen oder bestätigen ; LOCAL[Zieladresse H5-T01 nach dem Auftrag im Register festhalten]	An die bezeichnete Zielstelle führen	TARGET_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
83	HERBAL_MATERIAL	f56r	H5	f56r.8	d665560c8ff80799a82c	schol	LOCAL[H5-P01 als aktive Charge wieder aufnehmen]	von diesem abgebildeten Simplex	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
84	HERBAL_MATERIAL	f56r	H5	f56r.8	c10aec6d4dd877ec8bd8	choy	LOCAL[zweite Prüffläche H5-T02 bereitstellen]	die auf feuchter schattiger Heide wächst	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
85	HERBAL_MATERIAL	f56r	H5	f56r.8	276a7c2d74d1143446f4	choky	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Charge auf H5-T02 einsetzen]	Die aktive Portion verwenden	ACTION_APPLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
86	HERBAL_MATERIAL	f56r	H5	f56r.8	95987d6f198d6d247511	cheeckhody	LOCAL[beschichtete Prüffläche lufttrocknen lassen und schließen]	lasse das Pflaster unbedeckt trocknen	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
87	HERBAL_MATERIAL	f56r	H5	f56r.12	ad3581d3144f69a5912d	sh	LOCAL[Kopf- oder Knospenfraktion H5-R02 eröffnen]	ihren kleinen Samen- oder Knospenkopf	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
88	HERBAL_MATERIAL	f56r	H5	f56r.12	2cc054357a929df85f64	cho	LOCAL[schmale Blattfraktion H5-R03 getrennt einführen]	nimm danach den folgenden Zusatz oder Pflanzenteil	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
89	HERBAL_MATERIAL	f56r	H5	f56r.12	b74e9e65637b7c8538dd	kchey	LOCAL[beide Fraktionen mit Loszeichen versehen]	das getrocknete schmale Blatt	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
90	HERBAL_MATERIAL	f56r	H5	f56r.12	1322bc176443fc2a8a86	qokokchy	LOCAL[beide im Schatten trocknen]	trockne es im Schatten	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
