feature_index	formal_feature	support_union_pages	absence_union_pages
97	RIGHT_BOUNDARY:ZL3b:UNCERTAIN_SMALL_SPACE;IT2a:NONE;RF1b:DEFINITE_SPACE	21	45
98	WITHIN_GROUP_2GRAM:AA	40	26
99	WITHIN_GROUP_2GRAM:AE	28	38
100	WITHIN_GROUP_2GRAM:AF	52	14
101	WITHIN_GROUP_2GRAM:AJ	11	55
102	WITHIN_GROUP_2GRAM:AK	43	23
103	WITHIN_GROUP_2GRAM:AL	21	45
104	WITHIN_GROUP_2GRAM:AP	43	23
105	WITHIN_GROUP_2GRAM:AT	9	57
106	WITHIN_GROUP_2GRAM:AU	33	33
107	WITHIN_GROUP_2GRAM:BB	47	19
108	WITHIN_GROUP_2GRAM:BC	21	45
109	WITHIN_GROUP_2GRAM:BK	49	17
110	WITHIN_GROUP_2GRAM:BL	31	35
111	WITHIN_GROUP_2GRAM:BQ	15	51
112	WITHIN_GROUP_2GRAM:CA	57	9
113	WITHIN_GROUP_2GRAM:CB	13	53
114	WITHIN_GROUP_2GRAM:CK	19	47
115	WITHIN_GROUP_2GRAM:FA	8	58
116	WITHIN_GROUP_2GRAM:JB	12	54
117	WITHIN_GROUP_2GRAM:JQ	29	37
118	WITHIN_GROUP_2GRAM:KB	19	47
119	WITHIN_GROUP_2GRAM:KC	23	43
120	WITHIN_GROUP_2GRAM:KK	34	32
121	WITHIN_GROUP_2GRAM:KQ	38	28
122	WITHIN_GROUP_2GRAM:KU	38	28
123	WITHIN_GROUP_2GRAM:LB	8	58
124	WITHIN_GROUP_2GRAM:LJ	45	21
125	WITHIN_GROUP_2GRAM:LK	18	48
126	WITHIN_GROUP_2GRAM:MA	10	56
127	WITHIN_GROUP_2GRAM:MC	10	56
128	WITHIN_GROUP_2GRAM:PA	38	28
129	WITHIN_GROUP_2GRAM:PK	50	16
130	WITHIN_GROUP_2GRAM:PL	8	58
131	WITHIN_GROUP_2GRAM:QJ	48	18
132	WITHIN_GROUP_2GRAM:QL	32	34
133	WITHIN_GROUP_2GRAM:QM	11	55
134	WITHIN_GROUP_2GRAM:TA	34	32
135	WITHIN_GROUP_2GRAM:TJ	11	55
136	WITHIN_GROUP_2GRAM:UA	57	9
137	WITHIN_GROUP_2GRAM:UJ	27	39
138	WITHIN_GROUP_3GRAM:AAB	8	58
139	WITHIN_GROUP_3GRAM:AAC	12	54
140	WITHIN_GROUP_3GRAM:AAG	13	53
141	WITHIN_GROUP_3GRAM:AAQ	8	58
142	WITHIN_GROUP_3GRAM:ABB	43	23
143	WITHIN_GROUP_3GRAM:ABC	18	48
144	WITHIN_GROUP_3GRAM:ABK	22	44
145	WITHIN_GROUP_3GRAM:ABL	12	54
146	WITHIN_GROUP_3GRAM:ABQ	10	56
147	WITHIN_GROUP_3GRAM:ACA	46	20
148	WITHIN_GROUP_3GRAM:ACB	11	55
149	WITHIN_GROUP_3GRAM:ACK	11	55
150	WITHIN_GROUP_3GRAM:AFA	8	58
151	WITHIN_GROUP_3GRAM:AKA	31	35
152	WITHIN_GROUP_3GRAM:AKJ	16	50
153	WITHIN_GROUP_3GRAM:ALA	14	52
154	WITHIN_GROUP_3GRAM:APA	17	49
155	WITHIN_GROUP_3GRAM:APK	37	29
156	WITHIN_GROUP_3GRAM:AQJ	41	25
157	WITHIN_GROUP_3GRAM:AQL	21	45
158	WITHIN_GROUP_3GRAM:AQM	11	55
159	WITHIN_GROUP_3GRAM:ATA	8	58
160	WITHIN_GROUP_3GRAM:AUA	30	36
161	WITHIN_GROUP_3GRAM:BAB	57	9
162	WITHIN_GROUP_3GRAM:BAC	53	13
163	WITHIN_GROUP_3GRAM:BAE	15	51
164	WITHIN_GROUP_3GRAM:BAF	41	25
165	WITHIN_GROUP_3GRAM:BAQ	13	53
166	WITHIN_GROUP_3GRAM:BBA	39	27
167	WITHIN_GROUP_3GRAM:BKA	43	23
168	WITHIN_GROUP_3GRAM:BKJ	16	50
169	WITHIN_GROUP_3GRAM:BLA	21	45
170	WITHIN_GROUP_3GRAM:BLJ	8	58
171	WITHIN_GROUP_3GRAM:CAB	30	36
172	WITHIN_GROUP_3GRAM:CAC	29	37
173	WITHIN_GROUP_3GRAM:CAF	11	55
174	WITHIN_GROUP_3GRAM:CAG	19	47
175	WITHIN_GROUP_3GRAM:CBA	9	57
176	WITHIN_GROUP_3GRAM:CKA	14	52
177	WITHIN_GROUP_3GRAM:DAB	18	48
178	WITHIN_GROUP_3GRAM:DAP	18	48
179	WITHIN_GROUP_3GRAM:DAU	12	54
180	WITHIN_GROUP_3GRAM:JAB	43	23
181	WITHIN_GROUP_3GRAM:JAC	36	30
182	WITHIN_GROUP_3GRAM:JAQ	11	55
183	WITHIN_GROUP_3GRAM:JBA	10	56
184	WITHIN_GROUP_3GRAM:JQA	24	42
185	WITHIN_GROUP_3GRAM:KAE	9	57
186	WITHIN_GROUP_3GRAM:KAF	8	58
187	WITHIN_GROUP_3GRAM:KAG	28	38
188	WITHIN_GROUP_3GRAM:KAP	9	57
189	WITHIN_GROUP_3GRAM:KAQ	37	29
190	WITHIN_GROUP_3GRAM:KAU	14	52
191	WITHIN_GROUP_3GRAM:KBA	16	50
192	WITHIN_GROUP_3GRAM:KJA	56	10
193	WITHIN_GROUP_3GRAM:KJB	8	58
194	WITHIN_GROUP_3GRAM:KJQ	14	52
195	WITHIN_GROUP_3GRAM:KKA	26	40
196	WITHIN_GROUP_3GRAM:KQA	28	38
197	WITHIN_GROUP_3GRAM:KQK	14	52
198	WITHIN_GROUP_3GRAM:KUA	33	33
199	WITHIN_GROUP_3GRAM:LAB	54	12
200	WITHIN_GROUP_3GRAM:LAC	33	33
201	WITHIN_GROUP_3GRAM:LAG	10	56
202	WITHIN_GROUP_3GRAM:LAQ	15	51
203	WITHIN_GROUP_3GRAM:LJA	39	27
204	WITHIN_GROUP_3GRAM:LKA	14	52
205	WITHIN_GROUP_3GRAM:PAB	21	45
206	WITHIN_GROUP_3GRAM:PAC	8	58
207	WITHIN_GROUP_3GRAM:PKA	41	25
208	WITHIN_GROUP_3GRAM:PKJ	16	50
209	WITHIN_GROUP_3GRAM:QAA	10	56
210	WITHIN_GROUP_3GRAM:QAB	55	11
211	WITHIN_GROUP_3GRAM:QAC	44	22
212	WITHIN_GROUP_3GRAM:QAF	13	53
213	WITHIN_GROUP_3GRAM:QAG	39	27
214	WITHIN_GROUP_3GRAM:QAK	8	58
215	WITHIN_GROUP_3GRAM:QAQ	12	54
216	WITHIN_GROUP_3GRAM:QJA	45	21
217	WITHIN_GROUP_3GRAM:QJB	8	58
218	WITHIN_GROUP_3GRAM:QKB	11	55
219	WITHIN_GROUP_3GRAM:QKJ	40	26
220	WITHIN_GROUP_3GRAM:QLA	26	40
221	WITHIN_GROUP_3GRAM:QLJ	9	57
222	WITHIN_GROUP_3GRAM:TAB	12	54
223	WITHIN_GROUP_3GRAM:TAC	8	58
224	WITHIN_GROUP_3GRAM:TJA	9	57
225	WITHIN_GROUP_3GRAM:UAB	38	28
226	WITHIN_GROUP_3GRAM:UAC	27	39
227	WITHIN_GROUP_3GRAM:UJA	26	40
