visible_surface	master_card_id	joint_tuple_id	master_head_form	surface_role	short_meaning_de	component_reading	macro_id	observed_event_count	direct_lookup_unique	context_needed_for_card_identity	previous_short_meaning_de	unique_short_meaning_de	gloss_revision
chedy	MC074	6f7ff8287eddf4da9fdb	chdy	OTHER_REGISTERED_ALLOGRAPH	umsetzen	CHD~CHED_TRANSFER+Y_ITEM	M06	10	YES	NO	umsetzen	laufenden Posten umsetzen	DISAMBIGUATED_DUPLICATE
cheeckhody	MC099	95987d6f198d6d247511	cheeckhody	FIXED_REGISTERED_FORM	auftragen	CHEECKHO_APPLY_WHOLE_CARD+DY_CLOSE	M07	1	YES	NO	auftragen	auftragen	UNCHANGED_UNIQUE
cheedar	MC042	342c3f0777337648f4b3	cheedar	FIXED_REGISTERED_FORM	von dort umsetzen	CHED_TRANSFER+AR_FROM	M06	1	YES	NO	von dort umsetzen	von dort umsetzen	UNCHANGED_UNIQUE
cheedy	MC128	bc4f1f5c006c74a4d26d	cheedy	MASTER_HEAD_FORM	absetzen; Schluss	SHED_SETTLE+GRADE_1+DY_CLOSE	M07	1	YES	NO	absetzen; Schluss	kurz absetzen lassen; Schluss	DISAMBIGUATED_DUPLICATE
cheeety	MC094	9247e38d29c79a0d2fa5	cheeety	FIXED_REGISTERED_FORM	ganzen Teilposten	EEE_FULL+TY_PART	M04	1	YES	NO	ganzen Teilposten	ganzen Teilposten	UNCHANGED_UNIQUE
cheeky	MC032	2c1a5fd92b9e3c762242	cheeky	FIXED_REGISTERED_FORM	länger wärmen	CHK_WARM+GRADE_2+Y_OPEN	M07	2	YES	NO	länger wärmen	länger erwärmen und offen halten	DISAMBIGUATED_DUPLICATE
cheey	MC119	b5df9126607030b95175	cheey	MASTER_HEAD_FORM	Klarlauf	SHEY_CLEAR_LIQUID_WHOLE	M08	2	YES	NO	Klarlauf	klarer Auszug	DISAMBIGUATED_DUPLICATE
cheky	MC147	d904bf7b044dd3922781	cheky	FIXED_REGISTERED_FORM	kurz wärmen	CHK_WARM+GRADE_1+Y_OPEN	M07	3	YES	NO	kurz wärmen	kurz wärmen	UNCHANGED_UNIQUE
cheoar	MC085	807591efc3d3f7ddbfab	cheoar	FIXED_REGISTERED_FORM	Auszug entnehmen	CHEO_EXTRACT+AR_SOURCE	M03	1	YES	NO	Auszug entnehmen	Auszug entnehmen	UNCHANGED_UNIQUE
cheol	MC153	dcda95c81a5460feb191	cheol	MASTER_HEAD_FORM	fortsetzen	OL_CONTINUE	M02	1	YES	NO	fortsetzen	fortsetzen	UNCHANGED_UNIQUE
ches	MC152	db729b598e89e11452e0	ches	FIXED_REGISTERED_FORM	teilen	MEMORIZED_WHOLE_CARD	M07	1	YES	NO	teilen	teilen	UNCHANGED_UNIQUE
chety	MC086	80ebbbbf238eee9f0aef	chety	MASTER_HEAD_FORM	Teil abtrennen	CH_PARTITION+TY_PART	M04	1	YES	NO	Teil abtrennen	Teil abtrennen	UNCHANGED_UNIQUE
chey	MC123	b921a237be883a820352	chey	MASTER_HEAD_FORM	dieser Posten	Y_CURRENT_ITEM_CARD	M02	7	YES	NO	dieser Posten	dieser Posten	UNCHANGED_UNIQUE
chkain	MC105	9da1b6ac2c929daea697	chkain	MASTER_HEAD_FORM	eine Portion	AIN_PORTION	M04	1	YES	NO	eine Portion	eine Portion	UNCHANGED_UNIQUE
chkeedy	MC110	a84fbe3ad380df345b97	chkeedy	FIXED_REGISTERED_FORM	länger wärmen; Schluss	CHK_WARM+GRADE_2+DY_CLOSE	M07	1	YES	NO	länger wärmen; Schluss	länger wärmen; Schluss	UNCHANGED_UNIQUE
chkeey	MC166	f0db6d30cd34f4cb2a4d	chkeey	FIXED_REGISTERED_FORM	länger wärmen	CHK_WARM+GRADE_2+Y_CURRENT	M07	1	YES	NO	länger wärmen	diesen Posten länger warm halten	DISAMBIGUATED_DUPLICATE
chldaiin	MC144	d72f71baff01cd0a0406	chldaiin	FIXED_REGISTERED_FORM	Absetzmaß	CHLD_SETTLE+AIIN_MEASURE	M04	1	YES	NO	Absetzmaß	Absetzmaß	UNCHANGED_UNIQUE
cho	MC034	2cc054357a929df85f64	cho	MASTER_HEAD_FORM	Zutat	HO_INGREDIENT	M01	2	YES	NO	Zutat	Zutat	UNCHANGED_UNIQUE
chochor	MC125	b9d7b6d68209a9019e7a	chochor	FIXED_REGISTERED_FORM	Zutatenansatz	HO_INGREDIENT+OR_BATCH	M03	1	YES	NO	Zutatenansatz	Zutatenansatz	UNCHANGED_UNIQUE
chodaiin	MC087	834825c61d048a6b5628	chodaiin	FIXED_REGISTERED_FORM	Zutatenmaß	HO_INGREDIENT+AIIN_MEASURE	M04	1	YES	NO	Zutatenmaß	Zutatenmaß	UNCHANGED_UNIQUE
chodaly	MC010	0ec6a45e2950e8e7061d	chodaly	FIXED_REGISTERED_FORM	Zutat dorthin	HO_INGREDIENT+AL_TO+Y_ITEM	M01	1	YES	NO	Zutat dorthin	diese Zutat zur Stelle bringen	DISAMBIGUATED_DUPLICATE
chokcheo	MC006	087a47b5423438cd6b6a	chokcheo	FIXED_REGISTERED_FORM	Auszug zugeben	CH_RENDERER+OK_ADD+CHEO_EXTRACT	M03	1	YES	NO	Auszug zugeben	Auszug zugeben	UNCHANGED_UNIQUE
chokchy	MC103	9ad66e67803a12e745de	chokchy	MASTER_HEAD_FORM	Posten ansetzen	OK_SET+CH_WRAPPER+Y_OPEN	M07	1	YES	NO	Posten ansetzen	Posten zur Weiterbearbeitung ansetzen	DISAMBIGUATED_DUPLICATE
choky	MC026	276a7c2d74d1143446f4	choky	MASTER_HEAD_FORM	Posten ansetzen	OK_SET+Y_OPEN	M07	2	YES	NO	Posten ansetzen	aktuellen Posten ansetzen	DISAMBIGUATED_DUPLICATE
chol	MC153	dcda95c81a5460feb191	cheol	OTHER_REGISTERED_ALLOGRAPH	fortsetzen	OL_CONTINUE	M02	3	YES	NO	fortsetzen	fortsetzen	UNCHANGED_UNIQUE
cholor	MC157	dec401773c1f0347793d	cholor	MASTER_HEAD_FORM	Fortsetzungsansatz	OL_CONTINUE+OR_BATCH	M03	1	YES	NO	Fortsetzungsansatz	Fortsetzungsansatz	UNCHANGED_UNIQUE
chor	MC080	7a4bb8136330ee4e6e56	chor	MASTER_HEAD_FORM	Ansatz	OR_BATCH	M03	3	YES	NO	Ansatz	Ansatz	UNCHANGED_UNIQUE
choy	MC131	c10aec6d4dd877ec8bd8	choy	FIXED_REGISTERED_FORM	diese Zutat	HO_INGREDIENT+Y_CURRENT	M01	1	YES	NO	diese Zutat	diese Zutat	UNCHANGED_UNIQUE
chty	MC086	80ebbbbf238eee9f0aef	chety	OTHER_REGISTERED_ALLOGRAPH	Teil abtrennen	CH_PARTITION+TY_PART	M04	1	YES	NO	Teil abtrennen	Teil abtrennen	UNCHANGED_UNIQUE
chy	MC123	b921a237be883a820352	chey	OTHER_REGISTERED_ALLOGRAPH	dieser Posten	Y_CURRENT_ITEM_CARD	M02	3	YES	NO	dieser Posten	dieser Posten	UNCHANGED_UNIQUE
cphy	MC156	deb377381ceaf55ea310	cphy	FIXED_REGISTERED_FORM	nachseihen	MEMORIZED_WHOLE_CARD	M07	1	YES	NO	nachseihen	nachseihen	UNCHANGED_UNIQUE
cthaiin	MC169	f3c23f42baf625639e1e	cthaiin	FIXED_REGISTERED_FORM	Fertigmaß	CTH_READY+AIIN_MEASURE	M04	1	YES	NO	Fertigmaß	Fertigmaß	UNCHANGED_UNIQUE
cthoor	MC158	dedc383b600397a301ee	cthoor	FIXED_REGISTERED_FORM	Ansatz bereit	CTH_READY+OR_BATCH	M08	1	YES	NO	Ansatz bereit	Ansatz bereit	UNCHANGED_UNIQUE
cthy	MC161	e0b630cb1b5df5e7105b	checthy	OTHER_REGISTERED_ALLOGRAPH	bereit	CTH_READY+Y_CURRENT	M08	3	YES	NO	bereit	bereit	UNCHANGED_UNIQUE
daiiin	MC172	fcc1deda9e24ec268eb0	daiiin	FIXED_REGISTERED_FORM	Öffnungsstufe	DA+IIN_PORT_GRADE	M04	1	YES	NO	Öffnungsstufe	Öffnungsstufe	UNCHANGED_UNIQUE
daiin	MC039	2f1c5e56e8f0ff459065	aiin	OTHER_REGISTERED_ALLOGRAPH	Sollmaß	AIIN_TARGET_MEASURE	M04	11	YES	NO	Sollmaß	Sollmaß	UNCHANGED_UNIQUE
dain	MC059	53cd0637c6820ba5e91f	dain	FIXED_REGISTERED_FORM	Tuch	DAIN_CLOTH_WHOLE	M05	2	YES	NO	Tuch	Tuch	UNCHANGED_UNIQUE
dairydy	MC091	8aedd154964a78e555d6	dairydy	FIXED_REGISTERED_FORM	Wasserlauf schliessen; Schluss	D_TERMINAL_FRAME+AIR_WATER+Y_ITEM+CLOSE_EXACT	M06	1	YES	NO	Wasserlauf schliessen; Schluss	Wasserlauf schliessen; Schluss	UNCHANGED_UNIQUE
dal	MC154	dd0ecaf5e27d81befffc	al	OTHER_REGISTERED_ALLOGRAPH	dorthin	AL_TO	M05	5	YES	NO	dorthin	dorthin	UNCHANGED_UNIQUE
dalchdy	MC031	2bc2ed2630dbdaaa6b59	dalchdy	FIXED_REGISTERED_FORM	dorthin umsetzen; Schluss	D+AL_TO+CHD_TRANSFER+CLOSE	M06	1	YES	NO	dorthin umsetzen; Schluss	dorthin umsetzen; Schluss	UNCHANGED_UNIQUE
daldy	MC079	78b3b3140714da19090d	daldy	FIXED_REGISTERED_FORM	Nebenoeffnung; Schluss	D_SIDE_FRAME+AL_TO+CLOSE_EXACT	M05	1	YES	NO	Nebenoeffnung; Schluss	Nebenoeffnung; Schluss	UNCHANGED_UNIQUE
dar	MC055	4d4559019a961b834aa1	char	OTHER_REGISTERED_ALLOGRAPH	daraus	AR_FROM	M05	2	YES	NO	daraus	aus dem Ansatz	DISAMBIGUATED_DUPLICATE
dchdy	MC139	d225b7a7b95da7aee437	dchdy	FIXED_REGISTERED_FORM	umsetzen; Schluss	D+CHD_TRANSFER+CLOSE	M06	1	YES	NO	umsetzen; Schluss	weitergeführten Posten überführen; Schluss	DISAMBIGUATED_DUPLICATE
dchedy	MC025	259b2b3b0bf859882e2c	dchedy	MASTER_HEAD_FORM	umsetzen; Schluss	CHED_TRANSFER+TERMINAL	M06	1	YES	NO	umsetzen; Schluss	Posten überführen; Schluss	DISAMBIGUATED_DUPLICATE
dchey	MC071	65f320e75510b2f38182	dchey	FIXED_REGISTERED_FORM	Wurzel	MEMORIZED_WHOLE_CARD	M01	1	YES	NO	Wurzel	Wurzel	UNCHANGED_UNIQUE
dchol	MC142	d665560c8ff80799a82c	dchol	MASTER_HEAD_FORM	Voriges	DCHOL_SCHOL_PREVIOUS_ITEM_WHOLE	M02	1	YES	NO	Voriges	Voriges	UNCHANGED_UNIQUE
dl	MC012	0f18de177ed7c878bf95	dl	FIXED_REGISTERED_FORM	Zusatz	DL_BATH_ADDITIVE_WHOLE_CARD	M03	2	YES	NO	Zusatz	Zusatz	UNCHANGED_UNIQUE
dshedy	MC138	cbb42a4fe68068325d6b	dshedy	FIXED_REGISTERED_FORM	Frischwasser	DSHE_FRESH_WATER+DY_CLOSE	M03	1	YES	NO	Frischwasser	Frischwasser	UNCHANGED_UNIQUE
dsheol	MC076	74c76d589d44120f647b	dsheol	FIXED_REGISTERED_FORM	kurz weiter ruhen lassen	SH_REST+E_SHORT+OL_CONTINUE	M08	1	YES	NO	kurz weiter ruhen lassen	kurz weiter ruhen lassen	UNCHANGED_UNIQUE
dy	MC123	b921a237be883a820352	chey	OTHER_REGISTERED_ALLOGRAPH	dieser Posten	Y_CURRENT_ITEM_CARD	M02	5	YES	NO	dieser Posten	dieser Posten	UNCHANGED_UNIQUE
etyd	MC108	a6939862e33ece5a0483	etyd	FIXED_REGISTERED_FORM	kleiner Restteil	E_SHORT+TY_PART+D_LOCAL	M04	1	YES	NO	kleiner Restteil	kleiner Restteil	UNCHANGED_UNIQUE
kaiiin	MC048	409de02322e7b2ca0c62	kaiiin	FIXED_REGISTERED_FORM	Weichstufe	K_SOFT+IIN_TARGET_STAGE	M04	1	YES	NO	Weichstufe	Weichstufe	UNCHANGED_UNIQUE
kain	MC105	9da1b6ac2c929daea697	chkain	OTHER_REGISTERED_ALLOGRAPH	eine Portion	AIN_PORTION	M04	2	YES	NO	eine Portion	eine Portion	UNCHANGED_UNIQUE
kair	MC023	22fb87a5a83e5c3fb510	kair	FIXED_REGISTERED_FORM	Beckenwasser	K_BASIN+AIR_WATER	M06	1	YES	NO	Beckenwasser	Beckenwasser	UNCHANGED_UNIQUE
kchal	MC077	75a523fcf039b006f97b	kchal	FIXED_REGISTERED_FORM	an der Zielstelle bearbeiten	KCH_PROCESS+AL_TO	M07	1	YES	NO	an der Zielstelle bearbeiten	an der Zielstelle bearbeiten	UNCHANGED_UNIQUE
kchey	MC122	b74e9e65637b7c8538dd	kchey	FIXED_REGISTERED_FORM	diesen Posten kurz bearbeiten	KCH_PROCESS+E_SHORT+Y_CURRENT	M07	1	YES	NO	diesen Posten kurz bearbeiten	diesen Posten kurz bearbeiten	UNCHANGED_UNIQUE
kchoar	MC136	c71c72da4e09e0833392	kchoar	FIXED_REGISTERED_FORM	Auszug daraus	K_HULL+CHEO_EXTRACT+AR_FROM	M03	1	YES	NO	Auszug daraus	Auszug daraus	UNCHANGED_UNIQUE
kchol	MC090	893c570f3fa3fce99711	kchol	FIXED_REGISTERED_FORM	weiter bearbeiten	KCH_PROCESS+OL_CONTINUE	M07	1	YES	NO	weiter bearbeiten	weiter bearbeiten	UNCHANGED_UNIQUE
kchy	MC117	b2812c8283c3a62438bd	kchy	FIXED_REGISTERED_FORM	diesen Posten bearbeiten	KCH_PROCESS+Y_CURRENT	M07	1	YES	NO	diesen Posten bearbeiten	diesen Posten bearbeiten	UNCHANGED_UNIQUE
keol	MC104	9bb7122b386ebbc6138f	keol	FIXED_REGISTERED_FORM	kurz weiterfuehren	E_SHORT+OL_CONTINUE	M02	1	YES	NO	kurz weiterfuehren	kurz weiterbearbeiten	DISAMBIGUATED_DUPLICATE
lar	MC029	29e0eb222ef2fb99523a	lar	FIXED_REGISTERED_FORM	von dort abfuehren	L_OUT+AR_FROM	M06	1	YES	NO	von dort abfuehren	von dort abfuehren	UNCHANGED_UNIQUE
lcheckhedy	MC133	c1db6b0a28d5cbb5d3d2	lcheckhedy	FIXED_REGISTERED_FORM	abseihen; Schluss	L_OUT+CKHE_STRAIN+TERMINAL	M06	1	YES	NO	abseihen; Schluss	abseihen; Schluss	UNCHANGED_UNIQUE
lcheckhy	MC168	f329f2051370174e9a38	lcheckhy	FIXED_REGISTERED_FORM	Ausgangsdurchlass	L_OUT+CKH_THROUGH+Y_ITEM	M06	1	YES	NO	Ausgangsdurchlass	Ausgangsdurchlass	UNCHANGED_UNIQUE
lched	MC127	ba8142680851f24c9ff2	lched	FIXED_REGISTERED_FORM	abführen	L_OUT+CHED_TRANSFER	M06	1	YES	NO	abführen	abführen	UNCHANGED_UNIQUE
lchedal	MC051	433713294b25b0a12f66	lchedal	FIXED_REGISTERED_FORM	Auslass	L_OUT+CHED_TRANSFER+AL_TO	M06	1	YES	NO	Auslass	zur Ablaufstelle führen	DISAMBIGUATED_DUPLICATE
lchedar	MC011	0f15effeca7ab10bb026	lchedar	FIXED_REGISTERED_FORM	von dort abführen	L_OUT+CHED_TRANSFER+AR_FROM	M06	1	YES	NO	von dort abführen	von dort abführen	UNCHANGED_UNIQUE
lchedy	MC155	de7321bface5628e35d6	lchedy	FIXED_REGISTERED_FORM	abführen; Schluss	L_OUT+CHED_TRANSFER+TERMINAL	M06	8	YES	NO	abführen; Schluss	abführen; Schluss	UNCHANGED_UNIQUE
lcheey	MC066	5fca8fc3dee57e1d8c1f	lcheey	FIXED_REGISTERED_FORM	Klarlauf abfuehren	L_OUT+CHEEY_CLEAR_FLOW	M06	1	YES	NO	Klarlauf abfuehren	Klarlauf abfuehren	UNCHANGED_UNIQUE
lchy	MC008	0ab57b7166de99db3a55	lchy	FIXED_REGISTERED_FORM	abziehen	LCH_WITHDRAW+Y_ITEM	M06	1	YES	NO	abziehen	abziehen	UNCHANGED_UNIQUE
ldalor	MC101	97ddca78c9ebcc956d04	ldalor	FIXED_REGISTERED_FORM	Endziel	LD_END+AL_TO	M05	1	YES	NO	Endziel	Endziel	UNCHANGED_UNIQUE
ldy	MC004	04a3877f0fc81b7597c9	ldy	FIXED_REGISTERED_FORM	abziehen; Ende	L_OUT+CLOSE_EXACT	M06	2	YES	NO	abziehen; Ende	abziehen; Ende	UNCHANGED_UNIQUE
lkedy	MC124	b958a512ca6a3559e86e	lkedy	FIXED_REGISTERED_FORM	nachwaschen	LKEDY_REWASH_WHOLE+CLOSE	M07	1	YES	NO	nachwaschen	nachwaschen	UNCHANGED_UNIQUE
lo	MC030	2b7fa918d1b2f5c656e3	lo	FIXED_REGISTERED_FORM	abfuehren	L_OUT+O_RESIDUAL_BRANCH	M06	1	YES	NO	abfuehren	abfuehren	UNCHANGED_UNIQUE
lochedy	MC167	f2af6326898fb5b490a4	lochedy	FIXED_REGISTERED_FORM	Rest abfuehren; Schluss	L_OUT+O_RESIDUAL_BRANCH+CHED_TRANSFER+CLOSE_EXACT	M06	1	YES	NO	Rest abfuehren; Schluss	Rest abfuehren; Schluss	UNCHANGED_UNIQUE
lol	MC092	8c97dfde96fbc78e3355	lol	FIXED_REGISTERED_FORM	von dort weiterfuehren	L_OUT+OL_CONTINUE	M06	1	YES	NO	von dort weiterfuehren	von dort weiterfuehren	UNCHANGED_UNIQUE
ls	MC065	5eff216ba51fbfb21f22	ls	FIXED_REGISTERED_FORM	Auslass	L_OUT+S_PORT	M06	1	YES	NO	Auslass	Durchlassöffnung	DISAMBIGUATED_DUPLICATE
lshedy	MC038	2e7e89e0bd12b999c280	lshedy	FIXED_REGISTERED_FORM	waschen; Schluss	LSH_WASH+DY_CLOSE	M07	2	YES	NO	waschen; Schluss	waschen; Schluss	UNCHANGED_UNIQUE
lsho	MC130	be0974b366c981dc1eef	lsho	FIXED_REGISTERED_FORM	Waschgang	LSH_WASH	M07	1	YES	NO	Waschgang	Waschgang beginnen	DISAMBIGUATED_DUPLICATE
ly	MC118	b38d70daefd663d74625	ly	FIXED_REGISTERED_FORM	Gefaess	MEMORIZED_VESSEL_CARD	M05	1	YES	NO	Gefaess	Sammelgefäß	DISAMBIGUATED_DUPLICATE
octheol	MC112	a8f891de626fc00028e9	octheol	FIXED_REGISTERED_FORM	bereit weiterfuehren	CTH_READY+OL_CONTINUE	M08	1	YES	NO	bereit weiterfuehren	bereitgestellten Gang fortsetzen	DISAMBIGUATED_DUPLICATE
ody	MC100	97cc9ac109148723c472	ody	FIXED_REGISTERED_FORM	kühlen	ODY_COOL+TERMINAL_CLOSE	M07	1	YES	NO	kühlen	kühlen	UNCHANGED_UNIQUE
oiiin	MC033	2c82523794dcb7d2b343	oiiin	MASTER_HEAD_FORM	Sollstufe	IIN_TARGET_STAGE	M04	1	YES	NO	Sollstufe	Sollstufe	UNCHANGED_UNIQUE
okaiin	MC120	b5fcea1eaed06b2f2291	okaiin	MASTER_HEAD_FORM	auf Sollmaß einstellen	OK_SET+AIIN_TARGET_MEASURE	M04	1	YES	NO	auf Sollmaß einstellen	auf Sollmaß einstellen	UNCHANGED_UNIQUE
okain	MC017	1645e612504fcef59ced	okain	MASTER_HEAD_FORM	eine Portion zugeben	OK+AIN_PORTION	M04	3	YES	NO	eine Portion zugeben	eine Portion zugeben	UNCHANGED_UNIQUE
okair	MC081	7d2404c835b10a2c06af	okair	FIXED_REGISTERED_FORM	Wasser einlassen	OK_SET+AIR_WATER	M06	1	YES	NO	Wasser einlassen	Wasser einlassen	UNCHANGED_UNIQUE
okal	MC040	308e8ea2d5d190c498e8	okal	MASTER_HEAD_FORM	dort ansetzen	OK_SET+AL_TO	M07	2	YES	NO	dort ansetzen	dort ansetzen	UNCHANGED_UNIQUE
okchedy	MC005	07913ef9b1fb773cd325	okchedy	MASTER_HEAD_FORM	umsetzen; Schluss	OK+CHED_TRANSFER+CLOSE	M06	1	YES	NO	umsetzen; Schluss	angesetzten Inhalt überführen; Schluss	DISAMBIGUATED_DUPLICATE
okchol	MC041	322281bd391aa621f568	okchol	FIXED_REGISTERED_FORM	Fortsetzung einsetzen	OK_SET+CH_WRAPPER+OL_CONTINUE	M07	1	YES	NO	Fortsetzung einsetzen	weiterlaufenden Posten aufnehmen	DISAMBIGUATED_DUPLICATE
okchy	MC103	9ad66e67803a12e745de	chokchy	OTHER_REGISTERED_ALLOGRAPH	Posten ansetzen	OK_SET+CH_WRAPPER+Y_OPEN	M07	1	YES	NO	Posten ansetzen	Posten zur Weiterbearbeitung ansetzen	DISAMBIGUATED_DUPLICATE
okeeol	MC150	daf32e6db9e04413ce7f	okeeol	FIXED_REGISTERED_FORM	länger fortführen	OK_SET+GRADE_2+OL_CONTINUE	M07	1	YES	NO	länger fortführen	länger fortführen	UNCHANGED_UNIQUE
okeey	MC002	0275fbf14e07935b0a45	okeey	MASTER_HEAD_FORM	länger ansetzen	OK_SET+GRADE_2+Y_OPEN	M07	1	YES	NO	länger ansetzen	länger ansetzen	UNCHANGED_UNIQUE
okey	MC007	08bd5ca0c2ad137a056d	okey	MASTER_HEAD_FORM	kurz ansetzen	OK_SET+GRADE_1+Y_OPEN	M07	1	YES	NO	kurz ansetzen	kurz ansetzen	UNCHANGED_UNIQUE
oky	MC026	276a7c2d74d1143446f4	choky	OTHER_REGISTERED_ALLOGRAPH	Posten ansetzen	OK_SET+Y_OPEN	M07	1	YES	NO	Posten ansetzen	aktuellen Posten ansetzen	DISAMBIGUATED_DUPLICATE
ol	MC153	dcda95c81a5460feb191	cheol	OTHER_REGISTERED_ALLOGRAPH	fortsetzen	OL_CONTINUE	M02	8	YES	NO	fortsetzen	fortsetzen	UNCHANGED_UNIQUE
olchedy	MC028	28ffbc88b97772a75f1e	olchedy	MASTER_HEAD_FORM	fortsetzen; Schluss	OL_CONTINUE+CHED_TRANSFER+TERMINAL_CLOSE	M06	1	YES	NO	fortsetzen; Schluss	weiterüberführen; Schluss	DISAMBIGUATED_DUPLICATE
oldy	MC019	1b1ffdd869fb1429ad03	oldy	FIXED_REGISTERED_FORM	fortsetzen; Schluss	OL_CONTINUE+DY_CLOSE	M02	2	YES	NO	fortsetzen; Schluss	Fortsetzung abschließen	DISAMBIGUATED_DUPLICATE
olkain	MC097	94df4847b7b16c98394a	olkain	MASTER_HEAD_FORM	weitere Portion	OL_CONTINUE+AIN_PORTION	M04	1	YES	NO	weitere Portion	weitere Portion	UNCHANGED_UNIQUE
olkeedy	MC045	3b70942557b3a40e8030	olkeedy	MASTER_HEAD_FORM	länger sammeln; Schluss	SOLK_COLLECT+EE_LONG+TERMINAL	M07	2	YES	NO	länger sammeln; Schluss	länger sammeln; Schluss	UNCHANGED_UNIQUE
olor	MC157	dec401773c1f0347793d	cholor	OTHER_REGISTERED_ALLOGRAPH	Fortsetzungsansatz	OL_CONTINUE+OR_BATCH	M03	1	YES	NO	Fortsetzungsansatz	Fortsetzungsansatz	UNCHANGED_UNIQUE
olsaly	MC078	7811a7daff25d476e28d	olsaly	FIXED_REGISTERED_FORM	untere Zielstelle	OLS_BELOW+AL_TO+Y_ITEM	M05	1	YES	NO	untere Zielstelle	untere Zielstelle	UNCHANGED_UNIQUE
oltchy	MC021	204b04837409088c48f9	oltchy	FIXED_REGISTERED_FORM	bereit weiterfuehren	OL_CONTINUE+CTH_READY+Y_CURRENT	M08	1	YES	NO	bereit weiterfuehren	bereiten Posten weiterführen	DISAMBIGUATED_DUPLICATE
or	MC080	7a4bb8136330ee4e6e56	chor	OTHER_REGISTERED_ALLOGRAPH	Ansatz	OR_BATCH	M03	2	YES	NO	Ansatz	Ansatz	UNCHANGED_UNIQUE
