statement_id	record	events	prior_grade	repair_focus	before_de	after_de	card_sequence_unchanged	component_sequence_unchanged
B2-S012	B2	8	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	den laufenden Posten weiterleiten und abnehmen; dann laenger ihn halten; dann kurz ihn bereithalten; dann laenger ihn ansetzen; dann laenger ihn weiterleiten; dann nach Sollmass; dann ihn beibehalten; dann vollstaendig ansetzen; den Schritt schliessen.	Den Posten weiterleiten und abnehmen; laenger halten, kurz bereithalten, laenger ansetzen und laenger weiterleiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	YES	YES
B2-S016	B2	8	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	zur Zielstelle; dann aus dem Vorrat weiterleiten und umsetzen; dann kurz abnehmen und teilen; dann nach Sollmass; dann danach laenger den laufenden Posten; dann nach Sollmass ansetzen; dann kurz ihn ansetzen; dann einfuellen und umsetzen; den Schritt schliessen.	An der Zielstelle aus dem Vorrat weiterleiten und umsetzen. Kurz abnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einfuellen, umsetzen und schliessen.	YES	YES
B3-S021	B3	11	DENSE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	nach Sollmass ansetzen; dann den laufenden Posten bereithalten; dann zur Zielstelle; dann ihn beibehalten; dann nach Sollmass; dann zur Zielstelle absetzen lassen; dann kurz bis bereit ihn halten; dann ihn beibehalten; dann zur Zielstelle; dann ihn bereithalten; dann zur Zielstelle umsetzen; den Schritt schliessen.	Nach Sollmass ansetzen und den Posten bereithalten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereithalten, umsetzen und schliessen.	YES	YES
B3-S026	B3	7	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	laenger aus dem Vorrat; dann nach Sollmass weiterleiten; dann den laufenden Posten umsetzen; dann als Portion ansetzen; dann ihn bereithalten; dann den Ansatz zur Zielstelle kuehlen; dann laenger auffangen; den Schritt schliessen.	Laenger aus dem Vorrat arbeiten; nach Sollmass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereithalten; den Ansatz an der Zielstelle kuehlen, laenger auffangen und schliessen.	YES	YES
B3-S032	B3	5	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	als Portion umsetzen; dann den laufenden Posten umsetzen; dann danach kurz nach Sollmass; dann danach nach Sollmass; dann danach kurz; den Schritt schliessen.	Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	YES	YES
B3-S034	B3	6	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	im Arbeitsgang bis zur Arbeitsstufe; dann den laufenden Posten bereithalten; dann ihn eintragen; dann danach nach Sollmass; dann ihn zur Zielstelle fortsetzen; dann absetzen lassen; den Schritt schliessen.	Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereithalten und eintragen; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.	YES	YES
B4-S003	B4	7	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	den laufenden Posten umsetzen; dann danach zur Zielstelle; dann danach ihn; dann laenger ihn ansetzen; dann ihn ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, fortsetzen, absetzen und schliessen.	YES	YES
B4-S011	B4	7	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	nach Sollmass; dann kurz den laufenden Posten erwaermen; dann weiter laenger ansetzen; dann als Portion ansetzen; dann ihn umsetzen; dann fortsetzen; dann kurz weiterleiten und zudosieren; den Schritt schliessen.	Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zudosieren, dann schliessen.	YES	YES
B4-S015	B4	6	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	als Portion ansetzen; dann laenger den laufenden Posten halten; dann als Portion zudosieren; dann durch den Durchlass zur Zielstelle abnehmen; dann kurz ihn auffangen; dann weiterleiten und umsetzen; den Schritt schliessen.	Eine Portion ansetzen, den Posten laenger halten, eine Portion zudosieren, durch den Durchlass an der Zielstelle abnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen.	YES	YES
B5-S003	B5	9	DENSE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	zur Zielstelle absetzen lassen; dann zur Zielstelle; dann fortsetzen; dann weiter weiterleiten; dann zur Zielstelle umsetzen; dann nach Sollmass; dann fortsetzen; dann bis zur Arbeitsstufe fuer den zweiten Durchgang; dann den laufenden Posten umsetzen.	An der Zielstelle absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, an der Zielstelle umsetzen, nach Sollmass fortsetzen, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.	YES	YES
B6-S001	B6	9	DENSE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	Den Posten laenger auffangen, kurz zudosieren, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle weiterleiten.	Den Posten laenger auffangen, kurz zudosieren, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle weiterleiten.	YES	YES
