atom	working_value_de	factor_family	atom_occurrence_count	event_count	physical_page_count	physical_pages	exact_known_event_count	new_composition_event_count	transfer_result
AM_ADDR	HIER	LOCAL_OR_CLASS_SIGN	12	12	4	f1r|f24v|f81r|f95v	7	5	OBSERVED_WITH_FIXED_VALUE
A_ADDR	HIER	LOCAL_OR_CLASS_SIGN	10	10	3	f1r|f24v|f95v	0	10	OBSERVED_WITH_FIXED_VALUE
S_ADDR	HIER	LOCAL_OR_CLASS_SIGN	2	2	2	f1r|f81r	2	0	OBSERVED_WITH_FIXED_VALUE
LOCAL_CHAR_F	HIER	LOCAL_OR_CLASS_SIGN	16	16	4	f1r|f24v|f81r|f95v	0	16	OBSERVED_WITH_FIXED_VALUE
D_LABEL	HIER	LOCAL_OR_CLASS_SIGN	1	1	1	f1r	0	1	OBSERVED_WITH_FIXED_VALUE
S_LABEL	HIER	LOCAL_OR_CLASS_SIGN	0	0	0	NONE	0	0	ABSENT_FROM_RANDOM_BATCH
M_LOCAL	HIER	LOCAL_OR_CLASS_SIGN	1	1	1	f24v	0	1	OBSERVED_WITH_FIXED_VALUE
Z_ADDR	HIER	LOCAL_OR_CLASS_SIGN	0	0	0	NONE	0	0	ABSENT_FROM_RANDOM_BATCH
G_LABEL	VARIANTE	LOCAL_OR_CLASS_SIGN	0	0	0	NONE	0	0	ABSENT_FROM_RANDOM_BATCH
LOCAL_CHAR_G	VARIANTE	LOCAL_OR_CLASS_SIGN	0	0	0	NONE	0	0	ABSENT_FROM_RANDOM_BATCH
LOCAL_CHAR_I	VARIANTE	LOCAL_OR_CLASS_SIGN	6	6	4	f1r|f24v|f81r|f95v	0	6	OBSERVED_WITH_FIXED_VALUE
LOCAL_CHAR_B	VARIANTE	LOCAL_OR_CLASS_SIGN	0	0	0	NONE	0	0	ABSENT_FROM_RANDOM_BATCH
LOCAL_CHAR_J	VARIANTE	LOCAL_OR_CLASS_SIGN	0	0	0	NONE	0	0	ABSENT_FROM_RANDOM_BATCH
LOCAL_CHAR_Z	VARIANTE	LOCAL_OR_CLASS_SIGN	0	0	0	NONE	0	0	ABSENT_FROM_RANDOM_BATCH
HO	KLASSE	LOCAL_OR_CLASS_SIGN	3	3	2	f1r|f24v	3	0	OBSERVED_WITH_FIXED_VALUE
AN	KLASSE	LOCAL_OR_CLASS_SIGN	5	5	2	f1r|f95v	1	4	OBSERVED_WITH_FIXED_VALUE
OS	VORBEZUG	LOCAL_OR_CLASS_SIGN	2	2	1	f1r	2	0	OBSERVED_WITH_FIXED_VALUE
RESUME_CARD	VORBEZUG	LOCAL_OR_CLASS_SIGN	0	0	0	NONE	0	0	ABSENT_FROM_RANDOM_BATCH
