surface	occurrence_count	one_edit_source_count	best_shared_context_score	distinct_candidate_recipe_count	selected_recipe	selection_status	manual_recipe_seen_in_one_edit_candidates	candidate_recipes_by_weight	supporting_surfaces_for_selection	transform_rules_for_selection
chodain	1	2	7	1	CH+O+D_ADDR+AIN	NEW_VISIBLE_COMPOSITION	YES	CH+O+D_ADDR+AIN::5	cheodain|chodaiin	VISIBLE_E_GRADE|VISIBLE_I_CHANGE
chotey	1	2	6	2	CH+OT+E+Y	NEW_VISIBLE_COMPOSITION	YES	CH+OT+E+Y::2 | CH+O+T+E+Y::1	choteey	VISIBLE_E_GRADE
chtaiin	1	1	7	1	CH+T+AIIN	NEW_VISIBLE_COMPOSITION	NO	T+AIIN::1		
chtal	1	1	5	1	CH+T+AL	NEW_VISIBLE_COMPOSITION	NO	T+AL::1		
chtor	1	5	4	2	CH+T+OR	NEW_VISIBLE_COMPOSITION	YES	CH+T+OR::21 | CH+T+O+R::17	chkor|chor|chpor	VISIBLE_INSERT_T|VISIBLE_SUBSTITUTION
ckhar	1	3	4	2	CH+K+AR	NEW_VISIBLE_COMPOSITION	YES	CH+K+AR::4 | K+AR::3	ckhal|cthar	VISIBLE_SUBSTITUTION
ckhor	1	5	4	3	CH+K+OR	NEW_VISIBLE_COMPOSITION	YES	K+CH+OR::19 | CH+K+OR::6 | CH+K+O+R::1	ckhol|cphor|cthor	VISIBLE_SUBSTITUTION
ckhyds	1	3	3	3	CH+K+Y+D_ADDR+S	NEW_MICROFORM_OLD_FACTORS	NO	CH+K+OL+S::3 | CH+K+E+Y+S::2 | CH+K+AL+S::1		
cphar	1	4	4	2	CH+P+AR	NEW_VISIBLE_COMPOSITION	YES	CH+P+AR::5 | P+AR::3	cphal|cphor|cthar	VISIBLE_SUBSTITUTION
cphealy	1	1	6	1	CH+P+E+AL+Y	NEW_VISIBLE_COMPOSITION	NO	P+AL+Y::1		
cphesaiin	1	7	5	7	CH+P+E+S+AIIN	NEW_VISIBLE_COMPOSITION	NO	CHD+S+AIIN::7 | CH+O+S+D_ADDR+AIIN::4 | CH+K+S+AIIN::2 | AL+S+AIIN::1 | L+S+AIIN::1 | OK+S+AIIN::1 | OT+S+AIIN::1		
cpho	1	2	4	1	CH+P+O	NEW_VISIBLE_COMPOSITION	YES	CH+P+O::3	cphol|cphor	VISIBLE_DELETE_L|VISIBLE_DELETE_R
cphodaiils	1	1	3	1	CH+P+O+D_ADDR+AIIN+L+S	NEW_MICROFORM_OLD_FACTORS	NO	CH+P+EEE+D_ADDR+OL+S::1		
cphodal	1	3	4	3	CH+P+O+D_ADDR+AL	NEW_VISIBLE_COMPOSITION	NO	T+E+SH+O+D_ADDR+AL::2 | CHD+O+AL::1 | K+SH+E+O+AL::1		
cphoy	1	5	4	4	CH+P+O+Y	NEW_VISIBLE_COMPOSITION	YES	CH+P+O+Y::2 | CH+P+Y+OL::2 | CH+P+Y+OR::1 | P+HO+Y::1	cphey|cphy	VISIBLE_INSERT_O|VISIBLE_SUBSTITUTION
ctheod	1	1	6	1	CH+T+E+O+D_ADDR	NEW_VISIBLE_COMPOSITION	NO	CH+T+E+O::1		
cthes	1	2	4	1	CH+T+E+S	NEW_VISIBLE_COMPOSITION	YES	CH+T+E+S::8	ches|cthey	VISIBLE_INSERT_T|VISIBLE_SUBSTITUTION
cthiar	1	1	5	1	CH+T+LOCAL_CHAR_I+AR	NEW_VISIBLE_COMPOSITION	YES	CH+T+LOCAL_CHAR_I+AR::3	cthar	VISIBLE_I_VARIANT
cthoary	1	1	4	1	CH+T+O+AR+Y	NEW_VISIBLE_COMPOSITION	NO	CH+T+O+OR+Y::1		
ctholdar	1	1	4	1	CH+T+OL+D_ADDR+AR	NEW_VISIBLE_COMPOSITION	NO	EE+L+AR::1		
cthols	1	1	5	1	CH+T+OL+S	NEW_VISIBLE_COMPOSITION	YES	CH+T+OL+S::5	cthol	VISIBLE_INSERT_S
cthres	1	7	3	7	CH+T+R+E+S	NEW_MICROFORM_OLD_FACTORS	NO	CH+T+OL+S::5 | CH+T+AL+S::3 | CH+T+AR+S::3 | CH+T+E+Y+S::3 | SH+EE+R+S_ADDR::3 | CH+T+OR+S::2 | CH+T+Y+D_ADDR+S::1		
daid	1	3	3	3	AIN+D_ADDR	NEW_MICROFORM_OLD_FACTORS	YES	AIN+D_ADDR::30 | D_ADDR+AIR+D_ADDR::9 | A_ADDR+LOCAL_CHAR_I+D_ADDR::2	dain	VISIBLE_SUBSTITUTION
daiy	1	5	3	5	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	NEW_MICROFORM_OLD_FACTORS	NO	AIN+Y::30 | D_ADDR+AIR+Y::9 | DA+LOCAL_CHAR_I+Y::5 | AL+LOCAL_CHAR_I+Y::2 | A_ADDR+LOCAL_CHAR_I+Y+M_LOCAL::2		
dan	1	1	3	1	AIN	NEW_VISIBLE_COMPOSITION	YES	AIN::30	dain	VISIBLE_I_CHANGE
daraiin	1	3	6	3	D_ADDR+AR+AIIN	NEW_VISIBLE_COMPOSITION	YES	AR+AIIN::1 | DA+R+AIIN::1 | D_ADDR+AR+AIIN::1	araiin	VISIBLE_D_ADDRESS
dchaiin	1	2	6	1	D_ADDR+CH+AIIN	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+CH+AIIN::6	chaiin|kchaiin	VISIBLE_D_ADDRESS|VISIBLE_SUBSTITUTION
dchal	1	4	4	2	D_ADDR+CH+AL	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+CH+AL::9 | D_ADDR+AL::2	chal|kchal|pchal	VISIBLE_D_ADDRESS|VISIBLE_SUBSTITUTION
dchar	1	4	4	2	D_ADDR+CH+AR	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+AR::5 | D_ADDR+CH+AR::2	dchor	VISIBLE_SUBSTITUTION
dcheo	1	1	5	1	D_ADDR+CH+E+O	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+CH+E+O::1	dcheor	VISIBLE_DELETE_R
dchody	1	5	5	5	D_ADDR+CH+O+DY	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+CH+O+D_ADDR+Y::6 | D_ADDR+CHD+O+Y::3 | CH+O+DY::1 | CHD+O+DY::1 | D_ADDR+CH+O+DY::1	tchody	VISIBLE_SUBSTITUTION
dkshey	1	1	5	1	D_ADDR+K+SH+E+Y	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+K+SH+E+Y::1	kshey	VISIBLE_D_ADDRESS
dloo	1	16	1	16	D_ADDR+L+O+O	NEW_MICROFORM_OLD_FACTORS	NO	AL+O::41 | D_ADDR+AR+O::40 | D_ADDR+OL+O::9 | D_ADDR+OR+O::6 | HO+O::6 | DA+AM_ADDR+O::5 | SH+O+O::3 | AL+O+O::1 | DA+LOCAL_CHAR_G+O::1 | DA+S+O::1 | D_ADDR+K+Y+O::1 | D_ADDR+O+D_ADDR+O::1 | D_ADDR+O+Y+O::1 | OT+O+O::1 | T+E+O+O::1 | Y+T+O+O::1		
dlos	1	2	2	2	D_ADDR+L+O+S	NEW_MICROFORM_OLD_FACTORS	NO	T+L+O+S::2 | DA+O+S::1		
dn	1	1	1	1	D_ADDR+AN	NEW_MICROFORM_OLD_FACTORS	NO	N::2		
do	1	4	2	1	D_ADDR+O	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+O::17	dod|dol|dor|doy	VISIBLE_DELETE_L|VISIBLE_DELETE_R|VISIBLE_REMOVE_D_ADDRESS|VISIBLE_REMOVE_Y
dolkain	1	2	6	2	D_ADDR+OL+K+AIN	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+OL+K+AIN::2 | OL+K+AIN::2	qolkain	VISIBLE_SUBSTITUTION
dolkchy	1	4	4	4	D_ADDR+OL+K+Y	NEW_VISIBLE_COMPOSITION	NO	OK+L+Y::7 | D_ADDR+CH+K+Y::1 | D_ADDR+Y+K+P+Y::1 | SH+L+K+Y::1		
dshees	1	1	5	1	D_ADDR+SH+EE+S	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+SH+EE+S::2	shees	VISIBLE_D_ADDRESS
dshey	1	1	5	1	D_ADDR+SH+E+Y	NEW_VISIBLE_COMPOSITION	NO	SH+E+Y::9		
dydyd	1	1	4	1	Y+DY+D_LABEL	NEW_MICROFORM_OLD_FACTORS	NO	D_ADDR+Y+DY+D_LABEL::1		
eo	2	2	2	1	E+O	NEW_VISIBLE_COMPOSITION	YES	E+O::3	eol|teo	VISIBLE_DELETE_L|VISIBLE_DELETE_T
eses	1	1	2	1	E+S+E+S	NEW_MICROFORM_OLD_FACTORS	NO	S+OS::1		
ety	1	1	3	1	E+T+Y	NEW_VISIBLE_COMPOSITION	YES	E+T+Y::1	etyd	VISIBLE_REMOVE_D_ADDRESS
fachys	1	17	1	17	LOCAL_CHAR_F+A_ADDR+CH+Y+S	NEW_MICROFORM_OLD_FACTORS	NO	OT+E+O+Y+S_ADDR::6 | CH+E+O+Y+S::4 | OK+EE+Y+S::3 | OT+EE+Y+S::3 | SH+EE+Y+S_ADDR::3 | CH+CH+Y+S::2 | OK+E+O+Y+S::2 | SH+EE+Y+S::2 | CH+T+O+Y+S::1 | O+EE+O+Y+S::1 | O+EEE+Y+S::1 | OK+A_ADDR+Y+S::1 | OK+O+E+Y+S::1 | OT+E+Y+S::1 | OT+O+Y::1 | R+CH+E+Y+S::1 | Y+T+E+O+Y+S_ADDR::1		
far	1	1	3	1	LOCAL_CHAR_F+AR	NEW_VISIBLE_COMPOSITION	YES	LOCAL_CHAR_F+AR::1	ofar	VISIBLE_DELETE_O
fcheey	1	2	5	2	LOCAL_CHAR_F+CH+EE+Y	NEW_VISIBLE_COMPOSITION	NO	F+EE+Y::2 | F+CH+EE+Y::1		
fchodaiin	1	6	5	6	LOCAL_CHAR_F+CH+O+D_ADDR+AIIN	NEW_VISIBLE_COMPOSITION	NO	CHD+O+AIIN::7 | SH+O+E+AIIN::4 | AL+O+AIIN::1 | L+O+AIIN::1 | OL+O+AIIN::1 | S+AL+O+D_ADDR+AIIN::1		
foar	1	1	3	1	LOCAL_CHAR_F+O+AR	NEW_VISIBLE_COMPOSITION	NO	F+O+AR::1		
kaipy	1	2	3	2	K+A_ADDR+LOCAL_CHAR_I+P+Y	NEW_MICROFORM_OLD_FACTORS	NO	K+AIN+Y::5 | K+AIR+Y::1		
kchod	1	3	4	2	K+CH+O+D_ADDR	NEW_VISIBLE_COMPOSITION	YES	K+OL+D_ADDR::4 | K+CH+O+D_ADDR::3	chod|kchor	VISIBLE_INSERT_K|VISIBLE_SUBSTITUTION
kdchy	1	2	4	2	K+D_ADDR+Y	NEW_VISIBLE_COMPOSITION	YES	D_ADDR+K+Y::3 | K+D_ADDR+Y::2	dchy	VISIBLE_INSERT_K
kochky	1	2	3	2	K+O+CH+K+Y	NEW_MICROFORM_OLD_FACTORS	NO	K+OL+K+DY::1 | K+OL+P+K+Y::1		
kod	1	5	2	2	K+O+D_ADDR	NEW_VISIBLE_COMPOSITION	YES	K+O+D_ADDR::4 | K+D_ADDR+OL::2	dod|kom|kor|lod	VISIBLE_SUBSTITUTION
kodaiin	1	3	6	2	K+O+D_ADDR+AIIN	NEW_VISIBLE_COMPOSITION	YES	K+O+AIIN::2 | K+O+D_ADDR+AIIN::2	odaiin	VISIBLE_INSERT_K
kodshey	1	1	4	1	K+O+D_ADDR+SH+E+Y	NEW_VISIBLE_COMPOSITION	NO	O+P+D_ADDR+SH+E+Y::1		
koeam	1	1	3	1	K+O+E+AM_ADDR	NEW_VISIBLE_COMPOSITION	NO	K+O+E+Y+M_LOCAL::1		
kokaiin	1	2	6	1	K+OK+AIIN	NEW_VISIBLE_COMPOSITION	YES	K+OK+AIIN::56	okaiin|qokaiin	VISIBLE_INSERT_K|VISIBLE_SUBSTITUTION
kos	1	5	2	4	K+O+S	NEW_VISIBLE_COMPOSITION	YES	K+OS::5 | K+O+S::3 | K+S+OL::2 | K+S+OR::1	kom|tos	VISIBLE_SUBSTITUTION
koshey	1	1	5	1	K+O+SH+E+Y	NEW_VISIBLE_COMPOSITION	YES	K+O+SH+E+Y::1	kshey	VISIBLE_INSERT_O
kshed	1	3	4	2	K+SH+E+D_ADDR	NEW_VISIBLE_COMPOSITION	YES	K+SH+E+D_ADDR::3 | K+SH+E::2	ksheo|shed	VISIBLE_INSERT_K|VISIBLE_SUBSTITUTION
kshedy	1	1	6	1	K+SH+E+DY	NEW_VISIBLE_COMPOSITION	NO	OK+SH+E+DY::2		
ksho	1	1	4	1	K+SH+O	NEW_VISIBLE_COMPOSITION	YES	K+SH+O::1	ksheo	VISIBLE_E_GRADE
kshoy	1	3	4	1	K+SH+O+Y	NEW_VISIBLE_COMPOSITION	YES	K+SH+O+Y::4	kshey|kshy|shoy	VISIBLE_INSERT_K|VISIBLE_INSERT_O|VISIBLE_SUBSTITUTION
lchl	1	4	3	1	L+CH+L	NEW_VISIBLE_COMPOSITION	YES	L+CH+L::4	chl|lch|lcho|lchs	VISIBLE_INSERT_L|VISIBLE_SUBSTITUTION
lshee	1	1	5	1	L+SH+EE	NEW_VISIBLE_COMPOSITION	YES	L+SH+EE::2	lsheey	VISIBLE_REMOVE_Y
lshl	1	2	3	1	L+SH+L	NEW_VISIBLE_COMPOSITION	YES	L+SH+L::2	lsh|lsho	VISIBLE_INSERT_L|VISIBLE_SUBSTITUTION
ochdy	1	5	5	4	O+CHD+Y	NEW_VISIBLE_COMPOSITION	YES	O+CHD+Y::3 | O+CHD+DY::1 | OK+CHD+DY::1 | OT+CHD+DY::1	ochedy|opchdy	LICENSED_CHD_CHED|VISIBLE_DELETE_P
ochedar	1	3	6	1	O+CHD+AR	NEW_VISIBLE_COMPOSITION	YES	O+CHD+AR::5	chedar|lchedar|pchedar	VISIBLE_INSERT_O|VISIBLE_SUBSTITUTION
ocphoraiin	1	2	5	2	O+CH+P+OR+AIIN	NEW_VISIBLE_COMPOSITION	NO	OK+E+R+OL+AIIN::1 | OT+OL+R+D_ADDR+AIIN::1		
octhyl	1	1	3	1	O+CH+T+Y+L	NEW_VISIBLE_COMPOSITION	NO	O+OL+Y::1		
odaiim	1	1	5	1	O+D_ADDR+AIIN+M_LOCAL	NEW_VISIBLE_COMPOSITION	NO	O+D_ADDR+A_ADDR+LOCAL_CHAR_I+M_LOCAL::2		
odchees	1	2	4	2	O+D_ADDR+CH+EE+S	NEW_MICROFORM_OLD_FACTORS	NO	OT+EE+SH+Y::1 | OT+EEE+SH+S_ADDR::1		
odor	1	1	4	1	O+D_ADDR+OR	NEW_VISIBLE_COMPOSITION	YES	O+D_ADDR+OR::1	qodor	VISIBLE_Q_REMOVAL
oeeedy	1	7	5	4	O+EEE+DY	NEW_VISIBLE_COMPOSITION	YES	E+OK+EE+DY::11 | E+OT+EE+DY::7 | O+EEE+D_ADDR+Y::5 | O+EEE+DY::1	eeedy	VISIBLE_INSERT_O
oeeey	1	1	5	1	O+EEE+Y	NEW_VISIBLE_COMPOSITION	NO	OK+EEE+Y::2		
oekshy	1	1	5	1	O+E+K+SH+Y	NEW_VISIBLE_COMPOSITION	NO	E+OK+Y::1		
oeor	1	3	4	3	O+E+OR	NEW_VISIBLE_COMPOSITION	YES	OK+E+OR::3 | O+E+OR::1 | OT+E+OR::1	oeeor	VISIBLE_E_GRADE
oepaiin	1	5	5	5	O+E+P+AIIN	NEW_VISIBLE_COMPOSITION	NO	OK+P+AIIN::19 | OL+P+AIIN::9 | OT+P+AIIN::9 | O+P+D_ADDR+AIIN::2 | OR+P+AIIN::2		
oesearies	1	21	1	21	O+E+S+E+AR+LOCAL_CHAR_I+E+S	NEW_MICROFORM_OLD_FACTORS	NO	OK+E+O+D_ADDR+AL+Y+S::2 | O+L+SH+E+O+D_ADDR+Y+S::1 | O+P+CH+EE+OL+S::1 | O+P+CH+OR+DY+S::1 | O+P+O+D_ADDR+OL+S::1 | OK+AIIN+S::1 | OK+A_ADDR+IIN+K+AL+Y+S::1 | OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y+S::1 | OK+CH+AL+S::1 | OK+E+D_ADDR+AL+OR+S::1 | OL+CH+E+O+DY+S::1 | OL+CH+EE+DY+S::1 | OL+K+EE+CH+Y+S::1 | OL+SH+EE+DY+S::1 | OT+E+O+K+EE+Y+S::1 | OT+E+O+SH+AR+S::1 | OT+O+CHD+DY+S::1 | OT+OL+P+CH+Y+S::1 | OT+Y+T+CH+OL+S::1 | S+A_ADDR+L+SH+E+Y+S::1 | Y+T+AL+CH+O+E+S::1		
ofchdy	1	4	5	4	O+LOCAL_CHAR_F+CHD+Y	NEW_VISIBLE_COMPOSITION	NO	O+F+CHD+Y::2 | F+OK+CHD+DY::1 | F+OL+CHD+DY::1 | F+OT+CHD+DY::1		
ofshdy	1	2	5	2	O+LOCAL_CHAR_F+SH+D_ADDR+Y	NEW_VISIBLE_COMPOSITION	NO	O+F+SH+D_ADDR+Y::1 | OT+F+SH+D_ADDR+Y::1		
okady	1	1	5	1	OK+A_ADDR+Y	NEW_MICROFORM_OLD_FACTORS	NO	OK+AL+DY::1		
okalody	1	1	6	1	OK+AL+O+DY	NEW_VISIBLE_COMPOSITION	YES	OK+AL+O+DY::1	okaldy	VISIBLE_INSERT_O
okan	2	3	4	2	OK+AN	NEW_VISIBLE_COMPOSITION	YES	OK+AIN::12 | OK+AN::2	dokan|qokan	LICENSED_Q_WRAPPER|VISIBLE_REMOVE_D_ADDRESS
okcho	1	2	5	2	OK+CH+O	NEW_VISIBLE_COMPOSITION	YES	OK+CH+O::3 | OK+O::1	okchor	VISIBLE_DELETE_R
okchoy	1	6	5	6	OK+CH+O+Y	NEW_VISIBLE_COMPOSITION	NO	OK+CH+Y+OR::3 | OK+Y+O::3 | OK+CH+O+Y+AM_ADDR::1 | OK+CHD+O+DY::1 | OK+O+Y::1 | OK+OL+Y::1		
okodaiin	1	3	6	3	OK+O+D_ADDR+AIIN	NEW_VISIBLE_COMPOSITION	NO	OL+O+D_ADDR+AIIN::3 | K+CARRIER_Q+O+AIIN::1 | K+T+O+AIIN::1		
okoeor	1	2	5	1	OK+O+E+OR	NEW_VISIBLE_COMPOSITION	YES	OK+O+E+OR::4	okeeor|okeor	VISIBLE_INSERT_O|VISIBLE_SUBSTITUTION
okshey	1	1	6	1	OK+SH+E+Y	NEW_VISIBLE_COMPOSITION	YES	OK+SH+E+Y::2	okshedy	VISIBLE_REMOVE_CLOSE
oksho	1	1	4	1	OK+SH+O	NEW_VISIBLE_COMPOSITION	NO	OK+O::1		
olam	1	4	3	4	OL+AM_ADDR	NEW_VISIBLE_COMPOSITION	YES	L+OT+AM_ADDR::5 | OL+AM_ADDR::1 | OL+AR+M_LOCAL::1 | OL+A_ADDR+AM_ADDR::1	okam	VISIBLE_SUBSTITUTION
olkaiin	2	5	6	4	OL+K+AIIN	NEW_VISIBLE_COMPOSITION	YES	L+OK+AIIN::19 | OL+K+AIIN::12 | O+L+K+AIIN::3 | OL+K+LOCAL_CHAR_I+AIN::2	olaiin|oldaiin	VISIBLE_INSERT_K|VISIBLE_SUBSTITUTION
olkal	1	3	4	3	OL+K+AL	NEW_VISIBLE_COMPOSITION	YES	L+OK+AL::13 | OL+K+AL::1 | OL+K+DA+L::1	olkar	VISIBLE_SUBSTITUTION
olkchdy	1	2	6	2	OL+K+CHD+Y	NEW_VISIBLE_COMPOSITION	NO	L+OK+CHD+DY::1 | OL+K+CHD+DY::1		
olkshdy	1	4	5	4	OL+K+SH+D_ADDR+Y	NEW_VISIBLE_COMPOSITION	NO	OL+K+E+SH+DY::3 | O+P+K+SH+D_ADDR+Y::1 | OL+CHD+S+DY::1 | OT+K+SH+D_ADDR+Y::1		
olpchedy	2	3	7	3	OL+P+CHD+DY	NEW_VISIBLE_COMPOSITION	YES	OL+P+CHD+DY::7 | O+L+P+CHD+DY::1 | O+L+P+CHD+Y::1	olchedy	VISIBLE_INSERT_P
olsain	1	4	5	2	OL+S+AIN	NEW_VISIBLE_COMPOSITION	YES	OL+S+AIN::6 | O+L+S+AIN::1	olain|oldain|olkain	VISIBLE_INSERT_S|VISIBLE_SUBSTITUTION
olshey	1	1	6	1	OL+SH+E+Y	NEW_VISIBLE_COMPOSITION	YES	OL+SH+E+Y::4	olshedy	VISIBLE_REMOVE_CLOSE
olteedy	1	4	6	3	OL+T+EE+DY	NEW_VISIBLE_COMPOSITION	YES	L+OT+EE+DY::7 | OL+T+EE+DY::6 | O+L+T+EE+D_ADDR+Y::1	olkeedy|oltedy	VISIBLE_E_GRADE|VISIBLE_SUBSTITUTION
opol	1	1	4	1	O+P+OL	NEW_VISIBLE_COMPOSITION	YES	O+P+OL::1	qopol	VISIBLE_Q_REMOVAL
opom	1	1	3	1	O+P+O+AM_ADDR	NEW_VISIBLE_COMPOSITION	NO	OL+P+O+AM_ADDR::1		
opshody	1	2	6	2	O+P+SH+O+DY	NEW_VISIBLE_COMPOSITION	NO	O+P+SH+O+D_ADDR+Y::1 | O+P+SH+O+Y::1		
oraiiin	1	4	6	4	OR+LOCAL_CHAR_I+AIIN	NEW_MICROFORM_OLD_FACTORS	YES	OR+LOCAL_CHAR_I+AIIN::2 | O+R+AIIN+LOCAL_CHAR_I::1 | O+R+DA+LOCAL_CHAR_I+IIN::1 | OK+R+A_ADDR+LOCAL_CHAR_I+IIN::1	oraiin	VISIBLE_I_VARIANT
oraisy	1	2	4	2	OR+AIN+S+Y	NEW_MICROFORM_OLD_FACTORS	NO	OR+AIN+Y::1 | OR+AL+S+Y::1		
oro	1	3	2	2	OR+O	NEW_VISIBLE_COMPOSITION	YES	OR+O::34 | OT+R+O::1	or|ory	VISIBLE_INSERT_O|VISIBLE_SUBSTITUTION
oror	1	4	3	4	OR+OR	NEW_VISIBLE_COMPOSITION	YES	R+OT+OR::5 | OR+OR::3 | R+OK+OR::3 | O+R+OR::2	olor	VISIBLE_SUBSTITUTION
osheedy	1	2	7	2	O+SH+EE+DY	NEW_VISIBLE_COMPOSITION	YES	O+SH+EE+DY::1 | O+SH+EE+D_ADDR+Y::1	olsheedy	VISIBLE_DELETE_L
otaiir	1	2	5	2	OT+IIN+R	NEW_MICROFORM_OLD_FACTORS	YES	OT+IIN+R::9 | T+OK+IIN+R::1	otaiin	VISIBLE_SUBSTITUTION
otairin	1	1	6	1	OT+AIR+IIN	NEW_MICROFORM_OLD_FACTORS	NO	OT+R+AIIN::9		
otalain	1	1	6	1	OT+AL+AIN	NEW_VISIBLE_COMPOSITION	NO	OT+L+AIN::1		
otaldy	1	2	5	2	OT+AL+DY	NEW_VISIBLE_COMPOSITION	NO	OT+AL+Y::2 | T+OK+AL+DY::1		
otardy	1	4	4	4	OT+AR+DY	NEW_VISIBLE_COMPOSITION	NO	OT+E+R+DY::13 | OT+AL+Y::2 | OT+A_ADDR+K+Y::1 | OT+O+R+DY::1		
otchos	1	2	5	2	OT+CH+O+S	NEW_VISIBLE_COMPOSITION	NO	OT+CH+S+OL::5 | OT+CH+S+OR::2		
otolodal	1	4	4	4	OT+OL+O+D_ADDR+AL	NEW_MICROFORM_OLD_FACTORS	NO	CH+E+L+O+AL::2 | OK+EE+O+AL::1 | OT+OL+D_ADDR+O+S+L::1 | SH+E+L+O+AL::1		
oydar	1	2	4	1	O+Y+D_ADDR+AR	NEW_VISIBLE_COMPOSITION	YES	O+Y+D_ADDR+AR::2	odar|ydar	VISIBLE_INSERT_O|VISIBLE_INSERT_Y
