duplicate_id	core	core_value_de	double_scope_reading_de	event_id	physical_page	register	statement_id	locus	owner_de	card_ordinal_in_statement	surface_card	component_recipe	marked_duplicate_recipe	duplicate_atom_ordinal	left_atom	right_atom	previous_card_surface	previous_card_recipe	next_card_surface	next_card_recipe	f13r_s009_focus
RC014	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E0510	f75r	BIOLOGICAL	P1009-S084	f75r.9	großes Bad-/Stationsblatt mit dreieckiger Insel	1	chcthy	CH+CH+T+Y	[CH>CH]+T+Y	1	CARD_START	T	STATEMENT_START	STATEMENT_START	lo	L+O	NO
RC015	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E0743	f75r	BIOLOGICAL	P1009-S131	f75r.33	großes Bad-/Stationsblatt mit dreieckiger Insel	5	chcthedy	CH+CH+T+E+DY	[CH>CH]+T+E+DY	1	CARD_START	T	qokain	OK+AIN	STATEMENT_END	STATEMENT_END	NO
RC016	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E0473	f76r	BIOLOGICAL	P1009-S183	f76r.1	unbebilderter Textabschnitt A0	5	chcphy	CH+CH+P+E+Y	[CH>CH]+P+E+Y	1	CARD_START	P	qolp	OL	chcphdy	CH+CH+P+E+Y	NO
RC017	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E0474	f76r	BIOLOGICAL	P1009-S183	f76r.1	unbebilderter Textabschnitt A0	6	chcphdy	CH+CH+P+E+Y	[CH>CH]+P+E+Y	1	CARD_START	P	chcphy	CH+CH+P+E+Y	opshey	O+P+SH+E+Y	NO
RC018	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E0552	f76r	BIOLOGICAL	P1009-S200	f76r.9	unbebilderter Textabschnitt A2	5	chcphedy	L+CH+CH+P+E+DY	L+[CH>CH]+P+E+DY	2	L	P	ain	AIN	STATEMENT_END	STATEMENT_END	NO
RC019	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E0591	f76r	BIOLOGICAL	P1009-S208	f76r.13	unbebilderter Textabschnitt A3	2	chckhey	CH+CH+K+E+Y	[CH>CH]+K+E+Y	1	CARD_START	K	checthy	CH+T+Y	okal	OK+AL	NO
RC020	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E0611	f76r	BIOLOGICAL	P1009-S211	f76r.15	unbebilderter Textabschnitt A4	8	chckheed	CH+CH+K+E+Y	[CH>CH]+K+E+Y	1	CARD_START	K	ain	AIN	lchedy	L+CHD+DY	NO
RC021	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E0816	f76r	BIOLOGICAL	P1009-S253	f76r.35	unbebilderter Textabschnitt A8	3	chcthy	CH+CH+T+Y	[CH>CH]+T+Y	1	CARD_START	T	qokal	OK+AL	okeolor	OK+E+OL	NO
RC022	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E0822	f76r	BIOLOGICAL	P1009-S253	f76r.35	unbebilderter Textabschnitt A8	9	chcthy	CH+CH+T+Y	[CH>CH]+T+Y	1	CARD_START	T	qol	OL	chckhy	CH+K+Y	NO
RC023	OL	FORTSETZEN	den äußeren Gang fortsetzen; darin den inneren Gang fortsetzen	P1008-E0990	f76r	BIOLOGICAL	P1009-S285	f76r.51	unbebilderter Textabschnitt D	7	rorol	L+OL+OL	L+[OL>OL]	2	L	CARD_END	qopchedy	CARRIER_Q+O+P+CHD+Y	olsheed	OL+SH+EE+DY	NO
RC024	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1003-E0242	f77r	BIOLOGICAL	P1009-S351	f77r.26	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	2	chcthy	CH+CH+T+Y	[CH>CH]+T+Y	1	CARD_START	T	qokaiin	OK+AIIN	lchedy	L+CHD+DY	NO
RC025	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1003-E0263	f77r	BIOLOGICAL	P1009-S358	f77r.30	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	3	chckhey	CH+CH+K+E+Y	[CH>CH]+K+E+Y	1	CARD_START	K	qokaiin	OK+AIIN	sa	S+A_ADDR	NO
RC026	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1003-E0327	f77r	BIOLOGICAL	P1009-S371	f77r.38	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	3	chcphey	CH+CH+P+E+Y	[CH>CH]+P+E+Y	1	CARD_START	P	qokaiin	OK+AIIN	qol	OL	NO
RC027	AL	ZIELORT	den äußeren Zielort wählen; darin den lokalen Zielort wählen	P912-E0888	f81v	BIOLOGICAL	P1009-S388	f81v.3	gemeinsames zweireihiges Badfeld	4	dalal	AL+AL	[AL>AL]	1	CARD_START	CARD_END	chdy	CHD+Y	oldy	OL+DY	NO
RC028	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E0899	f81v	BIOLOGICAL	P1009-S389	f81v.4	gemeinsames zweireihiges Badfeld	10	chcthy	CH+CH+T+Y	[CH>CH]+T+Y	1	CARD_START	T	daiin	AIIN	okaiin	OK+AIIN	NO
RC029	OL	FORTSETZEN	den äußeren Gang fortsetzen; darin den inneren Gang fortsetzen	P912-E1199	f82r	BIOLOGICAL	P1009-S452	f82r.12	mehrere getrennte Bad- und Leitungsstationen	5	lolol	L+OL+OL	L+[OL>OL]	2	L	CARD_END	checkho	CH+E+CH+K+O	okal	OK+AL	NO
RC030	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E1344	f82r	BIOLOGICAL	P1009-S490	f82r.28	mehrere getrennte Bad- und Leitungsstationen	2	chcthey	CH+CH+T+E+Y	[CH>CH]+T+E+Y	1	CARD_START	T	qotaiin	OT+AIIN	qoteeol	OT+EE+OL	NO
RC031	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E1379	f82r	BIOLOGICAL	P1009-S498	f82r.32	mehrere getrennte Bad- und Leitungsstationen	8	chckhey	CH+CH+K+E+Y	[CH>CH]+K+E+Y	1	CARD_START	K	shedaiin	SH+E+AIIN	lchey	L+Y	NO
RC032	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E1525	f83r	BIOLOGICAL	P1009-S530	f83r.13	Variantenatlas lokaler Becken und Anwendungen	1	lchcphedy	L+CH+CH+P+E+DY	L+[CH>CH]+P+E+DY	2	L	P	STATEMENT_START	STATEMENT_START	STATEMENT_END	STATEMENT_END	NO
RC033	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E1597	f83r	BIOLOGICAL	P1009-S551	f83r.21	Variantenatlas lokaler Becken und Anwendungen	1	chckhdy	CH+CH+K+D_ADDR+Y	[CH>CH]+K+D_ADDR+Y	1	CARD_START	K	STATEMENT_START	STATEMENT_START	sar	S+AR	NO
RC034	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E1697	f83r	BIOLOGICAL	P1009-S583	f83r.39	Variantenatlas lokaler Becken und Anwendungen	4	chckhal	CH+CH+K+AL	[CH>CH]+K+AL	1	CARD_START	K	kain	K+AIN	solchedy	S+OL+CHD+Y	NO
RC035	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E1707	f83r	BIOLOGICAL	P1009-S585	f83r.42	Variantenatlas lokaler Becken und Anwendungen	5	chcthdy	CH+CH+T+D_ADDR+Y	[CH>CH]+T+D_ADDR+Y	1	CARD_START	T	ol	OL	l	L	NO
RC036	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E2375	f88r	PHARMA	P1009-S590	f88r.7	sechzehn Drogenposten und drei Gefäßansätze	8	chcthol	CH+CH+T+OL	[CH>CH]+T+OL	1	CARD_START	T	dal	AL	ral	R+AL	NO
RC037	Y	AKTIVER POSTEN	den Besitzerreferenten halten; darin den aktiven Unterreferenten halten	P912-E2454	f88r	PHARMA	P1009-S592	f88r.22	sechzehn Drogenposten und drei Gefäßansätze	28	ychey	Y+Y	[Y>Y]	1	CARD_START	CARD_END	sheoldg	SH+E+OL+D_ADDR+LOCAL_CHAR_G	okaiin	OK+AIIN	NO
RC038	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E1101	f89r	PHARMA	P1009-S611	f89r1.15	Gefäß-/Pflanzenteilgruppe B	6	cheocphey	CH+CH+P+E+Y	[CH>CH]+P+E+Y	1	CARD_START	P	saiin	S+AIIN	dal	AL	NO
RC039	AL	ZIELORT	den äußeren Zielort wählen; darin den lokalen Zielort wählen	P1008-E1130	f89r	PHARMA	P1009-S613	f89r1.18	Gefäß-/Pflanzenteilgruppe B	2	daldal	AL+AL	[AL>AL]	1	CARD_START	CARD_END	al	AL	STATEMENT_END	STATEMENT_END	NO
RC040	Y	AKTIVER POSTEN	den Besitzerreferenten halten; darin den aktiven Unterreferenten halten	P1008-E1159	f89r	PHARMA	P1009-S614	f89r1.22	Gefäß-/Pflanzenteilgruppe C	29	ycheeo	Y+Y	[Y>Y]	1	CARD_START	CARD_END	aiin	AIIN	r	R	NO
