statement_id	page	record	surface_sequence	result_sequence_de	complete_working_reading_de	result_events	closed_result_events	precise_acceptance_criterion
B1-S006	f81v	B1	qokain shckhy dl ral	DURCHGELAUFEN	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	1	0	MASTER_OR_PICTURE
B2-S006	f82r	B2	oteey qokal sheckhy qoky	DURCHGELAUFEN	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	1	0	MASTER_OR_PICTURE
B4-S006	f83r	B4	shckhedy	DURCHGELAUFEN	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B4-S007	f83r	B4	shckhedy	DURCHGELAUFEN	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B1-S008	f81v	B1	chey ol cheky ol shedy	ERWAERMT -> ABGESETZT	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.	2	1	MASTER_OR_PICTURE
B2-S008	f82r	B2	sotaiin qokar shedy	ABGESETZT	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B4-S008	f83r	B4	saiin cheeky sheey qokedy	ERWAERMT	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	1	0	MASTER_OR_PICTURE
B4-S009	f83r	B4	shedy	ABGESETZT	Am zweiten durch den Bogen verbundenen Hauptpaar: Stehen lassen; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B1-S011	f81v	B1	chckhy qoky	DURCHGELAUFEN	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	1	0	MASTER_OR_PICTURE
B3-S011	f83r	B3	shecthedchy qoky chedy chary	BEREIT	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	1	0	MASTER_OR_PICTURE
B4-S011	f83r	B4	saiin cheky okeeol okain chdy sol lkedy	ERWAERMT	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	1	0	MASTER_OR_PICTURE
B2-S012	f82r	B2	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	BEREIT -> VOLLSTAENDIG_ANGELEGT	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	2	1	MASTER_OR_PICTURE
B3-S012	f83r	B3	sor shedy	ABGESETZT	Am unteren Korbgefaess: Den Ansatz stehen lassen und den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B3-S013	f83r	B3	qokaiin chkain shcthey qokedy	BEREIT	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	1	0	MASTER_OR_PICTURE
B4-S013	f83r	B4	qokol shedy	ABGESETZT	An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B1-S014	f81v	B1	chedy qolky lchedal qol otar	GESAMMELT	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und sammeln; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	1	0	MASTER_OR_PICTURE
B4-S014	f83r	B4	or chey qockhey dairydy	DURCHGELAUFEN	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, das laufende Wasser als aktuellen Posten fuehren und schliessen.	1	0	MASTER_OR_PICTURE
B4-S015	f83r	B4	qokain shey kain chckhal solkey lchedy	DURCHGELAUFEN -> GESAMMELT	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen.	2	0	MASTER_OR_PICTURE
B1-S016	f81v	B1	qokal okeey qol cheedy	ABGESETZT	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B4-S016	f83r	B4	qolkain dal skar shedy	ABGESETZT	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.	1	1	MASTER_OR_PICTURE
B1-S018	f81v	B1	ly dsheol oiiin olkeedy	GESAMMELT	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger sammeln; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B3-S018	f83r	B3	shedy	ABGESETZT	Im bildlich unverbundenen Zwischenabschnitt: Stehen lassen; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B1-S019	f81v	B1	tedy	ABGESETZT	Am gemeinsamen zweireihigen Becken: Stehen lassen; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B2-S019	f82r	B2	rshedy	ABGESETZT	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B1-S020	f81v	B1	cheky shckhedy	ERWAERMT -> DURCHGELAUFEN	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	2	1	MASTER_OR_PICTURE
B3-S021	f83r	B3	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	BEREIT -> ABGESETZT	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	4	0	MASTER_OR_PICTURE
B3-S026	f83r	B3	cheedar chldaiin chedy qokain checthy chealror solkeedy	BEREIT -> GESAMMELT	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger sammeln und schliessen.	2	1	MASTER_OR_PICTURE
B3-S034	f83r	B3	soiiin checthy chety otaiin olsaly shedy	BEREIT -> ABGESETZT	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.	2	1	MASTER_OR_PICTURE
