family	surface	decomposition	quality_position	v32_meaning_de	v33_meaning_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	final_status
T	teal	T+E+AL	MIDDLE	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
T	teeal	T+EE+AL	END	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
T	teeeal	T+EEE+AL	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
OK	okal	OK+ZERO_E+AL	START	Ansatz aus heißem Rohstoff, Form I	Rohstoffklasse I im Ansatz, heiß am Gradanfang	123	64	102	102	ACCEPTED_V33
OK	okeal	OK+E+AL	MIDDLE	OPEN	Rohstoffklasse I im Ansatz, heiß in der Gradmitte	10	8	8	8	ACCEPTED_V33
OK	okeeal	OK+EE+AL	END	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
OK	okeeeal	OK+EEE+AL	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
OT	otal	OT+ZERO_E+AL	START	Ansatz aus kaltem Rohstoff, Form I	Rohstoffklasse I im Ansatz, kalt am Gradanfang	119	57	109	109	ACCEPTED_V33
OT	oteal	OT+E+AL	MIDDLE	OPEN	Rohstoffklasse I im Ansatz, kalt in der Gradmitte	5	4	5	5	ACCEPTED_V33
OT	oteeal	OT+EE+AL	END	OPEN	Rohstoffklasse I im Ansatz, kalt am Gradende	1	1	1	1	ACCEPTED_V33
OT	oteeeal	OT+EEE+AL	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
QOK	qokal	QOK+ZERO_E+AL	START	heiße Substanz	Rohstoffklasse I, heiß am Gradanfang	180	54	158	158	ACCEPTED_V33
QOK	qokeal	QOK+E+AL	MIDDLE	OPEN	Rohstoffklasse I, heiß in der Gradmitte	4	4	4	4	ACCEPTED_V33
QOK	qokeeal	QOK+EE+AL	END	OPEN	Rohstoffklasse I, heiß am Gradende	2	2	1	1	ACCEPTED_V33
QOK	qokeeeal	QOK+EEE+AL	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
QOT	qotal	QOT+ZERO_E+AL	START	OPEN	Rohstoffklasse I, kalt am Gradanfang	57	36	54	54	ACCEPTED_V33
QOT	qoteal	QOT+E+AL	MIDDLE	OPEN	Rohstoffklasse I, kalt in der Gradmitte	2	2	2	2	ACCEPTED_V33
QOT	qoteeal	QOT+EE+AL	END	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
QOT	qoteeeal	QOT+EEE+AL	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
O_UNQUALIFIED	oal	O+AL	UNQUALIFIED_BASE	OPEN	Rohstoffklasse I im Ansatz	2	2	2	2	ACCEPTED_V33
O_UNQUALIFIED	oeal	OEAL_UNOBSERVED_WHOLE	ABSENT_INTERMEDIATE_RIVAL	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
O_UNQUALIFIED	oeeal	OEEAL_EXACT_WHOLE;O_AL_PARALLEL	LOCAL_END_FORM_ANALOGY	OPEN	Rohstoffklasse I im Ansatz, am Gradende	2	2	2	2	ACCEPTED_V33
O_UNQUALIFIED	oeeeal	OEEEAL_UNOBSERVED_WHOLE	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
QO_UNQUALIFIED	qoal	QO+AL	UNQUALIFIED_BASE	OPEN	Rohstoffklasse I	5	5	4	4	ACCEPTED_V33
QO_UNQUALIFIED	qoeal	QOEAL_UNOBSERVED_WHOLE	UNLICENSED_POSITION_RIVAL	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
QO_UNQUALIFIED	qoeeal	QOEEAL_UNOBSERVED_WHOLE	UNLICENSED_POSITION_RIVAL	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
QO_UNQUALIFIED	qoeeeal	QOEEEAL_UNOBSERVED_WHOLE	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
NO_VISIBLE_HEAD	eal	EAL_UNOBSERVED_WHOLE	UNHEADED_RIVAL	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
NO_VISIBLE_HEAD	eeal	EEAL_READER_UNSTABLE_WHOLE	UNHEADED_RIVAL	OPEN	NOT_ASSIGNED	1	1	0	0	OBSERVED_UNHEADED_ZERO_EXACT_WARNING
NO_VISIBLE_HEAD	eeeal	EEEAL_UNOBSERVED_WHOLE	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
