surface	selection_rank	page	locus	reader_support	zl3b_line	tokenwise_v33_de	working_reading_de	syntax_note
tal	2	f80v	f80v.25	ALL_THREE_EXACT	lshedy qoty olol cheey qokain okalchy tal or checthy sar	eingeweichtes Drogenholz | kalt am Anfang des Grades | [olol:?] | trocken am Ende des Grades | heiß, Grad II | [okalchy:?] | Rohstoffklasse I, kalt am Gradanfang | Drogenportion | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | Samenfraktion I	eingeweichtes Drogenholz; kalt am Anfang des Grades; [olol:?]; trocken am Ende des Grades; heiß, Grad II; [okalchy:?]; Rohstoffklasse I, kalt am Gradanfang; Drogenportion; trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut; Samenfraktion I	TOKEN_ORDER_BASELINE
oal	1	f17v	f17v.21	ALL_THREE_EXACT	oal sheor sholor or shecthy cpheor daiin	Rohstoffklasse I im Ansatz | feuchter Drogenteil | [sholor:?] | Drogenportion | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | [cpheor:?] | Menge/Portion III	Rohstoffklasse I im Ansatz; feuchter Drogenteil; [sholor:?]; Drogenportion; feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut; [cpheor:?]; Menge/Portion III	TOKEN_ORDER_BASELINE
oeeal	1	f104r	f104r.14	ALL_THREE_EXACT	daiin choaiin qokechy qotal cheolor saiin olkeechey otal ol oeeal	Grad-/Maßwert III | [choaiin:?] | [qokechy:?] | Rohstoffklasse I, kalt am Gradanfang | [cheolor:?] | Samen/Saatgut, Typ/Charge III | [olkeechey:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Rohstoffklasse I im Ansatz, am Gradende	Grad-/Maßwert III; [choaiin]; [qokechy]; Rohstoffklasse I, kalt am Gradanfang; [cheolor]; Samen/Saatgut Typ III; [olkeechey]; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Gut/Ansatz; Rohstoffklasse I im Ansatz, am Gradende.	MANUAL_PARTIAL_SEQUENCE_READING
oeeal	2	f112v	f112v.43	ALL_THREE_EXACT	ooeeor oeeal olkeol al chol chl olchedy ykeedy chtal kar opchy famam	[ooeeor:?] | Rohstoffklasse I im Ansatz, am Gradende | [olkeol:?] | Rohstoffklasse I | trocken; nominal trockenes Gut/Material | [chl:?] | [olchedy:?] | [ykeedy:?] | [chtal:?] | heiße Drogenfraktion I | [opchy:?] | [famam:?]	[ooeeor]; Rohstoffklasse I im Ansatz, am Gradende; [olkeol]; Rohstoffklasse I; trockenes Material; [chl]; [olchedy]; [ykeedy]; [chtal]; heiße Drogenfraktion I; [opchy]; [famam].	MANUAL_PARTIAL_SEQUENCE_READING
okal	1	f106v	f106v.44	ALL_THREE_EXACT	cthey chey okal chey keeyrain okeeo otaiin chedar oteedy otol oty	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | trocken in der Mitte des Grades | Rohstoffklasse I im Ansatz, heiß am Gradanfang | trocken in der Mitte des Grades | [keeyrain:?] | [okeeo:?] | kalt im Zubereitungsrahmen, Grad III | [chedar:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kaltes Zubereitungsgut | kalter Ansatz am Anfang des Grades	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I; trocken in der Mitte des Grades; Rohstoffklasse I im Ansatz, heiß am Gradanfang; trocken in der Mitte des Grades; [keeyrain:?]; [okeeo:?]; kalt im Zubereitungsrahmen, Grad III; [chedar:?]; kalter Ansatz am Ende des Grades, abgeschlossen; kaltes Zubereitungsgut; kalter Ansatz am Anfang des Grades	TOKEN_ORDER_BASELINE
okal	2	f107v	f107v.17	ALL_THREE_EXACT	saiin or ykeear chckhy okaiin okal qoklaiin cheol qokar chey lkam	Samen/Saatgut, Typ/Charge III | Drogenportion | [ykeear:?] | Arzneikompositum: trocken, Gradanfang | heiß, Grad III, im Ansatzrahmen | Rohstoffklasse I im Ansatz, heiß am Gradanfang | [qoklaiin:?] | trockener Drogenstoff | heiße Drogenfraktion I | trocken in der Mitte des Grades | [lkam:?]	Samen/Saatgut, Typ/Charge III; Drogenportion; [ykeear:?]; Arzneikompositum: trocken, Gradanfang; heiß, Grad III, im Ansatzrahmen; Rohstoffklasse I im Ansatz, heiß am Gradanfang; [qoklaiin:?]; trockener Drogenstoff; heiße Drogenfraktion I; trocken in der Mitte des Grades; [lkam:?]	TOKEN_ORDER_BASELINE
okeal	1	f103r	f103r.24	ALL_THREE_EXACT	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky	[tchoky:?] | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | kalter Ansatz am Anfang des Grades | [opchedy:?] | kalt im qo-Rahmen, Grad II | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalter Ansatz in der Mitte des Grades | Grad-/Maßwert II | kalter Ansatz am Ende des Grades | heißer Ansatz am Anfang des Grades	[tchoky:?]; Rohstoffklasse I im Ansatz, heiß in der Gradmitte; feucht in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; kalter Ansatz am Anfang des Grades; [opchedy:?]; kalt im qo-Rahmen, Grad II; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; kalter Ansatz in der Mitte des Grades; Grad-/Maßwert II; kalter Ansatz am Ende des Grades; heißer Ansatz am Anfang des Grades	TOKEN_ORDER_BASELINE
okeal	2	f112r	f112r.35	ALL_THREE_EXACT	sain olaiin qopchdy qoky okeal chedy okeey otedy ar ar okeedy	[sain:?] | [olaiin:?] | [qopchdy:?] | heiß am Anfang des Grades | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | trocken in der Mitte des Grades, abgeschlossen | heißer Ansatz am Ende des Grades | kalter Ansatz in der Mitte des Grades, abgeschlossen | Drogenfraktion I | Drogenfraktion I | heißer Ansatz am Ende des Grades, abgeschlossen	[sain:?]; [olaiin:?]; [qopchdy:?]; heiß am Anfang des Grades; Rohstoffklasse I im Ansatz, heiß in der Gradmitte; trocken in der Mitte des Grades, abgeschlossen; heißer Ansatz am Ende des Grades; kalter Ansatz in der Mitte des Grades, abgeschlossen; Drogenfraktion I; Drogenfraktion I; heißer Ansatz am Ende des Grades, abgeschlossen	TOKEN_ORDER_BASELINE
otal	1	f103v	f103v.23	ALL_THREE_EXACT	ycheody l ar cheey or aiiin oteey otal otear or ar keey qoty	[ycheody:?] | [l:?] | Drogenfraktion I | trocken am Ende des Grades | Drogenportion | Menge-/Klassenwert IV | kalter Ansatz am Ende des Grades | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [otear:?] | Drogenportion | Drogenfraktion I | heiß am Ende des Grades | kalt am Anfang des Grades	[ycheody:?]; [l:?]; Drogenfraktion I; trocken am Ende des Grades; Drogenportion; Menge-/Klassenwert IV; kalter Ansatz am Ende des Grades; Rohstoffklasse I im Ansatz, kalt am Gradanfang; [otear:?]; Drogenportion; Drogenfraktion I; heiß am Ende des Grades; kalt am Anfang des Grades	TOKEN_ORDER_BASELINE
otal	2	f107r	f107r.46	ALL_THREE_EXACT	sar cheey qodaiin qokaiin ol cheor aiin otal taiin qokaiin otal alkal	Samenfraktion I | trocken am Ende des Grades | [qodaiin:?] | heiß, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenteil | Menge III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | kalt, Grad III | heiß, Grad III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [alkal:?]	Samenfraktion I; trocken am Ende des Grades; [qodaiin:?]; heiß, Grad III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenteil; Menge III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; kalt, Grad III; heiß, Grad III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; [alkal:?]	TOKEN_ORDER_BASELINE
oteal	1	f113v	f113v.7	ALL_THREE_EXACT	fcheshd teody lkeeody oteedy lchealaim shockhol opchedy qotaiin otar ar al oteal	[fcheshd:?] | [teody:?] | [lkeeody:?] | kalter Ansatz am Ende des Grades, abgeschlossen | [lchealaim:?] | [shockhol:?] | [opchedy:?] | kalt, Grad III | kalte Drogenfraktion I im Ansatz | Drogenfraktion I | Rohstoffklasse I | Rohstoffklasse I im Ansatz, kalt in der Gradmitte	[fcheshd:?]; [teody:?]; [lkeeody:?]; kalter Ansatz am Ende des Grades, abgeschlossen; [lchealaim:?]; [shockhol:?]; [opchedy:?]; kalt, Grad III; kalte Drogenfraktion I im Ansatz; Drogenfraktion I; Rohstoffklasse I; Rohstoffklasse I im Ansatz, kalt in der Gradmitte	TOKEN_ORDER_BASELINE
oteeal	1	f103r	f103r.41	ALL_THREE_EXACT	cheol sheeey qotey oteeal oteedy shet sho keeo s shey qokeedy qokal dal	trockener Drogenstoff | [sheeey:?] | kalt in der Mitte des Grades | Rohstoffklasse I im Ansatz, kalt am Gradende | kalter Ansatz am Ende des Grades, abgeschlossen | [shet:?] | feuchter Ansatz | [keeo:?] | [s:?] | feucht in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | abgemessene Rohstoffmenge I	trockener Drogenstoff; [sheeey:?]; kalt in der Mitte des Grades; Rohstoffklasse I im Ansatz, kalt am Gradende; kalter Ansatz am Ende des Grades, abgeschlossen; [shet:?]; feuchter Ansatz; [keeo:?]; [s:?]; feucht in der Mitte des Grades; heiß am Ende des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; abgemessene Rohstoffmenge I	TOKEN_ORDER_BASELINE
qoal	1	f83v	f83v.12	ALL_THREE_EXACT	daiin shckhy qoeeo lldar cheey qoal qokeedy olkar sheedy qokain olal	Grad-/Maßwert III | Arzneikompositum: feucht, Gradanfang | [qoeeo:?] | [lldar:?] | trocken am Ende des Grades | Rohstoffklasse I | heiß am Ende des Grades, abgeschlossen | [olkar:?] | feucht am Ende des Grades, abgeschlossen | heiß, Grad II | Ansatz aus Holzrohstoff, Form I	Grad-/Maßwert III; Arzneikompositum: feucht, Gradanfang; [qoeeo:?]; [lldar:?]; trocken am Ende des Grades; Rohstoffklasse I; heiß am Ende des Grades, abgeschlossen; [olkar:?]; feucht am Ende des Grades, abgeschlossen; heiß, Grad II; Ansatz aus Holzrohstoff, Form I	TOKEN_ORDER_BASELINE
qokal	1	f103r	f103r.24	ALL_THREE_EXACT	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky	[tchoky:?] | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | kalter Ansatz am Anfang des Grades | [opchedy:?] | kalt im qo-Rahmen, Grad II | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalter Ansatz in der Mitte des Grades | Grad-/Maßwert II | kalter Ansatz am Ende des Grades | heißer Ansatz am Anfang des Grades	[tchoky:?]; Rohstoffklasse I im Ansatz, heiß in der Gradmitte; feucht in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; kalter Ansatz am Anfang des Grades; [opchedy:?]; kalt im qo-Rahmen, Grad II; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; kalter Ansatz in der Mitte des Grades; Grad-/Maßwert II; kalter Ansatz am Ende des Grades; heißer Ansatz am Anfang des Grades	TOKEN_ORDER_BASELINE
qokal	2	f76r	f76r.41	ALL_THREE_EXACT	sain ar okedy lcheey qokey shckhy otedy qokal shey qoky dain chedy qokchdyl	[sain:?] | Drogenfraktion I | heißer Ansatz in der Mitte des Grades, abgeschlossen | Drogenholz, trocken gebunden, Form II | heiß in der Mitte des Grades | Arzneikompositum: feucht, Gradanfang | kalter Ansatz in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | feucht in der Mitte des Grades | heiß am Anfang des Grades | Grad-/Maßwert II | trocken in der Mitte des Grades, abgeschlossen | [qokchdyl:?]	[sain:?]; Drogenfraktion I; heißer Ansatz in der Mitte des Grades, abgeschlossen; Drogenholz, trocken gebunden, Form II; heiß in der Mitte des Grades; Arzneikompositum: feucht, Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; feucht in der Mitte des Grades; heiß am Anfang des Grades; Grad-/Maßwert II; trocken in der Mitte des Grades, abgeschlossen; [qokchdyl:?]	TOKEN_ORDER_BASELINE
qokeal	1	f108v	f108v.45	ALL_THREE_EXACT	sheol shedy qokeey chedar sheal qokeedy qokeedy qokey sheey qokeal aral	feuchtes Material | feucht in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | [chedar:?] | Rohstoffklasse I, feucht in der Gradmitte | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades | feucht am Ende des Grades | Rohstoffklasse I, heiß in der Gradmitte | [aral:?]	feuchtes Material; feucht in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; [chedar:?]; Rohstoffklasse I, feucht in der Gradmitte; heiß am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades; feucht am Ende des Grades; Rohstoffklasse I, heiß in der Gradmitte; [aral:?]	TOKEN_ORDER_BASELINE
qokeeal	1	f111r	f111r.41	ALL_THREE_EXACT	ycheey raiin cheody qokechy qokeey okedy lchedy qokeeal daiin otaral	[ycheey:?] | Wurzel, Typ/Charge III | getrockneter Ansatz | [qokechy:?] | heiß am Ende des Grades | heißer Ansatz in der Mitte des Grades, abgeschlossen | getrocknetes Drogenholz | Rohstoffklasse I, heiß am Gradende | Grad-/Maßwert III | [otaral:?]	[ycheey:?]; Wurzel, Typ/Charge III; getrockneter Ansatz; [qokechy:?]; heiß am Ende des Grades; heißer Ansatz in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz; Rohstoffklasse I, heiß am Gradende; Grad-/Maßwert III; [otaral:?]	TOKEN_ORDER_BASELINE
qotal	1	f83r	f83r.43	READER_VARIANT	daiin sheol chedy qotal sar	Grad-/Maßwert III | feuchtes Material | trocken in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, kalt am Gradanfang | Samenfraktion I	Grad-/Maßwert III; feuchtes Material; trocken in der Gradmitte, abgeschlossen; Rohstoffklasse I, kalt am Gradanfang; Samenfraktion I.	MANUAL_SEQUENCE_READING
qoteal	1	f111v	f111v.20	ALL_THREE_EXACT	shain qokal shar qoteal qotain chedy qotain shcthy qokshedy qotain ar	feucht, Grad II | Rohstoffklasse I, heiß am Gradanfang | [shar:?] | Rohstoffklasse I, kalt in der Gradmitte | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | heiß und feucht in der Mitte des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | Drogenfraktion I	feucht, Grad II; Rohstoffklasse I, heiß am Gradanfang; [shar:?]; Rohstoffklasse I, kalt in der Gradmitte; kalt im qo-Rahmen, Grad II; trocken in der Mitte des Grades, abgeschlossen; kalt im qo-Rahmen, Grad II; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; heiß und feucht in der Mitte des Grades, abgeschlossen; kalt im qo-Rahmen, Grad II; Drogenfraktion I	TOKEN_ORDER_BASELINE
