field_id	page	record_unit_id	locus	surface_sequence	closure_status	anchor_event_count	observed_trigger_sequence	parse_class	template_sequence	required_anonymous_registers	formal_effect_sequence	creative_local_expansion	strongest_rival
F016	f56r	H5	f56r.8	schol choy choky cheeckhody	TERMINAL	1	E85:MNEMONIC=ANWENDEN?	SINGLE_TEMPLATE	APPLY_ACTIVE	ACTIVE|TARGET	apply(ACTIVE,TARGET?)	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	MNEMONIC_BAG_WITHOUT_ORDER
F017	f56r	H5	f56r.12	sh cho kchey qokokchy	OPEN	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten	WHOLE_FIELD_EXEMPLAR
F018	f56r	H5	f56r.13	okchy chokcheo kchal	OPEN	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten	WHOLE_FIELD_EXEMPLAR
F019	f56r	H5	f56r.18	sho chokchy kchoar sotodan	OPEN	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	nimm danach den folgenden Zusatz oder Pflanzenteil ; gebrauche die frisch bereitete Arznei ; mische es mit Honig ; gebrauche es frisch vermischt	WHOLE_FIELD_EXEMPLAR
F020	f56r	H5	f56r.19	otchey keol daiin	OPEN	2	E98:MNEMONIC=ANTEIL? | E100:FORMAL=VORGABEPARAMETER? | E100:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	SELECT_PART > REQUEST_STANDARD_PARAMETER > PARAMETER_VALUE	ACTIVE	ACTIVE := part_of(ACTIVE) ; request(parameter_slot) ; parameter_slot := EXEMPLAR_VALUE	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß	MNEMONIC_BAG_WITHOUT_ORDER
F021	f81v	B1	f81v.2	qokedy	TERMINAL	1	E101:MNEMONIC=SPÜLEN?	SINGLE_TEMPLATE	FLUSH_AND_COMMIT	ACTIVE|TARGET	flush(ACTIVE,TARGET?); commit	spüle die bezeichnete Stelle einmal und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F022	f81v	B1	f81v.2	okaiin kair okal sar ol kain olkain al ol rol dl	OPEN	5	E102:FORMAL=STANDARDSLOT_SETZEN | E104:FORMAL=LOKALEN_RELATIONSSLOT_SETZEN | E106:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E109:MNEMONIC=ZIEL? | E110:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	COMPOSITE_SEQUENCE	FORMAL_SET_STANDARD_SLOT > FORMAL_SET_RELATION_SLOT > FORMAL_LINK_ACTIVE_STATE > TARGET_VALUE > FORMAL_LINK_ACTIVE_STATE	ACTIVE|TARGET	set(standard_slot) ; set(local_relation_slot) ; link(active_work_state) ; TARGET := EXEMPLAR_TARGET ; link(active_work_state)	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl	MNEMONIC_BAG_WITHOUT_ORDER
F023	f81v	B1	f81v.7	olor ol sheckhal daiin qokeedal daiin chckhy schedy	TERMINAL	4	E113:MNEMONIC=VORIGES? | E114:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E116:FORMAL=VORGABEPARAMETER? | E116:MNEMONIC=MASS? | E118:FORMAL=VORGABEPARAMETER? | E118:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	SELECT_PREVIOUS > FORMAL_LINK_ACTIVE_STATE > REQUEST_STANDARD_PARAMETER > PARAMETER_VALUE > REQUEST_STANDARD_PARAMETER > PARAMETER_VALUE	PREVIOUS|ACTIVE	ACTIVE := PREVIOUS ; link(active_work_state) ; request(parameter_slot) ; parameter_slot := EXEMPLAR_VALUE ; request(parameter_slot) ; parameter_slot := EXEMPLAR_VALUE	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F024	f81v	B1	f81v.7	qol	OPEN	1	E121:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	SINGLE_TEMPLATE	FORMAL_LINK_ACTIVE_STATE	ACTIVE	link(active_work_state)	Mit der vorigen Zubereitung weiter	MNEMONIC_BAG_WITHOUT_ORDER
F025	f81v	B1	f81v.17	sshkchdy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	halte es warm und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F026	f81v	B1	f81v.17	chedy ol shedy	TERMINAL	1	E124:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	SINGLE_TEMPLATE	FORMAL_LINK_ACTIVE_STATE	ACTIVE	link(active_work_state)	rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F027	f81v	B1	f81v.17	qolchedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F028	f81v	B1	f81v.17	qokain shckhy dl ral	OPEN	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen	WHOLE_FIELD_EXEMPLAR
F029	f81v	B1	f81v.18	qokchdy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	erwärme es einmal und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F030	f81v	B1	f81v.18	chey ol cheky ol shedy	TERMINAL	2	E133:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E135:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	COMPOSITE_SEQUENCE	FORMAL_LINK_ACTIVE_STATE > FORMAL_LINK_ACTIVE_STATE	ACTIVE	link(active_work_state) ; link(active_work_state)	Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F031	f81v	B1	f81v.18	qokedy	TERMINAL	1	E137:MNEMONIC=SPÜLEN?	SINGLE_TEMPLATE	FLUSH_AND_COMMIT	ACTIVE|TARGET	flush(ACTIVE,TARGET?); commit	spüle die bezeichnete Stelle einmal und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F032	f81v	B1	f81v.18	qokedy	TERMINAL	1	E138:MNEMONIC=SPÜLEN?	SINGLE_TEMPLATE	FLUSH_AND_COMMIT	ACTIVE|TARGET	flush(ACTIVE,TARGET?); commit	spüle die bezeichnete Stelle einmal und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F033	f81v	B1	f81v.18	chckhy qoky	OPEN	1	E140:MNEMONIC=ANWENDEN?	SINGLE_TEMPLATE	APPLY_ACTIVE	ACTIVE|TARGET	apply(ACTIVE,TARGET?)	durch die verbundenen Läufe ; Die aktive Portion verwenden	MNEMONIC_BAG_WITHOUT_ORDER
F034	f81v	B1	f81v.21	lsho qokey lshedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	beginne die Spülung ; warmes Wasser ; wasche einmal und beende diesen Durchgang	WHOLE_FIELD_EXEMPLAR
F035	f81v	B1	f81v.21	lshedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	wasche einmal und beende diesen Durchgang	WHOLE_FIELD_EXEMPLAR
F036	f81v	B1	f81v.21	chedy qolky lchedal qol otar	OPEN	1	E148:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	SINGLE_TEMPLATE	FORMAL_LINK_ACTIVE_STATE	ACTIVE	link(active_work_state)	rühre, bis alles gleichmäßig vermischt ist ; die betroffene Stelle ; das untere Becken ; Mit der vorigen Zubereitung weiter ; benutze danach den unteren Ablauf	MNEMONIC_BAG_WITHOUT_ORDER
F037	f81v	B1	f81v.24	ytey okchedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	fülle danach das Gefäß ; lasse es abkühlen und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F038	f81v	B1	f81v.24	qokal okeey qol cheedy	TERMINAL	3	E152:FORMAL=LOKALEN_RELATIONSSLOT_SETZEN | E153:MNEMONIC=TEMPERIEREN? | E154:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	COMPOSITE_SEQUENCE	FORMAL_SET_RELATION_SLOT > TEMPER_ACTIVE > FORMAL_LINK_ACTIVE_STATE	TARGET|ACTIVE	set(local_relation_slot) ; temper(ACTIVE) ; link(active_work_state)	mische beide Anteile zusammen ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F039	f81v	B1	f81v.24	sal teol dchdy	TERMINAL	1	E156:MNEMONIC=ZIEL?	SINGLE_TEMPLATE	TARGET_VALUE	TARGET	TARGET := EXEMPLAR_TARGET	An die bezeichnete Zielstelle führen ; die erste Öffnung ; seihe es klar und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F040	f81v	B1	f81v.24	ly	OPEN	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	fülle danach das Gefäß	WHOLE_FIELD_EXEMPLAR
F041	f81v	B1	f81v.27	dsheol oiiin olkeedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	wende es an der markierten Stelle an ; bis es klar ist ; lasse die Flüssigkeit sich setzen und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F042	f81v	B1	f81v.27	tedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	lasse es bis zur Bereitschaft stehen und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F043	f81v	B1	f81v.27	cheky shckhedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	bei sanfter Wärme ; seihe es einmal durch ein Tuch und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F044	f81v	B1	f81v.27	chal	OPEN	1	E166:MNEMONIC=ZIEL?	SINGLE_TEMPLATE	TARGET_VALUE	TARGET	TARGET := EXEMPLAR_TARGET	An die bezeichnete Zielstelle führen	MNEMONIC_BAG_WITHOUT_ORDER
F045	f82r	B2	f82r.2	dchedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F046	f82r	B2	f82r.2	qolchedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F047	f82r	B2	f82r.2	qokain dy qokeedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	gib einen abgemessenen Anteil in das Gefäß ; Diese aktive Portion ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F048	f82r	B2	f82r.2	qokal lcheckhy lched	OPEN	1	E172:FORMAL=LOKALEN_RELATIONSSLOT_SETZEN	SINGLE_TEMPLATE	FORMAL_SET_RELATION_SLOT	TARGET	set(local_relation_slot)	mische beide Anteile zusammen ; die zweite Öffnung ; und gehe zum nächsten Becken weiter	MNEMONIC_BAG_WITHOUT_ORDER
F049	f82r	B2	f82r.3	qokeey lcheckhedy	TERMINAL	1	E175:MNEMONIC=TEMPERIEREN?	SINGLE_TEMPLATE	TEMPER_ACTIVE	ACTIVE	temper(ACTIVE)	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; seihe es klar und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F050	f82r	B2	f82r.3	qokaly solkaiin chckhy qokaiin	OPEN	1	E180:FORMAL=STANDARDSLOT_SETZEN	SINGLE_TEMPLATE	FORMAL_SET_STANDARD_SLOT	ACTIVE	set(standard_slot)	fahre am zweiten Lauf fort ; durch ein Tuch ; durch die verbundenen Läufe ; beginne den nächsten abgemessenen Posten	MNEMONIC_BAG_WITHOUT_ORDER
F051	f82r	B2	f82r.4	qokaiin octheol chkeey ldy	TERMINAL	1	E181:FORMAL=STANDARDSLOT_SETZEN	SINGLE_TEMPLATE	FORMAL_SET_STANDARD_SLOT	ACTIVE	set(standard_slot)	beginne den nächsten abgemessenen Posten ; unter derselben Einstellung ; das breite Gefäß ; ziehe es ab und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F052	f82r	B2	f82r.4	oteey qokal sheckhy qoky	OPEN	2	E186:FORMAL=LOKALEN_RELATIONSSLOT_SETZEN | E188:MNEMONIC=ANWENDEN?	COMPOSITE_SEQUENCE	FORMAL_SET_RELATION_SLOT > APPLY_ACTIVE	TARGET|ACTIVE	set(local_relation_slot) ; apply(ACTIVE,TARGET?)	das bereitete Öl ; mische beide Anteile zusammen ; über der örtlich bezeichneten Stelle ; Die aktive Portion verwenden	MNEMONIC_BAG_WITHOUT_ORDER
F053	f82r	B2	f82r.7	dshedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	gib sauberes Wasser hinzu und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F054	f82r	B2	f82r.7	sotaiin qokar shedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	für dieselbe Dauer wie zuvor ; über der örtlich bezeichneten Stelle ; lasse es bis zur Bereitschaft stehen und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F055	f82r	B2	f82r.7	solshedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	halte es warm und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F056	f82r	B2	f82r.7	qokeey qoky ls cheey	OPEN	3	E194:MNEMONIC=TEMPERIEREN? | E195:MNEMONIC=ANWENDEN? | E197:MNEMONIC=KLAR?	COMPOSITE_SEQUENCE	TEMPER_ACTIVE > APPLY_ACTIVE > TEST_CLEAR_STATE	ACTIVE|TARGET	temper(ACTIVE) ; apply(ACTIVE,TARGET?) ; test(ACTIVE,CLEAR?)	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; die erste Öffnung ; Bis die Flüssigkeit klar abläuft	MNEMONIC_BAG_WITHOUT_ORDER
F057	f82r	B2	f82r.19	okain char okain qokeedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	gib einen abgemessenen Anteil in das Gefäß ; Daraus, aus demselben Ansatz ; gib einen abgemessenen Anteil in das Gefäß ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F058	f82r	B2	f82r.19	lchy	OPEN	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	ziehe die klare Flüssigkeit ab	WHOLE_FIELD_EXEMPLAR
F059	f82r	B2	f82r.23	cheey qcthey qokeey lcheey daiin chey qokeeedy	TERMINAL	3	E203:MNEMONIC=KLAR? | E205:MNEMONIC=TEMPERIEREN? | E207:FORMAL=VORGABEPARAMETER? | E207:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	TEST_CLEAR_STATE > TEMPER_ACTIVE > REQUEST_STANDARD_PARAMETER > PARAMETER_VALUE	ACTIVE	test(ACTIVE,CLEAR?) ; temper(ACTIVE) ; request(parameter_slot) ; parameter_slot := EXEMPLAR_VALUE	Bis die Flüssigkeit klar abläuft ; unter derselben Einstellung ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; tauche vollständig ein und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F060	f82r	B2	f82r.23	lchedy	TERMINAL	1	E210:MNEMONIC=ABLASSEN?	SINGLE_TEMPLATE	DRAIN_AND_COMMIT	ACTIVE|TARGET	drain(ACTIVE,TARGET?); commit	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	MNEMONIC_BAG_WITHOUT_ORDER
F061	f82r	B2	f82r.23	lar	OPEN	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	schließe den unteren Ablauf	WHOLE_FIELD_EXEMPLAR
F062	f82r	B2	f82r.26	tshey qokeedy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	beginne die Spülung ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	WHOLE_FIELD_EXEMPLAR
F063	f82r	B2	f82r.26	cheal lchedar ches aiin oteey qokaiin okey	OPEN	3	E214:MNEMONIC=ZIEL? | E217:MNEMONIC=MASS? | E219:FORMAL=STANDARDSLOT_SETZEN	COMPOSITE_SEQUENCE	TARGET_VALUE > PARAMETER_VALUE > FORMAL_SET_STANDARD_SLOT	TARGET|ACTIVE	TARGET := EXEMPLAR_TARGET ; parameter_slot := EXEMPLAR_VALUE ; set(standard_slot)	An die bezeichnete Zielstelle führen ; kühles Wasser ; zu gleichen Anteilen ; Ein vorgeschriebenes Maß ; das bereitete Öl ; beginne den nächsten abgemessenen Posten ; warmes Wasser	MNEMONIC_BAG_WITHOUT_ORDER
