card_no	section	surfaces	component_parse	atomic_card_value_de	composition_status	section_local_partition	occurrences	records	semantic_learning_rule	separate_whole_word_needed
PROC057	HERBAL	cheeckhody	CH+EE+CKH+O+DY	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC058	HERBAL	sh	SH	den laufenden Posten halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC059	HERBAL	kchey	K+E+Y	diesen Posten kurz zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC060	HERBAL	qokokchy	OK+OK+Y	diesen Posten ansetzen und ansetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC061	HERBAL	chokcheo	OK+CH+E+O	den Arbeitsgang kurz ansetzen und abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC062	HERBAL	kchal	K+AL	den laufenden Posten an bezeichnete Stelle zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC063	HERBAL	kchoar	K+HO+AR	den Gabe von dort zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC064	HERBAL	sotodan	OT+O+AIN	danach · Arbeitsgang · Portion	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC066	HERBAL	keol	K+E+OL	fortsetzen den laufenden Posten kurz zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC067	BIOLOGICAL	qokedy	OK+E+DY	den laufenden Posten kurz ansetzen; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	8	B1|B3|B4	GENERATE_FROM_COMPONENTS	NO
PROC068	BIOLOGICAL	kair	K+AIR	den laufenden Posten durch laufender Bestand zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC069	BIOLOGICAL	chkain|kain	K+AIN	den laufenden Posten nach Portion zuführen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	3	B1|B3|B4	GENERATE_FROM_COMPONENTS	NO
PROC070	BIOLOGICAL	olkain|qolkain	OL+K+AIN	fortsetzen den laufenden Posten nach Portion zuführen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B1|B4	GENERATE_FROM_COMPONENTS	NO
PROC071	BIOLOGICAL	rol	R+OL	fortsetzen den laufenden Posten abkühlen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC072	BIOLOGICAL	dl	L	leiten	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B1	GENERATE_FROM_COMPONENTS	NO
PROC073	BIOLOGICAL	sheckhal	SH+E+CKH+AL	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC074	BIOLOGICAL	qokeedal	OK+EE+AL	den laufenden Posten an bezeichnete Stelle länger ansetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC075	BIOLOGICAL	chckhy|shckhy	CKH+Y	Durchlass · dieser Posten	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	4	B1|B2	GENERATE_FROM_COMPONENTS	NO
PROC076	BIOLOGICAL	dchedy|schedy|tchedy	CHD+DY	überführen und den Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	4	B1|B2|B3	GENERATE_FROM_COMPONENTS	NO
PROC077	BIOLOGICAL	sshkchdy	SH+K+CHD+DY	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC078	BIOLOGICAL	cheedy|shedy|tedy	SHED+DY	absetzen und den Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	12	B1|B2|B3|B4	GENERATE_FROM_COMPONENTS	NO
PROC079	BIOLOGICAL	olchedy|qolchedy	OL+CHD+DY	fortsetzen den laufenden Posten umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	3	B1|B2|B3	GENERATE_FROM_COMPONENTS	NO
PROC080	BIOLOGICAL	okain|qokain	OK+AIN	den laufenden Posten nach Portion ansetzen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	7	B1|B2|B3|B4	GENERATE_FROM_COMPONENTS	NO
PROC081	BIOLOGICAL	ral	R+AL	den laufenden Posten an bezeichnete Stelle abkühlen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC082	BIOLOGICAL	qokchdy	OK+CHD+DY	den laufenden Posten ansetzen und umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	3	B1|B3|B5	GENERATE_FROM_COMPONENTS	NO
PROC083	BIOLOGICAL	cheky	CHK+E+Y	diesen Posten kurz wärmen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	3	B1|B4	GENERATE_FROM_COMPONENTS	NO
PROC084	BIOLOGICAL	lsho	LSH+O	den Arbeitsgang waschen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC085	BIOLOGICAL	okey|qokey	OK+E+Y	diesen Posten kurz ansetzen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B1|B2	GENERATE_FROM_COMPONENTS	NO
PROC086	BIOLOGICAL	lshedy	LSH+E+DY	den laufenden Posten kurz waschen; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B1	GENERATE_FROM_COMPONENTS	NO
PROC087	BIOLOGICAL	qolky	SOLK+Y	diesen Posten auffangen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC088	BIOLOGICAL	lchedal	L+CHD+AL	den laufenden Posten an bezeichnete Stelle führen und umsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC089	BIOLOGICAL	otar	OT+AR	danach · von dort	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC090	BIOLOGICAL	ytey	T+E+Y	diesen Posten kurz eintragen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC091	BIOLOGICAL	okchedy|qokchedy	OK+CHD+DY	den laufenden Posten ansetzen und umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B1|B3	GENERATE_FROM_COMPONENTS	NO
PROC092	BIOLOGICAL	okeey|qokeey	OK+EE+Y	den aktuellen Posten länger in Einsatz halten	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	7	B1|B2|B3|B4	GENERATE_FROM_COMPONENTS	NO
PROC093	BIOLOGICAL	teol	E+OL	kurz · fortsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC094	BIOLOGICAL	dchdy	CHD+DY	den laufenden Posten umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC095	BIOLOGICAL	ly	L+Y	diesen Posten führen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC096	BIOLOGICAL	dsheol	SH+E+OL	fortsetzen den laufenden Posten kurz halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B1	GENERATE_FROM_COMPONENTS	NO
PROC097	BIOLOGICAL	oiiin|soiiin	O+IIN	Arbeitsgang · Sollstufe	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B1|B3	GENERATE_FROM_COMPONENTS	NO
PROC098	BIOLOGICAL	olkeedy|solkeedy	SOLK+EE+DY	den laufenden Posten länger auffangen; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	3	B1|B3	GENERATE_FROM_COMPONENTS	NO
PROC099	BIOLOGICAL	shckhedy	SH+CKH+E+DY	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	3	B1|B4	GENERATE_FROM_COMPONENTS	NO
PROC100	BIOLOGICAL	qokeedy	OK+EE+DY	den laufenden Posten länger ansetzen; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	10	B2|B3|B4	GENERATE_FROM_COMPONENTS	NO
PROC101	BIOLOGICAL	lcheckhy	L+CKH+Y	diesen Posten durch Durchlass führen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC102	BIOLOGICAL	lched	L+CHD	den laufenden Posten führen und umsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC103	BIOLOGICAL	lcheckhedy	L+CKH+E+DY	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC104	BIOLOGICAL	qokaly	OK+AL+Y	diesen Posten an bezeichnete Stelle ansetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC105	BIOLOGICAL	solkaiin	SOLK+AIIN	den laufenden Posten nach vorgeschriebenes Maß auffangen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC106	BIOLOGICAL	octheol	O+CTH+E+OL	Arbeitsgang · bereit · kurz · fortsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC107	BIOLOGICAL	chkeey	CHK+EE+Y	diesen Posten länger wärmen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC108	BIOLOGICAL	ldy	L+DY	den laufenden Posten führen; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B2|B3	GENERATE_FROM_COMPONENTS	NO
PROC109	BIOLOGICAL	oteey	OT+EE+Y	danach · länger · dieser Posten	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B2	GENERATE_FROM_COMPONENTS	NO
PROC110	BIOLOGICAL	sheckhy	SH+E+CKH+Y	diesen Posten durch Durchlass kurz halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC111	BIOLOGICAL	dshedy	SH+E+DY	den laufenden Posten kurz halten; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC112	BIOLOGICAL	otaiin|sotaiin	OT+AIIN	danach · vorgeschriebenes Maß	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	3	B2|B3	GENERATE_FROM_COMPONENTS	NO
PROC113	BIOLOGICAL	qokar	OK+AR	den laufenden Posten von dort ansetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC114	BIOLOGICAL	solshedy	OL+SH+E+DY	fortsetzen den laufenden Posten kurz halten; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC115	BIOLOGICAL	ls	LS	weiter	LEARNED_WHOLE_CARD	LOCAL_SPECIALIST_WHOLE_OR_ATOM	1	B2	LEARN_ONE_SPECIALIST_VALUE	YES
PROC116	BIOLOGICAL	lchy	L+CH+Y	diesen Posten führen und abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC117	BIOLOGICAL	qcthey|shcthey	CTH+E+Y	bereit · kurz · dieser Posten	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B2|B3	GENERATE_FROM_COMPONENTS	NO
PROC118	BIOLOGICAL	lcheey	L+EE+Y	diesen Posten länger führen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC119	BIOLOGICAL	qokeeedy	OK+EEE+DY	den laufenden Posten vollständig ansetzen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC120	BIOLOGICAL	lchedy	L+CHD+DY	weiterleiten, überführen und den Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	8	B2|B3|B4	GENERATE_FROM_COMPONENTS	NO
PROC121	BIOLOGICAL	lar	L+AR	den laufenden Posten von dort führen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC122	BIOLOGICAL	tshey	SH+E+Y	diesen Posten kurz halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC123	BIOLOGICAL	lchedar	L+CHD+AR	den laufenden Posten von dort führen und umsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC124	BIOLOGICAL	ches	CH+E+S	den laufenden Posten kurz abziehen und teilen	PARTIAL_WITH_LEARNED_ATOM	LOCAL_SPECIALIST_WHOLE_OR_ATOM	1	B2	LEARN_ONE_SPECIALIST_VALUE	YES
PROC125	BIOLOGICAL	pchedy	P+CHD+DY	den laufenden Posten hineingeben und umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC126	BIOLOGICAL	rsheal	R+SH+E+AL	den laufenden Posten an bezeichnete Stelle kurz abkühlen und halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC127	BIOLOGICAL	daldy	AL+DY	bezeichnete Stelle; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC128	BIOLOGICAL	rshedy	R+SHED+DY	den laufenden Posten abkühlen und absetzen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC129	BIOLOGICAL	qoteedy	OT+EE+DY	danach · länger; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B2|B3	GENERATE_FROM_COMPONENTS	NO
PROC130	BIOLOGICAL	lochedy	L+O+CHD+DY	den Arbeitsgang führen und umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B2	GENERATE_FROM_COMPONENTS	NO
PROC131	BIOLOGICAL	otal|qotal	OT+AL	danach · bezeichnete Stelle	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	3	B3|B4	GENERATE_FROM_COMPONENTS	NO
PROC132	BIOLOGICAL	chkeedy	CHK+EE+DY	den laufenden Posten länger wärmen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC133	BIOLOGICAL	chedchy	CHD+Y	diesen Posten umsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC134	BIOLOGICAL	pchedal	P+CHD+AL	den laufenden Posten an bezeichnete Stelle hineingeben und umsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC135	BIOLOGICAL	otedy	OT+E+DY	danach · kurz; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B3	GENERATE_FROM_COMPONENTS	NO
PROC136	BIOLOGICAL	shecthedchy	SH+E+CTH+CHD+Y	diesen Posten kurz halten und umsetzen bis bereit	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC137	BIOLOGICAL	chary	AR+Y	von dort · dieser Posten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC138	BIOLOGICAL	okair	OK+AIR	den laufenden Posten durch laufender Bestand ansetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC139	BIOLOGICAL	sheedy	SH+EE+DY	den laufenden Posten länger halten; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC140	BIOLOGICAL	lo	L+O	den Arbeitsgang führen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC141	BIOLOGICAL	qokshedy	OK+SH+E+DY	den laufenden Posten kurz ansetzen und halten; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC142	BIOLOGICAL	shedal	SHED+AL	den laufenden Posten an bezeichnete Stelle absetzen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B3|B5	GENERATE_FROM_COMPONENTS	NO
PROC143	BIOLOGICAL	shecthy	SH+E+CTH+Y	diesen Posten kurz halten bis bereit	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC144	BIOLOGICAL	dalchdy	AL+CHD+DY	den laufenden Posten an bezeichnete Stelle umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC145	BIOLOGICAL	otchedy|qotchedy	OT+CHD+DY	danach den laufenden Posten umsetzen; Schritt schließen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	B3	GENERATE_FROM_COMPONENTS	NO
PROC146	BIOLOGICAL	cheedar	EE+AR	länger · von dort	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC147	BIOLOGICAL	chldaiin	L+AIIN	den laufenden Posten nach vorgeschriebenes Maß führen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
PROC148	BIOLOGICAL	chealror	AL+R+OR	den Ansatz an bezeichnete Stelle abkühlen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	B3	GENERATE_FROM_COMPONENTS	NO
