decision_order	group_serial	diagram_id	page	locus	position_in_locus	groups_in_locus	surface	parse_alternatives	selected_parse	selected_atomic_value_de	selection_rule
18	77	A1	f67r2	f67r2.32	1	4	dosar	D_ADDR+O+AR	D_ADDR+O+AR	Teiladresse + Arbeitsgang + von dort	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
19	78	A1	f67r2	f67r2.32	2	4	odas	O+D_ADDR+A_ADDR+S_ADDR	O+D_ADDR+A_ADDR+S_ADDR	Arbeitsgang + Teiladresse + Nebenadresse + Sternbezug	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
20	84	A1	f67r2	f67r2.34	1	2	ofar	O+F_ADDR+AR	O+F_ADDR+AR	Arbeitsgang + Aussenbezug + von dort	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
21	87	A1	f67r2	f67r2.35	2	3	giin	G_ADDR+IIN	G_ADDR+IIN	Strahlmarke + Sollstufe	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
22	93	A1	f67r2	f67r2.38	1	2	otoldos	O+OL+D_ADDR+O+S_ADDR || OT+OL+D_ADDR+O+S_ADDR	OT+OL+D_ADDR+O+S_ADDR	danach + fortsetzen + Teiladresse + Arbeitsgang + Sternbezug	KNOWN_OT_SEQUENCE_PRIORITY
23	100	A1	f67r2	f67r2.40	3	3	og	O+G_ADDR	O+G_ADDR	Arbeitsgang + Strahlmarke	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
24	103	A1	f67r2	f67r2.42	1	3	sosho	S_ADDR+O+HO	S_ADDR+O+HO	Sternbezug + Arbeitsgang + Gabe	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
25	109	A1	f67r2	f67r2.43	4	4	qsg	S_ADDR+G_ADDR	S_ADDR+G_ADDR	Sternbezug + Strahlmarke	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
26	110	A1	f67r2	f67r2.44	1	3	ofydy	O+F_ADDR+Y+DY || O+F_ADDR+Y+Y	O+F_ADDR+Y+Y	Arbeitsgang + Aussenbezug + dies + dies	LOCUS_INTERNAL_CURRENT_ITEM
27	118	A1	f67r2	f67r2.47	1	1	yfain	Y+F_ADDR+AIN	Y+F_ADDR+AIN	dies + Aussenbezug + Portion	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
28	125	A1	f67r2	f67r2.50	1	2	choeea	HO+EE+A_ADDR	HO+EE+A_ADDR	Gabe + laenger + Nebenadresse	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
29	127	A1	f67r2	f67r2.51	1	1	dadaiin	D_ADDR+A_ADDR+AIIN	D_ADDR+A_ADDR+AIIN	Teiladresse + Nebenadresse + Mass	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
30	129	A1	f67r2	f67r2.53	1	1	dchdar	D_ADDR+CH+AR || D_ADDR+CHD+AR	D_ADDR+CHD+AR	Teiladresse + umsetzen + von dort	KNOWN_CHD_MACRO_PRIORITY
31	139	A1	f67r2	f67r2.58	3	3	g	G_ADDR	G_ADDR	Strahlmarke	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
32	147	A1	f67r2	f67r2.65	1	1	soear	S_ADDR+O+E+AR	S_ADDR+O+E+AR	Sternbezug + Arbeitsgang + kurz + von dort	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
33	148	A1	f67r2	f67r2.66	1	1	cpheey	CPH_CLASS+EE+Y	CPH_CLASS+EE+Y	Sternfigur + laenger + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
34	152	A1	f67r2	f67r2.69	2	2	ay	A_ADDR+Y	A_ADDR+Y	Nebenadresse + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
35	160	A1	f67r2	f67r2.72	6	12	qofair	O+F_ADDR+AIR	O+F_ADDR+AIR	Arbeitsgang + Aussenbezug + Lauf	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
36	163	A1	f67r2	f67r2.72	9	12	ydoly	Y+D_ADDR+OL+Y	Y+D_ADDR+OL+Y	dies + Teiladresse + fortsetzen + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
37	167	A1	f67r2	f67r2.73	1	11	sshey	S_ADDR+SH+E+Y	S_ADDR+SH+E+Y	Sternbezug + halten + kurz + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
38	190	A1	f67r2	f67r2.74	13	13	ay	A_ADDR+Y	A_ADDR+Y	Nebenadresse + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
39	194	A2	f68r1	f68r1.1	4	9	cphol	CPH_CLASS+OL	CPH_CLASS+OL	Sternfigur + fortsetzen	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
40	200	A2	f68r1	f68r1.2	1	9	tochso	T+O+CH+S_ADDR+O	T+O+CH+S_ADDR+O	eintragen + Arbeitsgang + abziehen + Sternbezug + Arbeitsgang	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
41	216	A2	f68r1	f68r1.3	8	8	daram	AR+AM_ADDR	AR+AM_ADDR	von dort + Gegenfeld	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
42	217	A2	f68r1	f68r1.4	1	2	dchor	D_ADDR+OR	D_ADDR+OR	Teiladresse + Ansatz	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
43	223	A2	f68r1	f68r1.9	1	1	odchecthy	O+D_ADDR+CH+E+CTH+Y	O+D_ADDR+CH+E+CTH+Y	Arbeitsgang + Teiladresse + abziehen + kurz + bereit + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
44	226	A2	f68r1	f68r1.12	1	1	chocfhy	HO+CFH_CLASS+Y	HO+CFH_CLASS+Y	Gabe + Sternhaufen + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
45	231	A2	f68r1	f68r1.17	1	1	cphocthy	CPH_CLASS+O+CTH+Y	CPH_CLASS+O+CTH+Y	Sternfigur + Arbeitsgang + bereit + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
46	236	A2	f68r1	f68r1.22	1	1	ofcheor	O+F_ADDR+CHEO+R	O+F_ADDR+CHEO+R	Arbeitsgang + Aussenbezug + Auszug + abkuehlen	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
47	245	A2	f68r1	f68r1.31	1	1	ocphy	O+CPH_CLASS+Y	O+CPH_CLASS+Y	Arbeitsgang + Sternfigur + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
48	248	A2	f68r1	f68r1.34	1	1	osdaiin	O+S_ADDR+AIIN	O+S_ADDR+AIIN	Arbeitsgang + Sternbezug + Mass	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
49	250	A2	f68r1	f68r1.36	1	1	dolchedy	D_ADDR+OL+CHD+Y	D_ADDR+OL+CHD+Y	Teiladresse + fortsetzen + umsetzen + dies	KNOWN_CHD_MACRO_PRIORITY
50	255	A2	f68r1	f68r1.37	5	5	oygy	O+Y+G_ADDR+Y	O+Y+G_ADDR+Y	Arbeitsgang + dies + Strahlmarke + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
51	256	A3	f69v	f69v.1	1	40	dair	D_ADDR+AIR	D_ADDR+AIR	Teiladresse + Lauf	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
52	278	A3	f69v	f69v.1	23	40	chsdy	CH+S_ADDR+DY || CH+S_ADDR+Y	CH+S_ADDR+Y	abziehen + Sternbezug + dies	LOCUS_INTERNAL_CURRENT_ITEM
53	288	A3	f69v	f69v.1	33	40	odair	O+D_ADDR+AIR	O+D_ADDR+AIR	Arbeitsgang + Teiladresse + Lauf	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
54	294	A3	f69v	f69v.1	39	40	dchor	D_ADDR+OR	D_ADDR+OR	Teiladresse + Ansatz	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
55	296	A3	f69v	f69v.2	1	38	yka	Y+K+A_ADDR	Y+K+A_ADDR	dies + zufuehren + Nebenadresse	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
56	300	A3	f69v	f69v.2	5	38	ykady	Y+K+A_ADDR+DY || Y+K+A_ADDR+Y	Y+K+A_ADDR+Y	dies + zufuehren + Nebenadresse + dies	LOCUS_INTERNAL_CURRENT_ITEM
57	306	A3	f69v	f69v.2	11	38	oaram	O+AR+AM_ADDR	O+AR+AM_ADDR	Arbeitsgang + von dort + Gegenfeld	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
58	334	A3	f69v	f69v.3	1	29	doair	D_ADDR+O+AIR	D_ADDR+O+AIR	Teiladresse + Arbeitsgang + Lauf	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
59	336	A3	f69v	f69v.3	3	29	dair	D_ADDR+AIR	D_ADDR+AIR	Teiladresse + Lauf	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
60	344	A3	f69v	f69v.3	11	29	chda	CHD+A_ADDR	CHD+A_ADDR	umsetzen + Nebenadresse	KNOWN_CHD_MACRO_PRIORITY
61	351	A3	f69v	f69v.3	18	29	a	A_ADDR	A_ADDR	Nebenadresse	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
62	352	A3	f69v	f69v.3	19	29	dchy	D_ADDR+Y	D_ADDR+Y	Teiladresse + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
63	356	A3	f69v	f69v.3	23	29	cheteeser	CH+E+T+EE+S_ADDR+E+R	CH+E+T+EE+S_ADDR+E+R	abziehen + kurz + eintragen + laenger + Sternbezug + kurz + abkuehlen	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
64	357	A3	f69v	f69v.3	24	29	dair	D_ADDR+AIR	D_ADDR+AIR	Teiladresse + Lauf	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
65	391	A3	f69v	f69v.28	1	1	okodchy	OK+O+D_ADDR+Y	OK+O+D_ADDR+Y	ansetzen + Arbeitsgang + Teiladresse + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
