paragraph	locus	index	raw	status	N	C	T	CT	row_status
f6v|f6v.6-f6v.21	f6v.13	1	yodaiin	ASSUMED	weitere Dosis Q	weitere Dosis Q	weitere Dosis Q	weitere Dosis Q	recorded
f6v|f6v.6-f6v.21	f6v.13	2	cthy	ASSUMED	Kraut	Kraut	Kraut	Kraut	recorded
f6v|f6v.6-f6v.21	f6v.13	3	s	ASSUMED	jeweils	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.13	4	chor	ASSUMED	Blüten	Blüten	Blüten	Blüten	recorded
f6v|f6v.6-f6v.21	f6v.13	5	oees	ASSUMED	gemischt	gemischt	gemischt	gemischt	recorded
f6v|f6v.6-f6v.21	f6v.13	6	or	ASSUMED	Anteil	Anteil	Anteil	Anteil	recorded
f6v|f6v.6-f6v.21	f6v.14	1	qokor	ASSUMED	erhitze	erhitze	erhitze	erhitze	recorded
f6v|f6v.6-f6v.21	f6v.14	2	chol	ASSUMED	trocken	trockne	trocken	trockne	recorded
f6v|f6v.6-f6v.21	f6v.14	3	cthol	ASSUMED	Krautpulver	Krautpulver	Krautpulver	Krautpulver	recorded
f6v|f6v.6-f6v.21	f6v.14	4	tchalody	ASSUMED	fein gesiebt	fein gesiebt	fein gesiebt	fein gesiebt	recorded
f6v|f6v.6-f6v.21	f6v.15	1	chockhy	ASSUMED	vermische	vermische	vermische	vermische	recorded
f6v|f6v.6-f6v.21	f6v.15	2	s	ASSUMED	jeweils	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.15	3	or	ASSUMED	Anteil	Anteil	Anteil	Anteil	recorded
f6v|f6v.6-f6v.21	f6v.15	4	chy	ASSUMED	heiß	heiß	heiß	heiß	recorded
f6v|f6v.6-f6v.21	f6v.15	5	s	ASSUMED	jeweils	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.15	6	ain	ASSUMED	Maßzahl P	Maßzahl P	Maßzahl P	Maßzahl P	recorded
f6v|f6v.6-f6v.21	f6v.15	7	ar	ASSUMED	Teil	Teil	Teil	Teil	recorded
f6v|f6v.6-f6v.21	f6v.16	1	ochy	ASSUMED	kühle	kühle	kühle	kühle	recorded
f6v|f6v.6-f6v.21	f6v.16	2	cthar	ASSUMED	kleine Kräuterportion	kleine Kräuterportion	kleine Kräuterportion	kleine Kräuterportion	recorded
f6v|f6v.6-f6v.21	f6v.16	3	cth[a:o]r	UNREAD	[ungelesen: cth[a:o]r]	[ungelesen: cth[a:o]r]	[ungelesen: cth[a:o]r]	[ungelesen: cth[a:o]r]	recorded
f6v|f6v.6-f6v.21	f6v.16	4	cthy	ASSUMED	Kraut	Kraut	Kraut	Kraut	recorded
f6v|f6v.6-f6v.21	f6v.17	1	y	ASSUMED	und	und	und	und	recorded
f6v|f6v.6-f6v.21	f6v.17	2	chaies	ASSUMED	weich	weich	weich	weich	recorded
f6v|f6v.6-f6v.21	f6v.17	3	ckhal	ASSUMED	presse aus	presse aus	presse aus	presse aus	recorded
f6v|f6v.6-f6v.21	f6v.17	4	cthodam	ASSUMED	Kräuterrückstand	Kräuterrückstand	Kräuterrückstand	Kräuterrückstand	recorded
f6v|f6v.6-f6v.21	f6v.17	5	dy	ASSUMED	fertig	fertig	fertig	fertig	recorded
f6v|f6v.6-f6v.21	f6v.18	1	ytchocthol	ASSUMED	benetztes Krautmehl	benetztes Krautmehl	benetztes Krautmehl	benetztes Krautmehl	recorded
f6v|f6v.6-f6v.21	f6v.18	2	ches	ASSUMED	stampfe	stampfe	stampfe	stampfe	recorded
f6v|f6v.6-f6v.21	f6v.18	3	{ith}or	UNREAD	[ungelesen: {ith}or]	[ungelesen: {ith}or]	[ungelesen: {ith}or]	[ungelesen: {ith}or]	recorded
f6v|f6v.6-f6v.21	f6v.19	1	ocholy	ASSUMED	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	recorded
f6v|f6v.6-f6v.21	f6v.19	2	kchos	ASSUMED	zerreibe	zerreibe	zerreibe	zerreibe	recorded
f6v|f6v.6-f6v.21	f6v.19	3	chy	ASSUMED	heiß	heiß	heiß	heiß	recorded
f6v|f6v.6-f6v.21	f6v.19	4	dor	ASSUMED	abgemessene Menge	abgemessene Menge	abgemessene Menge	abgemessene Menge	recorded
f6v|f6v.6-f6v.21	f6v.20	1	dchor	ASSUMED	Blütenportion	Blütenportion	Blütenportion	Blütenportion	recorded
f6v|f6v.6-f6v.21	f6v.20	2	choldar	ASSUMED	Trockenanteil [nominale Qualität: Stoffkonstitution]	Trockenanteil [nominale Qualität: Stoffkonstitution]	Trockenanteil [nominale Qualität: Stoffkonstitution]	Trockenanteil [nominale Qualität: Stoffkonstitution]	recorded
f6v|f6v.6-f6v.21	f6v.20	3	okol	ASSUMED	Grundansatz	Grundansatz	Grundansatz	Grundansatz	recorded
f6v|f6v.6-f6v.21	f6v.20	4	daiin	ASSUMED	Dosis Q	Dosis Q	Dosis Q	Dosis Q	recorded
f6v|f6v.6-f6v.21	f6v.21	1	ycheor	ASSUMED	zum Schluss	zum Schluss	zum Schluss	zum Schluss	recorded
f6v|f6v.6-f6v.21	f6v.21	2	chor	ASSUMED	Blüten	Blüten	Blüten	Blüten	recorded
f6v|f6v.6-f6v.21	f6v.21	3	octham	ASSUMED	bewahre auf	bewahre auf	bewahre auf	bewahre auf	recorded
f9v|f9v.5-f9v.12	f9v.5	1	pchor	ASSUMED	nimm	nimm	nimm	nimm	recorded
f9v|f9v.5-f9v.12	f9v.5	2	ypcheey	UNREAD	[ungelesen: ypcheey]	[ungelesen: ypcheey]	[ungelesen: ypcheey]	[ungelesen: ypcheey]	recorded
f9v|f9v.5-f9v.12	f9v.5	3	qotor	ASSUMED	kühle ab	kühle ab	kühle ab	kühle ab	recorded
f9v|f9v.5-f9v.12	f9v.5	4	ypchy	UNREAD	[ungelesen: ypchy]	[ungelesen: ypchy]	[ungelesen: ypchy]	[ungelesen: ypchy]	recorded
f9v|f9v.5-f9v.12	f9v.5	5	olcfholy	UNREAD	[ungelesen: olcfholy]	[ungelesen: olcfholy]	[ungelesen: olcfholy]	[ungelesen: olcfholy]	recorded
f9v|f9v.5-f9v.12	f9v.5	6	t[o:e]	UNREAD	[ungelesen: t[o:e]]	[ungelesen: t[o:e]]	[ungelesen: t[o:e]]	[ungelesen: t[o:e]]	recorded
f9v|f9v.5-f9v.12	f9v.5	7	ar	ASSUMED	Teil	Teil	Teil	Teil	recorded
f9v|f9v.5-f9v.12	f9v.5	8	chty	UNREAD	[ungelesen: chty]	[ungelesen: chty]	[ungelesen: chty]	[ungelesen: chty]	recorded
f9v|f9v.5-f9v.12	f9v.5	9	daiiin	UNREAD	[ungelesen: daiiin]	[ungelesen: daiiin]	[ungelesen: daiiin]	[ungelesen: daiiin]	recorded
f9v|f9v.5-f9v.12	f9v.6	1	odol	ASSUMED	abgemessene Zubereitung	abgemessene Zubereitung	abgemessene Zubereitung	abgemessene Zubereitung	recorded
f9v|f9v.5-f9v.12	f9v.6	2	choy	ASSUMED	grob	grob	grob	grob	recorded
f9v|f9v.5-f9v.12	f9v.6	3	ksheody	UNREAD	[ungelesen: ksheody]	[ungelesen: ksheody]	[ungelesen: ksheody]	[ungelesen: ksheody]	recorded
f9v|f9v.5-f9v.12	f9v.6	4	chody	ASSUMED	getrocknetes Material	getrocknetes Material	getrocknetes Material	getrocknetes Material	recorded
f9v|f9v.5-f9v.12	f9v.6	5	da[in:iin]	UNREAD	[ungelesen: da[in:iin]]	[ungelesen: da[in:iin]]	[ungelesen: da[in:iin]]	[ungelesen: da[in:iin]]	recorded
f9v|f9v.5-f9v.12	f9v.6	6	otchy	UNREAD	[ungelesen: otchy]	[ungelesen: otchy]	[ungelesen: otchy]	[ungelesen: otchy]	recorded
f9v|f9v.5-f9v.12	f9v.6	7	cthod	UNREAD	[ungelesen: cthod]	[ungelesen: cthod]	[ungelesen: cthod]	[ungelesen: cthod]	recorded
f9v|f9v.5-f9v.12	f9v.6	8	yko	UNREAD	[ungelesen: yko]	[ungelesen: yko]	[ungelesen: yko]	[ungelesen: yko]	recorded
f9v|f9v.5-f9v.12	f9v.7	1	qo	ASSUMED	nimm	nimm	nimm	nimm	recorded
f9v|f9v.5-f9v.12	f9v.7	2	chol	ASSUMED	trocken	trockne	trocken	trockne	recorded
f9v|f9v.5-f9v.12	f9v.7	3	chol	ASSUMED	trocken	trockne	trocken	trockne	recorded
f9v|f9v.5-f9v.12	f9v.7	4	{ct}chy	UNREAD	[ungelesen: {ct}chy]	[ungelesen: {ct}chy]	[ungelesen: {ct}chy]	[ungelesen: {ct}chy]	recorded
f9v|f9v.5-f9v.12	f9v.7	5	daiin	ASSUMED	Dosis Q	Dosis Q	Dosis Q	Dosis Q	recorded
f9v|f9v.5-f9v.12	f9v.7	6	otal	ASSUMED	kühles Ausgangsmaterial [nominale Qualität: Stoffkonstitution]	kühles Ausgangsmaterial [nominale Qualität: Stoffkonstitution]	kühles Ausgangsmaterial [nominale Qualität: Stoffkonstitution]	kühles Ausgangsmaterial [nominale Qualität: Stoffkonstitution]	recorded
f9v|f9v.5-f9v.12	f9v.7	7	dor	ASSUMED	abgemessene Menge	abgemessene Menge	abgemessene Menge	abgemessene Menge	recorded
f9v|f9v.5-f9v.12	f9v.7	8	daim	UNREAD	[ungelesen: daim]	[ungelesen: daim]	[ungelesen: daim]	[ungelesen: daim]	recorded
f9v|f9v.5-f9v.12	f9v.8	1	soiin	UNREAD	[ungelesen: soiin]	[ungelesen: soiin]	[ungelesen: soiin]	[ungelesen: soiin]	recorded
f9v|f9v.5-f9v.12	f9v.8	2	daiin	ASSUMED	Dosis Q	Dosis Q	Dosis Q	Dosis Q	recorded
f9v|f9v.5-f9v.12	f9v.8	3	qokcho	ASSUMED	verarbeite warm	verarbeite warm	verarbeite warm	verarbeite warm	recorded
f9v|f9v.5-f9v.12	f9v.8	4	rokyd	UNREAD	[ungelesen: rokyd]	[ungelesen: rokyd]	[ungelesen: rokyd]	[ungelesen: rokyd]	recorded
f9v|f9v.5-f9v.12	f9v.8	5	daly	UNREAD	[ungelesen: daly]	[ungelesen: daly]	[ungelesen: daly]	[ungelesen: daly]	recorded
f9v|f9v.5-f9v.12	f9v.9	1	daiin	ASSUMED	Dosis Q	Dosis Q	Dosis Q	Dosis Q	recorded
f9v|f9v.5-f9v.12	f9v.9	2	chy	ASSUMED	heiß	heiß	heiß	heiß	recorded
f9v|f9v.5-f9v.12	f9v.9	3	tor	UNREAD	[ungelesen: tor]	[ungelesen: tor]	[ungelesen: tor]	[ungelesen: tor]	recorded
f9v|f9v.5-f9v.12	f9v.9	4	chyty	UNREAD	[ungelesen: chyty]	[ungelesen: chyty]	[ungelesen: chyty]	[ungelesen: chyty]	recorded
f9v|f9v.5-f9v.12	f9v.9	5	dary	UNREAD	[ungelesen: dary]	[ungelesen: dary]	[ungelesen: dary]	[ungelesen: dary]	recorded
f9v|f9v.5-f9v.12	f9v.9	6	ytoldy	UNREAD	[ungelesen: ytoldy]	[ungelesen: ytoldy]	[ungelesen: ytoldy]	[ungelesen: ytoldy]	recorded
f9v|f9v.5-f9v.12	f9v.10	1	oty	ASSUMED	kühl	kühl	kühle	kühle	recorded
f9v|f9v.5-f9v.12	f9v.10	2	kchol	ASSUMED	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	recorded
f9v|f9v.5-f9v.12	f9v.10	3	chol	ASSUMED	trocken	trockne	trocken	trockne	recorded
f9v|f9v.5-f9v.12	f9v.10	4	chy	ASSUMED	heiß	heiß	heiß	heiß	recorded
f9v|f9v.5-f9v.12	f9v.10	5	kyty	UNREAD	[ungelesen: kyty]	[ungelesen: kyty]	[ungelesen: kyty]	[ungelesen: kyty]	recorded
f9v|f9v.5-f9v.12	f9v.11	1	ychor	ASSUMED	ferner	ferner	ferner	ferner	recorded
f9v|f9v.5-f9v.12	f9v.11	2	chshoty	ASSUMED	kühl-feuchtes Material [nominale Qualität: Stoffkonstitution]	kühl-feuchtes Material [nominale Qualität: Stoffkonstitution]	kühl-feuchtes Material [nominale Qualität: Stoffkonstitution]	kühl-feuchtes Material [nominale Qualität: Stoffkonstitution]	recorded
f9v|f9v.5-f9v.12	f9v.11	3	oky	ASSUMED	warm	warm	warm	warm	recorded
f9v|f9v.5-f9v.12	f9v.11	4	kaiin	ASSUMED	Wärmestufe Q	Wärmestufe Q	Wärmestufe Q	Wärmestufe Q	recorded
f9v|f9v.5-f9v.12	f9v.12	1	chkaiin	UNREAD	[ungelesen: chkaiin]	[ungelesen: chkaiin]	[ungelesen: chkaiin]	[ungelesen: chkaiin]	recorded
f9v|f9v.5-f9v.12	f9v.12	2	ckhy	ASSUMED	stampfe	stampfe	stampfe	stampfe	recorded
f9v|f9v.5-f9v.12	f9v.12	3	chor	ASSUMED	Blüten	Blüten	Blüten	Blüten	recorded
f17v|f17v.1-f17v.23	f17v.1	1	pchodol	UNREAD	[ungelesen: pchodol]	[ungelesen: pchodol]	[ungelesen: pchodol]	[ungelesen: pchodol]	recorded
f17v|f17v.1-f17v.23	f17v.1	2	chor	ASSUMED	Blüten	Blüten	Blüten	Blüten	recorded
f17v|f17v.1-f17v.23	f17v.1	3	pchy	UNREAD	[ungelesen: pchy]	[ungelesen: pchy]	[ungelesen: pchy]	[ungelesen: pchy]	recorded
f17v|f17v.1-f17v.23	f17v.1	4	opydaiin	UNREAD	[ungelesen: opydaiin]	[ungelesen: opydaiin]	[ungelesen: opydaiin]	[ungelesen: opydaiin]	recorded
f17v|f17v.1-f17v.23	f17v.1	5	odal	ASSUMED	abgemessener Anteil	abgemessener Anteil	abgemessener Anteil	abgemessener Anteil	recorded
f17v|f17v.1-f17v.23	f17v.1	6	dy	ASSUMED	fertig	fertig	fertig	fertig	recorded
f17v|f17v.1-f17v.23	f17v.2	1	ycheey	UNREAD	[ungelesen: ycheey]	[ungelesen: ycheey]	[ungelesen: ycheey]	[ungelesen: ycheey]	recorded
f17v|f17v.1-f17v.23	f17v.2	2	keeor	ASSUMED	Feinauszug	Feinauszug	Feinauszug	Feinauszug	recorded
f17v|f17v.1-f17v.23	f17v.2	3	cthodal	UNREAD	[ungelesen: cthodal]	[ungelesen: cthodal]	[ungelesen: cthodal]	[ungelesen: cthodal]	recorded
f17v|f17v.1-f17v.23	f17v.2	4	okol	ASSUMED	Grundansatz	Grundansatz	Grundansatz	Grundansatz	recorded
f17v|f17v.1-f17v.23	f17v.2	5	odaiin	ASSUMED	zusätzliche Dosis Q	zusätzliche Dosis Q	zusätzliche Dosis Q	zusätzliche Dosis Q	recorded
f17v|f17v.1-f17v.23	f17v.2	6	okal	ASSUMED	Ausgangsmaterial	Ausgangsmaterial	Ausgangsmaterial	Ausgangsmaterial	recorded
f17v|f17v.1-f17v.23	f17v.3	1	oldaig	UNREAD	[ungelesen: oldaig]	[ungelesen: oldaig]	[ungelesen: oldaig]	[ungelesen: oldaig]	recorded
f17v|f17v.1-f17v.23	f17v.3	2	odaiin	ASSUMED	zusätzliche Dosis Q	zusätzliche Dosis Q	zusätzliche Dosis Q	zusätzliche Dosis Q	recorded
f17v|f17v.1-f17v.23	f17v.3	3	okal	ASSUMED	Ausgangsmaterial	Ausgangsmaterial	Ausgangsmaterial	Ausgangsmaterial	recorded
f17v|f17v.1-f17v.23	f17v.3	4	oldaiin	UNREAD	[ungelesen: oldaiin]	[ungelesen: oldaiin]	[ungelesen: oldaiin]	[ungelesen: oldaiin]	recorded
f17v|f17v.1-f17v.23	f17v.3	5	chockhol	UNREAD	[ungelesen: chockhol]	[ungelesen: chockhol]	[ungelesen: chockhol]	[ungelesen: chockhol]	recorded
f17v|f17v.1-f17v.23	f17v.3	6	olol	UNREAD	[ungelesen: olol]	[ungelesen: olol]	[ungelesen: olol]	[ungelesen: olol]	recorded
f17v|f17v.1-f17v.23	f17v.4	1	kchor	ASSUMED	trockene Blüten [nominale Qualität: Stoffkonstitution]	trockene Blüten [nominale Qualität: Stoffkonstitution]	trockene Blüten [nominale Qualität: Stoffkonstitution]	trockene Blüten [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.4	2	fchol	UNREAD	[ungelesen: fchol]	[ungelesen: fchol]	[ungelesen: fchol]	[ungelesen: fchol]	recorded
f17v|f17v.1-f17v.23	f17v.4	3	cphol	UNREAD	[ungelesen: cphol]	[ungelesen: cphol]	[ungelesen: cphol]	[ungelesen: cphol]	recorded
f17v|f17v.1-f17v.23	f17v.4	4	olcheol	UNREAD	[ungelesen: olcheol]	[ungelesen: olcheol]	[ungelesen: olcheol]	[ungelesen: olcheol]	recorded
f17v|f17v.1-f17v.23	f17v.4	5	ok[eee:eeee]y	UNREAD	[ungelesen: ok[eee:eeee]y]	[ungelesen: ok[eee:eeee]y]	[ungelesen: ok[eee:eeee]y]	[ungelesen: ok[eee:eeee]y]	recorded
f17v|f17v.1-f17v.23	f17v.5	1	ychol	ASSUMED	trockne	trockne	trockne	trockne	recorded
f17v|f17v.1-f17v.23	f17v.5	2	chol	ASSUMED	trocken	trockne	trocken	trockne	recorded
f17v|f17v.1-f17v.23	f17v.5	3	dolcheey	UNREAD	[ungelesen: dolcheey]	[ungelesen: dolcheey]	[ungelesen: dolcheey]	[ungelesen: dolcheey]	recorded
f17v|f17v.1-f17v.23	f17v.5	4	tchol	ASSUMED	getrockneter Anteil	getrockneter Anteil	getrockneter Anteil	getrockneter Anteil	recorded
f17v|f17v.1-f17v.23	f17v.5	5	dar	ASSUMED	Teilmenge	Teilmenge	Teilmenge	Teilmenge	recorded
f17v|f17v.1-f17v.23	f17v.5	6	ckhy	ASSUMED	stampfe	stampfe	stampfe	stampfe	recorded
f17v|f17v.1-f17v.23	f17v.6	1	oekor	UNREAD	[ungelesen: oekor]	[ungelesen: oekor]	[ungelesen: oekor]	[ungelesen: oekor]	recorded
f17v|f17v.1-f17v.23	f17v.6	2	or	ASSUMED	Anteil	Anteil	Anteil	Anteil	recorded
f17v|f17v.1-f17v.23	f17v.6	3	okaiin	ASSUMED	Dosis des Grundansatzes	Dosis des Grundansatzes	Dosis des Grundansatzes	Dosis des Grundansatzes	recorded
f17v|f17v.1-f17v.23	f17v.6	4	or	ASSUMED	Anteil	Anteil	Anteil	Anteil	recorded
f17v|f17v.1-f17v.23	f17v.6	5	otaiin	ASSUMED	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.6	6	d	UNREAD	[ungelesen: d]	[ungelesen: d]	[ungelesen: d]	[ungelesen: d]	recorded
f17v|f17v.1-f17v.23	f17v.7	1	sor	ASSUMED	weiterer Bestandteil	weiterer Bestandteil	weiterer Bestandteil	weiterer Bestandteil	recorded
f17v|f17v.1-f17v.23	f17v.7	2	chkeey	ASSUMED	zerreibe vollständig	zerreibe vollständig	zerreibe vollständig	zerreibe vollständig	recorded
f17v|f17v.1-f17v.23	f17v.7	3	poiis	UNREAD	[ungelesen: poiis]	[ungelesen: poiis]	[ungelesen: poiis]	[ungelesen: poiis]	recorded
f17v|f17v.1-f17v.23	f17v.7	4	cheor	ASSUMED	Auszug	Auszug	Auszug	Auszug	recorded
f17v|f17v.1-f17v.23	f17v.7	5	os	ASSUMED	zusammen	zusammen	zusammen	zusammen	recorded
f17v|f17v.1-f17v.23	f17v.7	6	s	ASSUMED	jeweils	jeweils	jeweils	jeweils	recorded
f17v|f17v.1-f17v.23	f17v.7	7	aiin	ASSUMED	Maßzahl Q	Maßzahl Q	Maßzahl Q	Maßzahl Q	recorded
f17v|f17v.1-f17v.23	f17v.8	1	qokeey	ASSUMED	erhitze anhaltend	erhitze anhaltend	erhitze anhaltend	erhitze anhaltend	recorded
f17v|f17v.1-f17v.23	f17v.8	2	kchar	UNREAD	[ungelesen: kchar]	[ungelesen: kchar]	[ungelesen: kchar]	[ungelesen: kchar]	recorded
f17v|f17v.1-f17v.23	f17v.8	3	ol	ASSUMED	mit	mit	mit	mit	recorded
f17v|f17v.1-f17v.23	f17v.8	4	dy	ASSUMED	fertig	fertig	fertig	fertig	recorded
f17v|f17v.1-f17v.23	f17v.8	5	choldaiin	UNREAD	[ungelesen: choldaiin]	[ungelesen: choldaiin]	[ungelesen: choldaiin]	[ungelesen: choldaiin]	recorded
f17v|f17v.1-f17v.23	f17v.8	6	sy	ASSUMED	abgesetzt	abgesetzt	abgesetzt	abgesetzt	recorded
f17v|f17v.1-f17v.23	f17v.9	1	ycheol	ASSUMED	danach	danach	danach	danach	recorded
f17v|f17v.1-f17v.23	f17v.9	2	shol	ASSUMED	feucht	feucht	feucht	feucht	recorded
f17v|f17v.1-f17v.23	f17v.9	3	kchol	ASSUMED	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.9	4	choltaiin	UNREAD	[ungelesen: choltaiin]	[ungelesen: choltaiin]	[ungelesen: choltaiin]	[ungelesen: choltaiin]	recorded
f17v|f17v.1-f17v.23	f17v.9	5	ol	ASSUMED	mit	mit	mit	mit	recorded
f17v|f17v.1-f17v.23	f17v.10	1	oytor	UNREAD	[ungelesen: oytor]	[ungelesen: oytor]	[ungelesen: oytor]	[ungelesen: oytor]	recorded
f17v|f17v.1-f17v.23	f17v.10	2	okeor	ASSUMED	warmer Auszug [nominale Qualität: Stoffkonstitution]	warmer Auszug [nominale Qualität: Stoffkonstitution]	warmer Auszug [nominale Qualität: Stoffkonstitution]	warmer Auszug [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.10	3	okar	UNREAD	[ungelesen: okar]	[ungelesen: okar]	[ungelesen: okar]	[ungelesen: okar]	recorded
f17v|f17v.1-f17v.23	f17v.10	4	okol	ASSUMED	Grundansatz	Grundansatz	Grundansatz	Grundansatz	recorded
f17v|f17v.1-f17v.23	f17v.10	5	daiir	UNREAD	[ungelesen: daiir]	[ungelesen: daiir]	[ungelesen: daiir]	[ungelesen: daiir]	recorded
f17v|f17v.1-f17v.23	f17v.10	6	a[r:m]	UNREAD	[ungelesen: a[r:m]]	[ungelesen: a[r:m]]	[ungelesen: a[r:m]]	[ungelesen: a[r:m]]	recorded
f17v|f17v.1-f17v.23	f17v.11	1	qokcheo	UNREAD	[ungelesen: qokcheo]	[ungelesen: qokcheo]	[ungelesen: qokcheo]	[ungelesen: qokcheo]	recorded
f17v|f17v.1-f17v.23	f17v.11	2	qokoiir	UNREAD	[ungelesen: qokoiir]	[ungelesen: qokoiir]	[ungelesen: qokoiir]	[ungelesen: qokoiir]	recorded
f17v|f17v.1-f17v.23	f17v.11	3	ctheol	UNREAD	[ungelesen: ctheol]	[ungelesen: ctheol]	[ungelesen: ctheol]	[ungelesen: ctheol]	recorded
f17v|f17v.1-f17v.23	f17v.11	4	chol	ASSUMED	trocken	trockne	trocken	trockne	recorded
