event_serial	statement_id	record_unit_id	page	local_address	visible_surface	master_card_id	semantic_atoms	stable_surface_host	renderer_gesture	short_default_de	card_near_reading_de	statement_translation_de	line_crossing_statement
21	H2-S001	H2	f10r	H2-S001	chy	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
22	H2-S001	H2	f10r	H2-S001	taiin	MC039	AIIN	aiin	T_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
23	H2-S001	H2	f10r	H2-S001	shy	MC123	Y	y	SH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
24	H2-S002	H2	f10r	H2-S002	qotchor	MC013	OT+OR	otchor	Q_ENTRY	Folgeansatz	Danach oder in demselben Gang: Folgeansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
25	H2-S002	H2	f10r	H2-S002	chor	MC080	OR	or	CH_ENTRY	Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
26	H2-S002	H2	f10r	H2-S002	otol	MC053	OT+OL	otol	ZERO	danach fortsetzen	Danach oder in demselben Gang: danach fortsetzen.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
27	H2-S002	H2	f10r	H2-S002	chol	MC153	OL	ol	CH_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
28	H2-S002	H2	f10r	H2-S002	cholor	MC157	OL+OR	olor	CH_ENTRY	Fortsetzungsansatz	Danach oder in demselben Gang: Fortsetzungsansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
29	H2-S002	H2	f10r	H2-S002	chol	MC153	OL	ol	CH_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
30	H2-S002	H2	f10r	H2-S002	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
31	H2-S002	H2	f10r	H2-S002	dar	MC055	AR	ar	D_ENTRY	aus dem Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	NO
32	H2-S003	H2	f10r	H2-S003	oykchor	MC027	Y+KCH+OR	oykchor	ZERO	aktuellen Ansatz bearbeiten	Führe es aus dem Vorrat oder am Ansatz aus: aktuellen Ansatz bearbeiten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
33	H2-S003	H2	f10r	H2-S003	shor	MC080	OR	or	SH_ENTRY	Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
34	H2-S003	H2	f10r	H2-S003	chor	MC080	OR	or	CH_ENTRY	Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
35	H2-S003	H2	f10r	H2-S003	chy	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
36	H2-S003	H2	f10r	H2-S003	kaiiin	MC048	IIN	kaiiin	ZERO	Weichstufe	Setze Maß, Portion oder Stufe: Weichstufe.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
37	H2-S003	H2	f10r	H2-S003	dy	MC123	Y	y	D_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
38	H2-S003	H2	f10r	H2-S003	chodaiin	MC087	HO+AIIN	chodaiin	ZERO	Zutatenmaß	Setze die gelernte Fachkarte: Zutatenmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	NO
39	H3-S001	H3	f11r	H3-S001	tshol	MC098	HO+L	tshol	ZERO	Zutat entnehmen	Setze die gelernte Fachkarte: Zutat entnehmen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
40	H3-S001	H3	f11r	H3-S001	schoal	MC049	HO+AL	schoal	ZERO	Zutat an die Arbeitsstelle geben	Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
41	H3-S001	H3	f11r	H3-S001	cfhy	MC129	CFH+Y	cfhy	ZERO	aktuellen Posten auswringen	Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
42	H3-S001	H3	f11r	H3-S001	shfydaiin	MC111	SH+AIIN	shfydaiin	ZERO	Standmaß	Führe es in der angegebenen Portion oder Stufe aus: Standmaß.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
43	H3-S001	H3	f11r	H3-S001	cphy	MC156	CPH+Y	cphy	ZERO	aktuellen Posten nachseihen	Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
44	H3-S001	H3	f11r	H3-S001	shey	MC119	CHEEY	ey	SH_ENTRY	klarer Auszug	Setze die gelernte Fachkarte: klarer Auszug.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
45	H3-S001	H3	f11r	H3-S001	tchody	MC037	HO+CLOSE	tchody	ZERO	Eingangsposten beiseitestellen; Schluss	Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	NO
46	H3-S002	H3	f11r	H3-S002	shoyty	MC062	HO+Y+TY	shoyty	ZERO	Zutatenteil	Setze die gelernte Fachkarte: Zutatenteil.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	NO
47	H3-S003	H3	f11r	H3-S003	dchol	MC142	DCHOL	chol	D_ENTRY	vorigen Posten fortsetzen	Danach oder in demselben Gang: vorigen Posten fortsetzen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
48	H3-S003	H3	f11r	H3-S003	chy	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
49	H3-S003	H3	f11r	H3-S003	kchy	MC117	KCH+Y	kchy	ZERO	diesen Posten bearbeiten	Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
50	H3-S003	H3	f11r	H3-S003	dy	MC123	Y	y	D_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
51	H3-S003	H3	f11r	H3-S003	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	NO
52	H3-S004	H3	f11r	H3-S004	qotchy	MC107	OT+Y	qotchy	ZERO	anschließender Arbeitsposten	Danach oder in demselben Gang: anschließender Arbeitsposten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	NO
53	H3-S004	H3	f11r	H3-S004	okchol	MC041	OK+OL	okchol	ZERO	weiterlaufenden Posten aufnehmen	Danach oder in demselben Gang: weiterlaufenden Posten aufnehmen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	NO
54	H3-S004	H3	f11r	H3-S004	cthy	MC161	CTH+Y	cthy	ZERO	bereit	Führe es mit diesem laufenden Posten aus: bereit.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	NO
55	H3-S004	H3	f11r	H3-S004	dy	MC123	Y	y	D_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	NO
56	H4-S001	H4	f55v	H4-S001	qokaiin	MC120	OK+AIIN	okaiin	Q_ENTRY	auf Sollmaß einstellen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
57	H4-S001	H4	f55v	H4-S001	chaiin	MC039	AIIN	aiin	CH_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
58	H4-S001	H4	f55v	H4-S001	ykain	MC047	Y+AIN	ykain	ZERO	Postenportion	Setze Maß, Portion oder Stufe: Postenportion.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
59	H4-S001	H4	f55v	H4-S001	ykan	MC148	Y+AIN	ykan	ZERO	dieser Anteil	Setze Maß, Portion oder Stufe: dieser Anteil.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
60	H4-S001	H4	f55v	H4-S001	ody	MC100	ODY	ody	ZERO	kühlen	Setze die gelernte Fachkarte: kühlen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	NO
61	H4-S002	H4	f55v	H4-S002	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	NO
62	H4-S002	H4	f55v	H4-S002	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	NO
63	H4-S002	H4	f55v	H4-S002	talam	MC160	AL+AM	talam	ZERO	am Ziel verwahren	Setze die gelernte Fachkarte: am Ziel verwahren.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	NO
64	H4-S003	H4	f55v	H4-S003	ykaiin	MC170	Y+AIIN	ykaiin	ZERO	Postenmaß	Setze Maß, Portion oder Stufe: Postenmaß.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	NO
65	H4-S003	H4	f55v	H4-S003	cheoar	MC085	CHEO+AR	cheoar	ZERO	Auszug entnehmen	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszug entnehmen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	NO
66	H4-S003	H4	f55v	H4-S003	cheeky	MC032	CHK+EE+Y	cheeky	ZERO	länger erwärmen und offen halten	Führe aus und beachte Dauer oder Endpunkt: länger erwärmen und offen halten.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	NO
67	H4-S003	H4	f55v	H4-S003	oldy	MC019	OL+CLOSE	oldy	ZERO	Fortsetzung abschließen	Danach oder in demselben Gang: Fortsetzung abschließen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	NO
68	H4-S004	H4	f55v	H4-S004	aiin	MC039	AIIN	aiin	ZERO	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
69	H4-S004	H4	f55v	H4-S004	okal	MC040	OK+AL	okal	ZERO	dort ansetzen	Führe es an der bezeichneten Stelle aus: dort ansetzen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
70	H4-S004	H4	f55v	H4-S004	oltchy	MC021	OL+CTH+Y	oltchy	ZERO	bereiten Posten weiterführen	Danach oder in demselben Gang: bereiten Posten weiterführen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
71	H4-S004	H4	f55v	H4-S004	or	MC080	OR	or	ZERO	Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
72	H4-S004	H4	f55v	H4-S004	y	MC123	Y	y	ZERO	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
73	H4-S004	H4	f55v	H4-S004	orain	MC072	OR+AIN	orain	ZERO	Ansatzportion	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatzportion.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NO
