statement_order	statement_id	record_unit_id	page	physical_loci	line_crossing	event_count	visible_surface_sequence	master_card_sequence	semantic_atom_program	card_near_workshop_reading_de	concrete_source_expansion_de	record_program_de	sentence_boundary_rule
22	B1-S003	B1	f81v	f81v.7|f81v.17	YES__CONTINUE_ACROSS_PHYSICAL_LINE	2	qol sshkchdy	MC153 MC061	OL | SH+KCH+CHD+CLOSE	Führe weiter, schwenke den Posten und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
23	B1-S004	B1	f81v	f81v.17	NO	3	chedy ol shedy	MC074 MC153 MC128	CHD+Y | OL | SHED+E+CLOSE	Setze um, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
24	B1-S005	B1	f81v	f81v.17	NO	1	qolchedy	MC028	OL+CHD+CLOSE	Führe den Posten weiter und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
25	B1-S006	B1	f81v	f81v.17	NO	4	qokain shckhy dl ral	MC017 MC035 MC012 MC056	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
26	B1-S007	B1	f81v	f81v.18	NO	1	qokchdy	MC088	OK+CHD+CLOSE	Setze die abgekühlte Badmischung um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
27	B1-S008	B1	f81v	f81v.18	NO	5	chey ol cheky ol shedy	MC123 MC153 MC147 MC153 MC128	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
28	B1-S009	B1	f81v	f81v.18	NO	1	qokedy	MC083	OK+E+CLOSE	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
29	B1-S010	B1	f81v	f81v.18	NO	1	qokedy	MC083	OK+E+CLOSE	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
30	B1-S011	B1	f81v	f81v.18	NO	2	chckhy qoky	MC035 MC026	CKH+Y | OK+Y	Leite durch und setze den Posten an	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
31	B1-S012	B1	f81v	f81v.21	NO	3	lsho qokey lshedy	MC130 MC007 MC038	WASH | OK+E+Y | WASH+CLOSE	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
32	B1-S013	B1	f81v	f81v.21	NO	1	lshedy	MC038	WASH+CLOSE	Wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
33	B1-S014	B1	f81v	f81v.21	NO	5	chedy qolky lchedal qol otar	MC074 MC134 MC051 MC153 MC121	CHD+Y | OL | L+CHD+AL | OL | OT+AR	Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
34	B1-S015	B1	f81v	f81v.24	NO	2	ytey okchedy	MC109 MC005	Y+E+TY | OK+CHD+CLOSE	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
35	B1-S016	B1	f81v	f81v.24	NO	4	qokal okeey qol cheedy	MC040 MC002 MC153 MC128	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	Setze dort länger an, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
36	B1-S017	B1	f81v	f81v.24	NO	3	sal teol dchdy	MC154 MC106 MC139	AL | E+OL | CHD+CLOSE	Führe dorthin, führe kurz weiter, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
37	B1-S018	B1	f81v	f81v.24|f81v.27	YES__CONTINUE_ACROSS_PHYSICAL_LINE	4	ly dsheol oiiin olkeedy	MC118 MC076 MC033 MC045	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
38	B1-S019	B1	f81v	f81v.27	NO	1	tedy	MC128	SHED+E+CLOSE	Lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
39	B1-S020	B1	f81v	f81v.27	NO	2	cheky shckhedy	MC147 MC143	CHK+E+Y | CKHE+CLOSE	Wärme kurz, seih und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
40	B1-S021	B1	f81v	f81v.27	NO	1	chal	MC154	AL	Führe den Posten dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
41	B2-S001	B2	f82r	f82r.2	NO	1	dchedy	MC025	CHD+CLOSE	Setze um und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze um und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
