unified_serial	compiler_mode	page	unit_id	local_address	visible_or_opaque_identity	registered_identity	default_meaning_de	continuous_reading_de	owner_or_namespace
11	COMBINATORIAL_PROSE	f10r	H1	H1-S002	qokchy	MC103	Posten zur Weiterbearbeitung ansetzen	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	H1
12	COMBINATORIAL_PROSE	f10r	H1	H1-S002	qotchol	MC163	danach weiterfuehren	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	H1
13	COMBINATORIAL_PROSE	f10r	H1	H1-S002	chol	MC153	fortsetzen	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	H1
14	COMBINATORIAL_PROSE	f10r	H1	H1-S002	cthy	MC161	bereit	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	H1
15	COMBINATORIAL_PROSE	f10r	H2	H2-S001	ycheor	MC075	Auszugsansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	H2
16	COMBINATORIAL_PROSE	f10r	H2	H2-S001	cthy	MC161	bereit	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	H2
17	COMBINATORIAL_PROSE	f10r	H2	H2-S001	chor	MC080	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	H2
18	COMBINATORIAL_PROSE	f10r	H2	H2-S001	cthaiin	MC169	Fertigmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	H2
19	COMBINATORIAL_PROSE	f10r	H2	H2-S001	qoctholy	MC115	bereiten Posten weiterfuehren	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	H2
20	COMBINATORIAL_PROSE	f10r	H2	H2-S001	dy	MC123	dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	H2
21	COMBINATORIAL_PROSE	f10r	H2	H2-S001	chy	MC123	dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	H2
22	COMBINATORIAL_PROSE	f10r	H2	H2-S001	taiin	MC039	Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	H2
23	COMBINATORIAL_PROSE	f10r	H2	H2-S001	shy	MC123	dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	H2
24	COMBINATORIAL_PROSE	f10r	H2	H2-S002	qotchor	MC013	Folgeansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	H2
25	COMBINATORIAL_PROSE	f10r	H2	H2-S002	chor	MC080	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	H2
26	COMBINATORIAL_PROSE	f10r	H2	H2-S002	otol	MC053	danach fortsetzen	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	H2
27	COMBINATORIAL_PROSE	f10r	H2	H2-S002	chol	MC153	fortsetzen	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	H2
28	COMBINATORIAL_PROSE	f10r	H2	H2-S002	cholor	MC157	Fortsetzungsansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	H2
29	COMBINATORIAL_PROSE	f10r	H2	H2-S002	chol	MC153	fortsetzen	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	H2
30	COMBINATORIAL_PROSE	f10r	H2	H2-S002	daiin	MC039	Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	H2
31	COMBINATORIAL_PROSE	f10r	H2	H2-S002	dar	MC055	aus dem Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	H2
32	COMBINATORIAL_PROSE	f10r	H2	H2-S003	oykchor	MC027	aktuellen Ansatz bearbeiten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	H2
33	COMBINATORIAL_PROSE	f10r	H2	H2-S003	shor	MC080	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	H2
34	COMBINATORIAL_PROSE	f10r	H2	H2-S003	chor	MC080	Ansatz	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	H2
35	COMBINATORIAL_PROSE	f10r	H2	H2-S003	chy	MC123	dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	H2
36	COMBINATORIAL_PROSE	f10r	H2	H2-S003	kaiiin	MC048	Weichstufe	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	H2
37	COMBINATORIAL_PROSE	f10r	H2	H2-S003	dy	MC123	dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	H2
38	COMBINATORIAL_PROSE	f10r	H2	H2-S003	chodaiin	MC087	Zutatenmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	H2
39	COMBINATORIAL_PROSE	f11r	H3	H3-S001	tshol	MC098	Zutat entnehmen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	H3
40	COMBINATORIAL_PROSE	f11r	H3	H3-S001	schoal	MC049	Zutat an die Arbeitsstelle geben	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	H3
41	COMBINATORIAL_PROSE	f11r	H3	H3-S001	cfhy	MC129	aktuellen Posten auswringen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	H3
42	COMBINATORIAL_PROSE	f11r	H3	H3-S001	shfydaiin	MC111	Standmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	H3
43	COMBINATORIAL_PROSE	f11r	H3	H3-S001	cphy	MC156	aktuellen Posten nachseihen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	H3
44	COMBINATORIAL_PROSE	f11r	H3	H3-S001	shey	MC119	klarer Auszug	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	H3
45	COMBINATORIAL_PROSE	f11r	H3	H3-S001	tchody	MC037	Eingangsposten beiseitestellen; Schluss	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	H3
46	COMBINATORIAL_PROSE	f11r	H3	H3-S002	shoyty	MC062	Zutatenteil	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	H3
47	COMBINATORIAL_PROSE	f11r	H3	H3-S003	dchol	MC142	vorigen Posten fortsetzen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	H3
48	COMBINATORIAL_PROSE	f11r	H3	H3-S003	chy	MC123	dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	H3
49	COMBINATORIAL_PROSE	f11r	H3	H3-S003	kchy	MC117	diesen Posten bearbeiten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	H3
50	COMBINATORIAL_PROSE	f11r	H3	H3-S003	dy	MC123	dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	H3
51	COMBINATORIAL_PROSE	f11r	H3	H3-S003	daiin	MC039	Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	H3
52	COMBINATORIAL_PROSE	f11r	H3	H3-S004	qotchy	MC107	anschließender Arbeitsposten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	H3
53	COMBINATORIAL_PROSE	f11r	H3	H3-S004	okchol	MC041	weiterlaufenden Posten aufnehmen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	H3
54	COMBINATORIAL_PROSE	f11r	H3	H3-S004	cthy	MC161	bereit	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	H3
55	COMBINATORIAL_PROSE	f11r	H3	H3-S004	dy	MC123	dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	H3
56	COMBINATORIAL_PROSE	f55v	H4	H4-S001	qokaiin	MC120	auf Sollmaß einstellen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	H4
57	COMBINATORIAL_PROSE	f55v	H4	H4-S001	chaiin	MC039	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	H4
58	COMBINATORIAL_PROSE	f55v	H4	H4-S001	ykain	MC047	Postenportion	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	H4
59	COMBINATORIAL_PROSE	f55v	H4	H4-S001	ykan	MC148	dieser Anteil	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	H4
60	COMBINATORIAL_PROSE	f55v	H4	H4-S001	ody	MC100	kühlen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	H4
61	COMBINATORIAL_PROSE	f55v	H4	H4-S002	daiin	MC039	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	H4
62	COMBINATORIAL_PROSE	f55v	H4	H4-S002	chedy	MC074	laufenden Posten umsetzen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	H4
63	COMBINATORIAL_PROSE	f55v	H4	H4-S002	talam	MC160	am Ziel verwahren	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	H4
64	COMBINATORIAL_PROSE	f55v	H4	H4-S003	ykaiin	MC170	Postenmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	H4
65	COMBINATORIAL_PROSE	f55v	H4	H4-S003	cheoar	MC085	Auszug entnehmen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	H4
66	COMBINATORIAL_PROSE	f55v	H4	H4-S003	cheeky	MC032	länger erwärmen und offen halten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	H4
67	COMBINATORIAL_PROSE	f55v	H4	H4-S003	oldy	MC019	Fortsetzung abschließen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	H4
68	COMBINATORIAL_PROSE	f55v	H4	H4-S004	aiin	MC039	Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	H4
69	COMBINATORIAL_PROSE	f55v	H4	H4-S004	okal	MC040	dort ansetzen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	H4
70	COMBINATORIAL_PROSE	f55v	H4	H4-S004	oltchy	MC021	bereiten Posten weiterführen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	H4
71	COMBINATORIAL_PROSE	f55v	H4	H4-S004	or	MC080	Ansatz	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	H4
72	COMBINATORIAL_PROSE	f55v	H4	H4-S004	y	MC123	dieser Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	H4
73	COMBINATORIAL_PROSE	f55v	H4	H4-S004	orain	MC072	Ansatzportion	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	H4
74	COMBINATORIAL_PROSE	f56r	H5	H5-S001	chochor	MC125	Zutatenansatz	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	H5
75	COMBINATORIAL_PROSE	f56r	H5	H5-S001	cho	MC034	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	H5
76	COMBINATORIAL_PROSE	f56r	H5	H5-S001	chodaly	MC010	diese Zutat zur Stelle bringen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	H5
77	COMBINATORIAL_PROSE	f56r	H5	H5-S001	daiin	MC039	Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	H5
78	COMBINATORIAL_PROSE	f56r	H5	H5-S001	sho	MC034	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	H5
79	COMBINATORIAL_PROSE	f56r	H5	H5-S001	kchol	MC090	weiter bearbeiten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	H5
80	COMBINATORIAL_PROSE	f56r	H5	H5-S001	otchor	MC013	Folgeansatz	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	H5
81	COMBINATORIAL_PROSE	f56r	H5	H5-S001	choky	MC026	aktuellen Posten ansetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	H5
82	COMBINATORIAL_PROSE	f56r	H5	H5-S001	dal	MC154	dorthin	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	H5
83	COMBINATORIAL_PROSE	f56r	H5	H5-S002	schol	MC142	vorigen Posten fortsetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	H5
84	COMBINATORIAL_PROSE	f56r	H5	H5-S002	choy	MC131	diese Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	H5
85	COMBINATORIAL_PROSE	f56r	H5	H5-S002	choky	MC026	aktuellen Posten ansetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	H5
86	COMBINATORIAL_PROSE	f56r	H5	H5-S002	cheeckhody	MC099	länger auftragen; Schluss	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	H5
87	COMBINATORIAL_PROSE	f56r	H5	H5-S003	sh	MC114	halten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	H5
88	COMBINATORIAL_PROSE	f56r	H5	H5-S003	cho	MC034	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	H5
89	COMBINATORIAL_PROSE	f56r	H5	H5-S003	kchey	MC122	diesen Posten kurz bearbeiten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	H5
90	COMBINATORIAL_PROSE	f56r	H5	H5-S003	qokokchy	MC015	erneut ansetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	H5
91	COMBINATORIAL_PROSE	f56r	H5	H5-S004	okchy	MC103	Posten zur Weiterbearbeitung ansetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	H5
92	COMBINATORIAL_PROSE	f56r	H5	H5-S004	chokcheo	MC006	Auszug zugeben	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	H5
93	COMBINATORIAL_PROSE	f56r	H5	H5-S004	kchal	MC077	an der Zielstelle bearbeiten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	H5
94	COMBINATORIAL_PROSE	f56r	H5	H5-S005	sho	MC034	Zutat	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	H5
