dictionary_order	master_card_id	master_form	registered_surface_family	stable_surface_host	entry_gestures	renderer_family_class	semantic_atoms	short_default_de	imperative_de	prose_events	leading_head	productivity_tier	composition_policy
11	MC011	lchedar	lchedar	lchedar	ZERO	SINGLE_REGISTERED_FORM	L+CHD+AR	von dort abführen	Führe vom Ausgang ab	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
12	MC012	dl	dl	dl	ZERO	SINGLE_REGISTERED_FORM	LOCAL_WHOLE	Zusatz	Gib den Zusatz zu	2	LOCAL_WHOLE	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
13	MC013	otchor	otchor|qotchor	otchor	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+OR	Folgeansatz	Bereite den Folgeansatz	2	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
14	MC014	chair	chair	chair	ZERO	SINGLE_REGISTERED_FORM	AIR	Wasserzulauf	Nutze den Wasserlauf	1	AIR	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
15	MC015	qokokchy	qokokchy	qokokchy	ZERO	SINGLE_REGISTERED_FORM	OK+OK+Y	erneut ansetzen	Setze den aktuellen Posten erneut	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
16	MC016	rol	rol	rol	ZERO	SINGLE_REGISTERED_FORM	OL	vom vorigen Gang weiterführen	Führe fort	1	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
17	MC017	okain	okain|qokain	okain	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIN	eine Portion zugeben	Gib einen gezählten Anteil zu	7	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
18	MC018	qotedaiin	qotedaiin	qotedaiin	ZERO	SINGLE_REGISTERED_FORM	OT+E+AIIN	kurzes Folgemass	Stelle den kurzen Folgewert ein	1	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
19	MC019	oldy	oldy	oldy	ZERO	SINGLE_REGISTERED_FORM	OL+CLOSE	Fortsetzung abschließen	Führe fort und schließe	2	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
20	MC020	solkeey	solkeey	solkeey	ZERO	SINGLE_REGISTERED_FORM	SOLK+EE+Y	länger sammeln	Sammle länger	1	SOLK	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
21	MC021	oltchy	oltchy	oltchy	ZERO	SINGLE_REGISTERED_FORM	OL+CTH+Y	bereiten Posten weiterführen	Führe den bereiten Posten fort	1	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
22	MC022	chckhal	chckhal	chckhal	ZERO	SINGLE_REGISTERED_FORM	CKH+AL	zur Zielstelle durchleiten	Leite zum Ziel durch	1	CKH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
23	MC023	kair	kair	kair	ZERO	SINGLE_REGISTERED_FORM	AIR	Beckenwasser	Nutze den Wasserlauf	1	AIR	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
24	MC024	qokol	qokol	qokol	ZERO	SINGLE_REGISTERED_FORM	OK+OL	Fortsetzung ansetzen	Setze die Fortsetzung	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
25	MC025	dchedy	dchedy|schedy|tchedy	chedy	D_ENTRY|S_ENTRY|T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+CLOSE	Posten überführen; Schluss	Übertrage und schließe	4	CHD	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
26	MC026	choky	choky|oky|qoky	oky	CH_ENTRY|ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	aktuellen Posten ansetzen	Setze den aktuellen Posten	10	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
27	MC027	oykchor	oykchor	oykchor	ZERO	SINGLE_REGISTERED_FORM	Y+KCH+OR	aktuellen Ansatz bearbeiten	Bearbeite den aktuellen Ansatz	1	Y	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
28	MC028	olchedy	olchedy|qolchedy	olchedy	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL+CHD+CLOSE	weiterüberführen; Schluss	Übertrage weiter und schließe	3	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
29	MC029	lar	lar	lar	ZERO	SINGLE_REGISTERED_FORM	L+AR	von dort abfuehren	Führe vom Ausgang ab	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
30	MC030	lo	lo	lo	ZERO	SINGLE_REGISTERED_FORM	L	abfuehren	Führe ab	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
31	MC031	dalchdy	dalchdy	dalchdy	ZERO	SINGLE_REGISTERED_FORM	AL+CHD+CLOSE	dorthin umsetzen; Schluss	Übertrage zum Ziel und schließe	1	AL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
32	MC032	cheeky	cheeky	cheeky	ZERO	SINGLE_REGISTERED_FORM	CHK+EE+Y	länger erwärmen und offen halten	Wärme länger	2	CHK	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
33	MC033	oiiin	oiiin|soiiin	oiiin	ZERO|S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	IIN	Sollstufe	Stelle die Stufe ein	2	IIN	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
34	MC034	cho	cho|sho	ho	OTHER_ENTRY|S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	HO	Zutat	Nimm den Eingangsposten	4	HO	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
35	MC035	chckhy	chckhy|shckhy	hckhy	OTHER_ENTRY|S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CKH+Y	durchleiten	Leite den aktuellen Posten durch	4	CKH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
36	MC036	solkaiin	solkaiin	solkaiin	ZERO	SINGLE_REGISTERED_FORM	SOLK+AIIN	bis Sollmass sammeln	Sammle bis zum Vorgabewert	1	SOLK	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
37	MC037	tchody	tchody	tchody	ZERO	SINGLE_REGISTERED_FORM	HO+CLOSE	Eingangsposten beiseitestellen; Schluss	Stelle den Eingangsposten beiseite und schließe	1	HO	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
38	MC038	lshedy	lshedy	lshedy	ZERO	SINGLE_REGISTERED_FORM	WASH+CLOSE	waschen; Schluss	Wasche und schließe	2	WASH	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
39	MC039	aiin	aiin|chaiin|daiin|saiin|taiin	aiin	ZERO|CH_ENTRY|D_ENTRY|S_ENTRY|T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß	Stelle den Vorgabewert ein	20	AIIN	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
40	MC040	okal	okal|qokal	okal	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AL	dort ansetzen	Setze am Ziel	6	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
41	MC041	okchol	okchol	okchol	ZERO	SINGLE_REGISTERED_FORM	OK+OL	weiterlaufenden Posten aufnehmen	Setze die Fortsetzung	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
42	MC042	cheedar	cheedar	cheedar	ZERO	SINGLE_REGISTERED_FORM	CHD+AR	von dort umsetzen	Übertrage vom Ausgang	1	CHD	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
43	MC043	shecthedchy	shecthedchy	shecthedchy	ZERO	SINGLE_REGISTERED_FORM	CTH+CHD+Y	bereiten Posten umsetzen	Übertrage den bereiten Posten	1	CTH	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
44	MC044	qokar	qokar	qokar	ZERO	SINGLE_REGISTERED_FORM	OK+AR	daraus ansetzen	Setze vom Ausgang aus an	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
45	MC045	olkeedy	olkeedy|solkeedy	olkeedy	ZERO|S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	SOLK+EE+CLOSE	länger sammeln; Schluss	Sammle länger und schließe	3	SOLK	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
46	MC046	raly	raly	raly	ZERO	SINGLE_REGISTERED_FORM	AL+Y	diesen Posten dorthin	Führe den aktuellen Posten zum Ziel	1	AL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
47	MC047	ykain	ykain	ykain	ZERO	SINGLE_REGISTERED_FORM	Y+AIN	Postenportion	Nimm einen Anteil des Postens	1	Y	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
48	MC048	kaiiin	kaiiin	kaiiin	ZERO	SINGLE_REGISTERED_FORM	IIN	Weichstufe	Stelle die Stufe ein	1	IIN	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
49	MC049	schoal	schoal	schoal	ZERO	SINGLE_REGISTERED_FORM	HO+AL	Zutat an die Arbeitsstelle geben	Führe den Eingangsposten zum Ziel	1	HO	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
50	MC050	solkey	solkey	solkey	ZERO	SINGLE_REGISTERED_FORM	SOLK+E+Y	kurz sammeln	Sammle kurz	1	SOLK	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
51	MC051	lchedal	lchedal	lchedal	ZERO	SINGLE_REGISTERED_FORM	L+CHD+AL	zur Ablaufstelle führen	Führe zum Ziel ab	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
52	MC052	qekey	qekey	qekey	ZERO	SINGLE_REGISTERED_FORM	KCH+E+Y	aktuellen Posten kurz bearbeiten	Bearbeite den aktuellen Posten kurz	1	KCH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
53	MC053	otol	otol	otol	ZERO	SINGLE_REGISTERED_FORM	OT+OL	danach fortsetzen	Danach führe fort	1	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
54	MC054	qokaly	qokaly	qokaly	ZERO	SINGLE_REGISTERED_FORM	OK+AL+Y	dies dort ansetzen	Setze den aktuellen Posten am Ziel	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
55	MC055	char	char|dar|sar	ar	CH_ENTRY|D_ENTRY|S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	AR	aus dem Ansatz	Nimm vom Ausgang	5	AR	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
56	MC056	ral	ral	ral	ZERO	SINGLE_REGISTERED_FORM	AL	zur Zielstelle	Führe zum Ziel	1	AL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
57	MC057	otchedy	otchedy|qotchedy	otchedy	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+CHD+CLOSE	nächsten Posten überführen; Schluss	Übertrage den Folgeposten und schließe	2	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
58	MC058	sheckhal	sheckhal	sheckhal	ZERO	SINGLE_REGISTERED_FORM	CKH+E+AL	kurz zur Zielstelle durchleiten	Leite kurz zum Ziel durch	1	CKH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
59	MC059	dain	dain	dain	ZERO	SINGLE_REGISTERED_FORM	DAIN	Tuch	Nimm den Abdeckträger	2	DAIN	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
60	MC060	otaiin	otaiin|sotaiin	otaiin	ZERO|S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AIIN	Folgemaß	Stelle den Folgewert ein	3	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
61	MC061	sshkchdy	sshkchdy	sshkchdy	ZERO	SINGLE_REGISTERED_FORM	SH+KCH+CHD+CLOSE	im Arbeitsgang schwenken; Schluss	Halte, bearbeite, übertrage und schließe	1	SH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
62	MC062	shoyty	shoyty	shoyty	ZERO	SINGLE_REGISTERED_FORM	HO+Y+TY	Zutatenteil	Nimm einen Teil des Eingangspostens	1	HO	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
63	MC063	oteey	oteey	oteey	ZERO	SINGLE_REGISTERED_FORM	OT+EE+Y	langer Folgeposten	Nimm den nächsten Posten in langer Stufe	2	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
64	MC064	chedchy	chedchy	chedchy	ZERO	SINGLE_REGISTERED_FORM	CHD+Y	diesen Posten überführen	Übertrage den aktuellen Posten	1	CHD	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
65	MC065	ls	ls	ls	ZERO	SINGLE_REGISTERED_FORM	L	Durchlassöffnung	Nutze den Auslass	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
66	MC066	lcheey	lcheey	lcheey	ZERO	SINGLE_REGISTERED_FORM	L+CHEEY	Klarlauf abfuehren	Führe den freigegebenen Wert ab	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
67	MC067	otchdy	otchdy	otchdy	ZERO	SINGLE_REGISTERED_FORM	OT+CHD+CLOSE	Folgegang vollziehen; Schluss	Übertrage den Folgeposten und schließe	1	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
68	MC068	sotodan	sotodan	sotodan	ZERO	SINGLE_REGISTERED_FORM	OT+DAN	danach anwenden	Wende danach an	1	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
69	MC069	otytchol	otytchol	otytchol	ZERO	SINGLE_REGISTERED_FORM	OT+TY+OL	naechsten Teilposten weiterfuehren	Führe den nächsten Teil fort	1	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
70	MC070	pchedy	pchedy	pchedy	ZERO	SINGLE_REGISTERED_FORM	P+CHD+CLOSE	einführen; Schluss	Führe ein und schließe	1	P	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
71	MC071	dchey	dchey	dchey	ZERO	SINGLE_REGISTERED_FORM	DCHE+Y	Wurzel als aktueller Posten	Nimm die Wurzel als aktuellen Posten	1	DCHE	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
72	MC072	orain	orain	orain	ZERO	SINGLE_REGISTERED_FORM	OR+AIN	Ansatzportion	Nimm einen Anteil des Ansatzes	1	OR	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
73	MC073	qcthey	qcthey|shcthey	cthey	Q_ENTRY|SH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CTH+E+Y	kurz bereithalten	Halte kurz bereit	2	CTH	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
74	MC074	chdy	chdy|chedy	dy	CH_ENTRY|CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+Y	laufenden Posten umsetzen	Übertrage den aktuellen Posten	11	CHD	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
75	MC075	ycheor	ycheor	ycheor	ZERO	SINGLE_REGISTERED_FORM	Y+CHEO+OR	Auszugsansatz	Bereite den Auszugsansatz	1	Y	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
76	MC076	dsheol	dsheol	dsheol	ZERO	SINGLE_REGISTERED_FORM	SH+E+OL	kurz weiter ruhen lassen	Halte kurz und führe fort	1	SH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
77	MC077	kchal	kchal	kchal	ZERO	SINGLE_REGISTERED_FORM	KCH+AL	an der Zielstelle bearbeiten	Bearbeite am Ziel	1	KCH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
78	MC078	olsaly	olsaly	olsaly	ZERO	SINGLE_REGISTERED_FORM	AL+Y	untere Zielstelle	Führe den Posten zur unteren Zielstelle	1	AL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
79	MC079	daldy	daldy	daldy	ZERO	SINGLE_REGISTERED_FORM	AL+CLOSE	Nebenoeffnung; Schluss	Schließe das Ziel	1	AL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
80	MC080	chor	chor|or|shor|sor	or	CH_ENTRY|ZERO|SH_ENTRY|S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OR	Ansatz	Bereite den Ansatz	7	OR	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
81	MC081	okair	okair	okair	ZERO	SINGLE_REGISTERED_FORM	OK+AIR	Wasser einlassen	Öffne den Wasserlauf	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
82	MC082	qokeedy	qokeedy	qokeedy	ZERO	SINGLE_REGISTERED_FORM	OK+EE+CLOSE	länger ansetzen; Schluss	Setze länger und schließe	10	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
83	MC083	qokedy	qokedy	qokedy	ZERO	SINGLE_REGISTERED_FORM	OK+E+CLOSE	kurz ansetzen; Schluss	Setze kurz und schließe	8	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
84	MC084	rshedy	rshedy	rshedy	ZERO	SINGLE_REGISTERED_FORM	WASH+CLOSE	Waschgang abschließen	Wasche und schließe	1	WASH	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
85	MC085	cheoar	cheoar	cheoar	ZERO	SINGLE_REGISTERED_FORM	CHEO+AR	Auszug entnehmen	Nimm den Auszug vom Ausgang	1	CHEO	WHOLE_CARD_FIRST	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
86	MC086	chety	chety|chty	ty	CH_ENTRY|CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	PARTITION+TY	Teil abtrennen	Trenne einen Teil ab	2	PARTITION	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
87	MC087	chodaiin	chodaiin	chodaiin	ZERO	SINGLE_REGISTERED_FORM	HO+AIIN	Zutatenmaß	Stelle den Eingangswert ein	1	HO	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
88	MC088	qokchdy	qokchdy	qokchdy	ZERO	SINGLE_REGISTERED_FORM	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	Setze an, übertrage und schließe	3	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
89	MC089	skar	skar	skar	ZERO	SINGLE_REGISTERED_FORM	SK+AR	vom Ausgang ausgießen	Gieße vom Ausgang aus	1	SK	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
90	MC090	kchol	kchol	kchol	ZERO	SINGLE_REGISTERED_FORM	KCH+OL	weiter bearbeiten	Bearbeite weiter	1	KCH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
91	MC091	dairydy	dairydy	dairydy	ZERO	SINGLE_REGISTERED_FORM	AIR+Y+CLOSE	Wasserlauf schliessen; Schluss	Schließe den Wasserlauf	1	AIR	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
92	MC092	lol	lol	lol	ZERO	SINGLE_REGISTERED_FORM	L+OL	von dort weiterfuehren	Führe die Abführung fort	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
93	MC093	otal	otal|qotal	otal	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AL	danach dorthin	Führe danach zum Ziel	3	OT	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
94	MC094	cheeety	cheeety	cheeety	ZERO	SINGLE_REGISTERED_FORM	EEE+TY	ganzen Teilposten	Nimm den ganzen Teil	1	EEE	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
95	MC095	sheey	sheey	sheey	ZERO	SINGLE_REGISTERED_FORM	SH+EE+Y	laenger ruhen	Halte länger	1	SH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
96	MC096	qokeedal	qokeedal	qokeedal	ZERO	SINGLE_REGISTERED_FORM	OK+EE+AL	dort länger halten	Halte länger am Ziel	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
97	MC097	olkain	olkain|qolkain	olkain	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL+AIN	weitere Portion	Nimm einen weiteren Anteil	2	OL	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
98	MC098	tshol	tshol	tshol	ZERO	SINGLE_REGISTERED_FORM	HO+L	Zutat entnehmen	Entnimm den Eingangsposten	1	HO	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
99	MC099	cheeckhody	cheeckhody	cheeckhody	ZERO	SINGLE_REGISTERED_FORM	EE+CKH+HO+CLOSE	länger auftragen; Schluss	Führe den Eingangsposten länger und schließe	1	EE	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
100	MC100	ody	ody	ody	ZERO	SINGLE_REGISTERED_FORM	ODY	kühlen	Nimm zurück	1	ODY	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
101	MC101	ldalor	ldalor	ldalor	ZERO	SINGLE_REGISTERED_FORM	AL	Endziel	Führe zum Endziel	1	AL	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
102	MC102	rsheal	rsheal	rsheal	ZERO	SINGLE_REGISTERED_FORM	SH+E+AL	kurz am Ziel ruhen	Halte kurz am Ziel	1	SH	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
