locus	ordinal	surface	resolution_class	applied_render_de	reader_preference	review_note
f106v.37	3	aiir	IT2A_EXACT_RETAIN	Drogenfraktion III	ZL3b+IT2a	IT2a preserves aiir; the RF1b boundary or spelling rival does not overturn its concrete family core.
f113r.47	12	oram	RF1B_EXACT_RETAIN	eine Maßportion Ansatz	ZL3b+RF1b	RF1b preserves oram; the IT2a boundary or spelling rival remains recorded without changing the default.
f113v.45	5	ls	RF1B_EXACT_RETAIN	eine Charge Holzdroge	ZL3b+RF1b	RF1b preserves ls; the IT2a boundary or spelling rival remains recorded without changing the default.
f114r.24	4	chpcheey	RF1B_EXACT_RETAIN	nachgetrocknetes Pulver, Form II	ZL3b+RF1b	RF1b preserves chpcheey; the IT2a boundary or spelling rival remains recorded without changing the default.
f114r.24	10	chopo	IT2A_EXACT_RETAIN	Pulverzubereitung aus Trockenansatz	ZL3b+IT2a	IT2a preserves chopo; the RF1b boundary or spelling rival does not overturn its concrete family core.
f114r.28	10	aiir	BILATERAL_BOUNDARY_RETAIN_VALUE	Drogenfraktion III	ZL3b; RF1b joins aiir+aim	The third-fraction value remains the least disruptive local reading despite bilateral boundary instability.
f115r.1	1	fdar	BILATERAL_VARIANT_RETAIN_CORE	erste Blütenfraktion abmessen	ZL3b fdar; IT2a/RF1b variants	Both variants retain flower plus first fraction; the ZL3b D measure stays provisional.
f115r.1	5	cheop	BILATERAL_JOIN_OVERRIDE	bis zur Mittelstufe getrockneter Pulverstoff	IT2a+RF1b cheopol join	Both readers bind following OL, so the local render uses the resulting powder material.
f115r.1	9	oechedy	IT2A_EXACT_RETAIN	bis zur Mittelstufe getrockneter und fertiggestellter Ansatz	ZL3b+IT2a	IT2a preserves oechedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f115v.34	2	sheeey	BILATERAL_REPAIR_OVERRIDE	feuchtes Arzneikompositum in der Gradmitte	IT2a sheckeey; RF1b sheckhey	Both readers reject bare sheeey and insert the published CKH composite family locally.
f26r.2	3	adeeody	IT2A_EXACT_RETAIN	gleicher abgemessener Teil des vollständig fertiggestellten Ansatzes	ZL3b+IT2a	IT2a preserves adeeody; the RF1b boundary or spelling rival does not overturn its concrete family core.
f26r.2	4	ykecthey	BILATERAL_VARIANT_RETAIN_CORE	hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen	ZL3b; IT2a retains CTH, RF1b heat shell	Neither reader preserves the whole, but their complementary pieces retain the herb and heating analysis.
f26r.2	8	checthedy	IT2A_EXACT_RETAIN	Blatt- oder Krautdroge in zwei mäßigen Trockengängen fertigstellen	ZL3b+IT2a	IT2a preserves checthedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f26r.2	9	ls	BILATERAL_REPAIR_OVERRIDE	Wurzelholz	IT2a+RF1b lr	Both readers replace ls with the published lr card, which therefore controls this source position.
f26r.4	5	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2a preserves ytedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f26r.8	8	ytedy	BILATERAL_VARIANT_OVERRIDE	kalter Ansatz, Mittelstufe, fertig	IT2a otedy; RF1b boundary y	IT2a supplies the published cold-preparation result while RF1b preserves only the reference edge.
f29v.1	5	ls	BILATERAL_REPAIR_OVERRIDE	eine Charge Rohdroge I	IT2a olals; RF1b als	Both readers favour an AL raw-drug charge family over the ZL3b wood-charge boundary.
f34r.4	1	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2a preserves ytedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f40r.3	6	aiir	RF1B_EXACT_RETAIN	Drogenfraktion III	ZL3b+RF1b	RF1b preserves aiir; the IT2a boundary or spelling rival remains recorded without changing the default.
f43r.1	2	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2a preserves ytedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f46r.5	8	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2a preserves ytedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f46v.1	6	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2a preserves ytedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f78v.15	9	ls	RF1B_EXACT_RETAIN	eine Charge Holzdroge	ZL3b+RF1b	RF1b preserves ls; the IT2a boundary or spelling rival remains recorded without changing the default.
f78v.31	7	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2a preserves ytedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f81v.12	6	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2a preserves ytedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f81v.13	3	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2a preserves ytedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f81v.13	4	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2A preserves ytedy; the RF1b shortened boundary does not overturn its concrete family core.
f81v.20	7	ltedy	IT2A_EXACT_RETAIN	bis zur Mittelstufe abgekühlte und fertige Holzdroge	ZL3b+IT2a	IT2a preserves ltedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f86v5.18	10	ytedy	IT2A_EXACT_RETAIN	hiervon bis zur Mittelstufe abkühlen und fertigstellen	ZL3b+IT2a	IT2a preserves ytedy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f86v5.26	2	aiir	RF1B_EXACT_RETAIN	Drogenfraktion III	ZL3b+RF1b	RF1b preserves aiir; IT2a air leaves a visible second-versus-third fraction rival.
f86v5.4	1	ypchesy	RF1B_EXACT_RETAIN	hiervon Samenpulver bis zur Mittelstufe trocknen	ZL3b+RF1b	RF1b preserves ypchesy; IT2a ypchery supplies the explicit Wurzelpulver rival.
f86v5.4	6	sail	RF1B_EXACT_RETAIN	Saatgut, Charge II	ZL3b+RF1b	RF1b preserves sail; IT2a sain confirms the seed category while varying the internal stroke.
f86v5.4	8	ltedy	IT2A_EXACT_RETAIN	bis zur Mittelstufe abgekühlte und fertige Holzdroge	ZL3b+IT2a	IT2a preserves ltedy; the RF1b terminal split does not overturn its concrete family core.
