fragment_ordinal	scope_pair_id	event_id	statement_id	register	surface	final_context_recipe	fragment_ordinal_in_event	atom_position_zero_based	atom	base_fragment_de	rendered_fragment_de	target_fragment_start	target_fragment_end	root_expression_start	root_expression_end	scope_slot	between_pair_positions	binding_status	guard
11	GDT579-P12	G515-E0157	G515-S009	HERBAL	chepakeo	CH+E+P+A_ADDR+K+E+O	1	1	E	auf Grad I	beim Nehmen: auf Grad I im äußeren Zweig	58	98	71	81	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
12	GDT579-P12	G515-E0157	G515-S009	HERBAL	chepakeo	CH+E+P+A_ADDR+K+E+O	2	3	A_ADDR	an der A-Stelle	an der A-Stelle	100	115	100	115	NO	YES	UNBOUND_MODIFIER_IN_RAW_ORDER	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
13	GDT579-P12	G515-E0157	G515-S009	HERBAL	chepakeo	CH+E+P+A_ADDR+K+E+O	3	5	E	auf Grad I	beim Zugeben: auf Grad I im inneren Zweig	117	158	131	141	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
14	GDT579-P12	G515-E0157	G515-S009	HERBAL	chepakeo	CH+E+P+A_ADDR+K+E+O	4	6	O	zur Ausführung	zur Ausführung	160	174	160	174	NO	NO	UNBOUND_MODIFIER_IN_RAW_ORDER	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
15	GDT579-P13	G515-E0198	G515-S013	HERBAL	checkhey	CH+E+CH+K+E+Y	1	1	E	auf Grad I	beim ersten Nehmen: auf Grad I im äußeren Zweig	50	97	70	80	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
16	GDT579-P13	G515-E0198	G515-S013	HERBAL	checkhey	CH+E+CH+K+E+Y	2	4	E	auf Grad I	beim Zugeben: auf Grad I im inneren Zweig	99	140	113	123	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
17	GDT579-P14	G515-E0222	G515-S022	HERBAL	shedshey	SH+E+D_ADDR+SH+E+Y	1	1	E	auf Grad I	beim ersten Halten: auf Grad I im äußeren Zweig	40	87	60	70	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
18	GDT579-P14	G515-E0222	G515-S022	HERBAL	shedshey	SH+E+D_ADDR+SH+E+Y	2	2	D_ADDR	an der D-Stelle	an der D-Stelle	89	104	89	104	NO	YES	UNBOUND_MODIFIER_IN_RAW_ORDER	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
19	GDT579-P14	G515-E0222	G515-S022	HERBAL	shedshey	SH+E+D_ADDR+SH+E+Y	3	4	E	auf Grad I	beim zweiten Halten: auf Grad I im inneren Zweig	106	154	127	137	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
20	GDT579-P15	G515-E0310	G515-S031	SOURCE_SECTION_T	shekey	SH+E+K+E+Y	1	1	E	auf Grad I	beim Festhalten: auf Grad I im äußeren Zweig	51	95	68	78	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
21	GDT579-P15	G515-E0310	G515-S031	SOURCE_SECTION_T	shekey	SH+E+K+E+Y	2	3	E	auf Grad I	beim Zuordnen: auf Grad I im inneren Zweig	97	139	112	122	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
22	GDT579-P16	G515-E0385	G515-S043	SOURCE_SECTION_T	dard	D_ADDR+AR+D_ADDR	1	0	D_ADDR	an der D-Stelle	beim fortgeführten Kennzeichnen: an der D-Stelle im äußeren Zweig	59	124	92	107	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
23	GDT579-P16	G515-E0385	G515-S043	SOURCE_SECTION_T	dard	D_ADDR+AR+D_ADDR	2	1	AR	von der Ausgangszeile	von der Ausgangszeile	126	147	126	147	NO	YES	UNBOUND_MODIFIER_IN_RAW_ORDER	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
24	GDT579-P16	G515-E0385	G515-S043	SOURCE_SECTION_T	dard	D_ADDR+AR+D_ADDR	3	2	D_ADDR	an der D-Stelle	beim fortgeführten Kennzeichnen: an der D-Stelle im inneren Zweig	149	214	182	197	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
25	GDT579-P17	G515-E0472	G515-S056	SOURCE_SECTION_T	tosheo	T+O+SH+E+O	1	1	O	zur Ausführung	beim Festlegen: zur Ausführung im äußeren Zweig	55	102	71	85	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
26	GDT579-P17	G515-E0472	G515-S056	SOURCE_SECTION_T	tosheo	T+O+SH+E+O	2	3	E	auf Grad I	auf Grad I	104	114	104	114	NO	YES	UNBOUND_MODIFIER_IN_RAW_ORDER	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
27	GDT579-P17	G515-E0472	G515-S056	SOURCE_SECTION_T	tosheo	T+O+SH+E+O	3	4	O	zur Ausführung	beim Festhalten: zur Ausführung im inneren Zweig	116	164	133	147	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
